	PTPN11	RUNX1
BA2000	18.33296095742878	0.3158646553683877
BA2003	7.823075791431777	0.4013244329079319
BA2004	23.47420820016641	0.3087657605500394
BA2006	1.599279212987121	0.0434516639435853
BA2011	9.225160864995647	0.1227164865716172
BA2019	25.598812631833862	0.2985802352609417
BA2020	31.59595324254756	0.4234286826082905
BA2022	27.51591386957487	0.5851342050113773
BA2023	11.535227276580512	0.2340222673641931
BA2024	13.850349536088828	0.355324854052362
BA2025	25.182250566504557	0.0980119356459087
BA2031	17.168571781077897	0.2926282036740446
BA2032	15.901849480276256	0.3819240898337823
BA2033	18.392220963768025	0.2493802875679197
BA2034	16.75767370192132	0.4487978343101674
BA2035	26.829544816139027	0.5157778625167798
BA2036	21.002511009591736	0.8388414173535819
BA2037	41.28393670453848	0.4592527844731488
BA2041	20.85594645881212	0.2588665449447568
BA2044	18.514651646389066	0.4545446668656925
BA2046	17.74777341783675	0.5157814038241734
BA2047	23.775755698786437	0.3310338573537499
BA2050	14.032474625170588	0.3165709499854057
BA2051	23.501722762533824	0.3938825853566675
BA2052	19.346997032607323	0.3736513203619646
BA2053	13.034239391027915	0.3085386934826425
BA2054	15.071847659067448	0.2938030708808976
BA2055	1.0119939151741806	0.0589301162250986
BA2063	14.18531242809262	0.0920561794793435
BA2065	23.213042788974004	0.5219851276879832
BA2066	27.549712577286414	0.4636862910150136
BA2068	15.169594363553628	0.4141447851298147
BA2069	19.64144687919452	0.1889841436797342
BA2072	12.509935270285276	0.3501484859597172
BA2079	8.072035025066661	0.1133866749489385
BA2080	14.96790543407779	0.1281109492294557
BA2081	15.613771421052876	0.5058095747966009
BA2082	16.516465158266154	0.1837415500653363
BA2087	14.418054675323518	0.1262338198212069
BA2088	24.432406247519264	0.1123074663292034
BA2089	26.42817527039773	0.3022986007009235
BA2093	24.761557552881506	0.7187506601942814
BA2094	22.84219653932653	0.6344199058410083
BA2095	22.24726061747656	0.5760620116676848
BA2096	9.782062235194408	0.1373108299661647
BA2097	29.00078867269143	0.5803880630099275
BA2098	4.89760845693884	0.190269033493088
BA2100	12.578431475402214	0.2614480767212281
BA2101	12.241955188427031	0.2374995044039177
BA2104	9.678008579946416	0.1869198487063524
BA2106	11.404555741858657	0.3996681074992766
BA2109	10.752236348741445	0.1611528749668292
BA2110	9.173325205003731	0.1412447000291279
BA2113	24.25003415351566	0.4636009687036643
BA2116	34.54667256955986	0.247156774264995
BA2121	24.484211565819702	0.4045254318806516
BA2122	8.187921438696502	0.2333023284722314
BA2123	32.82053187434948	0.3247570771477333
