ID Sample	Abundance	TotalKmers	NormalizedExpression	inferred_sex
BA2162	70.20689655172414	7355165580.0	9.545250312600595	Male
BA2505	12.142857142857142	6960386720.0	1.7445664488678212	Male
BA2174	27.79310344827586	10033961980.0	2.7699032051022243	Female
BA2688	22.448275862068964	5843420380.0	3.8416328797602213	Female
BA2746	13.89655172413793	8656098080.0	1.605405991903679	Female
BA2844	27.79310344827586	8292091500.0	3.3517603427646523	Male
BA3297	37.41379310344828	11505274378.0	3.2518818651547923	Female
BA3353	25.655172413793103	12698866170.0	2.020272681855746	Female
BA3334	63.15384615384615	8174919480.0	7.725317210567333	Female
BA2066	29.93103448275862	11825556680.0	2.5310465538911626	Female
BA2454	103.89655172413794	8712777500.0	11.92461895464884	Male
BA2843	79.10344827586206	6993952140.0	11.310264453119643	Male
BA2885	18.25925925925926	8579029060.0	2.1283596467103303	Female
BA3318	37.62068965517241	10719455740.0	3.5095708744604983	Female
BA2653	69.17241379310344	6701910460.0	10.321297815892253	Female
BA3116	30.03448275862069	8673759640.0	3.462683312103019	Female
BA3232	52.48275862068966	7421623860.0	7.071600449000613	Female
BA2500	69.48275862068965	10473388800.0	6.634219348439509	Female
BA2053	93.55172413793105	7030049320.0	13.307406517303216	Male
BA2276	83.93103448275862	6675530260.0	12.572938959722222	Male
BA2357	121.06896551724138	6424574660.0	18.844666289120745	Male
BA2440	136.9655172413793	8857558080.0	15.463123809556697	Male
BA2455	59.89655172413793	6313853700.0	9.486528286858775	Male
BA2600	119.10344827586206	8864826040.0	13.43550880056097	Female
BA2751	103.24137931034484	6623304940.0	15.58759263624435	Male
BA3010	106.0	6930773640.0	15.294107917222355	Male
BA3167	92.51724137931036	6552646380.0	14.119065185890646	Male
BA3178	76.41379310344827	7166336660.0	10.662880733745528	Male
BA3229	146.89655172413794	12601408588.0	11.657153301419317	Male
BA2479	95.13793103448276	6517611800.0	14.597053944587918	Female
BA2821	48.82758620689656	12790176980.0	3.817584876522683	Female
BA3119	82.0	10819947162.0	7.578595234548522	Female
BA2399	56.6551724137931	6861596560.0	8.256849833472737	Male
BA2876	94.72413793103448	6835010000.0	13.858668521484894	Female
