	STAG2	CBL
BA2000	0.045373231419743	9.042644126724811
BA2003	0.0190274841437632	5.172451118714257
BA2004	0.0769230769230769	26.397456558513632
BA2006	0.0443974630021141	0.2775597215944521
BA2011	0.040169133192389	10.39739286954303
BA2019	0.0617986664498292	2.9332356620568487
BA2020	0.0865181330297609	16.031971744555168
BA2022	0.0530167506911693	10.982335116201115
BA2023	0.0211416490486257	13.595149393206244
BA2024	0.0845665961945031	50.44893489241544
BA2025	0.0416327858188323	20.959384514847557
BA2031	0.0066677508537973	12.937146078398
BA2032	0.0380549682875264	7.8221525310228035
BA2033	0.066352252398764	9.017506283315631
BA2034	0.0110587087331273	14.57752442768244
BA2035	0.0483005366726296	11.145404232541518
BA2036	0.0395186209139697	9.584737243464286
BA2037	0.0796877541063587	13.16194562731469
BA2041	0.045373231419743	2.305962484274798
BA2044	0.0426085542364612	14.096762304979828
BA2046	0.0606602699625955	9.624383645759767
BA2047	0.0476500243942104	12.796346075945406
BA2050	0.0213042771182306	7.079443114097531
BA2051	0.0489510489510489	10.511669162830255
BA2052	0.0442348349325093	5.107642536585612
BA2053	0.0393559928443649	7.222321545137492
BA2054	0.0422832980972515	12.01114379043066
BA2055	0.0203285087006017	0.4425617081459523
BA2063	0.0499268173686778	8.313044935404431
BA2065	0.0434216945844852	10.41259137029753
BA2066	0.0788746137583346	57.12784580418294
BA2068	0.0367539437306879	4.4915824176669705
BA2069	0.0377297121483168	12.825323808366926
BA2072	0.0289477963896568	13.935004160509502
BA2079	0.0591966173361522	27.303743679678167
BA2080	0.0250447227191413	6.229220735606777
BA2081	0.028785168320052	11.492191287247948
BA2082	0.0456984875589526	6.753891254870901
BA2087	0.0258578630671653	14.601526983731487
BA2088	0.0616360383802244	4.571627996343174
BA2089	0.0291104244592616	49.12873542436498
BA2093	0.0352902911042445	12.572726267444608
BA2094	0.0351276630346397	17.223595244356925
BA2095	0.0396812489835745	10.848311736218765
BA2096	0.024394210440722	2.236285493649243
BA2097	0.0661896243291592	15.477626241643684
BA2098	0.0201658806309969	8.127967125444737
BA2100	0.0308993332249146	6.2617054658574105
BA2101	0.0335013823385916	11.171287645063163
BA2104	0.0203285087006017	15.91701751949816
BA2106	0.0279720279720279	5.606799514979807
