	STAG2	JAK2
BA2000	0.045373231419743	0.0291897060933032
BA2003	0.0190274841437632	0.0107620455582242
BA2004	0.0769230769230769	0.0294214844431332
BA2006	0.0443974630021141	0.0139203193029816
BA2011	0.040169133192389	0.0335611846244865
BA2019	0.0617986664498292	0.0393401558768148
BA2020	0.0865181330297609	0.0552586288569599
BA2022	0.0530167506911693	0.0166194155703568
BA2023	0.0211416490486257	0.0349664877344926
BA2024	0.0845665961945031	0.0931528403048237
BA2025	0.0416327858188323	0.0219148565970259
BA2031	0.0066677508537973	0.0230474730125086
BA2032	0.0380549682875264	0.0043383673383503
BA2033	0.066352252398764	0.0425502860219604
BA2034	0.0110587087331273	0.0219667129974142
BA2035	0.0483005366726296	0.0136245081786248
BA2036	0.0395186209139697	0.0220219873273852
BA2037	0.0796877541063587	0.0256350593272467
BA2041	0.045373231419743	0.0064258678310128
BA2044	0.0426085542364612	0.0383455917733852
BA2046	0.0606602699625955	0.0164560492173315
BA2047	0.0476500243942104	0.0238842783036345
BA2050	0.0213042771182306	0.0068784764749781
BA2051	0.0489510489510489	0.0209268613270132
BA2052	0.0442348349325093	0.0127049249054168
BA2053	0.0393559928443649	0.0072361307627227
BA2054	0.0422832980972515	0.0360063394048935
BA2055	0.0203285087006017	0.0186053928733818
BA2063	0.0499268173686778	0.0064899006055396
BA2065	0.0434216945844852	0.0180103526950855
BA2066	0.0788746137583346	0.0899149394818183
BA2068	0.0367539437306879	0.0090487549497227
BA2069	0.0377297121483168	0.0310210754878587
BA2072	0.0289477963896568	0.0331869747403254
BA2079	0.0591966173361522	0.0556615707116759
BA2080	0.0250447227191413	0.010048926593874
BA2081	0.028785168320052	0.0179463199205587
BA2082	0.0456984875589526	0.0210880380688996
BA2087	0.0258578630671653	0.0171051354071549
BA2088	0.0616360383802244	0.0175080772618709
BA2089	0.0291104244592616	0.0934386646661809
BA2093	0.0352902911042445	0.0093214416442462
BA2094	0.0351276630346397	0.0262797662947923
BA2095	0.0396812489835745	0.0099848938193472
BA2096	0.024394210440722	0.0102432145285932
BA2097	0.0661896243291592	0.0313930957608807
BA2098	0.0201658806309969	0.028358508342899
BA2100	0.0308993332249146	0.0070727644096973
BA2101	0.0335013823385916	0.0310476178472747
BA2104	0.0203285087006017	0.0333712759120451
BA2106	0.0279720279720279	0.0102288485433157
BA2109	0.0491136770206537	0.019291969478316
BA2110	0.0291104244592616	0.0312009974373004
BA2113	0.0398438770531793	0.0361928301877522
BA2116	0.0713937225565132	0.0288408102501144
BA2121	0.0546430313872174	0.035127664476379
BA2122	0.0398438770531793	0.0072030195698898
BA2123	0.0494389331598633	0.0093401868518016
BA2124	0.0396812489835745	0.0166359711667732
BA2125	0.0546430313872174	0.0235310032381678
BA2132	0.0445600910717189	0.0246967308464833
BA2133	0.0455358594893478	0.0173203581605685
BA2134	0.0255326069279557	0.033025797998439
BA2135	0.0380549682875264	0.0175102668730099
BA2139	0.031387217433729	0.042155141319105
BA2143	0.0361034314522686	0.0205029846536029
BA2148	0.0273215156936087	0.0027034754896531
BA2153	0.0632623190762725	0.0259695891851581
BA2155	0.0278093999024231	0.0057955268487447
BA2156	0.0526914945519596	0.017247566941486
BA2162	0.0489510489510489	0.0380232382896124
BA2163	0.0496015612294682	0.0193560022528428
BA2168	0.0139860139860139	0.004288700549101
BA2169	0.033176126199382	0.0092574088697195
BA2171	0.057570336640104	0.0213276135705903
BA2172	0.0336640104081964	0.0071224311989466
BA2174	0.0616360383802244	0.0641771286464902
BA2175	0.0754594242966336	0.0384327489777453
BA2184	0.0910717189786957	0.046100553565739
BA2195	0.0369165718002927	0.015375289202237
BA2198	0.0556187998048463	0.0238036899326913
BA2200	0.0725321190437469	0.0329452096274958
BA2201	0.0304114490161001	0.0191307927364296
BA2209	0.0559440559440559	0.0151666352822403
BA2211	0.0442348349325093	0.0130603895820224
BA2212	0.019190112213368	0.0137403973535398
BA2217	0.0466742559765815	0.0226048511315429
BA2218	0.0292730525288664	0.0051155190772273
BA2220	0.0416327858188323	0.0148708241578835
BA2221	0.0297609367376809	0.0217327450364452
BA2224	0.0406570174012034	0.0198251664932245
BA2226	0.0993657505285412	0.0820319121404111
BA2227	0.0354529191738494	0.0266043093897041
BA2228	0.0852171084729224	0.0142592283831708
BA2229	0.0650512278419255	0.0152284784456281
BA2233	0.0252073507887461	0.0195127997724513
BA2234	0.0572450805008944	0.0418305982241933
BA2235	0.0476500243942104	0.0281873448380131
BA2236	0.0422832980972515	0.0201165983953034
BA2239	0.033176126199382	0.0480081321089597
BA2240	0.0757846804358432	0.0343858135414738
BA2242	0.0502520735078874	0.0376181068237575
BA2244	0.0578955927793137	0.0678410957540449
BA2245	0.0580582208489185	0.0282017108232905
BA2248	0.0187022280045535	0.0076534386027162
BA2249	0.063750203285087	0.0297029295822125
BA2251	0.0440722068629045	0.0264553090219562
BA2256	0.0286225402504472	0.0084968127272589
BA2260	0.0242315823711172	0.0280614689000985
BA2261	0.0413075296796227	0.0117687860357923
BA2269	0.0413075296796227	0.0083047144036786
BA2271	0.0774109611318913	0.0355946391056218
BA2272	0.0509025857863067	0.0604072591270201
BA2273	0.0322003577817531	0.0111528110388017
BA2275	0.1136770206537648	0.0760111757752531
BA2276	0.033176126199382	0.0122501266503125
BA2277	0.0725321190437469	0.0611138092579536
BA2280	0.0912343470483005	0.0548634841541046
BA2281	0.0359408033826638	0.0087716890329213
BA2282	0.0426085542364612	0.0339685057014803
BA2286	0.0536672629695885	0.0198042316745302
