	SRSF2	EZH2
BA2756	8.61423212805534	5.94641278080618
BA2122	8.73025810259064	6.10323904488586
BA2053	8.71562351354988	6.18074633883084
BA2080	9.34313727945847	5.2381836725971
BA2081	9.50601427714714	5.75606111415072
BA2354	9.03608369232641	5.39929335398575
BA3273	9.00443312215534	4.80779826591488
BA2893	9.85077214115986	5.5906429058684
BA2044	9.3735473533766	6.22989744594561
BA2489	9.57411368730524	5.74090562795813
BA2309	9.39562360946183	6.2918184227424
BA2720	8.46249696810185	5.96545215931813
BA2908	8.66493693752935	4.99070869170882
BA2054	9.3217592552912	6.33324319286844
BA2872	9.13720994130471	6.50297201387594
BA2526	9.31328611186612	6.27694818574979
BA2041	9.88079564639631	6.05361973784087
BA2464	8.85577669200061	5.16855006190863
BA2902	10.0680496747685	6.07479305709891
BA2541	9.04860912314158	4.74957774721697
BA2143	9.0307417478067	5.36725981004116
BA2094	9.45909303825332	6.11421817923463
BA2769	8.97485330936457	5.93410860815703
BA2843	9.29229417829056	6.7037023558772
BA2592	9.86871412745455	6.84098754890722
BA2497	8.61423212805534	5.51500276467509
BA2718	9.30906602396076	6.11633596300958
BA2575	8.55813210635661	5.07515720571569
BA2096	10.0958725482412	6.48606087387678
BA2593	10.111511463709	7.19816924570359
BA2791	9.61438474364243	5.04444275985059
BA2620	8.8717935877338	4.01641654454627
BA2629	9.55435683089665	6.05448659537988
BA2870	9.53484314535953	6.19822146547957
BA2423	8.69824500910271	4.96476498398767
BA2682	9.51078302100883	5.36514025423526
BA2276	9.1410080593907	5.91874058491338
BA2348	8.38563253120242	6.01997355940229
BA2709	8.68676863894814	5.70069374807012
BA2789	9.09600320401444	5.41609656191544
BA2694	9.42251934116338	5.8741844767795
BA2538	9.00955709168753	6.33280116885594
BA2583	9.67679810675791	5.5372259675426
BA2415	8.94424486652991	5.72866766844001
BA2722	8.95099667095566	4.93504794352695
BA2806	9.66622107740225	5.60617377123055
BA2221	9.47769688223901	6.17728971570781
BA3025	9.50125973784097	5.32268742710505
BA2514	9.49819442110274	6.32267289165303
BA2520	9.53000194332933	5.76920600167318
BA2441	9.62461563502098	4.88184571425701
BA2153	9.11460476788528	4.96896518773792
BA2479	9.67313133431446	6.08966256500214
BA2281	9.64527993925034	5.8546289142141
BA2657	8.99211218550823	3.86667316749471
BA2932	9.47769688223901	5.51345714323729
BA2123	9.82717700787936	6.17166961813264
BA2844	9.66095938066438	6.7630173908565
BA2660	9.16784487350203	5.37049633306029
BA2836	9.14481502348153	6.25632117467534
BA3027	9.29647098090766	6.68810200399149
BA2714	8.89449191470128	4.88537399325768
BA2139	8.42559982560594	4.39445609206128
BA2251	9.3260124319477	5.5413102037989
BA2952	8.99211218550823	5.02619905861961
BA2440	9.83892848550566	5.57190904546529
BA2036	9.65571538111022	4.9227991604453
BA2828	9.06304565250042	4.99851357395831
BA2292	9.94271473100152	6.80787905159787
BA2410	9.64527993925034	5.35671343237345
BA2051	8.88472441482659	5.68759563054623
BA2532	8.94424486652991	5.50203062931775
BA2986	9.67150060698144	5.88005273032646
BA2494	9.52036350053221	6.64631169310032
BA2515	9.48238177689826	6.66067320636594
BA2748	9.45909303825332	6.2114515075537
BA2970	9.11835064360706	6.91665453342353
BA2622	9.01306871894599	4.78188212473359
BA2839	9.29229417829056	5.37675910366016
BA2052	9.55435683089665	7.07994856692804
BA3011	9.07750677038397	5.86019583665539
BA2868	9.47769688223901	5.83483518369012
BA2510	8.99211218550823	5.42161592263156
BA2065	9.09600320401444	5.33503178066884
BA2691	8.86536741111737	4.00036361734849
BA2374	9.67679810675791	6.77775850085893
BA2804	9.08494318011795	6.31492475633183
BA2670	8.28526081080175	5.76568700898176
BA2675	9.13342062895717	5.14967422759909
BA2589	9.03786515454843	6.21976021821158
BA2031	8.60608533344799	5.25385282871793
BA2198	9.07395764638915	5.31682531575163
BA2066	8.90103696609653	5.78265919367654
BA2344	9.43613726309062	5.28538104551213
BA2459	8.31312330931764	6.56890360423702
BA2229	9.38675693832204	5.41716478810556
BA2559	8.86857724833819	6.23708437608245
BA2093	9.22287720595147	5.62490937512472
BA2000	9.58408544068247	6.61592394796106
BA2425	9.50768698561149	5.15277462061388
BA2905	9.16784487350203	6.3544519231975
BA2304	8.61695773628636	4.6536793016403
BA2976	8.97485330936457	5.5962261554154
BA2386	8.79328666582968	4.31964800368711
BA2035	9.22287720595147	5.57154615906059
BA2760	8.49657233882556	5.74318527568312
BA2201	9.08494318011795	5.29487332704559
BA2355	9.52517542791568	6.76715417447917
BA2113	9.44407804044761	6.80486837491
BA2155	9.88687313292775	6.57670086749662
BA2955	9.09600320401444	5.15277462061388
BA2502	9.14863087419242	5.59736566113199
BA2322	9.160132157513	6.06255807626612
BA2376	8.61423212805534	4.52802366345833
BA2020	9.83892848550566	6.43335604753767
BA2226	8.93417001363455	5.36143895724277
BA2200	9.73079295605488	5.87927912302444
BA2121	8.92415796681604	6.6430484484285
BA2944	9.2389471182711	5.25458692670885
BA2033	9.53484314535953	6.44275689894875
BA2867	9.30065851731011	6.18590754539494
BA2089	8.18416035809344	5.44461485443026
BA2224	9.12964008242639	5.90157614057374
BA2046	9.1872873383188	6.24055068924258
BA2972	9.44070228005406	6.30740738637139
BA2978	8.40194775982719	5.7151540674209
BA2829	8.97485330936457	5.64918681238206
BA2851	9.2592593958878	5.31144747900552
BA2587	9.02364943472175	6.33191637769617
BA2461	9.21490111990201	5.81242563536261
BA2695	9.0468018581655	5.62679253065256
BA2623	9.3217592552912	5.9610279397687
BA2024	9.17171491689544	5.81648610262315
BA2426	9.0307417478067	6.20271197742685
BA2271	9.12964008242639	4.87903527269784
BA3004	9.80971908397822	5.98180577093432
BA2579	8.85577669200061	5.14194854842965
BA3010	8.87824586229709	5.6681641248555
BA2662	9.06304565250042	6.61649602743193
BA2674	9.25517667754352	4.3981107984309
BA2280	9.22287720595147	4.650152754678
BA2512	8.54249270039127	4.78751391876221
BA2658	9.30065851731011	5.83841841477399
BA2394	9.26335235036244	6.13208464272519
BA2950	9.31751716888528	5.29014927757584
BA2981	8.89449191470128	7.023488210081
BA2934	9.3260124319477	4.57905905511671
BA2539	9.11835064360706	5.88684341274268
BA2249	9.22687989289351	5.70604900479139
BA2034	8.99390471507907	4.6742639798329
BA2109	8.65285322774346	5.55025760092161
BA2242	9.45909303825332	4.40909041856159
BA2277	9.2389471182711	4.76180081744306
BA2727	8.92415796681604	4.56478976898356
BA2132	9.8991027074875	5.81959741153124
BA2618	8.70690950167434	5.73442845067299
BA2521	9.09970659968869	5.16960938829634
BA2846	9.30906602396076	4.90254409754431
BA2885	8.57925061313916	5.00796743570823
BA2639	9.4270458724936	6.10408615184211
BA2775	9.44987135785787	5.09496926322148
BA2402	8.84307877151568	5.05998896160971
BA2097	9.28812805203208	4.69506440431895
BA2786	9.42251934116338	6.63111242241247
BA2399	9.63491369950168	5.74985586104485
BA2850	9.89297540900361	4.48983140690623
BA2174	9.04860912314158	5.73699919077019
BA2004	8.48407580140491	4.17864479441855
BA3001	9.67679810675791	6.48705929163371
BA2311	8.78412431760784	5.30744038497995
BA2483	8.63525880753156	4.22213876832889
BA3040	9.43158515365849	6.64464627075058
BA2837	9.0271917203024	4.43535157234795
BA2724	8.88472441482659	5.58914523241343
BA2911	8.99558616821901	4.74078679013041
BA2256	9.27569316532541	6.49504433110095
BA2821	9.34313727945847	5.84430678297576
BA2233	9.65571538111022	6.0921968661524
BA2744	9.14863087419242	4.70381184087467
BA2880	9.160132157513	5.85654635479991
BA2621	8.9076089453561	4.79068369995582
BA3002	8.69720423583871	4.29867481796289
BA2501	9.40901547409309	5.76526823165432
BA2993	9.35176787188011	4.24082241554656
BA2301	9.0307417478067	6.68593691853273
BA2852	9.3561004357089	4.93401038600293
BA2133	9.2389471182711	5.89603275873882
BA2866	9.8991027074875	7.38257507273258
BA2212	9.33027676031699	6.30142372411484
BA2685	9.26745559419095	6.54875546973009
BA2273	9.98114720830101	6.08237851607355
BA2477	9.26335235036244	6.43241877433245
BA2659	8.52958832512444	5.41609656191544
BA2124	9.87632246618632	5.94717583892944
BA2363	8.26607857536642	5.01110132445605
BA2369	9.25110414260315	6.28051995140614
BA2534	9.34313727945847	4.38891609087157
BA2400	9.43613726309062	5.73663382994184
BA2762	9.34313727945847	5.66204443579784
BA2312	9.53484314535953	4.55739011915781
BA2813	9.78106105276028	5.51015899119849
BA2211	9.85831326849695	5.05115412774342
BA2171	9.64008823387741	5.4843036495526
BA2746	8.98518651350313	5.24069452394771
BA2798	9.27569316532541	5.17381001168529
BA2809	9.39118419839355	4.16439378818326
BA2288	9.98087822775469	6.60051001058414
BA2801	8.83362186336888	6.76656262392125
BA3030	8.61063875058243	5.85501990072082
BA2588	9.60929418124753	5.85341733924409
BA2296	9.36916799017741	5.96784634669034
BA2300	9.88687313292775	5.71478675399189
BA2903	8.3926007250059	6.08278210679629
BA2473	9.93797001113285	6.4243136710677
BA2545	9.17171491689544	6.02819468374248
BA2840	9.22062772367926	6.4137172012398
BA2528	9.30485684547982	5.5977589538239
BA2646	8.95099667095566	5.72754939375197
BA3407	9.38234175781362	6.25534556152395
BA2240	9.28812805203208	5.62755258680148
BA2926	9.26745559419095	6.57305438035027
BA2272	8.97485330936457	5.14578866134918
BA2306	8.7420670822246	6.00173500696481
BA2765	8.55029123602985	4.14520169098392
BA2904	9.13720994130471	5.683055970914
BA2883	9.01306871894599	4.80215496386561
BA2726	8.54249270039127	4.05963620965163
BA2234	8.97142354261209	5.99605530428902
BA2022	9.75851596885508	6.04021038079235
BA2228	9.25517667754352	6.04734642903678
BA2037	9.23089240757758	4.68133985426918
BA2184	9.45447558148811	6.59838838471777
BA3009	9.76974697360105	5.65863949770921
BA2842	8.61968837224666	6.03484592617001
BA2442	8.9076089453561	5.1308809152012
BA2882	8.5607551950315	4.93504794352695
BA2758	8.76897254396233	4.71192806102431
BA2705	9.20696376307392	4.81197374042518
BA2663	8.62516478231551	5.06034106840668
BA2570	8.79022656584331	5.83756838624294
BA2764	8.18813169577028	5.97812067314416
BA2209	8.67821802831458	6.42953951724595
BA2989	9.10341841676742	6.12432253652151
BA2855	8.81487669872437	5.04276470874514
BA2261	8.53400537696188	5.35593989387114
BA2721	8.97829037472744	5.36181709207634
BA2930	8.43517613550052	4.11024891875859
BA2728	8.5373170330564	5.25385282871793
BA2715	9.56420444046175	5.40992505038772
BA2469	8.35811493599106	6.0456807736423
BA2269	8.18416035809344	5.95600036566632
BA2098	9.14863087419242	5.78459303638823
BA2778	8.52190108216259	4.55952538407096
BA2951	9.14863087419242	4.95713318056663
BA2163	9.36044459889599	5.19161041350932
BA2379	8.65845299235754	5.17065533146209
BA2817	8.68189146093676	4.73550312580456
BA3153	9.47302564786274	6.2850706491728
BA2820	8.86216405394702	5.12063498746829
BA2723	9.09600320401444	4.86184303118266
BA2704	9.58408544068247	5.89560402298733
BA2088	9.4917929010063	5.92753747485825
BA2116	8.77199110438686	5.61175957380568
BA2584	10.0475291689068	4.82079936789571
BA3079	10.0007468429699	5.80891216118178
BA2417	9.65571538111022	5.86132938817703
BA2361	9.1755941413251	6.70809549173072
BA2450	9.24704173883127	5.21007881246748
BA2492	8.19611264417946	4.90013515136005
BA2552	9.00955709168753	5.67470446988703
BA2472	8.68106286594684	5.91798611999628
BA2994	9.23491479941431	4.94068738942346
BA2047	9.58909503454725	6.16092602046833
BA2101	9.48238177689826	4.64626652070706
BA2082	8.77804587995587	6.30740738637139
BA2879	9.17171491689544	5.60504344827743
BA2577	9.54457000922792	6.61753222574519
BA2456	8.80250309714617	5.68229960670136
BA2175	9.59412059033195	7.45571345371651
BA2824	9.19512951707567	4.15346615907927
BA2507	9.88079564639631	6.41417827633489
BA2563	9.68211371581436	5.69295647546023
BA2244	8.84624370479657	5.4417363654644
BA2470	9.76974697360105	6.57095981156775
BA2984	9.6874475749889	5.77144374108322
BA2414	9.64008823387741	5.48915482766383
BA2697	9.44696832329653	4.34833610549937
BA2079	8.68391306436784	4.32449447757761
BA2999	9.03429954865997	5.93293802015649
BA2644	9.3735473533766	5.67127118896803
BA2011	9.09600320401444	5.82504535283309
BA2217	9.69279982690398	6.72238123052722
BA2454	9.86270964606403	6.12432253652151
BA2776	9.80971908397822	6.24227196022735
BA2218	9.59916222255831	5.49138177082753
BA2135	9.94271473100152	5.7594907917192
BA2914	8.83362186336888	5.67772909120233
BA2500	9.0307417478067	6.0444352624309
BA2830	9.44987135785787	6.43146976668751
BA2406	9.4270458724936	5.67355536167547
BA3108	9.43613726309062	5.94520040841415
BA2924	9.09230819306279	5.41943459061555
BA2303	8.83676787171411	4.8973168898075
BA2160	9.55927298456459	4.64945091473465
BA2038	9.0307417478067	5.47320709939818
BA2602	8.56338303703764	5.25002967084118
BA2964	8.8717935877338	5.91398655787065
BA2898	9.44987135785787	6.16739291737488
BA3003	9.48238177689826	6.21273472230969
BA2111	9.58408544068247	6.43590316276273
BA2827	9.58909503454725	6.2220023406681
BA2912	9.55927298456459	6.08879387607679
BA2437	9.55927298456459	6.44658590502143
BA2283	9.58909503454725	6.15698094792798
BA2057	9.54457000922792	6.10020798817236
BA2633	9.58909503454725	6.57095981156775
BA3034	9.55435683089665	6.41227021268222
BA2607	9.3735473533766	6.10408615184211
BA2761	9.4270458724936	5.69370906216796
BA2795	9.54457000922792	5.94796425199258
BA2182	9.54457000922792	6.34190143280827
BA2152	9.49651930986164	6.37124794281337
BA2381	9.80971908397822	6.78255354390321
BA2931	9.53000194332933	5.80146381261149
BA2040	9.34313727945847	6.38171333036269
BA2590	9.60929418124753	5.22927128390671
BA3195	9.3561004357089	6.12593955851946
BA2516	8.94268168369866	5.6412866944169
BA2353	9.2429894144776	5.80413235131943
BA3036	9.11086746340759	4.72214637587513
BA2971	9.02543573403374	6.24100946664766
BA3410	9.47302564786274	5.20116609846323
BA3118	9.22287720595147	5.55248246165005
BA3206	9.57411368730524	5.75987481048265
BA3202	9.48238177689826	6.07775440645337
BA3217	9.4045391740165	5.92637395893393
BA3405	8.22445433533228	4.650152754678
BA3306	9.00255657247606	5.03114997890888
BA3371	9.10341841676742	6.41701283707656
BA3413	9.58909503454725	5.78731556681433
BA3411	9.07395764638915	5.73699919077019
BA3133	9.3561004357089	4.36608295505138
BA3164	9.13342062895717	5.40740251107271
BA3451	8.52958832512444	4.67318634632102
BA3286	9.36916799017741	6.33324319286844
BA3212	9.56098320131876	5.43439292364828
BA3103	8.91751782379931	5.72061360951374
BA3271	9.1872873383188	5.44900669366577
BA3152	9.3735473533766	6.41701283707656
BA3095	9.79245962144758	5.46260848821559
BA3192	9.11086746340759	5.71368801694621
BA3251	9.40901547409309	6.25491135905161
BA3362	9.00434706477645	5.68192875741287
BA3400	9.65048894475304	5.11186015453485
BA3135	9.4000752436972	5.75302384911337
BA3408	9.63491369950168	5.39780333094655
BA3187	9.27569316532541	5.48321215171909
BA3098	9.12964008242639	4.67531691808554
BA3435	9.19120372633416	5.07731571102635
BA3261	9.54457000922792	6.44848147466049
BA3203	9.76974697360105	6.03938413348279
BA3174	8.89776108628452	5.50239845192536
BA3317	9.33883912107995	5.38434316295162
BA3299	8.75098362594822	5.96305194548373
BA3221	8.78108213178214	4.54056013941107
BA3347	9.43158515365849	5.85501990072082
BA3235	8.20012237793382	4.22287672834749
BA3126	8.26607857536642	4.69293160792587
BA3380	9.04143859741613	4.97875034136153
BA3089	9.2389471182711	5.02586431491849
BA3109	8.46185834013681	5.75302384911337
BA3114	9.17171491689544	6.33324319286844
BA3418	8.97829037472744	6.24912819394912
BA3245	9.56915130536806	5.7664756489083
BA3085	9.07761127342397	5.37196237255135
BA3128	9.45909303825332	5.94349363207294
BA3423	9.67679810675791	6.09515830888203
BA3173	9.98114720830101	6.732801148639
BA3171	8.83048212173684	4.0819519400544
BA3277	9.43158515365849	5.88444565778855
BA3210	9.19120372633416	6.01784200578308
BA3157	9.56420444046175	5.89048099649459
BA3433	9.53969913371194	5.79988688207929
BA3322	9.53484314535953	5.41063794413204
BA3374	8.79328666582968	5.4417363654644
BA3450	9.60422004710875	6.71610247691018
BA3167	8.47663077360064	4.57121893124893
BA3269	9.60929418124753	6.56014980461976
BA3110	9.66259277874038	7.02698040559294
BA3156	9.2592593958878	7.60876718089275
BA3226	9.39118419839355	4.87378270256901
BA3421	8.95777690896205	5.36902005012398
BA3232	9.27569316532541	5.5239080872138
BA3289	8.61423212805534	6.14149524736616
BA3430	8.38747453651413	5.6837918460088
BA3145	9.30906602396076	5.01042178805716
BA3399	8.96117775713075	6.63809847581986
BA3449	9.09230819306279	6.45198017318936
BA3384	9.17948259034573	5.25385282871793
BA3427	9.28812805203208	4.05924814574432
BA3163	8.52958832512444	5.01183343730558
BA3158	9.55927298456459	6.59418114772064
BA3436	9.61438474364243	5.29768689368079
BA3154	9.62258533258528	6.07058706634591
BA3162	8.12230223339654	5.51276153131016
BA3352	8.92264013919218	4.99630420821888
BA3084	9.31751716888528	5.58159000678894
BA3149	8.71853926395486	5.23248591034629
BA3169	8.9076089453561	5.82897025310715
BA3180	9.2109276242084	4.6742639798329
BA3255	9.41350421836705	5.37675910366016
BA3438	9.62975620855742	5.6412866944169
BA3345	8.94087956106744	5.58306894890271
BA3403	8.47415784691615	4.15189910009998
BA3431	8.42559982560594	4.85688426869055
BA3181	8.03722226484621	4.67601516668643
BA3341	8.96458579397726	5.16672802617493
BA3191	8.77804587995587	5.13333297859029
BA3197	9.16398396797258	5.13159055958208
BA3448	9.38234175781362	5.37601760770264
BA3453	9.12586826213153	6.35627429889414
BA3406	9.82133532639013	5.24255862650171
BA3308	9.17948259034573	5.62530338833762
BA3186	9.40240975182614	6.67894286315779
BA3334	8.65565049707964	7.07994856692804
BA3447	9.52036350053221	6.90558799283489
BA3116	8.97485330936457	6.57821130696448
BA3280	9.53969913371194	6.67502657403681
BA3185	9.19906475607931	7.12738803665014
BA3094	8.6697155276332	4.20331989489853
BA3318	8.42559982560594	5.7725785925433
BA3216	9.40901547409309	5.17629556050641
BA3332	9.41800548205558	6.63537899034447
BA3214	9.25691151442812	5.96784634669034
BA3099	9.4045391740165	5.24967382044831
BA3141	9.39562360946183	5.29048759416866
BA3373	9.3217592552912	4.42407225307684
BA3319	8.43037965011906	5.04731382080461
BA3328	9.28812805203208	4.37051170514398
BA3339	9.732408696693	5.11186015453485
BA3240	9.08127310626888	4.56550171421847
BA3142	9.44070228005406	4.56728703193523
BA3333	9.46372381175102	4.71441327883724
BA3381	8.74800571415782	5.82620355123692
BA3290	8.8879736022598	5.67772909120233
BA3207	7.93502206043898	4.39517517514659
BA3296	8.8879736022598	5.81764194891905
BA3305	8.82110029202306	5.41063794413204
BA3434	9.27569316532541	5.86616732804556
BA3189	9.08862153045619	4.77174514426462
BA3264	9.55435683089665	5.80340144842646
BA3329	9.48406046211483	6.56428369493048
BA3417	9.23491479941431	5.44569104780308
BA3367	8.60436299215519	5.51875648132132
BA3225	8.11666073243668	3.92121831220639
BA3183	9.04143859741613	5.55285643961997
BA3222	9.08494318011795	4.90882466152865
BA3139	8.88653621315296	6.03732004077161
BA3397	9.64527993925034	5.20903956129855
BA3311	8.07971165578759	4.23395182475299
BA3422	10.0888662099127	5.37423056792449
BA3228	8.68391306436784	4.66327617789941
BA3213	9.26335235036244	5.67849879072138
BA3270	8.8717935877338	5.20545697822648
BA3415	9.34744684153524	4.92943275175156
BA3324	8.8525926437112	4.35758642020142
BA3194	9.68211371581436	4.77701262518198
BA3335	9.96822468421139	5.12629796090127
BA3199	9.4917929010063	6.37878971540536
BA3326	9.27569316532541	5.54282665462534
BA3285	8.72329447406972	5.64878460317562
BA3297	9.09230819306279	4.76073211339353
BA3227	9.11460476788528	5.27249782330272
BA3394	8.65006116973985	4.27458283678045
BA3412	8.93752128537319	5.64653817010519
BA3293	9.44239146973819	4.23128250270976
BA3250	9.21888429779212	5.97691207859612
BA3177	9.47769688223901	5.8625242189267
BA3315	8.96117775713075	5.85381815948029
BA3182	8.91751782379931	4.53554304554111
BA3260	8.43758065182973	5.79562998630529
BA3369	9.24704173883127	5.59101551435814
BA3078	9.20475662343021	5.26673694417636
BA3386	9.71984209806913	5.32375937310038
BA3445	9.4000752436972	6.89968682755392
BA3452	8.57129520837751	5.24575571846811
BA3176	9.29229417829056	6.01172249264152
BA3258	8.64449262965366	5.32233498083344
BA3295	8.76897254396233	5.6765932151773
