	SRSF2	EZH2
BA2392	9.83892848550566	7.01271335596315
BA2611	9.86270964606403	7.0420285397911
BA2506	9.83892848550566	6.97592290315855
BA2430	9.85672905613112	7.02554920178684
BA2448	9.85672905613112	7.02415111976065
BA2730	9.83304132704525	7.05061628699762
BA2845	9.8991027074875	7.08068398565122
BA2326	9.87474271994728	7.1045805500083
BA2341	9.93012293296997	7.1045805500083
BA2612	9.90525526471174	7.15481965297646
BA2973	9.93012293296997	7.08068398565122
BA2390	9.92386690563917	7.10235206017353
BA3218	9.89297540900361	7.11362489243587
BA3105	9.95541459791256	6.97176870633362
BA3402	10.0007468429699	7.04058248557274
BA3276	9.98114720830101	6.95344802847081
BA2409	8.41135949860071	4.1237457502688
BA3037	8.23061160269424	5.40039592941304
BA2496	8.84307877151568	5.43115262897872
BA2172	8.71271331389775	4.70731608736247
BA2865	9.22287720595147	4.86463645708681
BA2923	7.64511152399424	4.64449742091882
BA2751	9.50293364970638	5.48988184269187
BA2480	8.73025810259064	4.58334363014916
BA2286	8.92083445647999	5.1185297033232
BA2922	9.3217592552912	5.35265544520885
BA2452	9.82133532639013	6.33280116885594
BA3379	9.46372381175102	5.72556301998601
BA2887	9.13342062895717	5.34725969274235
BA2712	9.39118419839355	6.12302701419306
BA2068	10.6289390647318	5.53387100376444
BA2236	9.22287720595147	4.38671805486927
BA2104	7.64511152399424	4.46918025920294
BA3124	9.38234175781362	4.744989372778
BA3395	9.09970659968869	5.94563203594008
BA2921	9.54945587390153	4.00781378331485
BA2449	8.60608533344799	6.11039522609915
BA2003	9.75293118746352	6.45401948854285
BA2360	9.42251934116338	6.21410531502083
BA2802	9.53969913371194	5.7010856278578
BA2235	8.93082572022568	4.73764209982809
BA2858	9.30906602396076	6.37454386361439
BA3038	8.60879594020241	5.72213373131707
BA3006	9.64008823387741	5.49550080381286
BA2245	9.49651930986164	3.99343352661343
BA2667	8.95438322249582	5.57784205345213
BA2239	8.66407371953991	5.13014241250355
BA2782	8.89122942781574	5.10491139366288
BA2649	9.61438474364243	6.15187477635529
BA2488	8.90103696609653	5.35633645133756
BA2861	9.17948259034573	5.57675252591336
BA2909	8.79205235357759	5.0766039980492
BA2429	8.99222936727265	4.59759061851511
BA2653	9.26099325755712	5.31794680182615
BA2134	8.46430959418229	3.92781584362597
BA2947	9.415200229547	5.99970534098919
BA2032	8.73910632748104	4.94979323861825
BA2162	9.18338030789918	4.18094171508708
BA2564	8.9076089453561	5.72519608896332
BA2597	9.50768698561149	6.6886775034689
BA3243	9.04501990946176	4.17562396984582
BA2106	9.17171491689544	5.74166284605219
BA2427	9.16398396797258	5.24140893715519
BA2841	9.67679810675791	6.27332825884915
BA2446	9.47302564786274	6.07906325231323
BA2645	9.12586826213153	5.80732189831465
BA2525	9.18338030789918	4.68941736509374
BA2876	9.19120372633416	5.38913307968471
BA2357	9.26745559419095	6.42718608083043
BA2546	8.86536741111737	5.14264325331446
BA2742	8.66689198102969	5.12241133726936
BA2316	8.95099667095566	5.5361204470046
BA2421	8.268195867683	5.89048099649459
BA2087	8.81980741439546	4.72808220076467
BA2910	8.89776108628452	5.67127118896803
BA2148	8.72438748273975	6.00556371466788
BA2063	9.26745559419095	4.91721018578494
BA2329	8.8717935877338	5.45162820453411
BA3178	8.87501645157825	5.29947262046614
BA2072	9.13342062895717	5.80146381261149
BA3029	9.45447558148811	6.37215716750202
BA2733	9.22687989289351	6.3144421792923
BA2995	9.52517542791568	6.36512999451549
BA2069	9.47769688223901	6.08966256500214
BA2100	8.672544374331	6.38261014012489
BA2681	9.19512951707567	5.93982972127244
BA2248	9.36916799017741	5.76488394506669
BA2832	9.60422004710875	5.63859875243939
BA2308	9.75851596885508	4.88883896739495
BA2413	9.62975620855742	4.74815204997173
BA2701	9.05581138653334	4.43461919303822
BA2634	9.3561004357089	4.56835874883418
BA2677	9.48238177689826	5.82076176816399
BA2937	9.27156918109996	5.59736566113199
BA2600	9.04860912314158	5.31182798555781
BA2019	9.52036350053221	6.5257979218845
BA2412	8.75995195431454	3.29806393451797
BA2334	9.56420444046175	5.72791281354614
BA2050	9.94905102299885	6.29737759041703
BA3230	9.08494318011795	5.70986425222156
BA2953	9.20696376307392	6.83843057067482
BA2481	9.8155160837716	6.14672505812723
BA2731	8.78108213178214	5.32164044187742
BA2294	9.60929418124753	6.04816746430603
BA2418	9.45909303825332	5.55739491408236
BA2816	9.36916799017741	6.26033254809805
BA2656	9.94905102299885	6.05692203263316
BA2814	9.10713869224013	5.66513415407858
BA2631	9.26745559419095	5.76722856076773
BA2023	9.01306871894599	5.54245080282141
BA2375	9.27156918109996	5.19664711091347
BA2485	9.67842749251503	5.47580004129115
BA2455	8.8589671548512	5.39458251066191
BA2025	9.09600320401444	5.85025846641857
BA2636	9.04860912314158	5.25038320893089
BA2325	8.45209623715645	4.00819948287575
BA2169	9.50601427714714	5.15035146596143
BA2156	9.38675693832204	5.70032456019922
BA2511	9.36916799017741	6.19966591698805
BA2939	9.13342062895717	5.17241204196236
BA2168	9.73079295605488	4.87937557014674
BA2505	9.39118419839355	3.99791458399155
BA2860	8.71271331389775	5.39605181278963
BA2707	9.20696376307392	5.88526249443146
BA2871	8.99211218550823	5.2861234484291
BA2655	9.60422004710875	6.481688319913
BA2227	9.59916222255831	5.75911087985136
BA2125	9.41800548205558	6.15101372135618
BA2523	9.53000194332933	6.88034277223335
BA2603	9.12586826213153	5.88798351527577
BA2808	9.17948259034573	5.22713590568466
BA2282	9.02364943472175	4.56764021310081
BA2482	8.91090509269608	5.79487700443781
BA2812	9.70356008854553	6.26604717378172
BA2822	9.31672506964559	5.53979697945933
BA2594	9.22287720595147	5.49867482524586
BA2747	9.47769688223901	5.29307989811682
BA2561	9.93012293296997	6.07987511764245
BA2567	10.0007468429699	6.01332316435917
BA2906	9.91143332054624	6.24365480544028
BA2956	9.90525526471174	6.8005248227196
BA2474	9.00955709168753	5.35194416070465
BA2737	9.80971908397822	5.69526819057696
BA2110	8.73025810259064	5.29986206219824
BA2992	9.14481502348153	6.42763769743183
BA2220	9.40901547409309	6.42189529871828
BA2772	8.71853926395486	5.69607421457276
BA2935	9.17171491689544	5.69757983119209
BA2260	9.12964008242639	5.42712462599135
BA2676	9.23089240757758	6.59838838471777
BA2948	8.6697155276332	6.00556371466788
BA2524	8.98864564355709	5.34548008260551
BA2811	9.24704173883127	5.69720265968762
BA2540	9.04501990946176	5.05115412774342
BA2928	9.36916799017741	6.18727628290146
BA2302	9.39562360946183	5.46808531788419
BA2595	8.68106286594684	5.81283987747723
BA2792	9.54457000922792	5.58383676402354
BA2651	8.92748837970555	5.40885224287312
BA2619	8.7332018546727	5.43042530271375
BA3013	9.50601427714714	6.31585760088979
BA2405	8.70980864868103	5.44826154156483
BA2735	8.59798330037588	6.21454243325922
BA2856	8.92415796681604	5.97608438156721
BA2377	7.83840005803793	5.04731382080461
BA2499	8.81487669872437	5.43510067241067
BA2463	9.52684328251404	6.56428369493048
BA3023	9.00605305286098	5.34865531492155
BA2095	9.61438474364243	6.41555515164963
BA2901	8.45209623715645	5.38585461790311
BA2275	8.70401585675217	5.50978975058831
BA2387	9.30065851731011	3.41659896255636
BA2962	9.36480042798147	5.73284131564851
BA2195	8.97142354261209	6.2114515075537
BA2688	9.00264729477778	6.10538403903875
BA2787	8.94424486652991	5.12205431291829
BA2420	9.4000752436972	5.64011484889975
