	CBL	ASXL1
BA2392	5.58345571866186	6.54408446340443
BA2611	5.65372634921578	6.53249965977741
BA2506	5.64803687161425	6.5242368874556
BA2430	5.73284131564851	6.58462737788517
BA2448	5.71062850605643	6.52324588492183
BA2730	5.73699919077019	6.54408446340443
BA2845	5.51537822254039	6.42575430557831
BA2326	5.53387100376444	6.42858727965842
BA2341	5.53462725078282	6.42763769743183
BA2612	5.54319628882121	6.45455803457724
BA2973	5.52613507813266	6.40360502181603
BA2390	5.53130217583918	6.40264148496757
BA3218	5.57484353091513	6.44565569212713
BA3105	5.53022022640692	6.54096638153352
BA3402	5.63166253168885	6.52120608932454
BA3276	5.62154857269561	6.53695474326822
BA2409	6.92693139302054	5.50426621763009
BA3037	6.48412876670839	6.49002795768883
BA2496	6.95344802847081	5.62715965117615
BA2172	6.03067265261494	5.7983454299058
BA2865	6.00760401810435	6.1921407741856
BA2923	7.33890799019329	4.94273522337111
BA2751	6.31675170697475	6.05776567233175
BA2480	6.10148550070927	6.00011677121632
BA2286	6.45505097585003	6.04154865344481
BA2922	6.57560815980456	6.58783674116998
BA2452	5.96465349079709	6.28373604828764
BA3379	6.50804753914762	6.15698094792798
BA2887	6.97450183109637	6.0444352624309
BA2712	6.92833111291049	5.75681040063766
BA2068	5.45489161608543	6.08966256500214
BA2236	6.43095537419459	6.00513768153823
BA2104	7.23215951369131	5.3920043604829
BA3124	6.21887740590051	6.7478553015081
BA3395	7.04851156959908	6.06345159600226
BA2921	5.8258026321264	5.84190332625174
BA2449	5.72290783455204	6.06168577538942
BA2003	5.58682786591739	6.17121351437265
BA2360	6.29962436721057	6.04734642903678
BA2802	6.44227342376241	6.2850706491728
BA2235	6.7903869995291	5.74011278993299
BA2858	5.64461310314999	5.98876336939614
BA3038	6.89644993218602	5.48611835069995
BA3006	5.82392380814807	6.04816746430603
BA2245	6.05025616147561	6.25762029146855
BA2667	6.71895435387141	6.03566200297907
BA2239	6.93558317816731	5.69838933100617
BA2782	6.8911840063889	5.67546263774049
BA2649	6.16992972400798	6.31810358288684
BA2488	6.48013079701668	6.19690129645258
BA2861	6.64966424428309	5.9027386298111
BA2909	7.4827611671997	6.02245886806957
BA2429	6.24227196022735	6.42530173541054
BA2653	5.00447988229452	6.90161368403515
BA2134	6.59999610931592	5.5372259675426
BA2947	6.0228669992747	6.61700352029779
BA2032	6.08923274175156	6.05692203263316
BA2162	6.84335327492742	5.92314727428924
BA2564	6.64518894120786	5.6860968528657
BA2597	3.80075983876638	6.08666258593702
BA3243	6.99175546936536	6.03404286985942
BA2106	5.34794466566604	5.94392026663398
BA2427	5.87965665517008	6.46136172333021
BA2841	4.58048481229599	6.45648309857568
BA2446	7.14921380328589	5.8769475456825
BA2645	5.5977589538239	6.38738832095137
BA2525	5.28648765336968	7.40609048790591
BA2876	5.73014197003587	6.59838838471777
BA2357	6.13375733254388	6.53695474326822
BA2546	6.73222274372854	5.70452449404762
BA2742	6.1188645712048	5.61064071002875
BA2316	6.73745939965324	5.7725785925433
BA2421	6.78865136154736	5.83800900717186
BA2087	7.02698040559294	5.72480376191034
BA2910	6.21316864027758	6.00800870736247
BA2148	6.3674275206391	6.33368252669389
BA2063	5.67470446988703	6.97794904447586
BA2329	6.69408720379773	5.78856545869923
BA3178	7.25358458154246	5.51345714323729
BA2072	6.70026474055664	5.70757619671164
BA3029	5.22784345449983	6.00261866586335
BA2733	5.73362651887088	6.0688553647905
BA2995	5.19628685284198	6.95960331595656
BA2069	6.8090279726606	6.00392077224602
BA2100	5.89241706426442	6.11039522609915
BA2681	5.31829221630524	5.64993072157884
BA2248	5.72023465218825	5.92513526908082
BA2832	7.03623900558414	6.18950223686314
BA2308	6.50446999422617	6.17641644366945
BA2413	6.13375733254388	6.21539686316165
BA2701	6.8194770973329	5.57895756058083
BA2634	6.8036454676491	5.89048099649459
BA2677	6.33280116885594	5.97648507555777
BA2937	6.53543485984192	5.86940153677441
BA2600	6.35117266997331	5.60841425670287
BA2019	3.95682310890252	6.15834977750935
BA2412	7.2187812774904	5.60156210630339
BA2334	6.49650890866452	6.11294027816034
BA2050	6.18507158781402	6.10277314052035
BA3230	6.62521439483861	5.95938551876052
BA2953	5.16463165990358	6.33918453468976
BA2481	5.91554817043997	6.10497366667794
BA2731	6.75831323775631	5.40702626397137
BA2294	6.63058753997147	6.30740738637139
BA2418	5.65788997880482	5.82819619911188
BA2816	5.85615861273504	6.34923107690817
BA2656	6.08278210679629	6.26338772089894
BA2814	7.20635659773546	5.40625901568549
BA2631	6.39926285688665	6.02698748997862
BA2023	6.81394894542996	5.64727150122162
BA2375	6.65187762334033	5.97812067314416
BA2485	6.11503718341623	6.4432415747754
BA2455	7.16953610700443	5.55586804682645
BA2025	7.16215175411855	5.79603390583248
BA2636	6.27603504625168	5.80376596025215
BA2325	6.77246010495607	5.62116214065844
BA2169	5.58159000678894	6.58028734101557
BA2156	6.31205444786469	6.28642083726129
BA2511	5.30233735609804	6.6441169206914
BA2939	6.10190214742508	5.77409344818299
BA2168	5.72903451515424	6.0688553647905
BA2505	7.04851156959908	5.99273740349983
BA2860	6.33918453468976	5.01631466171857
BA2707	6.43289690445385	6.18507158781402
BA2871	5.79243605583809	5.04068213537324
BA2655	5.28177179122875	6.19438001519865
BA2227	5.12877017474867	6.06801263248952
BA2125	6.62033484572762	6.18904995277038
BA2523	6.2823542083032	6.02328497818552
BA2603	6.58623483162294	5.92875292821339
BA2808	6.45552187143232	6.24912819394912
BA2282	6.42530173541054	5.83560892628546
BA2482	6.75542557918572	5.69646062028678
BA2812	6.6143322001923	5.8625242189267
BA2822	6.71895435387141	6.36600938491696
BA2594	6.5857158816337	5.79758031043752
BA2747	5.65139228908545	5.99230630864101
BA2561	5.57784205345213	5.87580696816671
BA2567	6.15017409130302	6.66943948787905
BA2906	6.34737367069021	6.03938413348279
BA2956	5.82859548893421	6.16651995068436
BA2474	6.29781353915766	5.99645810395014
BA2737	7.01847365520979	5.72061360951374
BA2110	6.64358377452482	5.60841425670287
BA2992	5.90157614057374	5.94431286144935
BA2220	5.37493254523606	6.19646958807837
BA2772	5.95395062623658	6.08835914671386
BA2935	6.12097278529639	5.83483518369012
BA2260	6.85454256896604	5.55025760092161
BA2676	6.56583781452914	6.1180523945273
BA2948	6.83919348466817	6.09345357181028
BA2524	5.85734049093177	5.75756870973775
BA2811	6.27738452973272	6.20050527440426
BA2540	6.56326897910348	5.75023036618314
BA2928	7.21542521128511	5.54840893277706
BA2302	5.17875449236567	6.56065461359229
BA2595	5.3310234675941	5.70836568128015
BA2792	6.28281877541209	5.77845042719579
BA2651	6.10105446354612	6.32408741401117
BA2619	6.86209164981008	6.30326841219344
BA3013	5.89241706426442	5.88643954120856
BA2405	6.40217435211346	6.4915209071939
BA2735	6.40025463094879	6.25945312566298
BA2856	6.17903573796561	6.23533588980149
BA2377	6.50698545533974	6.01373604526196
BA2499	6.23299520957221	6.07438042977308
BA2463	5.69295647546023	5.75719364511349
BA3023	4.98548688523347	6.13725593051751
BA2095	6.49846429425474	6.3078817611491
BA2901	6.69408720379773	5.83522810280634
BA2275	7.3370513303313	5.83841841477399
BA2387	6.34878143548061	5.75528821055756
BA2962	6.52477924694933	5.62828464133832
BA2195	5.6655125977295	6.03523832777957
BA2688	5.40222355803693	6.83919348466817
BA2787	6.64862107605335	5.24575571846811
BA2420	6.62413100331839	6.19345543409726
BA2756	5.42819410723842	6.27694818574979
BA2122	5.87015044982701	5.6533576160666
BA2053	6.28823715765654	5.98917879350321
BA2080	6.06511011474783	6.24592732813786
BA2081	6.60051001058414	6.02496543297874
BA2354	6.54978276410253	6.08666258593702
BA3273	4.79206101179779	6.01912446509313
BA2893	5.93650668840212	5.97361430412984
BA2044	6.73345379130114	5.8546289142141
BA2489	5.5268548517384	6.37547648198029
BA2309	5.59736566113199	6.28139967131455
BA2720	4.70558310668457	6.57407550686427
BA2908	6.2969414166888	6.27158031478995
BA2054	6.66675437475145	5.64011484889975
BA2872	6.5181383405608	5.78815697396801
BA2526	5.72328663310628	6.24013217204255
BA2041	4.58048481229599	6.47228949068298
BA2464	5.98180577093432	6.26881149847343
BA2902	5.03358349696303	5.96907627794874
BA2541	6.61275930528802	6.01912446509313
BA2143	5.7964028219612	6.04775659278267
BA2094	6.94490055523594	5.56596083132182
BA2769	6.84776495812423	5.86341197424273
BA2843	5.9527582231115	6.6100656847185
BA2592	4.9207439830005	6.40688318423783
BA2497	7.15951987646114	5.81959741153124
BA2718	6.04401665671066	6.20525292176704
BA2575	6.34783039381028	5.47284204510325
BA2096	4.9819516092596	6.21410531502083
BA2593	4.81514527019492	7.15951987646114
BA2791	5.55664538738979	6.19874995357892
BA2620	6.3208153422885	5.46114309064973
BA2629	6.33963983784712	6.7472714933791
BA2870	6.63008743018599	6.14026668002857
BA2423	6.59679870213256	5.86536301251181
BA2682	6.8072812584581	5.96386071356046
BA2276	6.5679039967091	5.9361114629243
BA2348	6.19077861638542	5.62233299062586
BA2709	6.40549948389557	5.67583098043324
BA2789	6.5145040049866	6.12180366530222
BA2694	5.95848988053113	6.60421812247539
BA2538	6.75771576783705	6.74612605168156
BA2583	6.36840696799515	6.66119005251722
BA2415	7.12422017929786	5.50018182112328
BA2722	7.97894297933459	6.0582244402994
BA2806	5.90555861314736	6.02371028385454
BA2221	6.68477667416407	6.06552141810206
BA3025	6.03566200297907	6.07906325231323
BA2514	5.53314032561817	6.60209690951209
BA2520	6.19822146547957	6.54875546973009
BA2441	6.96975356458038	6.36467185423724
BA2153	5.69333061318898	6.21802371577529
BA2479	5.80651617633479	7.27636680044251
BA2281	6.62578562632488	6.52170608095191
BA2657	5.99395843173589	5.89918966262517
BA2932	6.60051001058414	6.1527015081476
BA2123	4.06363054666438	6.73527749858946
BA2844	5.44790183156178	6.36227514110898
BA2660	7.04704814373678	5.89400600049609
BA2836	6.45847746962255	6.25179190765508
BA3027	6.15101372135618	6.30464556196735
BA2714	7.08148396341999	5.69757983119209
BA2139	6.732801148639	5.39929335398575
BA2251	6.03404286985942	6.31251579014812
BA2952	7.78816074108162	5.88406214865442
BA2440	6.29962436721057	6.27158031478995
BA2036	6.68070832768596	6.40025463094879
BA2828	6.57509033573893	5.49725940478877
BA2292	4.49200541523704	6.51154576024005
BA2410	5.50870400018428	6.26033254809805
BA2051	6.39259211057253	5.94836876055586
BA2532	6.25990865941117	6.37031994316104
BA2986	6.36930495814156	6.52020957672534
BA2494	4.96547907948064	6.57247167015578
BA2515	5.78229337378321	6.17598273714894
BA2748	6.4059839800287	6.37975842200095
BA2970	5.67772909120233	6.02937141783307
BA2622	7.14921380328589	6.13597197195766
BA2839	5.95765278561263	6.41651938191685
BA2052	5.83841841477399	7.04775148018528
BA3011	5.76722856076773	6.35627429889414
BA2868	6.38694021270264	6.02819468374248
BA2510	6.75771576783705	5.81726345497192
BA2065	6.65572341906315	6.26517604030033
BA2691	7.05132427456444	5.85381815948029
BA2374	6.08318959151969	6.2877927663973
BA2804	6.3208153422885	6.05361973784087
BA2670	6.34832965907228	5.67924435783264
BA2675	6.06596741795533	5.99436956978052
BA2589	5.50870400018428	6.71837477507922
BA2031	6.7472714933791	5.68872421112857
BA2198	6.65792194443728	5.85182499561048
BA2066	6.95960331595656	5.37928711694374
BA2344	5.77409344818299	5.683055970914
BA2459	5.99520828398439	6.93219471408877
BA2229	5.92274484517742	6.84719227215285
BA2559	5.15922305350231	6.06078122712208
BA2093	6.74962731666034	7.15557221270197
BA2000	6.1368245443414	5.88606180557595
BA2425	5.61586637721502	5.99112678530118
BA2905	6.45599883472476	6.47426873472503
BA2304	6.74039110508618	5.36584838994078
BA2976	6.03812571980279	5.9785222997962
BA2386	5.66700121364047	6.1180523945273
BA2035	6.51004595939563	6.42953951724595
BA2760	6.57095981156775	5.88961440143981
BA2201	6.89968682755392	5.773700485866
BA2355	4.87201227243281	6.6656439229699
BA2113	6.98756290986723	6.18950223686314
BA2155	5.13976221148527	6.82309107200081
BA2955	6.78802478417111	5.96945929693027
BA2502	6.99377561399407	5.70452449404762
BA2322	5.91045865628191	5.61780736228049
BA2376	6.67668520784891	5.46990488253098
BA2020	5.14508451414971	6.30050208589508
BA2226	6.67837784799198	5.65258967329686
BA2200	5.84631034661227	6.00841658197255
BA2121	6.83780188259357	6.05448659537988
BA2944	6.11118909883084	6.23533588980149
BA2033	5.46734103839207	5.98917879350321
BA2867	5.90514668195897	6.53145543602281
BA2089	6.52630500155159	5.42234890079115
BA2224	6.78255354390321	5.99849937933433
BA2046	5.45162820453411	6.50002459426286
BA2972	5.8972652873143	5.96023036518701
BA2978	6.88993208075706	5.69449320412197
BA2829	6.24314863798514	5.75606111415072
BA2851	6.38023120196824	5.96505632745959
BA2587	6.55863333147361	5.70872171926613
BA2461	6.62466206493959	5.92917652580144
BA2695	6.79100301901869	5.81839607751016
BA2623	6.3037231448191	6.02245886806957
BA2024	6.96975356458038	5.52061119799639
BA2426	6.2290430058542	5.68872421112857
BA2271	6.56685915377229	5.73401055203652
BA3004	6.10621461216555	6.33046496181519
BA2579	6.40688318423783	6.50152491798344
BA3010	6.38837422038712	5.82392380814807
BA2662	6.26927993913723	5.59174174629251
BA2674	6.04066918000608	6.01784200578308
BA2280	6.31675170697475	5.9207696282738
BA2512	6.65403117957095	5.45674649791294
BA2658	6.50748244706823	5.77182174756257
BA2394	6.47571845442986	6.07695623288107
BA2950	6.32729837510952	5.79603390583248
BA2981	5.26459476589721	5.84787957757678
BA2934	6.31539551726359	5.95891123308455
BA2539	6.38550593619779	5.57116929470375
BA2249	6.43929618119963	6.04898713449574
BA2034	5.48394657614029	6.1058059803294
BA2109	6.24682640662524	5.58836680284654
BA2242	5.56705100056312	6.07305710536308
BA2277	6.27289277243206	5.89124416348565
BA2727	6.16950493399515	6.29137386576201
