ID Sample	Abundance	TotalKmers	NormalizedExpression	exomeSeq
BA2682	16.03448275862069	8167691700.0	1.9631596474951045	y
BA2714	26.310344827586206	8031213680.0	3.2760110583418327	y
BA2731	11.758620689655173	5277299440.0	2.228151126034109	y
BA2747	76.93103448275862	6486986800.0	11.859286422898013	y
BA2772	219.48275862068965	5068152600.0	43.3062648154457	y
BA2775	438.5172413793104	10002797280.0	43.839461013180745	y
BA2782	63.03448275862069	8864156420.0	7.11116543661136	y
BA2789	75.89655172413794	8577039800.0	8.848804890020206	y
BA2804	33.93103448275862	5709512340.0	5.942895375677324	y
BA2814	19.82758620689655	6421663080.0	3.0876092314230466	y
BA2865	178.75862068965515	6255084360.0	28.578131069307457	n
BA2872	31.96551724137931	7110503820.0	4.495534782144215	y
BA2905	132.82758620689654	6623608740.0	20.053658273132925	y
BA2909	80.55172413793103	6033548360.0	13.35063868418733	y
BA2915	58.41379310344828	5188302560.0	11.258748391776189	y
BA2978	19.24137931034483	8812082160.0	2.18352245938942	y
BA3001	476.41379310344826	7843750180.0	60.73801206955934	y
BA3011	73.27586206896552	7520286760.0	9.743759035721336	y
BA3038	61.37931034482759	11249310940.0	5.456272892820188	y
BA2303	17.103448275862068	8514264360.0	2.0087992987643233	y
BA2590	187.41379310344828	9138029180.0	20.509213684021994	y
BA3079	80.6896551724138	7646813160.0	10.552063125394028	y
BA3084	39.96551724137931	7536665780.0	5.302811403344372	y
BA3118	38.27586206896552	8683805060.0	4.407729308120318	y
BA3135	108.86206896551724	8084012720.0	13.466340632566105	y
BA3137	99.06896551724138	8449282240.0	11.725133887495913	y
BA3157	164.58620689655172	8793963080.0	18.7158173623526	y
BA3162	20.620689655172413	8331035440.0	2.4751652785157776	y
BA3171	176.3448275862069	9406259940.0	18.74760305488718	y
BA3176	80.0	10280940722.0	7.7813890930048295	y
BA3189	96.10344827586206	11835305808.0	8.120064646821508	y
BA3197	643.8965517241379	7501581640.0	85.83477226865692	y
BA3199	158.3793103448276	12334715122.0	12.840127135351896	y
BA3200	949.9655172413792	8634397800.0	110.02105059850024	y
BA3213	70.37931034482759	12131281662.0	5.801473604003737	y
BA3217	276.58620689655174	9361310840.0	29.545670646329246	y
BA3226	307.7241379310345	7759275160.0	39.65887683908795	y
BA3251	79.10344827586206	8840810720.0	8.947533295437646	y
BA3277	18.24137931034483	8901401880.0	2.0492703909178887	y
BA3297	308.1034482758621	11505274378.0	26.77932208770329	y
BA3306	59.55172413793103	9280433960.0	6.41691157920066	y
BA3324	128.86206896551724	11301158400.0	11.402554004155649	y
BA3329	842.9655172413793	13249999268.0	63.62004255179249	y
BA3335	157.55172413793105	11066648164.0	14.236625381337195	y
BA3376	28.448275862068964	9067227400.0	3.1374834452777667	y
BA3385	114.75862068965516	8005593960.0	14.334804046151644	y
BA3418	208.44827586206893	9253960800.0	22.525303528632726	y
BA3435	213.27586206896552	9495128160.0	22.461609624968506	y
