ID Sample	Abundance	TotalKmers	NormalizedExpression	exomeSeq
BA3037	350.2413793103448	6717388860.0	52.13951233282405	n
BA3243	1422.344827586207	8929424000.0	159.28741065338673	n
BA3422	1613.8620689655172	12464789536.0	129.47367176192304	y
BA3436	1618.1379310344828	8403008320.0	192.56650349651002	y
BA2156	16.03448275862069	7132607020.0	2.2480535817632488	y
BA2914	11.758620689655173	8485386280.0	1.3857496054564027	y
BA3312	479.44827586206895	11349199196.0	42.24511946455653	y
BA2972	10.0	10192724500.0	0.9810919543641153	y
BA3413	372.41379310344826	8908069800.0	41.80633980926466	y
BA2972	43.82758620689656	10192724500.0	4.299889220678589	y
BA2296	20.310344827586206	8933638000.0	2.2734685273330086	y
BA2728	461.1034482758621	8251344640.0	55.88221900713895	y
BA2748	395.6551724137931	7990536120.0	49.51547261309334	y
BA2844	42.6551724137931	8292091500.0	5.144078838709523	y
BA3416	24.58620689655172	8157286620.0	3.014017778445024	y
BA2156	370.1034482758621	7132607020.0	51.88894428616118	y
BA3416	473.0	8157286620.0	57.984967555302106	y
BA3117	367.5172413793104	12552316206.0	29.27883868983777	y
BA2020	288.0689655172414	10986815980.0	26.21951310021317	y
BA2022	88.0	8693195840.0	10.12285948915192	y
BA2036	75.3103448275862	7970342380.0	9.44882179924449	y
BA2037	366.86206896551727	9245605880.0	39.679613616140564	y
BA2041	94.3793103448276	6907664540.0	13.662984037268782	y
BA2053	106.24137931034484	7030049320.0	15.112465713162996	y
BA2054	13.89655172413793	8531157040.0	1.628917585150669	y
BA2068	212.06896551724137	7467501300.0	28.39891912938018	y
BA2097	185.1379310344828	14589031940.0	12.690213565635856	y
BA2109	21.55172413793104	8011330880.0	2.6901552888963987	y
BA2123	50.310344827586206	7958002640.0	6.321981419647557	y
BA2132	126.86206896551724	9962254540.0	12.734272995750743	y
BA2135	31.86206896551724	8731694580.0	3.6490132211561206	y
BA2162	632.9310344827586	7355165580.0	86.05258815706479	y
BA2217	233.1379310344828	7588826980.0	30.72120785582633	y
BA2220	229.20689655172413	5350323580.0	42.839819522041715	y
BA2229	53.75862068965517	9053482760.0	5.937893970171449	y
BA2242	288.86206896551727	11212041120.0	25.763557756691252	y
BA2271	26.82758620689655	9613853060.0	2.7905134434098113	y
BA2281	114.86206896551724	6443114300.0	17.8271040396594	n
BA2296	98.89655172413794	8933638000.0	11.07013198029044	y
BA2302	68.24137931034483	7196730520.0	9.482275197146722	y
BA2311	10.689655172413794	7871316880.0	1.3580516875867146	y
BA2322	135.31034482758622	8510532800.0	15.899162603261011	y
BA2402	196.6551724137931	8054348400.0	24.416025064646213	y
BA2405	95.75862068965516	4867078720.0	19.674763076290485	y
BA2441	130.31034482758622	9789721620.0	13.310934660426659	y
BA2442	231.55172413793105	8496487720.0	27.25264035783613	y
BA2472	29.93103448275862	7895416060.0	3.7909382172265937	y
BA2488	128.55172413793105	6229102740.0	20.63727787188995	y
BA2500	112.41379310344828	10473388800.0	10.733277953306603	y
BA2505	142.79310344827587	6960386720.0	20.51511060987081	n
BA2507	56.06896551724138	8441473460.0	6.64208278127328	y
BA2511	34.310344827586206	5476180220.0	6.2653790505795675	y
BA2541	60.0	5575294340.0	10.761763656051206	y
BA2545	28.517241379310345	9607272500.0	2.9682973371797607	y
BA2570	52.41379310344828	7863224460.0	6.665687005385101	y
BA2597	274.7241379310345	6261958640.0	43.871918312611925	y
BA2619	221.5862068965517	4643956660.0	47.71496013413521	y
BA2636	95.06896551724138	7175056420.0	13.249925847585374	y
BA2639	45.44827586206897	7746475240.0	5.866961999360753	y
BA2646	86.13793103448276	9795603860.0	8.793529451126942	y
