	CBL	JAK2
BA2392	5.58345571866186	5.49361387353109
BA2611	5.65372634921578	5.38803577864658
BA2506	5.64803687161425	5.45268870343212
BA2430	5.73284131564851	5.33137556428865
BA2448	5.71062850605643	5.40295228642976
BA2730	5.73699919077019	5.32810180055979
BA2845	5.51537822254039	5.53865932247819
BA2326	5.53387100376444	5.57154615906059
BA2341	5.53462725078282	5.50315192004078
BA2612	5.54319628882121	5.55285643961997
BA2973	5.52613507813266	5.56556160430555
BA2390	5.53130217583918	5.55851041668359
BA3218	5.57484353091513	5.53130217583918
BA3105	5.53022022640692	5.4227029621497
BA3402	5.63166253168885	5.41320005218039
BA3276	5.62154857269561	5.38841032189554
BA2409	6.92693139302054	6.77486042127373
BA3037	6.48412876670839	5.10315757075363
BA2496	6.95344802847081	6.85394237356265
BA2172	6.03067265261494	5.3789226513503
BA2865	6.00760401810435	5.63859875243939
BA2923	7.33890799019329	6.61867340597626
BA2751	6.31675170697475	6.87847286019697
BA2480	6.10148550070927	5.85615861273504
BA2286	6.45505097585003	5.89203625853857
BA2922	6.57560815980456	5.28398914288075
BA2452	5.96465349079709	4.76109238764645
BA3379	6.50804753914762	5.99561264597437
BA2887	6.97450183109637	5.77451233227095
BA2712	6.92833111291049	6.63861770845571
BA2068	5.45489161608543	5.80651617633479
BA2236	6.43095537419459	6.413222743052
BA2104	7.23215951369131	7.62437772428186
BA3124	6.21887740590051	5.53130217583918
BA3395	7.04851156959908	6.78550767222755
BA2921	5.8258026321264	6.13119942059496
BA2449	5.72290783455204	5.1308809152012
BA2003	5.58682786591739	5.81122081776697
BA2360	6.29962436721057	6.19646958807837
BA2802	6.44227342376241	6.27289277243206
BA2235	6.7903869995291	6.50297201387594
BA2858	5.64461310314999	6.30978800081562
BA3038	6.89644993218602	7.61949698331246
BA3006	5.82392380814807	6.23620830247888
BA2245	6.05025616147561	6.33826437905032
BA2667	6.71895435387141	7.12738803665014
BA2239	6.93558317816731	7.66988409314176
BA2782	6.8911840063889	7.34547705030654
BA2649	6.16992972400798	5.21007881246748
BA2488	6.48013079701668	6.41031606152443
BA2861	6.64966424428309	6.39121229400113
BA2909	7.4827611671997	6.7928687930301
BA2429	6.24227196022735	6.23033780733241
BA2653	5.00447988229452	5.9361114629243
BA2134	6.59999610931592	7.35957852119331
BA2947	6.0228669992747	5.76994542170869
BA2032	6.08923274175156	4.86639351070548
BA2162	6.84335327492742	6.83661488155882
BA2564	6.64518894120786	7.02768073602554
BA2597	3.80075983876638	6.04401665671066
BA3243	6.99175546936536	7.08297551023298
BA2106	5.34794466566604	5.75339715282444
BA2427	5.87965665517008	6.1281715906941
BA2841	4.58048481229599	5.4943411471575
BA2446	7.14921380328589	6.57407550686427
BA2645	5.5977589538239	6.01784200578308
BA2525	5.28648765336968	4.84004894658634
BA2876	5.73014197003587	5.68494283424888
BA2357	6.13375733254388	6.01704720263967
BA2546	6.73222274372854	6.43542748974206
BA2742	6.1188645712048	6.59148541753236
BA2316	6.73745939965324	6.52270916866473
BA2421	6.78865136154736	6.39453514704598
BA2087	7.02698040559294	6.63486341869675
BA2910	6.21316864027758	5.74782936628199
BA2148	6.3674275206391	5.13585150348145
BA2063	5.67470446988703	4.89696755761679
BA2329	6.69408720379773	6.65295694076347
BA3178	7.25358458154246	6.732801148639
BA2072	6.70026474055664	7.19225834495813
BA3029	5.22784345449983	5.07445877032658
BA2733	5.73362651887088	6.66177361256097
BA2995	5.19628685284198	6.83029032072815
BA2069	6.8090279726606	6.76957967246072
BA2100	5.89241706426442	5.66204443579784
BA2681	5.31829221630524	6.27064006981264
BA2248	5.72023465218825	5.21778173093654
BA2832	7.03623900558414	6.1188645712048
BA2308	6.50446999422617	5.84234806468241
BA2413	6.13375733254388	5.70836568128015
BA2701	6.8194770973329	6.81329812446179
BA2634	6.8036454676491	7.09119041085949
BA2677	6.33280116885594	6.46380824438958
BA2937	6.53543485984192	6.60315866621686
BA2600	6.35117266997331	6.44128835620157
BA2019	3.95682310890252	6.81569990825769
BA2412	7.2187812774904	7.23470845982278
BA2334	6.49650890866452	6.41176296562855
BA2050	6.18507158781402	5.67279352334088
BA3230	6.62521439483861	6.45599883472476
BA2953	5.16463165990358	6.09980072152953
BA2481	5.91554817043997	6.43793151264448
BA2731	6.75831323775631	6.80425051325387
BA2294	6.63058753997147	6.26561634633026
BA2418	5.65788997880482	5.60693430911561
BA2816	5.85615861273504	6.84098754890722
BA2656	6.08278210679629	5.45378533976882
BA2814	7.20635659773546	6.51402356062823
BA2631	6.39926285688665	6.45945806358587
BA2023	6.81394894542996	7.27555120012057
BA2375	6.65187762334033	7.5032888272442
BA2485	6.11503718341623	5.88045550111629
BA2455	7.16953610700443	6.77486042127373
BA2025	7.16215175411855	6.47813803224063
BA2636	6.27603504625168	6.38888273500531
BA2325	6.77246010495607	6.63537899034447
BA2169	5.58159000678894	5.67695923349879
BA2156	6.31205444786469	5.69217660010952
BA2511	5.30233735609804	6.6963494054774
BA2939	6.10190214742508	6.03732004077161
BA2168	5.72903451515424	5.08188769059011
BA2505	7.04851156959908	6.97318609681243
BA2860	6.33918453468976	6.35352478320916
BA2707	6.43289690445385	6.50698545533974
BA2871	5.79243605583809	6.50103892537921
BA2655	5.28177179122875	5.63974092739285
BA2227	5.12877017474867	5.4168131671987
BA2125	6.62033484572762	6.48317228455133
BA2523	6.2823542083032	5.76686556527581
BA2603	6.58623483162294	6.41510646424492
BA2808	6.45552187143232	5.90396043152694
BA2282	6.42530173541054	6.91733301258099
BA2482	6.75542557918572	6.87718695252014
BA2812	6.6143322001923	5.97648507555777
BA2822	6.71895435387141	5.15597615770657
BA2594	6.5857158816337	6.59148541753236
BA2747	5.65139228908545	5.96305194548373
BA2561	5.57784205345213	6.18119276601149
BA2567	6.15017409130302	6.12432253652151
BA2906	6.34737367069021	6.56840033593867
BA2956	5.82859548893421	6.33555481831586
BA2474	6.29781353915766	6.35117266997331
BA2737	7.01847365520979	7.32309525533159
BA2110	6.64358377452482	7.58290428004672
BA2992	5.90157614057374	6.84776495812423
BA2220	5.37493254523606	5.64166399423883
BA2772	5.95395062623658	6.12385981288499
BA2935	6.12097278529639	6.90423057855148
BA2260	6.85454256896604	7.13121480456278
BA2676	6.56583781452914	6.02203823110219
BA2948	6.83919348466817	6.70639038824238
BA2524	5.85734049093177	6.14846279197281
BA2811	6.27738452973272	6.01912446509313
BA2540	6.56326897910348	6.43146976668751
BA2928	7.21542521128511	6.55763968463611
BA2302	5.17875449236567	5.77571318535643
BA2595	5.3310234675941	5.85542200416075
BA2792	6.28281877541209	6.19732726364109
BA2651	6.10105446354612	5.6655125977295
BA2619	6.86209164981008	6.34099882607851
BA3013	5.89241706426442	5.72866766844001
BA2405	6.40217435211346	5.87733009897837
BA2735	6.40025463094879	5.32629384115804
BA2856	6.17903573796561	5.75062167266173
BA2377	6.50698545533974	6.52938873500607
BA2499	6.23299520957221	6.15698094792798
BA2463	5.69295647546023	6.95017040445475
BA3023	4.98548688523347	5.26887133584046
BA2095	6.49846429425474	5.38803577864658
BA2901	6.69408720379773	6.20050527440426
BA2275	7.3370513303313	6.57560815980456
BA2387	6.34878143548061	6.4243136710677
BA2962	6.52477924694933	5.68039540990515
BA2195	5.6655125977295	6.38023120196824
BA2688	5.40222355803693	6.01664395833904
BA2787	6.64862107605335	7.63278489020753
BA2420	6.62413100331839	6.73527749858946
BA2756	5.42819410723842	5.20013137153335
BA2122	5.87015044982701	5.88327701539732
BA2053	6.28823715765654	5.5722787954592
BA2080	6.06511011474783	5.35965803846691
BA2081	6.60051001058414	6.6568137663596
BA2354	6.54978276410253	6.27784077147234
BA3273	4.79206101179779	5.09286972713313
BA2893	5.93650668840212	5.37965871348939
BA2044	6.73345379130114	6.82550917357801
BA2489	5.5268548517384	5.84150393894181
BA2309	5.59736566113199	6.96912043899967
BA2720	4.70558310668457	6.78739149461742
BA2908	6.2969414166888	5.76994542170869
BA2054	6.66675437475145	7.01917646703683
BA2872	6.5181383405608	6.80425051325387
BA2526	5.72328663310628	6.3282334089858
BA2041	4.58048481229599	5.25419658542836
BA2464	5.98180577093432	5.36035690673449
BA2902	5.03358349696303	5.75832214709053
BA2541	6.61275930528802	6.21584775215817
BA2143	5.7964028219612	6.34278372708773
BA2094	6.94490055523594	6.21976021821158
BA2769	6.84776495812423	6.75309739437635
BA2843	5.9527582231115	5.89603275873882
BA2592	4.9207439830005	5.60348204059795
BA2497	7.15951987646114	6.22284672145603
BA2718	6.04401665671066	6.26203648745747
BA2575	6.34783039381028	7.37577438257785
BA2096	4.9819516092596	5.67695923349879
BA2593	4.81514527019492	6.19690129645258
BA2791	5.55664538738979	5.75793531082724
BA2620	6.3208153422885	6.92625028034322
BA2629	6.33963983784712	6.02456199069166
BA2870	6.63008743018599	5.45598777768521
BA2423	6.59679870213256	7.36910502551481
BA2682	6.8072812584581	6.23969161748368
