	ABL1	WRN
BA2000	0.0146845710165825	3.64367524260251
BA2003	0.0095313626532083	2.337186503189597
BA2004	0.0112418889689978	2.575631069455499
BA2006	0.0060003604902667	1.5108405244702934
BA2011	0.0100919250180245	1.3812894296756382
BA2019	0.0196629416005767	8.453174755186346
BA2020	0.0263392213410237	11.689794920486298
BA2022	0.0168979812545061	3.8962466471329193
BA2023	0.0098017303532804	0.6312689705612322
BA2024	0.0110868781542898	1.9587807695389303
BA2025	0.0185724585436193	2.2055004520649075
BA2031	0.0146377072819033	2.8385358083121
BA2032	0.0132462148521989	2.0444775593982403
BA2033	0.0081723143475126	0.9373045598977386
BA2034	0.0197494592645998	5.098688418825834
BA2035	0.0183687815428983	3.385398277857364
BA2036	0.0147530641672674	3.233692729640722
BA2037	0.0234264599855803	3.8687840876490847
BA2041	0.01598774333093	5.633698601447254
BA2044	0.0127793799567411	2.306583836407864
BA2046	0.0203460706560922	3.4014862602609908
BA2047	0.0213968997837058	4.3620544474952325
BA2050	0.0107462148521989	2.926864048504481
BA2051	0.0223882480173035	1.115321695269899
BA2052	0.013585075702956	2.858853181761155
BA2053	0.0078983417447728	0.3867669461804068
BA2054	0.0082660418168709	1.8761180510795208
BA2055	0.0044250180245133	1.74386443202593
BA2063	0.033361571737563	3.60460749494978
BA2065	0.0192790194664744	1.5290839298718693
BA2066	0.0210976928622927	1.5863760113876535
BA2068	0.0152397260273972	2.129060070230592
BA2069	0.0120782263878875	1.851776498907011
BA2072	0.0101243691420331	1.5793288631530549
BA2079	0.0053911319394376	0.4288537864180032
BA2080	0.0201568132660418	2.7348357920893216
BA2081	0.012382840663302	1.828758893141924
BA2082	0.0226405912040374	2.754956505451325
BA2087	0.0131452775775054	0.8989980529947366
BA2088	0.016995313626532	2.3155011174569724
BA2089	0.0200973323720259	2.77156862824968
BA2093	0.0109012256669069	4.854280104169628
BA2094	0.0125342465753424	2.588387558133183
BA2095	0.0175198269646719	2.5633071558228755
BA2096	0.0067429704397981	4.625285631637191
BA2097	0.0227577505407354	2.407767837380812
BA2098	0.012664023071377	1.0381893538347469
BA2100	0.0066240086517664	3.182872318313152
BA2101	0.0096467195385724	1.844175921280326
BA2104	0.0069358327325162	0.7874060395940521
BA2106	0.0121449170872386	2.8847819008326625
BA2109	0.0096160778658976	1.0123737307138452
BA2110	0.005677721701514	0.959790302306544
BA2113	0.0232191780821917	2.997557119369352
BA2116	0.0132804614275414	1.332687177972739
BA2121	0.0142231434751261	0.8122123056480296
BA2122	0.0042213410237923	0.8994099225851028
BA2123	0.0203028118240807	4.309201221869251
BA2124	0.0179434030281182	3.5725713285949245
BA2125	0.0150955299206921	3.772958418768134
BA2132	0.0178821196827685	3.1428313866593154
BA2133	0.0063211968276856	1.3678579094399683
BA2134	0.0074351117519826	0.7947641199885072
BA2135	0.0098558038932948	1.1822307020374343
BA2139	0.0064852198990627	0.1263334384516523
BA2143	0.0127180966113914	2.433198721438722
BA2148	0.0149242970439798	0.7235882860025965
BA2153	0.0082390050468637	1.393335976502633
BA2155	0.012382840663302	2.573810779280413
BA2156	0.0208399423215573	3.1557336217938747
BA2162	0.0132804614275414	2.256156057510914
BA2163	0.0161968276856524	1.033926029167446
BA2168	0.0087941600576784	2.01018404468912
BA2169	0.0112076423936553	3.335296741543995
BA2171	0.0253118240807498	4.56511314293937
BA2172	0.0166528478731074	1.034211878859194
BA2174	0.0147224224945926	2.737548419530272
BA2175	0.019388968997837	1.9209445426516285
BA2184	0.046326604181687	4.447399495112488
BA2195	0.0100342465753424	1.37768457764588
BA2198	0.0141474405191059	2.603436263680297
BA2200	0.0183453496755587	4.617422981462322
BA2201	0.0077883922134102	0.8952305796500275
BA2209	0.0153947368421052	3.2374032287440184
BA2211	0.0313320115356885	2.489572308700959
BA2212	0.0161824080749819	3.5298171124968745
BA2217	0.0262707281903388	1.7819554923106768
BA2218	0.0069124008651766	1.646091158360637
BA2220	0.0089419610670511	3.2133523007142326
BA2221	0.0084661139149242	1.604913333751908
BA2224	0.0088914924297043	1.3143389603587543
BA2226	0.0220944484498918	2.224797562417594
BA2227	0.0209408795962509	3.5595010716881896
BA2228	0.0196377072819033	3.956523655989203
BA2229	0.0153713049747656	5.252408669198856
BA2233	0.0236860129776496	5.201084801917042
BA2234	0.0152505407354001	1.6444689845936484
BA2235	0.0130641672674837	1.7615531104310982
BA2236	0.018817591925018	3.856707544941097
BA2239	0.0091726748377793	1.2634093254546512
BA2240	0.0207876712328767	2.1984128966470484
BA2242	0.0155587599134823	5.290089161959585
BA2244	0.0166348233597692	3.420622023495924
BA2245	0.0197404470079307	3.4085908162554364
BA2248	0.00905010814708	1.928912501085424
BA2249	0.012557678442682	2.249412033409873
BA2251	0.0230894015861571	3.0688501353507367
BA2256	0.0136391492429704	3.986478420121614
BA2260	0.0076297764960346	0.7446332963394505
BA2261	0.0063482335976928	0.4255254809817714
BA2269	0.006685291997116	0.2390468394228528
BA2271	0.0136319394376351	3.4222434935875308
BA2272	0.01	3.58031100234493
BA2273	0.0184607065609228	2.7147305803220827
BA2275	0.0184697188175919	3.051549993006704
BA2276	0.0092519826964671	1.8826609259420917
BA2277	0.0193421052631578	5.350184392366428
BA2280	0.0273449891852919	5.5781075906451605
BA2281	0.0179271809661139	2.216494605874734
BA2282	0.0063031723143475	1.099167221395688
BA2286	0.0208507570295602	4.45896433748122
BA2288	0.0124134823359769	1.34732574184983
BA2292	0.0175486661860129	3.869560543781668
BA2294	0.0140573179524152	3.640375465861127
BA2296	0.0239365537130497	1.58682495743253
BA2300	0.0072584715212689	2.1635469555137536
BA2301	0.0100739005046863	1.6335540095473435
BA2302	0.0157948810382119	3.5578395272175576
BA2304	0.0063734679163662	0.9128102557142656
BA2306	0.0136121124729632	1.109744177785795
BA2308	0.0117321557317952	2.336933677130363
BA2309	0.0130984138428262	6.6687548639223815
BA2311	0.0107876712328767	0.7382868372431856
BA2312	0.009127613554434	2.825309013031125
BA2316	0.0084282624369142	1.4556143440359677
BA2322	0.0178568853640951	0.5778669394911797
BA2325	0.0081506849315068	0.3704305266385226
BA2329	0.0087815428983417	1.2914385790858192
BA2334	0.0099639509733237	3.0420217053758387
BA2339	0.0048882480173035	0.1845446649019996
BA2344	0.0139077144917087	1.4976791837315269
BA2347	0.0055064888248017	0.2016489588486749
BA2348	0.0043727469358327	0.2803829821156838
BA2350	0.0045818312905551	0.1302840416364722
BA2354	0.0157534246575342	2.2292555693989
BA2355	0.0216312184571016	6.769646234677594
BA2357	0.0130569574621485	2.5397987011292624
BA2360	0.0196322999279019	2.587925202046506
BA2361	0.0122873107426099	2.7648452187439627
BA2363	0.0046250901225666	0.8755783748626754
BA2369	0.0189221341023792	2.4495999104332857
BA2374	0.0208489545782263	2.947232216938188
BA2375	0.0116131939437635	2.728819686556452
BA2376	0.0086265320836337	0.2710850200198065
BA2377	0.0481254506128334	0.3834748698842223
BA2379	0.0132227829848594	1.213049772227477
BA2385	0.0062310742609949	1.2952427711997638
BA2386	0.0189491708723864	5.191029550199952
BA2387	0.0169881038211968	3.733788646754631
BA2394	0.0097242249459264	2.015666210936633
BA2399	0.0148125450612833	2.3991575955365008
BA2400	0.0313842826243691	5.482620111643571
BA2402	0.0125630857966834	1.9498076585790372
BA2405	0.0074134823359769	1.2771015503113743
BA2406	0.0122512617159336	0.9403810871550948
BA2409	0.0120385724585436	0.963784434643446
BA2410	0.0260958904109589	1.1699182008640934
BA2412	0.0044754866618601	0.607006596319887
BA2413	0.0136788031723143	1.860476878803753
BA2414	0.0243258832011535	3.5227981321328383
BA2415	0.0047260273972602	1.4716484290440195
BA2417	0.0171773612112472	0.6863766555157755
