	SRSF2	IDH2
BA2392	9.83892848550566	9.29647098090766
BA2611	9.86270964606403	9.30906602396076
BA2506	9.83892848550566	9.29647098090766
BA2430	9.85672905613112	9.27569316532541
BA2448	9.85672905613112	9.29229417829056
BA2730	9.83304132704525	9.23491479941431
BA2845	9.8991027074875	9.2109276242084
BA2326	9.87474271994728	9.23089240757758
BA2341	9.93012293296997	9.25517667754352
BA2612	9.90525526471174	9.2109276242084
BA2973	9.93012293296997	9.22287720595147
BA2390	9.92386690563917	9.25517667754352
BA3218	9.89297540900361	9.21490111990201
BA3105	9.95541459791256	9.2429894144776
BA3402	10.0007468429699	9.22687989289351
BA3276	9.98114720830101	9.28397254525379
BA2409	8.41135949860071	6.82851443258156
BA3037	8.23061160269424	8.03722226484621
BA2496	8.84307877151568	8.28311530497155
BA2172	8.71271331389775	9.30485684547982
BA2865	9.22287720595147	7.78959302181462
BA2923	7.64511152399424	7.82688083190866
BA2751	9.50293364970638	8.18796359837961
BA2480	8.73025810259064	8.39960495989321
BA2286	8.92083445647999	8.48158973981744
BA2922	9.3217592552912	8.46430959418229
BA2452	9.82133532639013	9.09230819306279
BA3379	9.46372381175102	8.50160207030541
BA2887	9.13342062895717	8.79635277497105
BA2712	9.39118419839355	8.63894476137773
BA2068	10.6289390647318	8.32228693534529
BA2236	9.22287720595147	8.19211577067672
BA2104	7.64511152399424	7.5725144548201
BA3124	9.38234175781362	7.54733361982974
BA3395	9.09970659968869	8.40664550150058
BA2921	9.54945587390153	8.8525926437112
BA2449	8.60608533344799	9.26335235036244
BA2003	9.75293118746352	7.84883391972247
BA2360	9.42251934116338	9.07761127342397
BA2802	9.53969913371194	8.34007975821985
BA2235	8.93082572022568	7.79956921933088
BA2858	9.30906602396076	8.67537853618004
BA3038	8.60879594020241	7.93502206043898
BA3006	9.64008823387741	8.15090969693391
BA2245	9.49651930986164	8.58992566833602
BA2667	8.95438322249582	8.40664550150058
BA2239	8.66407371953991	7.47952389617521
BA2782	8.89122942781574	7.29077391107671
BA2649	9.61438474364243	8.78108213178214
BA2488	8.90103696609653	7.92699657991781
BA2861	9.17948259034573	8.59798330037588
BA2909	8.79205235357759	7.35673455123978
BA2429	8.99222936727265	7.43426786956565
BA2653	9.26099325755712	8.88978486658959
BA2134	8.46430959418229	7.41497012248878
BA2947	9.415200229547	8.22627943224245
BA2032	8.73910632748104	7.75510135803604
BA2162	9.18338030789918	7.46474071975909
BA2564	8.9076089453561	8.24301678047805
BA2597	9.50768698561149	7.85205086731265
BA3243	9.04501990946176	7.96905854853838
BA2106	9.17171491689544	8.44481942009045
BA2427	9.16398396797258	7.99413751864958
BA2841	9.67679810675791	9.26745559419095
BA2446	9.47302564786274	8.52190108216259
BA2645	9.12586826213153	9.14481502348153
BA2525	9.18338030789918	6.8791208631907
BA2876	9.19120372633416	7.46260985261637
BA2357	9.26745559419095	8.73910632748104
BA2546	8.86536741111737	8.06706072393759
BA2742	8.66689198102969	7.80094268898657
BA2316	8.95099667095566	8.04414638908848
BA2421	8.268195867683	8.03197078783115
BA2087	8.81980741439546	8.4934060566155
BA2910	8.89776108628452	8.50664971851981
BA2148	8.72438748273975	7.08821062221174
BA2063	9.26745559419095	6.611693175134
BA2329	8.8717935877338	8.0095286113404
BA3178	8.87501645157825	8.03550248502968
BA2072	9.13342062895717	8.53215993801742
BA3029	9.45447558148811	7.69921272259806
BA2733	9.22687989289351	8.22650342209935
BA2995	9.52517542791568	8.41846114844672
BA2069	9.47769688223901	8.65565049707964
BA2100	8.672544374331	7.63755645913212
BA2681	9.19512951707567	8.51679913189176
BA2248	9.36916799017741	8.30473182450184
BA2832	9.60422004710875	8.3695120975799
BA2308	9.75851596885508	8.26607857536642
BA2413	9.62975620855742	8.32449794408229
BA2701	9.05581138653334	7.60395254604328
BA2634	9.3561004357089	7.81249915728454
BA2677	9.48238177689826	8.27670009201677
BA2937	9.27156918109996	8.23061160269424
BA2600	9.04860912314158	8.16254296358662
BA2019	9.52036350053221	8.7332018546727
BA2412	8.75995195431454	7.24218373520164
BA2334	9.56420444046175	8.12230223339654
BA2050	9.94905102299885	8.72731998420373
BA3230	9.08494318011795	8.51934782702254
