	CBL	STAG2
BA2000	9.042644126724811	0.045373231419743
BA2003	5.172451118714257	0.0190274841437632
BA2004	26.397456558513632	0.0769230769230769
BA2006	0.2775597215944521	0.0443974630021141
BA2011	10.39739286954303	0.040169133192389
BA2019	2.9332356620568487	0.0617986664498292
BA2020	16.031971744555168	0.0865181330297609
BA2022	10.982335116201115	0.0530167506911693
BA2023	13.595149393206244	0.0211416490486257
BA2024	50.44893489241544	0.0845665961945031
BA2025	20.959384514847557	0.0416327858188323
BA2031	12.937146078398	0.0066677508537973
BA2032	7.8221525310228035	0.0380549682875264
BA2033	9.017506283315631	0.066352252398764
BA2034	14.57752442768244	0.0110587087331273
BA2035	11.145404232541518	0.0483005366726296
BA2036	9.584737243464286	0.0395186209139697
BA2037	13.16194562731469	0.0796877541063587
BA2041	2.305962484274798	0.045373231419743
BA2044	14.096762304979828	0.0426085542364612
BA2046	9.624383645759767	0.0606602699625955
BA2047	12.796346075945406	0.0476500243942104
BA2050	7.079443114097531	0.0213042771182306
BA2051	10.511669162830255	0.0489510489510489
BA2052	5.107642536585612	0.0442348349325093
BA2053	7.222321545137492	0.0393559928443649
BA2054	12.01114379043066	0.0422832980972515
BA2055	0.4425617081459523	0.0203285087006017
BA2063	8.313044935404431	0.0499268173686778
BA2065	10.41259137029753	0.0434216945844852
BA2066	57.12784580418294	0.0788746137583346
BA2068	4.4915824176669705	0.0367539437306879
BA2069	12.825323808366926	0.0377297121483168
BA2072	13.935004160509502	0.0289477963896568
BA2079	27.303743679678167	0.0591966173361522
BA2080	6.229220735606777	0.0250447227191413
BA2081	11.492191287247948	0.028785168320052
BA2082	6.753891254870901	0.0456984875589526
BA2087	14.601526983731487	0.0258578630671653
BA2088	4.571627996343174	0.0616360383802244
BA2089	49.12873542436498	0.0291104244592616
BA2093	12.572726267444608	0.0352902911042445
BA2094	17.223595244356925	0.0351276630346397
BA2095	10.848311736218765	0.0396812489835745
BA2096	2.236285493649243	0.024394210440722
BA2097	15.477626241643684	0.0661896243291592
BA2098	8.127967125444737	0.0201658806309969
BA2100	6.2617054658574105	0.0308993332249146
BA2101	11.171287645063163	0.0335013823385916
BA2104	15.91701751949816	0.0203285087006017
BA2106	5.606799514979807	0.0279720279720279
BA2109	9.560472490372206	0.0491136770206537
BA2110	9.469838089526323	0.0291104244592616
BA2113	51.876008412786405	0.0398438770531793
BA2116	17.851135269293863	0.0713937225565132
BA2121	36.703474433044384	0.0546430313872174
BA2122	5.099888076141857	0.0398438770531793
BA2123	1.6290154359927176	0.0494389331598633
BA2124	8.591976551839926	0.0396812489835745
BA2125	11.843062855263057	0.0546430313872174
BA2132	12.13857476454282	0.0445600910717189
BA2133	8.10824388184725	0.0455358594893478
BA2134	10.322625018296296	0.0255326069279557
BA2135	10.12687274165399	0.0380549682875264
BA2139	13.92488578888143	0.031387217433729
BA2143	7.0025989574377885	0.0361034314522686
BA2148	7.2649826557373585	0.0273215156936087
BA2153	5.859573208439487	0.0632623190762725
BA2155	2.0953240513147824	0.0278093999024231
BA2156	9.262239071661751	0.0526914945519596
BA2162	18.13269371853933	0.0489510489510489
BA2163	14.329210049306177	0.0496015612294682
BA2168	5.035563911257235	0.0139860139860139
BA2169	4.404739883363696	0.033176126199382
BA2171	12.808219940150677	0.057570336640104
BA2172	8.270086228035286	0.0336640104081964
BA2174	16.522066588998133	0.0616360383802244
BA2175	6.5571459031259325	0.0754594242966336
BA2184	21.75453105008697	0.0910717189786957
BA2195	4.847973456487028	0.0369165718002927
BA2198	12.830357523429388	0.0556187998048463
BA2200	21.739746461925463	0.0725321190437469
BA2201	11.551350422887088	0.0304114490161001
BA2209	18.762925296853616	0.0559440559440559
BA2211	9.188724044788971	0.0442348349325093
BA2212	7.092477897553184	0.019190112213368
BA2217	19.063932079304085	0.0466742559765815
BA2218	4.552843749662363	0.0292730525288664
BA2220	4.609687172399805	0.0416327858188323
BA2221	10.09014872547281	0.0297609367376809
BA2224	16.84275651668578	0.0406570174012034
BA2226	54.83713788505628	0.0993657505285412
BA2227	15.90399328444532	0.0354529191738494
BA2228	10.976485565302552	0.0852171084729224
BA2229	11.821036629915527	0.0650512278419255
BA2233	10.665156578641655	0.0252073507887461
BA2234	15.341275288820148	0.0572450805008944
BA2235	14.803834461607815	0.0476500243942104
BA2236	11.710355137900692	0.0422832980972515
BA2239	11.735253151595831	0.033176126199382
BA2240	19.32417657351549	0.0757846804358432
BA2242	12.892070349862916	0.0502520735078874
BA2244	28.47635815847368	0.0578955927793137
BA2245	9.673851668340887	0.0580582208489185
BA2248	5.721270967997303	0.0187022280045535
BA2249	24.994116407584105	0.063750203285087
BA2251	7.418342926164668	0.0440722068629045
BA2256	7.267699813104082	0.0286225402504472
BA2260	13.944516038817392	0.0242315823711172
BA2261	5.544315377548978	0.0413075296796227
BA2269	4.822699159862164	0.0413075296796227
BA2271	24.75532152963328	0.0774109611318913
BA2272	12.025749549495035	0.0509025857863067
BA2273	4.0879703073142135	0.0322003577817531
BA2275	76.23953733932561	0.1136770206537648
BA2276	9.72468346275816	0.033176126199382
