	PTPN11	STAG2
BA2889	0.0893690876800253	0.0
BA3008	0.3007671567538219	0.005204098227354
BA2593	0.8090165245861867	0.0188648560741584
BA2055	1.0119939151741806	0.0203285087006017
BA2006	1.599279212987121	0.0443974630021141
BA2915	2.41314672352659	0.012197105220361
BA3447	3.2625258891737285	0.0087819157586599
BA2744	3.972428680531728	0.0131728736379899
BA3049	4.158103947463144	0.0443974630021141
BA2098	4.89760845693884	0.0201658806309969
BA2787	5.728153752635701	0.0400065051227841
BA2903	5.87011599834422	0.0364286875914782
BA2348	6.14653811673649	0.017401203447715
BA2697	6.301040978737351	0.0325256139209627
BA2567	6.532230302726126	0.0359408033826638
BA3076	6.585836267450562	0.0348024068954301
BA2218	6.878393864241168	0.0292730525288664
BA2801	7.134981041288424	0.035778175313059
BA2953	7.163653271429381	0.0172385753781102
BA2363	7.3033212222808	0.017401203447715
BA2269	7.328556613973234	0.0413075296796227
BA2511	7.663551368635486	0.0175638315173198
BA2003	7.823075791431777	0.0190274841437632
BA3421	7.884860177730484	0.0271588876240039
BA2481	7.960993949896547	0.0196779964221824
BA2079	8.072035025066661	0.0591966173361522
BA2122	8.187921438696502	0.0398438770531793
BA2561	8.225056123389484	0.017401203447715
BA2956	8.523238456781499	0.0196779964221824
BA2463	8.57460656098495	0.0388681086355504
BA3289	8.671812401369937	0.0417954138884371
BA2733	8.96480318961342	0.0247194665799316
BA2901	8.975530107617864	0.0284599121808424
BA2415	8.984070955203252	0.0365913156610831
BA2694	9.024019039461352	0.0247194665799316
BA2688	9.067482526668442	0.038380224426736
BA2479	9.06853194700168	0.0260204911367702
BA2758	9.074373932385482	0.0411449016100178
BA2405	9.100792336674967	0.0169133192389006
BA3334	9.127914629344902	0.0474873963246056
BA2110	9.173325205003731	0.0291104244592616
BA2772	9.214550366533244	0.0286225402504472
BA3399	9.217550243661025	0.0395186209139697
BA2011	9.225160864995647	0.040169133192389
BA2350	9.248559385393913	0.0234184420230931
BA2133	9.257241245749476	0.0455358594893478
BA2923	9.394341271819846	0.0216295332574402
BA2852	9.456579436181348	0.0369165718002927
BA2104	9.678008579946416	0.0203285087006017
BA2939	9.710666289915626	0.0203285087006017
BA2934	9.73098986675119	0.0813140348024069
BA3075	9.78077433217044	0.0292730525288664
BA2096	9.782062235194408	0.024394210440722
BA2902	9.87114034234456	0.0226053016750691
BA2935	9.880445356341776	0.0278093999024231
BA2842	9.895489999364507	0.0458611156285574
BA3430	9.925872127763904	0.0300861928768905
BA2276	9.934136281708742	0.033176126199382
BA2201	10.05949923649511	0.0304114490161001
BA2339	10.111131706915842	0.0391933647747601
BA2418	10.111819360859618	0.0178890876565295
BA2764	10.123036663951495	0.0564319401528703
