	GATA2	WT1
BA3094	-1.96011964564348	-4.71341683075557
BA2094	-1.9002011047749	-5.26179066275894
BA2923	-0.905814060314707	-4.41297117108437
BA2726	-0.238630282752338	-3.06313442854582
BA2497	-0.200351841889843	-4.2593293039235
BA3374	-0.177808519803868	-3.79587739203727
BA2023	-0.126036792393191	-4.79464204484053
BA3178	-0.106092733460167	-3.69977436376083
BA2304	-0.0150693070758923	-3.78517780161679
BA3130	0.0096330444008767	-4.99483016516321
BA2561	0.106733079748621	-5.29146950758079
BA3417	0.207476070123517	-2.13185488071417
BA2510	0.277265117709438	-4.54627919628903
BA3362	0.433070764286167	-3.29429542282984
BA3412	0.439987090282692	-4.27362100180234
BA2885	0.499201192837283	-2.88217442288734
BA3222	0.578560653385863	-4.42855988318268
BA2737	0.583388534420479	-4.30318114320644
BA3154	0.601632895281666	5.9610279397687
BA3167	0.719254707053097	-3.44128537526743
BA2104	0.732935262992316	-2.90198965929373
BA2234	1.05164008757557	-4.24541320330485
BA2069	1.06756511195893	-5.52091327378807
BA2870	1.06894896681523	2.10589181824348
BA3258	1.26994075255518	-2.2313729742413
BA3339	1.3495851994097	-1.03349390851114
BA3347	1.4977254366136	-5.44980241668477
BA3438	1.59541816670198	2.0372110076916
BA2816	1.63244056607344	1.00727712946517
BA3273	1.71633530219167	0.919835106636856
BA2139	1.76917277909169	-0.83667589124871
BA2817	1.83042814261167	-1.24729776016019
BA2995	1.87147539953468	-1.33761435343488
BA3403	1.97096633043764	-2.26970788857989
BA3219	2.03395241692527	-0.576724413844884
BA3163	2.07381903278467	-1.02180568349746
BA3345	2.11388863910946	-2.41345187456505
BA2463	2.17929512084737	0.234841923860152
BA2584	2.24349372699526	4.15661160010825
BA2712	2.26275670492429	-4.21691190609306
BA2512	2.27310977570549	-0.245480641116488
BA2906	2.27825644198579	1.60231574737047
BA3185	2.28340449654963	-1.12919609419543
BA2456	2.29791028651136	-4.81543989176866
BA2446	2.31812232252383	1.23682676475754
BA2025	2.32043052645812	1.76917277909169
BA2377	2.36843137715683	-3.73132773416127
BA2282	2.39603844730184	-1.41890702362989
BA2778	2.42732071858121	-0.502629849930007
BA2421	2.45065051871032	1.33242763824809
BA2221	2.52007957747602	-4.44520274654728
BA2087	2.55585093682386	-2.74343030506397
BA3126	2.64402051124596	-0.874344282646842
BA2812	2.68530372380301	-1.50022208785386
BA3221	2.71814995189887	-3.09952930713356
BA3110	2.87198103535148	1.59633049420931
BA3326	2.88584557978208	-4.5290964030898
BA2520	2.91242066204713	2.02174840979331
BA2691	2.91665615356007	-2.08150014081258
BA3169	3.00426499817374	0.442049233640373
BA2546	3.0112376490771	-1.30656643508874
BA2658	3.01238141071871	-4.09430858942349
BA3207	3.02428518304635	0.354427733094645
BA2063	3.02935460711532	-0.311019673586418
BA2871	3.03505636097059	-0.399277296625941
BA3397	3.03620367997927	4.66469709693692
BA2417	3.06113870744397	-4.23106940660728
BA2089	3.08537081267169	-1.24729776016019
BA2787	3.12103519528401	-4.16221322156868
BA2316	3.22495437973645	0.899094483682124
BA2934	3.23073632692797	-4.1350893046353
BA2956	3.23073632692797	4.14366264706437
BA3116	3.24833932522177	-1.22174941388341
BA3152	3.24991105964122	2.50132753227187
BA2040	3.26599227921617	-4.39675812570909
BA3149	3.28330883545606	3.98490830991574
BA2492	3.31109043996003	1.49232098276003
BA3451	3.32501250452144	0.480333759445609
BA3408	3.38554683036159	-3.80664194981464
BA2415	3.41140290286834	-5.52091327378807
BA2376	3.41561286956515	-0.543214915721396
BA2955	3.4170840126625	1.1015901745641
BA3234	3.4375681966549	0.678777713509964
BA3296	3.53193069811392	-3.33738366633407
BA2423	3.54497964521433	-3.2138968635892
BA3430	3.64521772451027	1.06072552834851
BA2742	3.66797907398221	0.69745683162882
BA2406	3.72560586066794	2.21611595199145
BA2098	3.75076608161682	1.42445356632705
BA2882	3.77959301841516	0.401247901583782
BA2992	3.78491798790536	4.61150443110127
BA2079	3.85600991616853	-5.04280924140603
BA3390	3.87479759609797	-0.256578476181957
BA2567	3.87651804611081	-3.85126035696575
BA2082	3.90728684369565	0.922533427167959
BA3315	3.90901162589946	2.62419048702299
BA3225	3.92905779716509	1.04757167795659
BA2579	3.94179623964938	0.923898419999858
BA2912	3.99833496825788	-5.48456512973844
BA2031	4.02452335153635	-4.59957033850824
BA2461	4.04229195612943	-4.90207415836154
BA2409	4.08953411027778	2.42527027407431
BA2928	4.17753260382741	-4.04278359661597
BA2663	4.20873434593167	-4.54627919628903
BA2496	4.22136650202706	-1.85443649196731
BA3334	4.22175408993243	-2.63015443964561
BA2858	4.24617468927424	-2.05373083819241
BA3235	4.24655068383766	0.802541542803928
BA2455	4.2507446186302	-2.78034077718535
BA2758	4.26323917922153	-1.87134236175322
BA3027	4.29639716866503	-2.10431960916538
BA2427	4.33903266779967	5.05220075930866
BA2539	4.34458492733121	-5.23207573552585
BA3322	4.34569920053779	0.655067770643772
BA2594	4.34871319583887	0.507602595468108
BA2855	4.36015860511768	-2.3713037003904
BA2152	4.38228741422543	-3.76376692929786
BA2052	4.39995076697618	-0.586590827897
BA2602	4.40656431480039	-3.25498441404272
BA2842	4.40802912825966	-3.50410379627379
BA2311	4.44334512113552	0.585076282677859
BA2066	4.44555299237497	0.244476133616038
BA2348	4.47099076274074	1.35850244646445
BA2931	4.47827685062553	-5.06940152020186
BA2260	4.49346190383121	3.58742662131399
BA3202	4.49454936710229	-2.28483384953305
BA2057	4.51939484788158	-4.67457207325032
BA2325	4.5269559134182	0.896118049614534
BA2795	4.53769799161138	-5.32182883491996
BA2697	4.59081785984696	-4.08215496684175
BA3174	4.59438606664195	3.25577411362013
BA3447	4.59972375526065	1.62856158488449
BA2607	4.60223859726182	-4.81543989176866
BA2269	4.62036406268975	-1.04532144447794
BA2101	4.65120922776301	2.83461003267086
BA2088	4.65333014368695	1.71822473873366
BA3260	4.66398706452937	-1.72584860763551
BA2964	4.68133985426918	-3.57040228180244
BA2761	4.68309897358403	-4.51188171220191
BA2540	4.68836796933157	-3.54072073336428
BA3261	4.68906744298486	1.11579111852859
BA2361	4.6932849776624	-2.68981786198312
BA2564	4.70523791699629	3.55179272966768
BA2709	4.71407158331364	3.43199360390782
BA2288	4.72003247702049	1.17134115218982
BA2051	4.75937775414095	4.44117628286088
BA2731	4.76216052725516	-0.387302959250216
BA3084	4.77031077404719	2.2972229754926
BA2898	4.78153410225228	-4.54627919628903
BA2301	4.78361272995645	1.62175301006191
BA2479	4.7941665840707	1.82959006870799
BA2746	4.79767961716109	1.81007217009569
BA3369	4.807111451034	4.32487848767101
BA2283	4.81337176305461	-4.73260581696559
BA3407	4.81902834400603	-1.9002011047749
BA3434	4.82292152807512	2.47499683281725
BA2122	4.82431105237604	-1.6782559541387
BA2827	4.82742292972687	-5.32182883491996
BA2524	4.83023871763674	5.84150393894181
BA2621	4.85056186804303	-3.36366404396703
BA2182	4.89591757187592	-5.29146950758079
BA2239	4.89696755761679	2.07076624330663
BA2044	4.90950444103544	3.57238938006016
BA2786	4.91685437213902	3.31782552417921
BA2880	4.91721018578494	-3.78517780161679
BA2545	4.92380795044112	-3.89656899425599
BA2110	4.92630002359127	2.0116554134637
BA2515	4.95086713745968	-1.82157211250373
BA2038	4.95577043792796	-2.77402372187259
BA2844	4.95919380929034	2.58314249436544
BA2622	4.99389750199927	-2.24528625370186
BA3289	4.99494706061389	2.35005000227063
BA2271	5.03254935299147	0.480333759445609
BA3411	5.03642055076695	2.50593451743868
BA2764	5.04210102667198	-3.2626742370293
BA2306	5.04444275985059	-0.678720436366109
BA2887	5.05929023106165	5.11638292117158
BA3103	5.06069232646451	5.42346427521642
BA3175	5.07164095305392	1.99295756555082
BA3381	5.08870565418655	1.6503374693223
BA2821	5.09181307158236	4.8980399466675
BA3187	5.11433165880832	4.68695768946558
BA2662	5.1312402648846	2.80849620548243
BA3177	5.13976221148527	5.00727174004895
BA2804	5.14161615451425	1.03724504422622
BA2072	5.14543140849029	3.92905779716509
BA2587	5.15207050393233	4.31365852693905
BA2633	5.16960938829634	-3.62823581497859
BA3087	5.20013137153335	4.06401487195903
BA2449	5.21327609576147	1.62272533517422
BA2981	5.21743147503023	4.71085683477021
BA3181	5.21924696123963	-1.07355268290721
BA2978	5.22173396238009	-1.51459060193487
BA2228	5.23174307005196	0.045431040067311
BA2525	5.24865361107735	-2.45561174580429
BA2109	5.25385282871793	-2.19345672998365
BA3299	5.26710389157619	2.51471286851075
BA3034	5.28256921751163	-4.92494998809084
BA2489	5.30096102579671	-1.97374829109098
BA2733	5.32125964978542	4.79905769578442
BA2355	5.32233498083344	5.15956280499738
BA2472	5.32411225603459	1.2450550586815
BA3003	5.33137556428865	-3.58001398400949
BA2303	5.34973720544744	1.7013068862714
