	ABL1	SF3A1
BA2132	0.0178821196827685	0.0532015810276679
BA2133	0.0063211968276856	0.0385869565217391
BA2134	0.0074351117519826	0.0313102766798418
BA2135	0.0098558038932948	0.0458083003952569
BA2139	0.0064852198990627	0.0348853754940711
BA2143	0.0127180966113914	0.0547766798418972
BA2148	0.0149242970439798	0.0141719367588932
BA2153	0.0082390050468637	0.0276304347826086
BA2155	0.012382840663302	0.029897233201581
BA2156	0.0208399423215573	0.0446284584980237
BA2162	0.0132804614275414	0.0506284584980237
BA2163	0.0161968276856524	0.063391304347826
BA2168	0.0087941600576784	0.037790513833992
BA2169	0.0112076423936553	0.0498814229249011
BA2171	0.0253118240807498	0.0600652173913043
BA2172	0.0166528478731074	0.0570573122529644
BA2174	0.0147224224945926	0.0604841897233201
BA2175	0.019388968997837	0.0523241106719367
BA2184	0.046326604181687	0.0836521739130434
BA2195	0.0100342465753424	0.0375652173913043
BA2198	0.0141474405191059	0.0541739130434782
BA2200	0.0183453496755587	0.0753399209486166
BA2201	0.0077883922134102	0.027994071146245
BA2209	0.0153947368421052	0.0498517786561264
BA2211	0.0313320115356885	0.0544723320158102
BA2212	0.0161824080749819	0.0530335968379446
BA2217	0.0262707281903388	0.0522055335968379
BA2218	0.0069124008651766	0.0214624505928853
BA2220	0.0089419610670511	0.0344071146245059
BA2221	0.0084661139149242	0.0381699604743083
BA2224	0.0088914924297043	0.0366561264822134
BA2226	0.0220944484498918	0.0905098814229249
BA2227	0.0209408795962509	0.0910118577075098
BA2228	0.0196377072819033	0.0692411067193675
BA2229	0.0153713049747656	0.0403418972332015
BA2233	0.0236860129776496	0.0433260869565217
BA2234	0.0152505407354001	0.0588142292490118
BA2235	0.0130641672674837	0.0432233201581027
BA2236	0.018817591925018	0.039092885375494
BA2239	0.0091726748377793	0.0310177865612648
BA2240	0.0207876712328767	0.0615691699604743
BA2242	0.0155587599134823	0.0544110671936758
BA2244	0.0166348233597692	0.0504249011857707
BA2245	0.0197404470079307	0.0458478260869565
BA2248	0.00905010814708	0.0287569169960474
BA2249	0.012557678442682	0.048792490118577
BA2251	0.0230894015861571	0.0547430830039525
BA2256	0.0136391492429704	0.0670177865612648
BA2260	0.0076297764960346	0.0454011857707509
BA2261	0.0063482335976928	0.0290889328063241
BA2269	0.006685291997116	0.0203300395256917
BA2271	0.0136319394376351	0.0561521739130434
BA2272	0.01	0.0435217391304347
BA2273	0.0184607065609228	0.0444090909090909
BA2275	0.0184697188175919	0.1443399209486166
BA2276	0.0092519826964671	0.0288853754940711
BA2277	0.0193421052631578	0.0674031620553359
BA2280	0.0273449891852919	0.0917252964426877
BA2281	0.0179271809661139	0.0274407114624505
BA2282	0.0063031723143475	0.0438754940711462
BA2286	0.0208507570295602	0.0466126482213438
BA2288	0.0124134823359769	0.0374169960474308
BA2292	0.0175486661860129	0.0601146245059288
BA2294	0.0140573179524152	0.0457411067193675
BA2296	0.0239365537130497	0.0579110671936758
BA2300	0.0072584715212689	0.0660454545454545
BA2301	0.0100739005046863	0.0483577075098814
BA2302	0.0157948810382119	0.0423162055335968
BA2304	0.0063734679163662	0.0305533596837944
BA2306	0.0136121124729632	0.0564031620553359
BA2308	0.0117321557317952	0.0453379446640316
BA2309	0.0130984138428262	0.0344031620553359
BA2311	0.0107876712328767	0.0470691699604743
BA2312	0.009127613554434	0.0400256916996047
BA2316	0.0084282624369142	0.0325553359683794
BA2322	0.0178568853640951	0.0599703557312252
BA2325	0.0081506849315068	0.0317272727272727
BA2329	0.0087815428983417	0.0311897233201581
BA2334	0.0099639509733237	0.0298774703557312
BA2339	0.0048882480173035	0.0473379446640316
BA2344	0.0139077144917087	0.0496027667984189
BA2347	0.0055064888248017	0.0410454545454545
BA2348	0.0043727469358327	0.0190652173913043
BA2350	0.0045818312905551	0.0378616600790513
BA2354	0.0157534246575342	0.0445217391304347
BA2355	0.0216312184571016	0.053594861660079
BA2357	0.0130569574621485	0.0346640316205533
BA2360	0.0196322999279019	0.0447035573122529
BA2361	0.0122873107426099	0.0392134387351778
BA2363	0.0046250901225666	0.0181343873517786
BA2369	0.0189221341023792	0.0621245059288537
BA2374	0.0208489545782263	0.0536304347826087
BA2375	0.0116131939437635	0.0476640316205533
BA2376	0.0086265320836337	0.0477569169960474
BA2377	0.0481254506128334	0.1271818181818181
BA2379	0.0132227829848594	0.031699604743083
BA2385	0.0062310742609949	0.0359051383399209
BA2386	0.0189491708723864	0.0446205533596838
BA2387	0.0169881038211968	0.0541126482213438
BA2394	0.0097242249459264	0.0664723320158102
BA2399	0.0148125450612833	0.0406600790513834
BA2400	0.0313842826243691	0.0816027667984189
BA2402	0.0125630857966834	0.0542885375494071
BA2405	0.0074134823359769	0.0387865612648221
BA2406	0.0122512617159336	0.0492233201581027
BA2409	0.0120385724585436	0.039699604743083
BA2410	0.0260958904109589	0.0594110671936758
BA2412	0.0044754866618601	0.0373774703557312
BA2413	0.0136788031723143	0.0418399209486166
BA2414	0.0243258832011535	0.078193675889328
BA2415	0.0047260273972602	0.0290059288537549
BA2417	0.0171773612112472	0.0431304347826086
BA2418	0.0077685652487382	0.0336284584980237
BA2420	0.0105136986301369	0.0383616600790513
BA2421	0.0181596971881759	0.0451897233201581
BA2423	0.0107894736842105	0.0359466403162055
BA2425	0.0087941600576784	0.0379802371541502
BA2426	0.0100558759913482	0.0486640316205533
BA2427	0.0086571737563085	0.0330237154150197
BA2429	0.0106452775775054	0.0379367588932806
BA2440	0.01405010814708	0.059294466403162
BA2441	0.0184354722422494	0.0776798418972332
BA2442	0.0116095890410958	0.0523794466403162
BA2446	0.0115392934390771	0.0413221343873517
BA2449	0.0213698630136986	0.076596837944664
BA2450	0.0162040374909877	0.0384881422924901
BA2452	0.0252541456380677	0.0612114624505928
BA2454	0.0121611391492429	0.0674584980237154
BA2455	0.0087148521989906	0.0287252964426877
BA2456	0.0047837058399423	0.0406284584980237
BA2459	0.0067934390771449	0.0475296442687747
BA2461	0.0103262436914203	0.059994071146245
BA2463	0.0140356885364095	0.0252430830039525
BA2464	0.0198936553713049	0.0323359683794466
BA2469	0.0165843547224224	0.0209288537549407
BA2470	0.0112599134823359	0.0537154150197628
BA2472	0.0163428262436914	0.04799209486166
BA2473	0.0219412400865176	0.0576225296442687
BA2474	0.0123521989906272	0.0392470355731225
BA2477	0.025086517664023	0.0670118577075098
BA2479	0.0077253064167267	0.0336422924901185
BA2480	0.023895097332372	0.0405474308300395
BA2481	0.0052072819033886	0.0247114624505928
BA2482	0.0118006488824801	0.0366501976284584
BA2483	0.0151604181687094	0.0599762845849802
BA2485	0.0216672674837779	0.0351383399209486
BA2488	0.0136697909156452	0.0246877470355731
BA2489	0.0131038211968276	0.0326027667984189
BA2492	0.007577505407354	0.0426758893280632
BA2494	0.0152487382840663	0.0395098814229249
BA2496	0.0059769286229271	0.0312470355731225
BA2497	0.0092682047584715	0.0318498023715415
BA2499	0.0128262436914203	0.0371403162055336
BA2500	0.0246304974765681	0.0480869565217391
BA2501	0.0150558759913482	0.0478142292490118
BA2502	0.0097837058399423	0.0387806324110671
BA2505	0.0148648161499639	0.0374525691699604
BA2507	0.0108904109589041	0.0386561264822134
BA2510	0.016472602739726	0.0495098814229249
BA2511	0.0059480894015861	0.0257371541501976
BA2512	0.0125036049026676	0.067600790513834
BA2514	0.0112743330930064	0.0425019762845849
BA2515	0.0118655371304974	0.0328023715415019
BA2520	0.0036265320836337	0.0247569169960474
BA2521	0.0162959625090122	0.0551501976284585
BA2523	0.0194394376351838	0.0389071146245059
BA2524	0.0125360490266762	0.0395316205533596
BA2525	0.0119700793078586	0.0415652173913043
BA2526	0.0263968997837058	0.0390059288537549
BA2528	0.0154992790194664	0.0495731225296442
BA2532	0.0165176640230713	0.0591205533596837
BA2534	0.0232516222062004	0.0516600790513833
BA2538	0.012586517664023	0.0498557312252964
BA2539	0.0068961788031723	0.0607430830039525
BA2540	0.0125937274693583	0.0410039525691699
BA2541	0.0059012256669069	0.0387391304347826
BA2545	0.0118186733958183	0.0518201581027667
BA2546	0.0096431146359048	0.0375632411067193
BA2552	0.0384967555875991	0.0806877470355731
BA2559	0.014059120403749	0.0462687747035573
BA2561	0.0080064888248017	0.0208774703557312
BA2563	0.0161067051189617	0.0547035573122529
BA2564	0.0097710886806056	0.0399802371541502
BA2567	0.0041636625811103	0.0390138339920948
BA2570	0.0145692141312184	0.0406027667984189
BA2575	0.0071935832732516	0.0244466403162055
BA2577	0.0213626532083633	0.044399209486166
BA2579	0.0098648161499639	0.0539743083003952
BA2583	0.0164635904830569	0.0515197628458498
BA2584	0.0166005767844268	0.0526521739130434
BA2587	0.0186751982696467	0.0513695652173913
BA2588	0.0140032444124008	0.0411857707509881
BA2589	0.0179704397981254	0.0309466403162055
BA2592	0.0183543619322278	0.0532154150197628
BA2593	0.0048125450612833	0.0028280632411067
BA2594	0.0085021629416005	0.0399861660079051
BA2595	0.0101045421773612	0.0547806324110671
BA2597	0.0188248017303532	0.0259545454545454
BA2600	0.011598774333093	0.0629407114624506
BA2603	0.0146557317952415	0.0448083003952569
BA2618	0.0207354001441961	0.0611699604743082
BA2619	0.0106759192501802	0.0391007905138339
BA2620	0.0146971881759192	0.0342588932806324
BA2621	0.009030281182408	0.0458300395256917
BA2622	0.0153731074260994	0.0498043478260869
BA2623	0.0129217736121124	0.0671363636363636
BA2629	0.0102992069214131	0.032691699604743
BA2631	0.0144736842105263	0.0401225296442687
BA2634	0.0064221341023792	0.0358300395256917
BA2636	0.008720259552992	0.0374446640316205
BA2639	0.0137959625090122	0.0517134387351778
BA2644	0.0111986301369863	0.0424249011857707
BA2645	0.0217844268204758	0.0448418972332015
BA2646	0.0225540735400144	0.0403893280632411
BA2649	0.0211121124729632	0.0393774703557312
BA2651	0.007761355443403	0.0228596837944664
BA2653	0.0130948089401586	0.0342450592885375
BA2655	0.0299783705839942	0.1273833992094861
BA2656	0.0079307858687815	0.0275652173913043
BA2657	0.0115537130497476	0.0485434782608695
BA2658	0.0126622206200432	0.0562272727272727
BA2659	0.0140519105984138	0.0411086956521739
BA2660	0.0080857966834895	0.0277015810276679
BA2662	0.0143330930064888	0.0494367588932806
BA2663	0.0116925018024513	0.0539426877470355
BA2667	0.0136445565969718	0.0307549407114624
BA2670	0.0059354722422494	0.0363399209486166
BA2674	0.0104379956741167	0.0490830039525691
BA2675	0.0151568132660418	0.0415237154150197
BA2676	0.0147981254506128	0.0285652173913043
BA2677	0.0095962509012256	0.0407075098814229
BA2681	0.0056380677721701	0.0360573122529644
BA2682	0.012732516222062	0.0381027667984189
BA2685	0.0221935832732516	0.0702450592885375
BA2688	0.0081380677721701	0.0250553359683794
BA2691	0.0082858687815428	0.0454624505928853
BA2694	0.0088482335976928	0.0285573122529644
BA2695	0.0070007209805335	0.0375098814229249
BA2697	0.0056218457101658	0.0346501976284585
BA2701	0.009388968997837	0.0257648221343873
BA2704	0.0232498197548666	0.0460592885375494
BA2705	0.0289185291997116	0.0472411067193675
BA2707	0.0052000720980533	0.0581679841897233
BA2709	0.008352559480894	0.0314802371541501
BA2712	0.0131182408074981	0.0364703557312252
BA2714	0.0148071377072819	0.0468339920948616
BA2715	0.0302505407354001	0.0456600790513834
BA2718	0.0331092285508291	0.0463260869565217
BA2720	0.0045331651045421	0.0313498023715415
BA2721	0.0158417447728911	0.0739861660079051
BA2722	0.0155623648161499	0.0384664031620553
BA2723	0.0153586878154289	0.0453893280632411
BA2724	0.008516582552271	0.0323675889328063
BA2726	0.008866258111031	0.0338537549407114
BA2727	0.0105082912761355	0.0471047430830039
BA2728	0.0145583994232155	0.0582470355731225
BA2731	0.0071449170872386	0.0241422924901185
BA2733	0.006016582552271	0.0335612648221343
BA2735	0.0094772891131939	0.0191837944664031
BA2737	0.0095133381398702	0.0259328063241106
BA2742	0.0109138428262436	0.0511007905138339
BA2744	0.0048918529199711	0.0156798418972332
BA2746	0.0107534246575342	0.0536719367588932
BA2747	0.0102829848594087	0.0382371541501976
BA2748	0.0250684931506849	0.0450098814229249
BA2751	0.0057804614275414	0.0315197628458498
BA2756	0.015416366258111	0.0504683794466403
BA2758	0.0097909156452775	0.0437015810276679
BA2760	0.0199783705839942	0.044294466403162
BA2762	0.0134895457822638	0.0485731225296442
BA2764	0.0110994953136265	0.0675869565217391
BA2765	0.0068673395818312	0.0357766798418972
BA2769	0.0132498197548666	0.048298418972332
BA2772	0.0075180245133381	0.0286541501976284
BA2775	0.0131074260994953	0.0584328063241106
BA2776	0.0300306416726748	0.0604525691699604
BA2778	0.0114708002883922	0.0382529644268774
BA2782	0.0080569574621485	0.0381521739130434
BA2786	0.0120547945205479	0.0721363636363636
BA2787	0.0031254506128334	0.0342391304347826
BA2789	0.026472602739726	0.0513656126482213
BA2791	0.0192880317231434	0.027792490118577
BA2792	0.0083723864455659	0.029199604743083
BA2798	0.019176279740447	0.0829604743083003
BA2801	0.005706560922855	0.0430770750988142
BA2802	0.0085291997116077	0.0443260869565217
BA2804	0.0094412400865176	0.0380256916996047
BA2806	0.0151315789473684	0.0437549407114624
BA2808	0.006452775775054	0.0407628458498023
BA2809	0.0128298485940879	0.0551699604743083
BA2811	0.0167159336697909	0.0317213438735177
BA2812	0.006986301369863	0.0440731225296442
BA2813	0.0101748377793799	0.0447509881422924
BA2814	0.012141312184571	0.0380118577075098
BA2816	0.0128983417447728	0.0486146245059288
BA2817	0.0133705839942321	0.0415039525691699
BA2820	0.0195241528478731	0.0588399209486166
BA2821	0.0274477289113193	0.0918695652173913
BA2822	0.0146539293439077	0.0294367588932806
BA2824	0.0203262436914203	0.058695652173913
BA2828	0.0093727469358327	0.0347075098814229
BA2829	0.0157137707281903	0.0701166007905138
BA2830	0.0076910598413842	0.048891304347826
BA2832	0.0145367700072098	0.0430138339920948
BA2836	0.0119899062725306	0.0278142292490118
BA2837	0.0134246575342465	0.0531185770750988
BA2839	0.0310886806056236	0.0638359683794466
BA2840	0.0080533525594808	0.0522371541501976
BA2841	0.0249585436193222	0.0597747035573122
BA2842	0.0069790915645277	0.0414822134387351
BA2843	0.0125991348233597	0.0552687747035573
BA2844	0.0165176640230713	0.0457786561264822
BA2846	0.0267069214131218	0.0600256916996047
BA2850	0.0103568853640951	0.0485355731225296
BA2851	0.0235832732516222	0.0615118577075098
BA2852	0.0104434030281182	0.0626897233201581
BA2855	0.0142087238644556	0.0463122529644268
BA2856	0.0061751982696467	0.0310494071146245
BA2858	0.0095602018745493	0.0369683794466403
BA2860	0.0067519826964671	0.0357529644268774
BA2861	0.0149585436193222	0.0378122529644268
BA2865	0.0138139870223503	0.0351343873517786
BA2866	0.0177505407354001	0.0632391304347826
BA2867	0.0181416726748377	0.0382648221343873
BA2868	0.022945205479452	0.0499822134387351
BA2870	0.0288085796683489	0.0463695652173913
BA2871	0.0117988464311463	0.0519664031620553
BA2872	0.011559120403749	0.0391126482213438
BA2876	0.0157948810382119	0.0411126482213438
BA2879	0.0138914924297043	0.0488379446640316
BA2880	0.0088518385003604	0.0498339920948616
BA2882	0.0111085075702956	0.0546501976284584
BA2883	0.0226189617880317	0.0722114624505928
BA2885	0.0144754866618601	0.0535573122529644
BA2887	0.0185832732516222	0.0414743083003952
BA2889	0.0001099495313626	0.000395256916996
BA2893	0.0105371304974765	0.0392865612648221
BA2901	0.0094160057678442	0.0222608695652173
BA2902	0.0132930785868781	0.0339011857707509
BA2903	0.0040879596250901	0.0490494071146245
BA2904	0.0122098053352559	0.0548873517786561
BA2905	0.0205587599134823	0.0382055335968379
BA2906	0.0187761355443403	0.02799604743083
BA2908	0.0214978370583994	0.0502312252964426
BA2909	0.0079055515501081	0.028
BA2910	0.0172152126892573	0.0411837944664031
BA2911	0.0161535688536409	0.0691383399209486
BA2914	0.0139798125450612	0.0572272727272727
BA2915	0.0079091564527757	0.0111442687747035
BA2921	0.0102000720980533	0.0347707509881422
BA2922	0.017528839221341	0.0355316205533596
BA2923	0.0063229992790194	0.0254644268774703
BA2926	0.0152487382840663	0.0512114624505928
BA2928	0.0180551550108147	0.0509644268774703
BA2930	0.0134913482335976	0.0582114624505928
BA2932	0.0167591925018024	0.0418122529644268
BA2934	0.0065338860850757	0.0827055335968379
BA2935	0.0084967555875991	0.0325256916996047
BA2937	0.0097638788752703	0.038098814229249
BA2939	0.0099242970439798	0.0422055335968379
BA2944	0.020232516222062	0.091298418972332
BA2947	0.0107516222062004	0.0354604743083004
BA2948	0.0091474405191059	0.0543162055335968
BA2950	0.0101117519826964	0.0633636363636363
BA2951	0.0080299206921413	0.0463794466403162
BA2952	0.0254001441961067	0.0475316205533596
BA2953	0.0064059120403749	0.0304545454545454
BA2955	0.0074098774333093	0.0287134387351778
BA2956	0.0048413842826243	0.0100652173913043
BA2962	0.0184571016582552	0.0575454545454545
BA2970	0.0105118961788031	0.0523379446640316
BA2972	0.0217393655371304	0.0581660079051383
BA2976	0.0060994953136265	0.0430395256916996
BA2978	0.0098107426099495	0.046397233201581
BA2981	0.0137527036770007	0.058596837944664
BA2984	0.0127253064167267	0.0483675889328063
BA2986	0.0124855803893294	0.0378873517786561
BA2989	0.018972602739726	0.0484150197628458
BA2992	0.0137328767123287	0.0505474308300395
BA2993	0.0062509012256669	0.0326758893280632
BA2994	0.0163446286950252	0.0547549407114624
BA2995	0.0128929343907714	0.0525
BA2999	0.0155875991348233	0.0455177865612648
BA3001	0.0230966113914924	0.0469505928853754
BA3002	0.0170007209805335	0.0534071146245059
BA3004	0.0253803172314347	0.0580118577075098
BA3006	0.0083777937995674	0.0370849802371541
BA3008	0.0010868781542898	0.0008754940711462
BA3009	0.0132912761355443	0.0557826086956521
BA3010	0.0096232876712328	0.0458003952569169
BA3011	0.0240374909877433	0.0636897233201581
BA3013	0.0143240807498197	0.0525158102766798
BA3023	0.0165969718817591	0.0397252964426877
BA3025	0.0182480173035328	0.042792490118577
BA3027	0.0054902667627974	0.0309881422924901
BA3029	0.0092357606344628	0.0263577075098814
BA3030	0.0145746214852198	0.0541403162055336
BA3037	0.0189149242970439	0.0383023715415019
BA3038	0.0169196106705118	0.0650632411067193
BA3040	0.0160490266762797	0.041594861660079
BA3042	0.0222819033886085	0.0390316205533596
BA3043	0.0070421773612112	0.0375197628458498
BA3049	0.0035255948089401	0.0232747035573122
BA3051	0.0110310021629416	0.0459505928853754
BA3053	0.0164708002883922	0.0473715415019762
BA3064	0.0178640951694304	0.0556620553359683
BA3067	0.0239329488103821	0.0522529644268774
BA3068	0.0234066330209084	0.0467450592885375
BA3070	0.0086355443403028	0.0407826086956521
BA3071	0.0194971160778659	0.0599683794466403
BA3072	0.021346431146359	0.052298418972332
BA3075	0.0129073540014419	0.0318537549407114
BA3076	0.0033759913482335	0.0192391304347826
BA3077	0.0144196106705118	0.0396640316205533
BA2040	0.0086806056236481	0.0547687747035573
BA2160	0.0166672674837779	0.048893280632411
BA2303	0.0109228550829127	0.0470335968379446
BA2353	0.0162563085796683	0.0585533596837944
BA2516	0.0162851478010093	0.0601660079051383
BA2590	0.0327685652487382	0.0667885375494071
BA2647	0.0120223503965392	0.0556699604743083
BA2891	0.009543979812545	0.0515138339920948
BA2924	0.0133219178082191	0.0500316205533596
BA2971	0.0093204758471521	0.0447806324110671
BA3036	0.0145259552992069	0.0464841897233201
BA3059	0.015571377072819	0.0584683794466403
BA3073	0.0136878154289834	0.0381541501976284
BA3078	0.0171070656092285	0.0586067193675889
BA3079	0.0097873107426099	0.0500296442687747
BA3083	0.0143294881038211	0.0562094861660079
BA3084	0.0100558759913482	0.0544822134387351
BA3085	0.0095872386445565	0.0419090909090909
BA3087	0.0460724585436193	0.0789822134387351
BA3089	0.0248864455659697	0.0576126482213438
BA3094	0.0194214131218457	0.0757826086956521
BA3095	0.0163680605623648	0.0456719367588932
BA3098	0.0141834895457822	0.0496758893280632
BA3099	0.0234228550829127	0.0683458498023715
BA3103	0.0260598413842826	0.0841699604743082
BA3108	0.0228857245854361	0.0586027667984189
BA3109	0.0128082191780821	0.0426185770750988
BA3110	0.0175684931506849	0.0554762845849802
BA3114	0.0120421773612112	0.0430098814229249
BA3116	0.0108183129055515	0.040691699604743
BA3117	0.030697548666186	0.0576324110671936
BA3118	0.0119214131218457	0.0385711462450592
BA3119	0.0342880317231434	0.0642549407114624
BA3123	0.0154091564527757	0.0393181818181818
BA3124	0.0086968276856524	0.0374822134387351
BA3126	0.0155641672674837	0.0511126482213438
BA3128	0.0190338860850757	0.0609446640316205
BA3130	0.0098792357606344	0.0288023715415019
BA3133	0.0151586157173756	0.0568537549407114
BA3135	0.0262274693583273	0.0533695652173913
BA3136	0.015542537851478	0.0626620553359683
BA3137	0.0138572458543619	0.0389090909090909
BA3138	0.0158543619322278	0.0685750988142292
BA3139	0.0150522710886806	0.0740434782608695
BA3141	0.0224477289113193	0.0463241106719367
BA3142	0.0263806777217015	0.0469505928853754
BA3145	0.0116618601297764	0.0416185770750988
BA3146	0.0169232155731795	0.0465355731225296
BA3149	0.0144826964671953	0.0380553359683794
BA3152	0.0138248017303532	0.0510632411067193
BA3153	0.0316888968997837	0.0753517786561264
BA3154	0.0201856524873828	0.0533241106719367
BA3156	0.0050630857966834	0.0642490118577075
BA3157	0.0243006488824801	0.0684347826086956
BA3158	0.015192862292718	0.0406778656126482
BA3162	0.0246665465032444	0.0393181818181818
BA3163	0.0108471521268925	0.0332094861660079
BA3164	0.0192736121124729	0.0541422924901185
BA3167	0.0217844268204758	0.0515889328063241
BA3169	0.0142862292718096	0.0325592885375494
BA3171	0.0217898341744772	0.0576857707509881
BA3173	0.0176514059120403	0.0790138339920948
BA3174	0.0074242970439798	0.0552490118577075
BA3175	0.0070782263878875	0.0399130434782608
BA3176	0.0175648882480173	0.0403339920948616
BA3177	0.0181578947368421	0.0578517786561264
BA3178	0.018866258111031	0.0435869565217391
BA3180	0.0314023071377072	0.0592826086956521
BA3181	0.0079632299927901	0.0408280632411067
BA3182	0.0166888968997837	0.0572470355731225
BA3183	0.0248089401586157	0.0574031620553359
BA3185	0.0126496034607065	0.0467114624505928
BA3186	0.0253749098774333	0.0644703557312253
BA3187	0.0107930785868781	0.0397193675889328
BA3189	0.0150558759913482	0.0558517786561264
BA3190	0.0103731074260994	0.0471837944664031
BA3191	0.0097116077865897	0.0395079051383399
BA3192	0.016888968997837	0.0493260869565217
BA3194	0.0324909877433309	0.0727371541501976
BA3195	0.0149477289113193	0.0510553359683794
BA3197	0.0242429704397981	0.0402509881422924
BA3199	0.025270367700072	0.0823418972332015
BA3200	0.0230785868781542	0.0504051383399209
BA3202	0.0192880317231434	0.0691857707509881
BA3203	0.0158597692862292	0.0541640316205533
BA3206	0.0162743330930064	0.0407727272727272
BA3207	0.0133020908435472	0.0592371541501976
BA3208	0.0090915645277577	0.0336027667984189
BA3210	0.0217123287671232	0.0396857707509881
BA3211	0.0179812545061283	0.0505415019762845
BA3212	0.0332281903388608	0.0574802371541502
BA3213	0.0166149963950973	0.0582015810276679
BA3214	0.009592645998558	0.0369525691699604
BA3216	0.0157137707281903	0.0541126482213438
BA3217	0.0261878154289834	0.0492233201581027
BA3219	0.0107354001441961	0.0448300395256917
BA3221	0.0088698630136986	0.0508754940711462
BA3222	0.0215771449170872	0.0664011857707509
BA3225	0.0116240086517664	0.0451521739130434
BA3226	0.0166204037490987	0.0523023715415019
BA3227	0.0285291997116077	0.0614387351778656
BA3228	0.0207173756308579	0.0688201581027668
BA3229	0.0180821917808219	0.0708221343873517
BA3230	0.0169899062725306	0.0426146245059288
BA3232	0.0152343186733958	0.0468754940711462
BA3234	0.0154217736121124	0.0607667984189723
BA3235	0.0098558038932948	0.0395118577075098
BA3237	0.013042537851478	0.0429150197628458
BA3240	0.0435886806056236	0.0608853754940711
BA3242	0.0128731074260994	0.0424822134387351
BA3243	0.0143330930064888	0.0500810276679841
BA3245	0.0212076423936553	0.0720830039525691
BA3249	0.0218637346791636	0.0284841897233201
BA3250	0.0191041816870944	0.0576482213438735
BA3251	0.0130353280461427	0.0400790513833992
BA3255	0.0108309300648882	0.0496719367588932
BA3258	0.0105461427541456	0.0488656126482213
BA3260	0.0103064167267483	0.0268142292490118
BA3261	0.0220511896178803	0.04999209486166
BA3264	0.029127613554434	0.0521462450592885
BA3266	0.0226856524873828	0.0698675889328063
BA3268	0.0360526315789473	0.0707667984189723
BA3269	0.0187328767123287	0.0351541501976284
BA3270	0.0144881038211968	0.0679347826086956
BA3271	0.02060021629416	0.0679782608695652
BA3273	0.0321178803172314	0.0415849802371541
BA3275	0.028923936553713	0.0556857707509881
BA3277	0.0209318673395818	0.0520118577075098
BA3280	0.020474044700793	0.0488715415019762
BA3283	0.0126387887527036	0.0450256916996047
BA3285	0.0137274693583273	0.0931185770750988
BA3286	0.0178496755587599	0.0505158102766798
BA3289	0.00443763518385	0.0205474308300395
BA3290	0.012072819033886	0.0500177865612648
BA3293	0.0246773612112472	0.0604624505928853
BA3295	0.0183255227108868	0.0516047430830039
BA3296	0.0086697909156452	0.0440138339920948
BA3297	0.029592645998558	0.0689545454545454
