	ABL1	SF3A1
BA2000	0.0146845710165825	0.0413162055335968
BA2003	0.0095313626532083	0.0350217391304347
BA2004	0.0112418889689978	0.0656146245059288
BA2006	0.0060003604902667	0.0210889328063241
BA2011	0.0100919250180245	0.0410632411067193
BA2019	0.0196629416005767	0.058695652173913
BA2020	0.0263392213410237	0.0818043478260869
BA2022	0.0168979812545061	0.0413596837944664
BA2023	0.0098017303532804	0.0292055335968379
BA2024	0.0110868781542898	0.0653853754940711
BA2025	0.0185724585436193	0.0487272727272727
BA2031	0.0146377072819033	0.0474446640316205
BA2032	0.0132462148521989	0.03349604743083
BA2033	0.0081723143475126	0.0561225296442687
BA2034	0.0197494592645998	0.0540869565217391
BA2035	0.0183687815428983	0.0360750988142292
BA2036	0.0147530641672674	0.0393260869565217
BA2037	0.0234264599855803	0.0572727272727272
BA2041	0.01598774333093	0.0464169960474308
BA2044	0.0127793799567411	0.0360335968379446
BA2046	0.0203460706560922	0.0507312252964426
BA2047	0.0213968997837058	0.0448715415019762
BA2050	0.0107462148521989	0.0309723320158102
BA2051	0.0223882480173035	0.0456205533596838
BA2052	0.013585075702956	0.0438063241106719
BA2053	0.0078983417447728	0.0265335968379446
BA2054	0.0082660418168709	0.0448814229249011
BA2055	0.0044250180245133	0.0037391304347826
BA2063	0.033361571737563	0.0439071146245059
BA2065	0.0192790194664744	0.0431324110671936
BA2066	0.0210976928622927	0.0783695652173913
BA2068	0.0152397260273972	0.0460019762845849
BA2069	0.0120782263878875	0.0459545454545454
BA2072	0.0101243691420331	0.0318260869565217
BA2079	0.0053911319394376	0.0410770750988142
BA2080	0.0201568132660418	0.0411660079051383
BA2081	0.012382840663302	0.0361620553359683
BA2082	0.0226405912040374	0.0575691699604743
BA2087	0.0131452775775054	0.0263853754940711
BA2088	0.016995313626532	0.049393280632411
BA2089	0.0200973323720259	0.0748260869565217
BA2093	0.0109012256669069	0.0481561264822134
BA2094	0.0125342465753424	0.0488201581027668
BA2095	0.0175198269646719	0.0317411067193675
BA2096	0.0067429704397981	0.026098814229249
BA2097	0.0227577505407354	0.0735237154150197
BA2098	0.012664023071377	0.0340632411067193
BA2100	0.0066240086517664	0.0377470355731225
BA2101	0.0096467195385724	0.0336561264822134
BA2104	0.0069358327325162	0.0256205533596837
BA2106	0.0121449170872386	0.0518537549407114
BA2109	0.0096160778658976	0.0315731225296442
BA2110	0.005677721701514	0.0258379446640316
BA2113	0.0232191780821917	0.0717332015810276
BA2116	0.0132804614275414	0.0499229249011857
BA2121	0.0142231434751261	0.0547233201581027
BA2122	0.0042213410237923	0.0362826086956521
BA2123	0.0203028118240807	0.0650177865612648
BA2124	0.0179434030281182	0.0488656126482213
BA2125	0.0150955299206921	0.0489031620553359
