	SF3B1	DNMT3A
BA2000	5.868488939678021	0.3903477782106476
BA2003	2.198908352987511	0.2200672016907105
BA2004	4.138880806726062	1.7421872222743082
BA2006	2.325123064804804	0.3787236170572983
BA2011	0.1380198320917367	0.5217608164496809
BA2019	2.591253168618399	0.4474708417173635
BA2020	3.566717303735739	0.6765599205677996
BA2022	1.6333312272570373	1.035164212553083
BA2023	0.695618182813505	0.1201300703143848
BA2024	2.2570122608614995	0.4794653993658658
BA2025	1.0662814523867092	0.2548711482159886
BA2031	4.244904914836965	0.2223031448406812
BA2032	0.544077751470832	0.2822289193149458
BA2033	0.5207126749297848	0.1425292972381716
BA2034	3.739892901838597	0.5984234647814147
BA2035	6.2327003775731	0.8654681646619956
BA2036	9.325854998547795	0.4402468738806289
BA2037	5.232376171077262	0.783361127172473
BA2041	0.8686250591145965	0.1026100021630555
BA2044	2.7103441419906	0.3145954640236001
BA2046	0.0966780257929719	0.1527200400277926
BA2047	2.5434799755482262	1.1000234462904164
BA2050	1.5773960837625316	0.2208361160071591
BA2051	1.9603346228298677	0.1202876109750209
BA2052	2.2125302187734275	0.4628891424904828
BA2053	0.5596398153343644	0.2357331583528511
BA2054	2.902457441292173	0.1897970889603141
BA2055	1.3580618091575545	0.1016623185336721
BA2063	1.0228629180029227	0.2337397032375142
BA2065	3.3052441831997457	0.4009166650099477
BA2066	1.1212745563173925	0.3777119351024847
BA2068	1.42080896899582	0.2375133220008568
BA2069	1.6861525559554815	0.1693877031808799
BA2072	0.7505739552112843	0.2069594922820808
BA2079	0.6569010874044472	0.2431485328158669
BA2080	0.7577356790613439	0.2891593639359263
BA2081	1.987437057210764	0.2574487849552282
BA2082	0.0575538570088242	0.3355754225575059
BA2087	1.0741895787999471	0.1543080697173639
BA2088	1.1964608794427185	0.0833651298577288
BA2089	2.2429851844755566	0.2758816049602879
BA2093	2.504220728960906	0.4683773986052874
BA2094	4.874152863123288	0.4592247829364606
BA2095	2.000770656654821	0.3875435221016316
BA2096	1.4035218689792446	0.1225796696216249
BA2097	5.529201492957189	0.6727738141640198
BA2098	3.7885589952267344	0.4725877035538304
BA2100	0.3885650929638804	0.1089824664887933
BA2101	1.4843159585840475	0.6971560439731584
BA2104	1.4249106856380802	0.053740668846797
BA2106	2.635120076761539	0.2311583327849795
BA2109	0.1013629278870352	0.1313450186921277
BA2110	1.195629336654395	0.0840286651574152
BA2113	1.3489537058579335	0.6525721360605183
BA2116	0.7321046849173004	0.2417840970771943
BA2121	0.9023855229683968	0.6760584898167601
BA2122	0.6417203906201293	0.0656029871370471
BA2123	3.840240130713588	0.0959275918604528
BA2124	5.547385135207057	0.6896924988931303
BA2125	3.133815191424848	0.4016538372629313
BA2132	2.629895091549692	0.5098245010712235
BA2133	1.889343444020188	0.2320013726547507
BA2134	1.3858377241602684	0.0978162703224511
BA2135	1.0282469461893704	0.5230946747168397
BA2139	2.3384103077608533	0.094658854443762
BA2143	0.7740416288409281	0.1901286905887505
BA2148	0.0754874236072144	0.1653780428761621
BA2153	5.116721417047205	0.5962602133140623
BA2155	0.0402624383953675	0.325684159573431
BA2156	2.5846917601475625	0.6192501045771407
BA2162	5.054337551568456	0.5336746564791711
BA2163	4.424902398189839	2.3304985680705173
BA2168	2.459866336385243	0.4042478250562519
BA2169	2.2605231584757783	0.8900870917871619
BA2171	3.878938050944237	0.5006416354314442
BA2172	0.1033096950979363	0.3534923133742886
BA2174	4.125021798269824	0.4419089652347314
BA2175	1.6714606133319954	0.177572143431386
BA2184	10.628341810860665	2.4937520176121484
BA2195	0.8517477544056531	0.2030012891780013
BA2198	9.032062076788913	0.8296965103200213
BA2200	5.909373552547744	0.879303672917371
BA2201	0.7405867057165145	0.0986654105296367
BA2209	1.939924439760896	0.8738033339078843
BA2211	3.478055240024269	1.7814047286024255
BA2212	1.9117243822809795	0.358849828842352
BA2217	1.8505187182282803	2.0109583228318337
BA2218	0.084710669215247	0.3445802528520448
BA2220	1.6409310910083468	0.2158140627418481
BA2221	2.243354454921604	0.1123345902334619
BA2224	2.0797450735301943	0.50439950982126
BA2226	3.1108793742900542	0.8732113967481294
BA2227	4.466729377559415	1.1770681874430475
BA2228	1.4107074971754248	0.1756566002668675
BA2229	2.299403410170904	0.4751961882078786
BA2233	3.843300609317525	0.652611372360466
BA2234	4.0845688398028654	0.1253648500016553
BA2235	3.773219992974677	0.175866222457809
BA2236	3.873751378073389	0.3285167351903352
BA2239	1.4644137048543158	0.1714125851037873
BA2240	5.302351818144493	0.5717301014229117
BA2242	5.217936721911253	0.5819394119805501
BA2244	2.109603304943121	0.2843519009376707
BA2245	3.715063303939503	0.3750327072183909
BA2248	0.5876281095038024	0.3118143728257943
BA2249	3.458310637890213	0.4332410668101266
BA2251	12.00484402870346	1.0331853833965587
BA2256	2.33433740710835	0.5170178480586665
BA2260	1.5779240094218403	0.1635494751200925
BA2261	0.0481531079451538	0.7411661772531666
BA2269	0.0224406991260923	0.0514481175701506
BA2271	3.761306094239691	0.3975245005379642
BA2272	2.964975913177955	0.2766335588647716
BA2273	3.045841981931842	0.3883456318198185
BA2275	2.7853284034421044	0.7906998485809084
BA2276	3.42152463196887	0.1930645223276748
BA2277	6.531068769093444	0.8546168491637717
BA2280	4.484736603606028	1.3403744661128272
BA2281	5.114091505593648	0.3742486776379176
BA2282	2.121523772811391	0.1848252696301412
BA2286	2.854157120894861	0.2924677972517953
BA2288	1.2115094864671292	0.8689960641896194
BA2292	3.7299817448043786	0.0383764464488665
BA2294	3.163226501282653	0.8926650952809216
BA2296	4.481140748242528	0.7958449564827293
BA2300	2.823341050544311	0.8105652707227917
BA2301	1.4422802647725668	0.1512653313907045
BA2302	2.4450587800572063	0.1781291916276537
BA2304	0.5735414547284834	0.1342898984526482
BA2306	1.4378042824058233	0.5401721990788467
BA2308	2.7371780782548	0.918211471699353
BA2309	5.374018728112393	0.1763206638680505
BA2311	3.3142836831548874	0.1760659011994245
BA2312	1.9396833890645215	0.6757120776156089
BA2316	0.4984972271262627	0.1292452424412816
BA2322	0.7196782721354701	0.7836452764609124
BA2325	0.6144736710050318	0.059416367332984
BA2329	1.1931826614417729	0.1829182068266463
BA2334	1.993478439709194	0.5601448744652351
BA2339	0.4699942900241933	0.1039325783070219
BA2344	2.2900026002819254	0.7171623628083545
BA2347	0.8088991835723007	0.0733246332693876
BA2348	0.883377560935554	0.0563834165382755
BA2350	0.9795546142839112	0.0687448652717671
BA2354	3.580583535197325	0.5649239948038823
BA2355	3.44088195176249	0.2402441112801165
BA2357	0.7466248340609561	0.0769123129206903
BA2360	2.6603320453574324	0.6835659009126082
BA2361	2.122537525413574	0.9467138467155864
BA2363	1.6522726311963882	0.2013801892904489
BA2369	1.1059227199253063	0.414873241135215
BA2374	2.4096833890645217	0.4334668550253931
BA2375	2.100786539663423	0.512061926493074
BA2376	2.343366612380079	0.187392021027014
BA2377	0.0567111603796107	0.1966266034983252
BA2379	0.7103568696863393	0.1859523035553871
BA2385	0.9035211314723832	0.152949964951423
BA2386	2.367782567770798	0.3828690029882881
BA2387	4.035369110779613	0.1326860295492633
BA2394	7.593742353118285	1.28729052993089
BA2399	3.685799556279377	0.4459573066888792
BA2400	10.516791943992056	0.7696569294530675
BA2402	6.407256444061246	0.2305528668789867
BA2405	0.2110564671748621	0.1687941960019158
BA2406	1.4467520730025347	0.550402929983847
BA2409	1.3682634830700355	0.204315745002997
BA2410	4.5260095176401	0.304621398174643
BA2412	1.3753158354127988	0.1317688752634919
BA2413	3.558757620270642	0.4473235049280832
BA2414	2.306433272355962	1.599491958875364
BA2415	3.756315385305518	0.1148539006855739
BA2417	1.1675117582923902	1.337533555314113
BA2418	1.5321366334104294	0.2762351313664459
BA2420	3.2029681153734444	0.2310167770745552
BA2421	1.154419886226261	0.1248639661925869
BA2423	3.8067645573970417	0.1345809588727959
BA2425	3.107183849055916	0.4554703213617888
BA2426	0.1050925076905999	0.4718236560602522
BA2427	0.1443236529855342	0.1490400221697363
BA2429	4.061533740558772	0.329031989925242
BA2440	4.515118540922507	0.1622128696814486
BA2441	7.48233802600586	1.6139302908224038
BA2442	3.410966293655464	0.3804119201097979
BA2446	1.5344025510134254	0.2001238359012414
BA2449	2.356064100751041	0.2287970587036531
BA2450	3.519331370196511	1.4455575219911612
BA2452	2.951904546843851	0.3308325464918646
BA2454	3.5800363507248094	2.200586435986676
BA2455	0.5393154871879091	0.345850794601501
BA2456	0.1207102191079664	0.1109490055855878
BA2459	0.0323815313075464	0.1343229897677482
BA2461	0.95278330527766	0.3576983560536166
BA2463	1.416645689538503	0.4722574616693779
BA2464	2.274301284478446	0.3978457402927364
BA2469	0.041105135024581	0.0707174080469741
BA2470	1.5174264355913207	0.829096922119146
BA2472	0.1222859747483732	0.1427092567573498
BA2473	1.926382718921689	0.14440797310754
BA2474	4.932402265134477	0.6927629557403411
BA2477	6.768566446326989	0.681689466720368
BA2479	2.963803300077096	0.1776972071235237
BA2480	2.962812060442108	0.3190556321984708
BA2481	0.1065127406211176	0.0963988557689032
BA2482	4.55675387495229	0.3960059195757783
BA2483	4.094619043491615	1.2695197781603915
BA2485	6.688179817858615	0.4396756763186226
BA2488	3.1325379968097127	0.2479588444473664
BA2489	0.4959159455066064	0.0987155128266856
BA2492	0.6517676062656149	0.0661047669468101
BA2494	5.546111050285802	0.4360524146066351
BA2496	0.936298316203406	0.1166748542849611
BA2497	0.5076979597670999	0.0989981411296462
BA2499	1.6321394161682796	0.2037565437747856
BA2500	2.640884225108383	0.4721345142772626
BA2501	3.3400008819669686	0.4816688295202621
BA2502	2.2903437922450776	0.1638465093407732
BA2505	3.3599098264806018	0.2124773452250946
BA2507	1.126609034687153	0.7322819781538245
BA2510	1.117650744121614	0.1988790031605586
BA2511	0.5547863739144583	0.1227612292575707
BA2512	2.4011947991320226	0.3319279693979129
BA2514	3.45310423481002	0.1504328415425985
BA2515	2.492897976189933	0.0942200510207396
BA2520	1.384062484318475	0.4753243867453362
BA2521	3.6303167173797672	0.4124049363037384
BA2523	3.255909992229567	0.2414343473868867
BA2524	1.182336976769294	0.1617041942440691
BA2525	0.927868361868006	0.1242240092794612
BA2526	1.5745202936037626	0.1721578891325065
BA2528	2.664848081189622	0.5811953456406841
BA2532	1.586789054789917	0.1418639295741579
BA2534	4.342877348807292	1.2894096471898533
BA2538	5.459500768679832	0.3724935018034421
BA2539	3.452706536135555	0.2473384989090979
BA2540	1.6834681450257822	0.0392767792214953
BA2541	2.4779100728231005	0.3937315952460676
BA2545	2.715710302742765	0.323874393433841
BA2546	1.1761256635660966	0.2799703549111725
BA2552	4.987072698408354	0.9149504511235462
BA2559	0.7191279551595828	0.14604252116698
BA2561	1.0089444147921067	0.267564448818346
BA2563	2.168817586421358	0.7464626423826584
BA2564	1.1562404789384766	0.2903125005311262
BA2567	2.944546980707733	0.1688990342602005
BA2570	0.8088462579510084	0.5441987125534858
BA2575	0.5436999654816376	0.113993415515483
BA2577	4.324663598029868	1.0114167075149012
BA2579	3.419698922327602	1.02388725941294
BA2583	4.572907145605144	0.6173553319213095
BA2584	3.803381818707128	3.188228154668748
BA2587	3.168909295779788	0.7056228868811733
