	SF3B1	RAD21
BA2000	5.868488939678021	9.381081344897805
BA2003	2.198908352987511	10.804738111151956
BA2004	4.138880806726062	13.335979114927524
BA2006	2.325123064804804	2.270388898058533
BA2011	0.1380198320917367	4.533384234237969
BA2019	2.591253168618399	12.845973706067053
BA2020	3.566717303735739	10.474535979065164
BA2022	1.6333312272570373	8.710936477994075
BA2023	0.695618182813505	10.766220668380647
BA2024	2.2570122608614995	6.96521768918246
BA2025	1.0662814523867092	10.505514139483594
BA2031	4.244904914836965	8.497243158696646
BA2032	0.544077751470832	6.366887987848954
BA2033	0.5207126749297848	10.68218662349429
BA2034	3.739892901838597	6.3724050702506645
BA2035	6.2327003775731	9.09435826239406
BA2036	9.325854998547795	11.528528001706562
BA2037	5.232376171077262	12.161082044759937
BA2041	0.8686250591145965	15.208390411040217
BA2044	2.7103441419906	11.425941509678632
BA2046	0.0966780257929719	6.153405994615816
BA2047	2.5434799755482262	7.212823003588878
BA2050	1.5773960837625316	7.305722580287018
BA2051	1.9603346228298677	10.076275553605024
BA2052	2.2125302187734275	13.286222314454694
BA2053	0.5596398153343644	7.685499593258364
BA2054	2.902457441292173	11.47302251367756
BA2055	1.3580618091575545	0.8900090654720321
BA2063	1.0228629180029227	10.446657944155708
BA2065	3.3052441831997457	11.84997670061323
BA2066	1.1212745563173925	8.783252326731535
BA2068	1.42080896899582	8.054864759728023
BA2069	1.6861525559554815	11.861180142963963
BA2072	0.7505739552112843	5.724137968839168
BA2079	0.6569010874044472	5.054760892054986
BA2080	0.7577356790613439	10.124380642568726
BA2081	1.987437057210764	4.620438733254882
BA2082	0.0575538570088242	8.105587557245181
BA2087	1.0741895787999471	6.064210598186296
BA2088	1.1964608794427185	11.119498790097158
BA2089	2.2429851844755566	13.153433288445951
BA2093	2.504220728960906	13.89440940587197
BA2094	4.874152863123288	14.301152628574505
BA2095	2.000770656654821	9.161177992328549
BA2096	1.4035218689792446	9.584242645222831
BA2097	5.529201492957189	16.873178231003937
BA2098	3.7885589952267344	6.2107357582394345
BA2100	0.3885650929638804	6.090356050041996
BA2101	1.4843159585840475	6.636690901812592
BA2104	1.4249106856380802	5.107654904717963
BA2106	2.635120076761539	5.7185547695433705
BA2109	0.1013629278870352	7.887808449114563
BA2110	1.195629336654395	4.875980173627301
BA2113	1.3489537058579335	9.1025554010968
BA2116	0.7321046849173004	17.398189447644924
BA2121	0.9023855229683968	5.12776073278341
BA2122	0.6417203906201293	11.690318294638107
BA2123	3.840240130713588	17.55701446978709
BA2124	5.547385135207057	12.868529500425566
BA2125	3.133815191424848	12.876343621232197
BA2132	2.629895091549692	9.340554458045636
BA2133	1.889343444020188	6.955488449442417
BA2134	1.3858377241602684	6.682310630032674
BA2135	1.0282469461893704	6.849923340263783
BA2139	2.3384103077608533	6.787244348233263
BA2143	0.7740416288409281	13.400617340713
BA2148	0.0754874236072144	5.204481045400393
BA2153	5.116721417047205	9.114530887927913
BA2155	0.0402624383953675	5.233148408171361
BA2156	2.5846917601475625	8.392648810880598
BA2162	5.054337551568456	9.1097160557551
BA2163	4.424902398189839	14.314580633635316
BA2168	2.459866336385243	6.647345389277667
BA2169	2.2605231584757783	8.745864067224826
BA2171	3.878938050944237	10.679439120860676
BA2172	0.1033096950979363	13.50883390157314
BA2174	4.125021798269824	12.234477537030015
BA2175	1.6714606133319954	21.02068584637091
BA2184	10.628341810860665	18.03765970365849
BA2195	0.8517477544056531	9.349963706871057
BA2198	9.032062076788913	10.951500923300072
BA2200	5.909373552547744	8.66317838616753
BA2201	0.7405867057165145	5.432057146746553
BA2209	1.939924439760896	10.51849185881264
BA2211	3.478055240024269	9.646568993096242
BA2212	1.9117243822809795	12.173442452420591
BA2217	1.8505187182282803	4.573645652451456
