	DNMT3A	RUNX1
BA2000	0.3903477782106476	0.3158646553683877
BA2003	0.2200672016907105	0.4013244329079319
BA2004	1.7421872222743082	0.3087657605500394
BA2006	0.3787236170572983	0.0434516639435853
BA2011	0.5217608164496809	0.1227164865716172
BA2019	0.4474708417173635	0.2985802352609417
BA2020	0.6765599205677996	0.4234286826082905
BA2022	1.035164212553083	0.5851342050113773
BA2023	0.1201300703143848	0.2340222673641931
BA2024	0.4794653993658658	0.355324854052362
BA2025	0.2548711482159886	0.0980119356459087
BA2031	0.2223031448406812	0.2926282036740446
BA2032	0.2822289193149458	0.3819240898337823
BA2033	0.1425292972381716	0.2493802875679197
BA2034	0.5984234647814147	0.4487978343101674
BA2035	0.8654681646619956	0.5157778625167798
BA2036	0.4402468738806289	0.8388414173535819
BA2037	0.783361127172473	0.4592527844731488
BA2041	0.1026100021630555	0.2588665449447568
BA2044	0.3145954640236001	0.4545446668656925
BA2046	0.1527200400277926	0.5157814038241734
BA2047	1.1000234462904164	0.3310338573537499
BA2050	0.2208361160071591	0.3165709499854057
BA2051	0.1202876109750209	0.3938825853566675
BA2052	0.4628891424904828	0.3736513203619646
BA2053	0.2357331583528511	0.3085386934826425
BA2054	0.1897970889603141	0.2938030708808976
BA2055	0.1016623185336721	0.0589301162250986
BA2063	0.2337397032375142	0.0920561794793435
BA2065	0.4009166650099477	0.5219851276879832
BA2066	0.3777119351024847	0.4636862910150136
BA2068	0.2375133220008568	0.4141447851298147
BA2069	0.1693877031808799	0.1889841436797342
BA2072	0.2069594922820808	0.3501484859597172
BA2079	0.2431485328158669	0.1133866749489385
BA2080	0.2891593639359263	0.1281109492294557
BA2081	0.2574487849552282	0.5058095747966009
BA2082	0.3355754225575059	0.1837415500653363
BA2087	0.1543080697173639	0.1262338198212069
BA2088	0.0833651298577288	0.1123074663292034
BA2089	0.2758816049602879	0.3022986007009235
BA2093	0.4683773986052874	0.7187506601942814
BA2094	0.4592247829364606	0.6344199058410083
BA2095	0.3875435221016316	0.5760620116676848
BA2096	0.1225796696216249	0.1373108299661647
BA2097	0.6727738141640198	0.5803880630099275
BA2098	0.4725877035538304	0.190269033493088
BA2100	0.1089824664887933	0.2614480767212281
BA2101	0.6971560439731584	0.2374995044039177
BA2104	0.053740668846797	0.1869198487063524
BA2106	0.2311583327849795	0.3996681074992766
BA2109	0.1313450186921277	0.1611528749668292
BA2110	0.0840286651574152	0.1412447000291279
BA2113	0.6525721360605183	0.4636009687036643
