#Boxplots d'expressions du gène CEBPA en fonction de la feature manuscript_inhibitor
#Résultat du test statistique Mann-Whitney : U = 23005.000, p-value = 0.02252
#Tableau des résultats :
Sample Feature  ExpressionGene
BA2477     yes        0.025042
BA2685      no        0.010770
BA2273      no        0.015560
BA2124     yes        0.037262
BA2400     yes        0.031989
BA2762     yes        0.012200
BA2312     yes        0.019688
BA2813     yes        0.020907
BA2211     yes        0.050858
BA2171     yes        0.035795
BA2746     yes        0.022197
BA2798      no        0.015979
BA2588     yes        0.016266
BA2296     yes        0.098396
BA2300     yes        0.014539
BA2545      no        0.014210
BA2840     yes        0.000071
BA2528      no        0.012634
BA2646     yes        0.024579
BA3067     yes        0.006556
BA2926      no        0.019102
BA2272     yes        0.022194
BA2306     yes        0.003163
BA2726      no        0.014042
BA2234     yes        0.035613
BA2022     yes        0.024921
BA2037     yes        0.009087
BA2184     yes        0.115451
BA3009     yes        0.016825
BA2442     yes        0.018128
BA2882     yes        0.024521
BA2347     yes        0.013213
BA2570     yes        0.008459
BA2721     yes        0.012638
BA2728      no        0.015273
BA2098     yes        0.022901
BA2951     yes        0.009531
BA2778     yes        0.016925
BA3153     yes        0.007277
BA2820     yes        0.020142
BA2704     yes        0.028203
BA2584     yes        0.018484
BA3079     yes        0.010173
BA2361     yes        0.014478
BA2472     yes        0.016749
BA2047      no        0.058118
BA2101      no        0.003824
BA2082     yes        0.051054
BA2456     yes        0.046785
BA2175     yes        0.026641
BA2507     yes        0.005806
BA2563     yes        0.027846
BA2984     yes        0.025766
BA2414     yes        0.017694
BA2697     yes        0.028512
BA2644      no        0.018279
BA2011     yes        0.007930
BA2217     yes        0.110656
BA2454     yes        0.018169
BA2776     yes        0.049691
BA2135     yes        0.005746
BA2914     yes        0.019023
BA2500     yes        0.024659
BA3108      no        0.032969
BA2303      no        0.018684
BA2160      no        0.051709
BA2590      no        0.033498
BA3195     yes        0.016268
BA3036      no        0.015332
BA2971      no        0.008448
BA3410      no        0.017548
BA3118     yes        0.013572
BA3206     yes        0.007846
BA3217     yes        0.019528
BA3405      no        0.018462
BA3306     yes        0.012657
BA3413      no        0.121340
BA3411     yes        0.008470
BA3133     yes        0.013035
BA3451     yes        0.023846
BA3286     yes        0.022114
BA3212     yes        0.000295
BA3103      no        0.008856
BA3271     yes        0.018069
BA3152     yes        0.011270
BA3095     yes        0.021361
BA3251     yes        0.010955
BA3362     yes        0.054312
BA3135     yes        0.018957
BA3408      no        0.003417
BA3098     yes        0.014586
BA3435      no        0.062756
BA3261     yes        0.081751
BA3203     yes        0.014735
BA3299     yes        0.012518
BA3347     yes        0.033205
BA3126     yes        0.012899
BA3418     yes        0.003741
BA3245     yes        0.005156
BA3085      no        0.007415
BA3171     yes        0.028739
BA3277     yes        0.028271
BA3157     yes        0.035030
BA3433     yes        0.017805
BA3374     yes        0.027833
BA3450      no        0.012496
BA3167     yes        0.036030
BA3269      no        0.011923
BA3110     yes        0.005958
BA3156      no        0.000267
BA3226     yes        0.033535
BA3421     yes        0.011559
BA3232     yes        0.022798
BA3289     yes        0.009093
BA3430      no        0.007184
BA3384     yes        0.026509
BA3427      no        0.006381
BA3449     yes        0.002532
BA3163     yes        0.017389
BA3158     yes        0.007327
BA3436     yes        0.073967
BA3154     yes        0.003436
BA3162     yes        0.009431
BA3352     yes        0.031655
BA3084     yes        0.010476
BA3149      no        0.004971
BA3169     yes        0.019957
BA3180      no        0.034212
BA3255     yes        0.021639
BA3438     yes        0.023867
BA3345     yes        0.006993
BA3431     yes        0.012793
BA3181     yes        0.013188
BA3341     yes        0.026366
BA3191     yes        0.023266
BA3197     yes        0.020584
BA3448     yes        0.022412
BA3453      no        0.016879
BA3406     yes        0.024131
BA3334     yes        0.009849
BA3447      no        0.007814
BA3116      no        0.016412
BA3280      no        0.015774
BA3185     yes        0.010121
BA3094     yes        0.030633
BA3318     yes        0.007438
BA3216     yes        0.022272
BA3332     yes        0.008826
BA3373     yes        0.008596
BA3319     yes        0.013361
BA3328     yes        0.034173
BA3240     yes        0.024505
BA3142     yes        0.012047
BA3333     yes        0.016080
BA3381     yes        0.016091
BA3290     yes        0.019789
BA3207     yes        0.014055
BA3305     yes        0.031185
BA3434     yes        0.006858
BA3189     yes        0.029216
BA3264     yes        0.042628
BA3329     yes        0.001233
BA3225     yes        0.018482
BA3397     yes        0.023395
BA3311     yes        0.012475
BA3422     yes        0.016913
BA3213     yes        0.010356
BA3415     yes        0.026375
