	NRAS	ASXL1
BA2000	5.043675734302264	0.0156650526915408
BA2003	10.560686431397826	0.0155226431216177
BA2004	4.441235364145998	0.0254913130162346
BA2006	6.575705504189619	0.0561093705497009
BA2011	6.488344675152857	0.0160922814013101
BA2019	7.803800858255831	0.0243520364568499
BA2020	10.709729421914986	0.0357448020506978
BA2022	8.019621620352721	0.021646254628311
BA2023	4.375188854380848	0.0109655368840786
BA2024	5.175163513879563	0.0190828823696952
BA2025	6.074731218320892	0.015949871831387
BA2031	4.219114009776729	0.0135289091426943
BA2032	8.583705251658827	0.0149530048419253
BA2033	21.634045078260016	0.0229279407576189
BA2034	9.198614997934929	0.026060951295927
BA2035	6.8581726405028185	0.0195101110794645
BA2036	5.895456678640012	0.0197949302193107
BA2037	8.474187163433587	0.0299060096838507
BA2041	10.108074498986811	0.0200797493591569
BA2044	4.7535644907408665	0.0152378239817715
BA2046	9.160481901497343	0.0294787809740814
BA2047	7.613271283589593	0.0254913130162346
BA2050	4.103686476329206	0.0111079464540017
BA2051	20.82227021965971	0.0209342067786955
BA2052	8.803722359895055	0.0364568499003133
BA2053	9.031640140409914	0.013101680432925
BA2054	3.633549237992189	0.0126744517231557
BA2055	1.6282099596913011	0.0113927655938479
BA2063	5.453141679979542	0.0438621475363144
BA2065	7.008120709963036	0.0190828823696952
BA2066	10.10974543956892	0.0259185417260039
BA2068	6.301531117480288	0.0156650526915408
BA2069	5.418720571825874	0.0170891483907718
BA2072	3.975963751875416	0.0111079464540017
BA2079	3.637880412457246	0.0108231273141555
BA2080	10.09782677520544	0.017373967530618
BA2081	4.296904604494646	0.0139561378524636
BA2082	11.946301068824308	0.0178011962403873
BA2087	9.334338474733304	0.0099686698946169
BA2088	13.1502236881413	0.0226431216177727
BA2089	13.279025182733749	0.0229279407576189
BA2093	3.900351353768402	0.028909142694389
BA2094	9.744641884173047	0.0168043292509256
BA2095	6.152794819771235	0.017373967530618
BA2096	6.715911213656165	0.013101680432925
BA2097	13.917958079878336	0.0350327542010823
BA2098	10.387971166225924	0.0118199943036172
BA2100	4.6475452234853565	0.0136713187126174
BA2101	6.084070489319454	0.027485046995158
BA2104	5.135247990444217	0.0078325263457704
BA2106	10.134436245830772	0.0160922814013101
BA2109	7.168784406456207	0.0121048134434634
BA2110	3.345155971053532	0.0099686698946169
BA2113	7.355297822797085	0.0313301053830817
BA2116	11.5696457912037	0.0273426374252349
BA2121	8.496779176483521	0.0250640843064653
BA2122	4.026122374469674	0.0093990316149245
BA2123	14.704105196105951	0.0227855311876958
BA2124	5.235737433920034	0.0197949302193107
BA2125	6.58007623618558	0.0186556536599259
BA2132	7.287418557176935	0.0225007120478496
BA2133	5.569103779560801	0.0262033608658501
BA2134	3.1951470189520976	0.008686983765309
BA2135	10.07866878646148	0.0264881800056963
BA2139	3.987310125081623	0.0089718029051552
BA2143	11.295737558973652	0.0176587866704642
BA2148	7.237628309278444	0.013101680432925
BA2153	7.725737990865466	0.0196525206493876
BA2155	4.1905827771309205	0.0163771005411563
