	NF1	ASXL1
BA2000	142.75490360837196	0.0156650526915408
BA2003	153.6363602362335	0.0155226431216177
BA2004	186.3131826561012	0.0254913130162346
BA2006	0.0	0.0561093705497009
BA2011	72.85716052294515	0.0160922814013101
BA2019	204.9947885795207	0.0243520364568499
BA2020	274.7370236131756	0.0357448020506978
BA2022	126.77737922849806	0.021646254628311
BA2023	57.57670274404444	0.0109655368840786
BA2024	129.19307576825068	0.0190828823696952
BA2025	135.04261049402936	0.015949871831387
BA2031	47.7445319683995	0.0135289091426943
BA2032	215.03490271417868	0.0149530048419253
BA2033	92.53923653042108	0.0229279407576189
BA2034	153.47329527828623	0.026060951295927
BA2035	124.98326638084282	0.0195101110794645
BA2036	238.32690231687388	0.0197949302193107
BA2037	298.2964495900539	0.0299060096838507
BA2041	135.22863046072317	0.0200797493591569
BA2044	82.04710015020497	0.0152378239817715
BA2046	144.0633694963439	0.0294787809740814
BA2047	123.2929360773152	0.0254913130162346
BA2050	95.22651628154628	0.0111079464540017
BA2051	90.68870047977845	0.0209342067786955
BA2052	110.66973675190388	0.0364568499003133
BA2053	129.04169527931813	0.013101680432925
BA2054	115.25580563960666	0.0126744517231557
BA2055	1.861283467889972	0.0113927655938479
BA2063	56.62966505689601	0.0438621475363144
BA2065	201.62135608839577	0.0190828823696952
BA2066	124.09319568255268	0.0259185417260039
BA2068	78.65829945488635	0.0156650526915408
BA2069	57.54297490294547	0.0170891483907718
BA2072	86.57166007727321	0.0111079464540017
BA2079	61.12137145648837	0.0108231273141555
BA2080	157.83351245834615	0.017373967530618
BA2081	109.72745843655122	0.0139561378524636
BA2082	81.44008518006407	0.0178011962403873
BA2087	39.44265347415752	0.0099686698946169
BA2088	122.118312008315	0.0226431216177727
BA2089	166.7588903652543	0.0229279407576189
BA2093	120.06260334565768	0.028909142694389
BA2094	80.35342502132465	0.0168043292509256
BA2095	125.72932620776494	0.017373967530618
BA2096	38.14635019971428	0.013101680432925
BA2097	274.9535971649002	0.0350327542010823
BA2098	26.433437712180453	0.0118199943036172
BA2100	66.13538217435533	0.0136713187126174
BA2101	72.0511876030681	0.027485046995158
BA2104	88.2053799306977	0.0078325263457704
BA2106	153.3726439647684	0.0160922814013101
BA2109	115.04825583911432	0.0121048134434634
BA2110	74.36471936282452	0.0099686698946169
BA2113	223.4154468177113	0.0313301053830817
BA2116	171.4319149038356	0.0273426374252349
BA2121	72.40096351612218	0.0250640843064653
BA2122	54.47294224439686	0.0093990316149245
BA2123	190.53116384213277	0.0227855311876958
BA2124	184.66017011723795	0.0197949302193107
BA2125	25.534304216960667	0.0186556536599259
BA2132	170.7127216635003	0.0225007120478496
BA2133	80.18133477228218	0.0262033608658501
BA2134	49.273239517076505	0.008686983765309
BA2135	15.131785600875178	0.0264881800056963
BA2139	41.481996912376765	0.0089718029051552
BA2143	96.97194172507986	0.0176587866704642
BA2148	89.68429975044664	0.013101680432925
BA2153	146.4827052853341	0.0196525206493876
BA2155	71.92339924235235	0.0163771005411563
BA2156	168.64129625232474	0.0186556536599259
BA2162	147.29495642603302	0.0172315579606949
BA2163	217.2043669052266	0.0212190259185417
BA2168	130.512102414608	0.0139561378524636
BA2169	178.1356567294738	0.0233551694673882
BA2171	234.8583259532597	0.0259185417260039
BA2172	185.11095536230036	0.0133864995727712
BA2174	238.4854486070038	0.0189404727997721
BA2175	31.956107621459708	0.0294787809740814
BA2184	330.1887594161088	0.0398746795784676
BA2195	94.9760301511449	0.0156650526915408
BA2198	126.84489183593952	0.0153802335516946
BA2200	253.9343726061422	0.0293363714041583
BA2201	76.38543599082593	0.0092566220450014
BA2209	207.73969039082704	0.0582455140985474
BA2211	193.69321339903547	0.0270578182853887
BA2212	150.1149855232797	0.0182284249501566
BA2217	173.74162856094	0.0242096268869268
BA2218	85.42607037036069	0.0155226431216177
BA2220	105.89447496974996	0.0135289091426943
BA2221	87.92724303286738	0.0138137282825405
BA2224	99.58333873414824	0.0146681857020791
BA2226	286.37231184395824	0.0320421532326972
BA2227	327.7142740138492	0.0344631159213899
BA2228	148.83302195542166	0.0283395044146966
BA2229	230.9272500432621	0.04044431785816
BA2233	198.79246681895413	0.0209342067786955
BA2234	133.53026760274443	0.0183708345200797
BA2235	137.30408373585547	0.0136713187126174
BA2236	236.6977944710083	0.015949871831387
BA2239	93.44595003721206	0.0108231273141555
BA2240	349.65596137257995	0.0242096268869268
BA2242	288.5091193991156	0.0276274565650811
BA2244	189.13614877568463	0.0162346909712332
BA2245	206.20598869395417	0.0193677015095414
BA2248	103.99306477060202	0.0122472230133865
BA2249	131.64751962240132	0.0249216747365422
BA2251	168.5185793587882	0.0206493876388493
BA2256	177.37594734399633	0.0166619196810025
BA2260	91.46311349201132	0.0111079464540017
BA2261	95.638364990932	0.0123896325833095
BA2269	127.34637686870389	0.0074052976360011
BA2271	178.74582923309202	0.0207917972087724
BA2272	155.30969220772613	0.0146681857020791
BA2273	82.10327672445598	0.0200797493591569
BA2275	179.28463600626125	0.0300484192537738
BA2276	77.65718078840119	0.0116775847336941
BA2277	203.6065735095337	0.0227855311876958
BA2280	384.3268511749896	0.0358872116206209
BA2281	148.70915295462936	0.0200797493591569
BA2282	67.04868900711168	0.0166619196810025
BA2286	201.80223865128715	0.0179436058103104
BA2288	132.16680416497255	0.0236399886072344
BA2292	106.58922238443596	0.0182284249501566
BA2294	154.65930575825166	0.0206493876388493
BA2296	124.91800887503584	0.0220734833380803
BA2300	127.68776719943128	0.0259185417260039
BA2301	102.8235989089254	0.0192252919396183
BA2302	143.47247258145103	0.0226431216177727
BA2304	58.26545447919322	0.0085445741953859
BA2306	191.29686259218525	0.0178011962403873
BA2308	211.6825983608057	0.0186556536599259
BA2309	67.00275595385449	0.0149530048419253
BA2311	104.19731581066932	0.0150954144118484
BA2312	156.40969992181428	0.0183708345200797
BA2316	78.52938685382075	0.0108231273141555
BA2322	67.9089880251087	0.02022215892908
BA2325	84.63892612993457	0.0098262603246938
BA2329	58.569892419639714	0.0123896325833095
BA2334	105.09829684011098	0.0146681857020791
BA2339	75.60546526741308	0.0153802335516946
BA2344	141.96156499550946	0.0119624038735403
BA2347	66.77803076811274	0.0126744517231557
BA2348	55.136801578737725	0.0066932497863856
BA2350	91.19479049601118	0.0095414411848476
BA2354	113.2548155663928	0.0200797493591569
BA2355	120.526364356186	0.0367416690401595
BA2357	114.73993656372434	0.018798063229849
BA2360	169.86331229535077	0.0166619196810025
BA2361	101.58710933354486	0.0225007120478496
BA2363	35.095611280938215	0.0059812019367701
BA2369	189.42521296233164	0.0243520364568499
BA2374	90.40492261621532	0.0301908288236969
BA2375	178.2945435585226	0.0215038450583879
BA2376	49.77597347964191	0.0139561378524636
BA2377	209.4103095988851	0.0400170891483907
BA2379	124.56604347639134	0.0210766163486186
BA2385	47.80464009196283	0.0143833665622329
BA2386	231.55889311260623	0.0233551694673882
BA2387	153.3348976809124	0.0143833665622329
BA2394	95.31685868127607	0.0316149245229279
BA2399	148.13163782499456	0.0148105952720022
BA2400	205.685906014256	0.0338934776416975
BA2402	180.8329650691468	0.0197949302193107
BA2405	79.99933475446306	0.0148105952720022
BA2406	34.71633495236259	0.0155226431216177
BA2409	129.54548333633426	0.0128168612930788
BA2410	225.8440833603437	0.0234975790373113
BA2412	36.32016613028614	0.0111079464540017
BA2413	222.15236454691257	0.0197949302193107
BA2414	198.15717400889827	0.0249216747365422
BA2415	34.29848221862546	0.0078325263457704
BA2417	114.89562170147244	0.0195101110794645
BA2418	135.68566336616163	0.0113927655938479
BA2420	92.4940177792892	0.0153802335516946
BA2421	91.31185986416747	0.0155226431216177
BA2423	84.67758172475536	0.0162346909712332
BA2425	162.79491087118302	0.0183708345200797
BA2426	55.81249060280109	0.0126744517231557
BA2427	49.06504183977397	0.0160922814013101
BA2429	151.06596918946528	0.0227855311876958
BA2440	135.89464622431606	0.02022215892908
BA2441	303.9044042244336	0.0401594987183138
BA2442	213.18153533200555	0.0185132440900028
BA2446	68.07249241660844	0.0152378239817715
BA2449	171.94192740645337	0.0180860153802335
BA2450	203.05409982012395	0.02022215892908
BA2452	193.1247259182125	0.0199373397892338
BA2454	131.56553160502267	0.0263457704357732
BA2455	82.35449417281512	0.0091142124750783
BA2456	61.180971099669165	0.0197949302193107
BA2459	87.45011280306524	0.0240672173170037
BA2461	85.85159772017813	0.0249216747365422
BA2463	41.31280183229365	0.0125320421532326
BA2464	107.24054284277707	0.018798063229849
BA2469	251.0946035683642	0.0125320421532326
BA2470	124.4127267962813	0.0213614354884648
BA2472	96.75468631074348	0.0175163771005411
BA2473	135.90179155823498	0.0233551694673882
BA2474	90.10814805826662	0.0143833665622329
BA2477	251.96199370434655	0.0242096268869268
BA2479	58.5148987250125	0.0286243235545428
BA2480	185.00097066910075	0.0182284249501566
BA2481	45.24202580176599	0.01011107946454
BA2482	179.89138144862451	0.0142409569923098
BA2483	170.9383763555678	0.0182284249501566
BA2485	174.4791578442435	0.015949871831387
BA2488	125.0322329857764	0.0178011962403873
BA2489	60.39576113585825	0.0149530048419253
BA2492	63.18416194926038	0.0119624038735403
BA2494	95.09040528581576	0.024636855596696
BA2496	45.25937170899411	0.0082597550555397
BA2497	42.28054193054178	0.0106807177442324
BA2499	101.23626725514532	0.0139561378524636
BA2500	199.5066088787393	0.0283395044146966
BA2501	120.03527020920772	0.0243520364568499
BA2502	129.68288700469952	0.0125320421532326
BA2505	175.77268062103064	0.0132440900028481
BA2507	148.35611675642977	0.0210766163486186
BA2510	37.039426921791566	0.013101680432925
BA2511	43.14309877006726	0.0166619196810025
BA2512	84.18061058654125	0.0250640843064653
BA2514	136.22047089526455	0.0213614354884648
BA2515	63.079763869883294	0.0116775847336941
BA2520	91.07509546057814	0.0142409569923098
BA2521	188.9495712148245	0.0210766163486186
BA2523	231.1519510714657	0.0139561378524636
BA2524	89.18268298048588	0.0118199943036172
BA2525	33.4185441002891	0.0408715465679293
BA2526	193.6457426221941	0.0206493876388493
BA2528	156.4198357593167	0.0217886641982341
BA2532	136.4370444751564	0.0225007120478496
BA2534	252.0719388356896	0.0213614354884648
BA2538	163.56922986240653	0.0270578182853887
BA2539	89.42632790129001	0.0136713187126174
BA2540	102.9294284547094	0.0109655368840786
BA2541	65.6930492624528	0.0136713187126174
BA2545	93.36255824417232	0.018798063229849
BA2546	68.15655886655676	0.0128168612930788
BA2552	371.11845971912896	0.0290515522643121
BA2559	139.1365522105781	0.017373967530618
BA2561	39.73792927932083	0.0098262603246938
BA2563	174.09947387656885	0.0212190259185417
BA2564	85.07499451835139	0.0112503560239248
BA2567	30.7649353050662	0.0205069780689262
BA2570	289.1494765836638	0.0233551694673882
BA2575	49.55685552128676	0.0074052976360011
BA2577	118.70210933626588	0.0210766163486186
BA2579	141.5662109630884	0.0290515522643121
BA2583	175.38868962690978	0.021646254628311
BA2584	57.36722309793788	0.0197949302193107
BA2587	156.35443522543525	0.0229279407576189
BA2588	190.10730529365503	0.0205069780689262
BA2589	160.10103382389008	0.0328966106522358
BA2592	206.67516523469448	0.0300484192537738
BA2593	0.131948509740975	0.0126744517231557
BA2594	115.70215184308827	0.013101680432925
BA2595	39.45864383623836	0.014525776132156
BA2597	97.936434541528	0.0133864995727712
BA2600	183.1853616101156	0.0166619196810025
BA2603	132.7224555535752	0.0166619196810025
BA2618	125.13469547601136	0.0180860153802335
BA2619	65.80756208405029	0.0133864995727712
BA2620	136.00222939519455	0.0111079464540017
BA2621	163.23017498489295	0.0166619196810025
BA2622	121.40379419765218	0.0219310737681572
BA2623	201.24225278348143	0.0243520364568499
BA2629	40.404138271266014	0.0237823981771575
BA2631	109.59519540707544	0.0165195101110794
BA2634	178.5576422875698	0.0148105952720022
BA2636	119.06478603350848	0.0146681857020791
BA2639	180.8138917906739	0.0195101110794645
BA2644	91.2566416483229	0.0178011962403873
BA2645	76.16513839589086	0.0209342067786955
BA2646	159.00708462304976	0.0247792651666191
BA2649	103.47973972281912	0.0197949302193107
BA2651	69.82136680760968	0.0126744517231557
BA2653	97.22040551437576	0.0269154087154656
