	RAD21	KRAS
BA2000	9.381081344897805	3.3836971111243868
BA2003	10.804738111151956	4.014852183319062
BA2004	13.335979114927524	7.518035805741788
BA2006	2.270388898058533	1.4759602284637354
BA2011	4.533384234237969	2.9764702068721984
BA2019	12.845973706067053	5.160280820392373
BA2020	10.474535979065164	4.544994361851094
BA2022	8.710936477994075	5.324298133885895
BA2023	10.766220668380647	1.835144329336911
BA2024	6.96521768918246	3.245164654062419
BA2025	10.505514139483594	4.368893180026906
BA2031	8.497243158696646	3.2522855283888856
BA2032	6.366887987848954	5.730829491703615
BA2033	10.68218662349429	5.173527870541233
BA2034	6.3724050702506645	3.914876856324424
BA2035	9.09435826239406	3.1099427952431493
BA2036	11.528528001706562	6.121214630742673
BA2037	12.161082044759937	4.675090272102132
BA2041	15.208390411040217	4.757182979338932
BA2044	11.425941509678632	3.010011912928463
BA2046	6.153405994615816	4.929163679288072
BA2047	7.212823003588878	4.291588003374781
BA2050	7.305722580287018	2.1958664129994023
BA2051	10.076275553605024	13.932897428776403
BA2052	13.286222314454694	11.076830685833263
BA2053	7.685499593258364	7.179162326710417
BA2054	11.47302251367756	1.88397156875176
BA2055	0.8900090654720321	0.5163086932955492
BA2063	10.446657944155708	11.878742352338724
BA2065	11.84997670061323	4.709459162983161
BA2066	8.783252326731535	4.58843490487509
BA2068	8.054864759728023	1.0796480997351472
BA2069	11.861180142963963	3.374270053532277
BA2072	5.724137968839168	3.1008031822093227
BA2079	5.054760892054986	2.7983494448591
BA2080	10.124380642568726	5.886285419771656
BA2081	4.620438733254882	2.38418961424661
BA2082	8.105587557245181	3.4924032820084148
BA2087	6.064210598186296	3.917030623224554
BA2088	11.119498790097158	7.004680788752677
BA2089	13.153433288445951	7.291872349620021
BA2093	13.89440940587197	1.7578389225148163
BA2094	14.301152628574505	7.903188528932866
BA2095	9.161177992328549	2.454555562270261
BA2096	9.584242645222831	2.1072502216250624
BA2097	16.873178231003937	9.091340105799269
BA2098	6.2107357582394345	2.230917639934675
BA2100	6.090356050041996	5.275330529503402
BA2101	6.636690901812592	3.4638826169083035
BA2104	5.107654904717963	2.996660859475001
BA2106	5.7185547695433705	3.161484912907255
BA2109	7.887808449114563	9.540899316685143
BA2110	4.875980173627301	2.2987931685922325
BA2113	9.1025554010968	2.6364578427557768
BA2116	17.398189447644924	6.107357577068696
BA2121	5.12776073278341	2.2078984581122234
BA2122	11.690318294638107	3.0534412888688838
BA2123	17.55701446978709	4.506886381838011
BA2124	12.868529500425566	3.484952671872221
BA2125	12.876343621232197	5.652914133071268
BA2132	9.340554458045636	5.0471863509910735
BA2133	6.955488449442417	10.65905362132722
BA2134	6.682310630032674	2.3488564434363868
BA2135	6.849923340263783	2.354831741553748
BA2139	6.787244348233263	2.5445168327484797
BA2143	13.400617340713	1.959566124342219
BA2148	5.204481045400393	3.447503945046714
BA2153	9.114530887927913	3.28774314707458
BA2155	5.233148408171361	2.437405193862981
BA2156	8.392648810880598	2.2730237889538194
BA2162	9.1097160557551	5.712025100440885
BA2163	14.314580633635316	6.421326448173804
BA2168	6.647345389277667	2.5309999180927623
BA2169	8.745864067224826	8.12047461860416
BA2171	10.679439120860676	4.2769316901618994
BA2172	13.50883390157314	2.0611136117329
BA2174	12.234477537030015	4.468216769572149
BA2175	21.02068584637091	5.319868359290954
BA2184	18.03765970365849	4.673610193914149
