	STAG2	NF1
BA2000	0.045373231419743	142.75490360837196
BA2003	0.0190274841437632	153.6363602362335
BA2004	0.0769230769230769	186.3131826561012
BA2006	0.0443974630021141	0.0
BA2011	0.040169133192389	72.85716052294515
BA2019	0.0617986664498292	204.9947885795207
BA2020	0.0865181330297609	274.7370236131756
BA2022	0.0530167506911693	126.77737922849806
BA2023	0.0211416490486257	57.57670274404444
BA2024	0.0845665961945031	129.19307576825068
BA2025	0.0416327858188323	135.04261049402936
BA2031	0.0066677508537973	47.7445319683995
BA2032	0.0380549682875264	215.03490271417868
BA2033	0.066352252398764	92.53923653042108
BA2034	0.0110587087331273	153.47329527828623
BA2035	0.0483005366726296	124.98326638084282
BA2036	0.0395186209139697	238.32690231687388
BA2037	0.0796877541063587	298.2964495900539
BA2041	0.045373231419743	135.22863046072317
BA2044	0.0426085542364612	82.04710015020497
BA2046	0.0606602699625955	144.0633694963439
BA2047	0.0476500243942104	123.2929360773152
BA2050	0.0213042771182306	95.22651628154628
BA2051	0.0489510489510489	90.68870047977845
BA2052	0.0442348349325093	110.66973675190388
BA2053	0.0393559928443649	129.04169527931813
BA2054	0.0422832980972515	115.25580563960666
BA2055	0.0203285087006017	1.861283467889972
BA2063	0.0499268173686778	56.62966505689601
BA2065	0.0434216945844852	201.62135608839577
BA2066	0.0788746137583346	124.09319568255268
BA2068	0.0367539437306879	78.65829945488635
BA2069	0.0377297121483168	57.54297490294547
BA2072	0.0289477963896568	86.57166007727321
BA2079	0.0591966173361522	61.12137145648837
BA2080	0.0250447227191413	157.83351245834615
BA2081	0.028785168320052	109.72745843655122
BA2082	0.0456984875589526	81.44008518006407
BA2087	0.0258578630671653	39.44265347415752
BA2088	0.0616360383802244	122.118312008315
BA2089	0.0291104244592616	166.7588903652543
BA2093	0.0352902911042445	120.06260334565768
BA2094	0.0351276630346397	80.35342502132465
BA2095	0.0396812489835745	125.72932620776494
BA2096	0.024394210440722	38.14635019971428
BA2097	0.0661896243291592	274.9535971649002
BA2098	0.0201658806309969	26.433437712180453
BA2100	0.0308993332249146	66.13538217435533
BA2101	0.0335013823385916	72.0511876030681
BA2104	0.0203285087006017	88.2053799306977
BA2106	0.0279720279720279	153.3726439647684
BA2109	0.0491136770206537	115.04825583911432
BA2110	0.0291104244592616	74.36471936282452
BA2113	0.0398438770531793	223.4154468177113
BA2116	0.0713937225565132	171.4319149038356
BA2121	0.0546430313872174	72.40096351612218
BA2122	0.0398438770531793	54.47294224439686
BA2123	0.0494389331598633	190.53116384213277
BA2124	0.0396812489835745	184.66017011723795
BA2125	0.0546430313872174	25.534304216960667
BA2132	0.0445600910717189	170.7127216635003
BA2133	0.0455358594893478	80.18133477228218
BA2134	0.0255326069279557	49.273239517076505
BA2135	0.0380549682875264	15.131785600875178
BA2139	0.031387217433729	41.481996912376765
BA2143	0.0361034314522686	96.97194172507986
BA2148	0.0273215156936087	89.68429975044664
BA2153	0.0632623190762725	146.4827052853341
BA2155	0.0278093999024231	71.92339924235235
BA2156	0.0526914945519596	168.64129625232474
BA2162	0.0489510489510489	147.29495642603302
BA2163	0.0496015612294682	217.2043669052266
BA2168	0.0139860139860139	130.512102414608
BA2169	0.033176126199382	178.1356567294738
BA2171	0.057570336640104	234.8583259532597
BA2172	0.0336640104081964	185.11095536230036
BA2174	0.0616360383802244	238.4854486070038
BA2175	0.0754594242966336	31.956107621459708
BA2184	0.0910717189786957	330.1887594161088
BA2195	0.0369165718002927	94.9760301511449
BA2198	0.0556187998048463	126.84489183593952
BA2200	0.0725321190437469	253.9343726061422
BA2201	0.0304114490161001	76.38543599082593
BA2209	0.0559440559440559	207.73969039082704
BA2211	0.0442348349325093	193.69321339903547
BA2212	0.019190112213368	150.1149855232797
BA2217	0.0466742559765815	173.74162856094
BA2218	0.0292730525288664	85.42607037036069
BA2220	0.0416327858188323	105.89447496974996
BA2221	0.0297609367376809	87.92724303286738
BA2224	0.0406570174012034	99.58333873414824
BA2226	0.0993657505285412	286.37231184395824
BA2227	0.0354529191738494	327.7142740138492
BA2228	0.0852171084729224	148.83302195542166
BA2229	0.0650512278419255	230.9272500432621
BA2233	0.0252073507887461	198.79246681895413
BA2234	0.0572450805008944	133.53026760274443
BA2235	0.0476500243942104	137.30408373585547
BA2236	0.0422832980972515	236.6977944710083
BA2239	0.033176126199382	93.44595003721206
BA2240	0.0757846804358432	349.65596137257995
BA2242	0.0502520735078874	288.5091193991156
BA2244	0.0578955927793137	189.13614877568463
BA2245	0.0580582208489185	206.20598869395417
BA2248	0.0187022280045535	103.99306477060202
BA2249	0.063750203285087	131.64751962240132
BA2251	0.0440722068629045	168.5185793587882
BA2256	0.0286225402504472	177.37594734399633
BA2260	0.0242315823711172	91.46311349201132
BA2261	0.0413075296796227	95.638364990932
BA2269	0.0413075296796227	127.34637686870389
BA2271	0.0774109611318913	178.74582923309202
BA2272	0.0509025857863067	155.30969220772613
BA2273	0.0322003577817531	82.10327672445598
BA2275	0.1136770206537648	179.28463600626125
BA2276	0.033176126199382	77.65718078840119
BA2277	0.0725321190437469	203.6065735095337
BA2280	0.0912343470483005	384.3268511749896
BA2281	0.0359408033826638	148.70915295462936
BA2282	0.0426085542364612	67.04868900711168
BA2286	0.0536672629695885	201.80223865128715
BA2288	0.0354529191738494	132.16680416497255
