	ASXL1	RUNX1
BA2000	0.0156650526915408	0.3158646553683877
BA2003	0.0155226431216177	0.4013244329079319
BA2004	0.0254913130162346	0.3087657605500394
BA2006	0.0561093705497009	0.0434516639435853
BA2011	0.0160922814013101	0.1227164865716172
BA2019	0.0243520364568499	0.2985802352609417
BA2020	0.0357448020506978	0.4234286826082905
BA2022	0.021646254628311	0.5851342050113773
BA2023	0.0109655368840786	0.2340222673641931
BA2024	0.0190828823696952	0.355324854052362
BA2025	0.015949871831387	0.0980119356459087
BA2031	0.0135289091426943	0.2926282036740446
BA2032	0.0149530048419253	0.3819240898337823
BA2033	0.0229279407576189	0.2493802875679197
BA2034	0.026060951295927	0.4487978343101674
BA2035	0.0195101110794645	0.5157778625167798
BA2036	0.0197949302193107	0.8388414173535819
BA2037	0.0299060096838507	0.4592527844731488
BA2041	0.0200797493591569	0.2588665449447568
BA2044	0.0152378239817715	0.4545446668656925
BA2046	0.0294787809740814	0.5157814038241734
BA2047	0.0254913130162346	0.3310338573537499
BA2050	0.0111079464540017	0.3165709499854057
BA2051	0.0209342067786955	0.3938825853566675
BA2052	0.0364568499003133	0.3736513203619646
BA2053	0.013101680432925	0.3085386934826425
BA2054	0.0126744517231557	0.2938030708808976
BA2055	0.0113927655938479	0.0589301162250986
BA2063	0.0438621475363144	0.0920561794793435
BA2065	0.0190828823696952	0.5219851276879832
BA2066	0.0259185417260039	0.4636862910150136
BA2068	0.0156650526915408	0.4141447851298147
BA2069	0.0170891483907718	0.1889841436797342
BA2072	0.0111079464540017	0.3501484859597172
BA2079	0.0108231273141555	0.1133866749489385
BA2080	0.017373967530618	0.1281109492294557
BA2081	0.0139561378524636	0.5058095747966009
BA2082	0.0178011962403873	0.1837415500653363
BA2087	0.0099686698946169	0.1262338198212069
BA2088	0.0226431216177727	0.1123074663292034
BA2089	0.0229279407576189	0.3022986007009235
BA2093	0.028909142694389	0.7187506601942814
BA2094	0.0168043292509256	0.6344199058410083
BA2095	0.017373967530618	0.5760620116676848
BA2096	0.013101680432925	0.1373108299661647
BA2097	0.0350327542010823	0.5803880630099275
BA2098	0.0118199943036172	0.190269033493088
BA2100	0.0136713187126174	0.2614480767212281
BA2101	0.027485046995158	0.2374995044039177
BA2104	0.0078325263457704	0.1869198487063524
BA2106	0.0160922814013101	0.3996681074992766
BA2109	0.0121048134434634	0.1611528749668292
BA2110	0.0099686698946169	0.1412447000291279
BA2113	0.0313301053830817	0.4636009687036643
BA2116	0.0273426374252349	0.247156774264995
BA2121	0.0250640843064653	0.4045254318806516
BA2122	0.0093990316149245	0.2333023284722314
BA2123	0.0227855311876958	0.3247570771477333
BA2124	0.0197949302193107	0.547448699385894
BA2125	0.0186556536599259	0.3106537800341222
BA2132	0.0225007120478496	0.4028966828390375
BA2133	0.0262033608658501	0.0821775067247399
BA2134	0.008686983765309	0.1773124117797484
BA2135	0.0264881800056963	0.3643324954167157
BA2139	0.0089718029051552	0.1190683935976216
BA2143	0.0176587866704642	0.2887462269645254
BA2148	0.013101680432925	0.2213584146383362
BA2153	0.0196525206493876	0.3382966437468907
BA2155	0.0163771005411563	0.1000285399730431
BA2156	0.0186556536599259	0.1665121141157881
BA2162	0.0172315579606949	0.2075276098890612
BA2163	0.0212190259185417	0.3639867216910707
BA2168	0.0139561378524636	0.3370682973422069
BA2169	0.0233551694673882	0.2424274050615774
BA2171	0.0259185417260039	0.6888123828281181
BA2172	0.0133864995727712	0.1712153320146594
BA2174	0.0189404727997721	0.3644123896008013
