	STAG2	PTPN11
BA2000	0.045373231419743	18.33296095742878
BA2003	0.0190274841437632	7.823075791431777
BA2004	0.0769230769230769	23.47420820016641
BA2006	0.0443974630021141	1.599279212987121
BA2011	0.040169133192389	9.225160864995647
BA2019	0.0617986664498292	25.598812631833862
BA2020	0.0865181330297609	31.59595324254756
BA2022	0.0530167506911693	27.51591386957487
BA2023	0.0211416490486257	11.535227276580512
BA2024	0.0845665961945031	13.850349536088828
BA2025	0.0416327858188323	25.182250566504557
BA2031	0.0066677508537973	17.168571781077897
BA2032	0.0380549682875264	15.901849480276256
BA2033	0.066352252398764	18.392220963768025
BA2034	0.0110587087331273	16.75767370192132
BA2035	0.0483005366726296	26.829544816139027
BA2036	0.0395186209139697	21.002511009591736
BA2037	0.0796877541063587	41.28393670453848
BA2041	0.045373231419743	20.85594645881212
BA2044	0.0426085542364612	18.514651646389066
BA2046	0.0606602699625955	17.74777341783675
BA2047	0.0476500243942104	23.775755698786437
BA2050	0.0213042771182306	14.032474625170588
BA2051	0.0489510489510489	23.501722762533824
BA2052	0.0442348349325093	19.346997032607323
BA2053	0.0393559928443649	13.034239391027915
BA2054	0.0422832980972515	15.071847659067448
BA2055	0.0203285087006017	1.0119939151741806
BA2063	0.0499268173686778	14.18531242809262
BA2065	0.0434216945844852	23.213042788974004
BA2066	0.0788746137583346	27.549712577286414
BA2068	0.0367539437306879	15.169594363553628
BA2069	0.0377297121483168	19.64144687919452
BA2072	0.0289477963896568	12.509935270285276
BA2079	0.0591966173361522	8.072035025066661
BA2080	0.0250447227191413	14.96790543407779
BA2081	0.028785168320052	15.613771421052876
BA2082	0.0456984875589526	16.516465158266154
BA2087	0.0258578630671653	14.418054675323518
BA2088	0.0616360383802244	24.432406247519264
BA2089	0.0291104244592616	26.42817527039773
BA2093	0.0352902911042445	24.761557552881506
BA2094	0.0351276630346397	22.84219653932653
BA2095	0.0396812489835745	22.24726061747656
BA2096	0.024394210440722	9.782062235194408
BA2097	0.0661896243291592	29.00078867269143
BA2098	0.0201658806309969	4.89760845693884
BA2100	0.0308993332249146	12.578431475402214
BA2101	0.0335013823385916	12.241955188427031
BA2104	0.0203285087006017	9.678008579946416
BA2106	0.0279720279720279	11.404555741858657
BA2109	0.0491136770206537	10.752236348741445
BA2110	0.0291104244592616	9.173325205003731
BA2113	0.0398438770531793	24.25003415351566
BA2116	0.0713937225565132	34.54667256955986
BA2121	0.0546430313872174	24.484211565819702
BA2122	0.0398438770531793	8.187921438696502
BA2123	0.0494389331598633	32.82053187434948
BA2124	0.0396812489835745	17.461741457522745
BA2125	0.0546430313872174	26.753085869426155
BA2132	0.0445600910717189	20.169400258241318
BA2133	0.0455358594893478	9.257241245749476
BA2134	0.0255326069279557	11.564212451003634
BA2135	0.0380549682875264	16.330691859452898
BA2139	0.031387217433729	11.507169535521824
BA2143	0.0361034314522686	20.26836326082831
BA2148	0.0273215156936087	15.675843108585529
BA2153	0.0632623190762725	24.095696669288905
BA2155	0.0278093999024231	13.399294045807633
BA2156	0.0526914945519596	16.931888260327074
BA2162	0.0489510489510489	23.524442921627767
BA2163	0.0496015612294682	32.49912164853597
BA2168	0.0139860139860139	13.863873737481438
BA2169	0.033176126199382	30.814991909118284
BA2171	0.057570336640104	23.18947927011344
BA2172	0.0336640104081964	16.795517788395873
BA2174	0.0616360383802244	23.163838646228943
BA2175	0.0754594242966336	22.39949600661436
BA2184	0.0910717189786957	39.81395373361203
BA2195	0.0369165718002927	14.438988301694582
BA2198	0.0556187998048463	24.498350035075635
BA2200	0.0725321190437469	27.20417627027473
BA2201	0.0304114490161001	10.05949923649511
BA2209	0.0559440559440559	22.20851929911572
BA2211	0.0442348349325093	21.02631899069189
BA2212	0.019190112213368	16.10636029935567
BA2217	0.0466742559765815	17.405562540348775
BA2218	0.0292730525288664	6.878393864241168
BA2220	0.0416327858188323	20.14637088171025
BA2221	0.0297609367376809	13.92990006687362
BA2224	0.0406570174012034	15.825637213283208
BA2226	0.0993657505285412	35.989485894319195
BA2227	0.0354529191738494	20.910382367639677
BA2228	0.0852171084729224	31.927487025931413
BA2229	0.0650512278419255	23.056486557637434
BA2233	0.0252073507887461	11.761458404505191
BA2234	0.0572450805008944	24.054342043995
BA2235	0.0476500243942104	17.067020253453286
BA2236	0.0422832980972515	17.314869257465272
BA2239	0.033176126199382	12.77104820432132
BA2240	0.0757846804358432	33.17334597209446
BA2242	0.0502520735078874	15.237455455980948
BA2244	0.0578955927793137	16.925820528737685
BA2245	0.0580582208489185	27.47398546311995
BA2248	0.0187022280045535	18.155268511562515
BA2249	0.063750203285087	19.97463299408348
BA2251	0.0440722068629045	24.14242187116462
BA2256	0.0286225402504472	21.401582298666927
BA2260	0.0242315823711172	15.232493343082629
BA2261	0.0413075296796227	13.631458148123675
BA2269	0.0413075296796227	7.328556613973234
BA2271	0.0774109611318913	23.98460277768552
BA2272	0.0509025857863067	13.50913898194892
BA2273	0.0322003577817531	21.07546663553913
BA2275	0.1136770206537648	31.218741695811683
BA2276	0.033176126199382	9.934136281708742
BA2277	0.0725321190437469	29.221652377436328
BA2280	0.0912343470483005	36.38874163228378
BA2281	0.0359408033826638	24.831129720843258
BA2282	0.0426085542364612	10.789451974244848
BA2286	0.0536672629695885	19.38545941760825
BA2288	0.0354529191738494	12.094613771990195
