#Boxplots d'expressions du gène SRSF2 en fonction de la feature inferred_sex
#Résultat du test statistique ANOVA : F = 3.670, p-value = 0.02623
#Tableau des résultats :
Sample     Feature  ExpressionGene
BA2501        Male        1.570918
BA2301      Female        1.119567
BA2880        Male        1.168609
BA2621        Male        0.945059
BA2866        Male        1.997726
BA2212        Male        1.136340
BA2477        Male        1.396830
BA2685        Male        1.267872
BA2273        Male        1.665548
BA2124        Male        1.831260
BA2400      Female        1.404137
BA2762      Female        1.095997
BA2312      Female        1.083802
BA2813        Male        1.812033
BA2211      Female        1.891867
BA2171      Female        1.460447
BA2746      Female        1.113496
BA2798        Male        1.210243
BA2588        Male        1.383036
BA2296      Female        1.445282
BA2300 Female;Male        1.980522
BA2545        Male        0.998172
BA2840      Female        1.771598
BA2528        Male        1.220304
BA2646        Male        0.980202
BA3067        Male        0.694455
BA2926        Male        1.128310
BA2272        Male        0.999462
BA2306        Male        0.881255
BA2726      Female        0.733473
BA2234      Female        1.066700
BA2022      Female        1.583049
BA2037        Male        1.242804
BA2184        Male        1.487224
BA3009      Female        1.611921
BA2442      Female        1.029127
BA2882        Male        0.732208
BA2347        Male        0.796522
BA2570        Male        0.798396
BA2721      Female        0.508926
BA2728      Female        0.741049
BA2098      Female        0.835579
BA2951      Female        0.906170
BA2778      Female        0.416243
BA3153        Male        1.224209
BA2820        Male        0.466520
BA2704      Female        1.137880
BA2584        Male        1.494537
BA3079        Male        1.427994
BA2361      Female        0.975855
BA2472        Male        0.886967
BA2047      Female        1.403187
BA2101        Male        0.977138
BA2082        Male        0.885778
BA2456        Male        0.771045
BA2175      Female        1.356065
BA2507        Male        1.703582
BA2563        Male        1.691169
BA2984        Male        1.416948
BA2414        Male        1.536910
BA2697      Female        1.486302
BA2644        Male        1.441998
BA2011        Male        1.024295
BA2217        Male        1.778451
BA2454        Male        1.981374
BA2776      Female        2.036559
BA2135      Female        2.385117
BA2914      Female        1.237670
BA2500      Female        1.363693
BA3108      Female        0.933184
BA2303      Female        0.844621
BA2160        Male        1.046306
BA2590        Male        1.288285
BA3195        Male        0.853937
BA3036      Female        0.885346
BA2971        Male        0.935292
BA3410        Male        1.079872
BA3118      Female        1.097330
BA3206      Female        0.929417
BA3217        Male        1.062292
BA3405        Male        0.584466
BA3306      Female        0.836505
BA3413      Female        1.324407
BA3411      Female        0.942086
BA3133        Male        1.198613
BA3451      Female        0.748493
BA3286      Female        1.183321
BA3212      Female        1.073509
BA3103      Female        0.880999
BA3271      Female        1.111183
BA3152        Male        1.022993
BA3095      Female        1.150739
BA3251      Female        0.964121
BA3362      Female        1.139969
BA3135        Male        1.156106
BA3408      Female        0.921586
BA3098        Male        1.146601
BA3435        Male        0.759041
BA3261      Female        1.118649
BA3203        Male        1.423020
BA3299      Female        0.877117
BA3347      Female        1.205900
BA3126        Male        0.684390
BA3418        Male        0.717022
BA3245      Female        1.074375
BA3085      Female        0.968536
BA3171        Male        0.966555
BA3277        Male        1.440283
BA3157        Male        1.485457
BA3433        Male        1.273135
BA3374        Male        0.854077
BA3450      Female        1.021003
BA3167        Male        0.809139
BA3269      Female        0.808141
BA3110        Male        1.128088
BA3156        Male        1.134899
BA3226      Female        1.296528
BA3421      Female        0.713620
BA3232      Female        1.300536
BA3289        Male        0.660309
BA3430      Female        0.582857
BA3384      Female        1.098510
BA3427        Male        0.866554
BA3449        Male        1.174983
BA3163      Female        0.898160
BA3158        Male        1.342938
BA3436      Female        1.064223
BA3154      Female        1.154566
BA3162        Male        0.582287
BA3352        Male        0.813455
BA3084        Male        1.469641
BA3149      Female        0.871009
BA3169      Female        1.018362
BA3180        Male        0.994197
BA3255        Male        1.184167
BA3438        Male        1.364634
BA3345      Female        1.130947
BA3431      Female        0.691190
BA3181      Female        0.565886
BA3341      Female        0.720539
BA3191        Male        0.888898
BA3197      Female        0.779795
BA3448      Female        0.985199
BA3453      Female        1.043712
BA3406        Male        1.420604
BA3334      Female        0.746995
BA3447        Male        1.105975
BA3116      Female        0.983413
BA3280        Male        1.077495
BA3185        Male        0.687490
BA3094        Male        0.714812
BA3318      Female        0.746067
BA3216      Female        1.274258
BA3332      Female        1.253986
BA3373      Female        1.096232
BA3319        Male        0.650691
BA3328      Female        0.950157
BA3240      Female        0.751761
BA3142        Male        0.724976
BA3333        Male        0.945377
BA3381        Male        0.916484
BA3290        Male        0.813860
BA3207        Male        0.436982
BA3305        Male        0.715986
BA3434      Female        0.996726
BA3189        Male        0.826652
BA3264        Male        1.296631
BA3329        Male        1.166939
BA3225        Male        0.477294
BA3397        Male        1.126257
BA3311        Male        0.511843
BA3422      Female        1.378244
BA3213        Male        1.114285
BA3415      Female        1.239099
BA3270      Female        0.797994
BA3324        Male        0.872911
BA3335      Female        1.120082
BA3199        Male        1.404087
BA3326        Male        0.902858
BA3297      Female        0.874214
BA3227      Female        0.890797
BA3412      Female        0.862172
BA3250        Male        1.209109
BA3177        Male        1.273632
BA3315      Female        0.816828
BA3182        Male        0.824708
BA3369        Male        1.089453
BA3078        Male        0.682214
BA3386      Female        1.049885
BA3176      Female        0.824697
BA3258      Female        0.739685
BA3295        Male        0.760087
BA3136        Male        0.637957
BA3234        Male        0.468413
BA3087        Male        0.935912
BA3454      Female        1.024347
BA3302        Male        0.907215
BA3117        Male        1.048854
BA3266      Female        0.930960
BA3268      Female        0.840798
BA3229        Male        0.757476
BA3353      Female        1.214997
BA3312        Male        1.019714
BA3119      Female        0.861378
BA3219        Male        0.659967
BA3351      Female        1.353130
BA3357        Male        1.203997
BA3208      Female        1.128696
BA3310        Male        0.833484
BA3200      Female        1.067718
BA3146        Male        1.147476
BA3211        Male        0.929837
BA3130        Male        0.452435
BA3376      Female        1.043849
BA3137        Male        0.977657
BA3300        Male        1.064739
BA3375      Female        1.108134
BA3385      Female        0.877021
BA3416        Male        1.069963
BA3123        Male        0.796850
