ID Sample	Abundance	TotalKmers	NormalizedExpression	specimenType
BA2514	22.448275862068964	8352851920.0	2.687498363082314	Bone Marrow Aspirate
BA2619	77.58620689655173	4643956660.0	16.706918814473116	Peripheral Blood
BA2441	376.2758620689655	9789721620.0	38.435808154161336	Peripheral Blood
BA3156	516.6206896551724	8747320680.0	59.06044931408327	Peripheral Blood
BA2546	125.48275862068964	6058732820.0	20.711056643143017	Bone Marrow Aspirate
BA2224	52.62068965517241	7093041200.0	7.418635839190165	Bone Marrow Aspirate
BA3245	17.724137931034484	9354306920.0	1.8947569373781552	Peripheral Blood
BA2425	76.65517241379311	7188094900.0	10.664184805600314	Peripheral Blood
BA2113	309.3793103448276	8617071400.0	35.903069150016286	Bone Marrow Aspirate
BA2275	260.55172413793105	12073133100.0	21.581119165987747	Bone Marrow Aspirate
BA3410	84.44827586206897	9109860060.0	9.269986070682734	Bone Marrow Aspirate
BA3438	320.2758620689655	9745327480.0	32.86455613998161	Bone Marrow Aspirate
BA2220	411.86206896551727	5350323580.0	76.9789084355749	Bone Marrow Aspirate
BA3079	14.037037037037036	7646813160.0	1.8356715069833138	Peripheral Blood
BA2273	37.51724137931034	7974097320.0	4.704888826126132	Bone Marrow Aspirate
BA2832	40.82758620689656	7839564180.0	5.2078897843651	Peripheral Blood
BA3040	80.55172413793103	6065394020.0	13.280542677412246	Bone Marrow Aspirate
BA3152	94.89655172413794	9697777040.0	9.785392191707672	Bone Marrow Aspirate
BA2948	12.727272727272728	8909130020.0	1.4285651571703886	Peripheral Blood
BA3142	135.82758620689654	11267704420.0	12.054592589933819	Peripheral Blood
BA3324	124.89655172413794	11301158400.0	11.051659246200632	Bone Marrow Aspirate
BA3397	46.689655172413794	11737474482.0	3.9778280450376866	Bone Marrow Aspirate
BA2594	45.93103448275862	5786195520.0	7.9380370614850255	Bone Marrow Aspirate
BA3427	19.55172413793104	10727664912.0	1.8225517200915193	Peripheral Blood
BA3362	65.79310344827586	8923147100.0	7.373307053099669	Bone Marrow Aspirate
BA2125	107.34482758620688	7232958740.0	14.84106732042645	Bone Marrow Aspirate
BA2195	24.58620689655172	6109572840.0	4.024210454711874	Peripheral Blood
BA2033	16.517241379310345	9682106420.0	1.7059553637203613	Peripheral Blood
BA3315	170.13793103448276	9651606662.0	17.627938745612628	Peripheral Blood
BA3450	18.0	9835947800.0	1.8300219120723678	Bone Marrow Aspirate
BA3040	157.6551724137931	6065394020.0	25.99256897308596	Bone Marrow Aspirate
BA2441	374.0	9789721620.0	38.203333508067615	Peripheral Blood
BA2011	34.206896551724135	8141679840.0	4.201454395647684	Peripheral Blood
BA2020	612.9310344827586	10986815980.0	55.787867531277115	Bone Marrow Aspirate
BA2022	375.6896551724138	8693195840.0	43.21651807770775	Peripheral Blood
BA2023	79.27586206896552	6204715440.0	12.776711975846153	Bone Marrow Aspirate
BA2024	212.20689655172413	10864332780.0	19.532437090142604	Bone Marrow Aspirate
BA2031	315.2068965517241	6572317360.0	47.95978028543103	Bone Marrow Aspirate
BA2033	44.89655172413793	9682106420.0	4.637064475081233	Peripheral Blood
BA2036	105.44827586206895	7970342380.0	13.230081072385369	Peripheral Blood
BA2041	95.89655172413794	6907664540.0	13.88263010874844	Bone Marrow Aspirate
