	TP53	IDH1
BA2375	7.07994856692804	5.84864920436747
BA2485	7.51413414557592	6.60051001058414
BA2455	6.16950493399515	6.61484329859941
BA2025	7.06736498172321	6.18727628290146
BA2636	5.63282770326011	2.95707573664305
BA2325	6.0844698592588	7.31937809888862
BA2169	5.15597615770657	4.2685172238636
BA2156	7.78123623973778	6.53347844553203
BA2511	5.1329891862807	3.63778681479032
BA2939	5.4256501409614	5.88920214405522
BA2168	6.17556084584677	6.03566200297907
BA2505	6.06427837502978	4.82328175599878
BA2860	6.30187774864901	5.15668163101419
BA2707	5.67887021391384	5.24611528011748
BA2871	3.82296440324922	5.56596083132182
BA2655	6.81265459274061	4.94485331976651
BA2227	6.51302546929391	4.77735183811143
BA2125	6.90814621424913	6.43000064848533
BA2523	6.94819581980106	6.26118056372206
BA2603	6.97110220501606	6.25896920678185
BA2808	0.227105256821812	5.30025672574144
BA2282	5.86057748465192	5.83716487793583
BA2482	6.56583781452914	6.93954050250455
BA2812	6.40314188601748	5.82934773365488
BA2822	6.13119942059496	7.20386734649371
BA2594	6.53249965977741	6.94945791531145
BA2747	6.91069984449294	5.23068767781653
BA2561	6.72062167573975	7.35863482899504
BA2567	4.61468245344628	3.40936163024976
BA2906	7.19145743010941	6.56583781452914
BA2956	4.65298561876012	4.93680420181051
BA2474	6.87788091401863	6.41993290039897
BA2737	5.1731127627033	7.00490622738367
BA2110	5.89165055148412	6.60579006500373
BA2992	6.00599295147661	5.29873886453286
BA2220	7.23974353995359	5.88005273032646
BA2772	5.69028030333394	4.20752353675978
BA2935	5.80651617633479	5.76293182295601
BA2260	6.26972531039322	6.30695343234241
BA2676	6.32546109149907	6.47376016789819
BA2948	4.29566916323682	4.45829690708788
BA2524	5.1674510313935	4.71338041148762
BA2811	6.82008128976274	5.95983280142242
BA2540	5.60231976530737	5.10108468850577
BA2928	7.62437772428186	6.62899851308068
BA2302	4.46338478207428	4.35980493218316
BA2595	5.64956635618765	4.7899749730526
BA2792	6.54042498941119	5.62043017440298
BA2651	5.03323587286023	4.51902825678144
BA2619	6.36467185423724	6.57921927462639
BA3013	7.35390839708449	6.23486418682469
BA2405	5.17133494272832	4.63387310843381
BA2735	4.91685437213902	6.01046707595227
BA2856	4.89451135230491	4.64521147205465
BA2377	6.1522898333018	4.72354417544082
BA2499	5.5722787954592	3.58175052756526
BA2463	5.50353774574014	7.01129464656936
BA3023	5.59326337181961	3.85081185407147
BA2095	7.28899814708616	6.09645228197541
BA2901	5.90353378741165	5.0241682886734
BA2275	5.9092894586333	6.14149524736616
BA2387	7.46363654414575	6.07906325231323
BA2962	7.25790347094091	7.45670028367566
BA2195	5.63436770223251	4.08320598972476
BA2688	5.56596083132182	3.23858596558685
BA2787	5.08010536468567	5.66936167999459
BA2420	7.47416545591404	5.91360220597683
BA2756	5.34186047637261	4.39589281624757
BA2122	4.6788765540465	3.22968112507528
BA2053	5.62530338833762	5.25892746258291
BA2080	5.36939086109841	4.29267969728308
BA2081	7.12814379144502	7.18078818168097
BA2354	6.91137383646976	6.26203648745747
BA3273	2.90245258168608	4.10948809536277
BA2893	7.04851156959908	5.61817308697624
BA2044	7.41702873174962	6.28823715765654
BA2489	5.07550246590364	3.22332800972844
BA2309	7.10380554442151	5.45489161608543
BA2720	5.55739491408236	3.85948948082755
BA2908	7.22867709025789	6.09727224274201
BA2054	5.68192875741287	6.44947039282618
BA2872	5.57710363902521	5.47433300541024
BA2526	5.85300580466056	3.54989691248403
BA2041	5.97482137009541	3.74848704611698
BA2464	6.87466227370096	6.04982213026608
BA2902	5.4000323249	5.08617132532278
BA2541	7.19482368325309	6.29556241973791
BA2143	6.22378350328208	5.1308809152012
BA2094	6.63707820351379	7.53511002571526
BA2769	5.11782405199582	4.72632902528561
BA2843	4.89378286978426	4.576912820314
BA2592	6.14235074085009	4.04795438154792
BA2497	6.42575430557831	7.27462693268534
BA2718	7.56567805381962	6.75597489483719
BA2575	6.39073862378253	7.35298985161002
BA2096	6.5435898741168	5.90476239808708
BA2593	6.6263105848456	7.86375133258917
BA2791	5.76878858309535	3.89144729146833
BA2620	6.67392482770239	7.07695814218809
BA2629	7.49256176412129	6.1725191860544
BA2870	7.74666982029682	7.69160326863138
BA2423	5.05998896160971	5.07164095305392
BA2682	6.06213168198286	5.90076617867574
BA2276	6.23256384367835	4.91022290966011
BA2348	4.57477973250303	4.81265842584299
BA2709	6.1833788007571	6.54150806703429
BA2789	7.34082017175962	5.91554817043997
BA2694	5.24967382044831	4.4543011664344
BA2538	5.06527754778608	4.37307759807115
BA2583	6.37732984108365	5.2008194787507
BA2415	6.30695343234241	6.07987511764245
BA2722	5.21996006204262	4.94450171912077
BA2806	6.08621852980205	6.08879387607679
BA2221	5.73973435709854	5.57935496877716
BA3025	7.49042755149826	5.87927912302444
BA2514	5.00447988229452	4.5993645555515
BA2520	5.86536301251181	4.59723676314568
BA2441	7.44839655086442	5.83369852515391
BA2153	6.10234706288177	4.98513676810276
BA2479	5.29451713018208	2.61422648503115
BA2281	6.87788091401863	5.98958134739074
BA2657	6.68181953854303	6.58623483162294
BA2932	7.70582137825133	7.48594354331146
BA2123	6.39599982532293	4.52334899104318
BA2844	6.35627429889414	5.43657703696705
BA2660	6.84098754890722	6.80545390529169
BA2836	4.58619939617121	4.62427313618414
BA3027	4.57370858506955	4.19644815920318
BA2714	6.82188197814107	7.14998539597838
BA2139	6.24185782368877	7.28622892412638
BA2251	7.82261702082019	6.17773554711095
BA2952	7.1445927897216	7.21378004978512
BA2440	2.38194954250065	5.27576605306409
BA2036	6.85895592875875	6.68593691853273
BA2828	5.93777047922961	6.34322095252985
BA2292	7.05721925341645	5.09390910729551
BA2410	4.87481382301932	4.9819516092596
BA2051	3.74222249554182	4.798374704262
BA2532	4.89906895806818	5.86821930876448
BA2986	6.92111028015582	6.7892246921242
BA2494	4.8850340180221	3.75076608161682
BA2515	5.15886081295599	4.05242084925905
BA2748	7.40707286933197	6.45455803457724
BA2970	5.24755295562951	4.23547754378357
BA2622	6.51970766408759	5.88961440143981
BA2839	4.57050598081279	5.32846021235263
BA2052	6.02245886806957	4.36867112545861
BA3011	5.49620333322403	4.83233699169056
BA2868	6.99309781087009	6.88867708372879
BA2510	6.43793151264448	4.67922683289374
BA2065	6.97592290315855	6.91069984449294
BA2691	6.06843510757967	6.43193622663115
BA2374	7.00642277827321	7.58991392876001
BA2804	6.34503333401511	5.2695794873648
BA2670	5.49867482524586	4.93263432505861
BA2675	7.10235206017353	7.41008797800013
BA2589	5.1329891862807	3.43461282312155
BA2031	7.10925539195399	6.82612058067876
BA2198	7.25440312060941	6.5550219238791
BA2066	7.26938021173089	6.1842076331656
BA2344	7.46260985261637	5.95439094102815
BA2459	5.71368801694621	5.73516831539579
BA2229	5.40590227988363	4.10073895515048
BA2559	5.6290939324601	5.07408997846094
BA2093	5.51092026987085	5.34151860321391
BA2000	7.17116786854616	7.95765939482996
BA2425	5.8584977958134	4.80920574953976
BA2905	5.49361387353109	3.14612847066654
BA2304	6.02328497818552	7.6112304020112
BA2976	6.4673102312229	6.03067265261494
BA2386	5.5268548517384	4.25981249131916
BA2035	7.1288906231397	5.46628439479905
BA2760	5.41465485346035	5.35302745757832
BA2201	7.07251029744415	7.15481965297646
BA2355	4.41532323585857	2.57374882661096
BA2113	6.94881589861991	6.24956354515351
BA2155	6.81026452482456	4.31592922692549
BA2955	6.52630500155159	6.58727608652663
BA2502	6.66232694076894	6.82247572050957
BA2322	6.32590234144832	5.6147813580075
BA2376	6.6601420957489	6.97110220501606
BA2020	7.56206988956539	5.92833030401015
BA2226	6.7421473941764	6.57772759538865
BA2200	7.31484141146978	6.44374763893835
BA2121	6.93827202821145	5.63513768849615
BA2944	7.40609048790591	4.64167507429005
BA2033	4.4255355439253	5.27249782330272
BA2867	5.44461485443026	3.686686945389
BA2089	6.37831338727117	6.66232694076894
BA2224	5.98876336939614	4.84073982458941
BA2046	5.08690717420201	4.41752853740495
BA2972	6.65295694076347	5.58233779466511
BA2978	6.1725191860544	5.90476239808708
BA2829	6.66836924971821	6.5851771545889
BA2851	6.6656439229699	6.52531304614774
BA2587	6.82430487390793	6.46680230521735
BA2461	5.94954564902513	4.97525881373139
BA2695	5.06034106840668	4.76744564892536
BA2623	7.2808607611199	5.17806224044823
BA2024	6.16739291737488	5.21467303087656
BA2426	5.90761820174496	5.06916581711999
BA2271	6.57195133441217	5.61291824722341
BA3004	7.27718305881569	5.9059700222253
BA2579	6.39599982532293	5.11604418341834
BA3010	6.40785243829132	5.43991302011835
BA2662	7.00423488076259	6.72757025712009
BA2674	6.61328782678973	4.64236314712384
BA2280	7.50002964161751	6.60421812247539
BA2512	6.36648969189247	7.07626127790368
BA2658	6.51657057172327	6.0515207109664
BA2394	6.12947427780454	6.19874995357892
BA2950	6.24055068924258	5.51054741525892
BA2981	3.91918119992111	4.82920315142492
BA2934	4.63280713637761	3.15379592329678
BA2539	6.03692689677874	5.69683059962592
BA2249	6.88614746987226	7.28989199463087
BA2034	7.18078818168097	5.90196356256727
BA2109	4.73402493935974	5.04550512990365
BA2242	6.34412105865143	4.49812951936181
BA2277	7.13198010911185	6.49454808629482
BA2727	7.19738153999511	5.04344198379719
BA2132	5.44826154156483	4.47573564141147
BA2618	6.62357481456438	6.51917819512762
BA2521	7.02624764830014	7.60876718089275
BA2846	6.09387139945137	5.10282218386209
BA2885	6.59569193185131	8.3695120975799
BA2639	7.29348678773891	6.32360812377741
BA2775	6.54456958822718	6.51657057172327
BA2402	5.83678289113702	4.97105541814246
BA2097	5.89165055148412	4.20135659440007
BA2786	6.6268478891503	6.43335604753767
BA2399	6.8791208631907	6.07775440645337
BA2850	5.81839607751016	5.43546904513176
BA2174	6.49504433110095	6.13208464272519
BA2004	6.59256890621003	5.26566945651455
BA3001	7.67233847579442	6.34691329698472
BA2311	5.98546472831244	5.8717903577196
BA2483	6.85025853686514	7.05570452227078
BA3040	7.4372988989966	5.54245080282141
BA2837	6.23620830247888	5.24035827892386
BA2724	4.95436820669726	5.6643875190661
BA2911	6.6639864599992	6.06121727575126
BA2256	6.45750445904916	6.20314139469901
BA2821	7.09853964665219	6.91793209354363
BA2233	5.47397012091034	4.79452735368346
BA2744	7.52657913903788	6.82008128976274
BA2880	5.89840678151491	5.0883096858926
BA2621	5.39605181278963	4.96162900206024
BA3002	6.79581543973709	7.49042755149826
BA2501	6.48066088985819	5.76686556527581
BA2993	5.57935496877716	5.56967790109069
BA2301	5.09007782361131	4.86287652588537
BA2852	4.49309800823268	2.47641329200189
BA2133	4.62677440639043	3.1582319317872
BA2866	6.72932018001604	5.37084951659886
BA2212	5.34471469248409	4.78927104224353
BA2685	6.06637986410425	3.97791568550573
BA2273	5.75263805334011	4.97353447958461
BA2477	7.25358458154246	6.59734342436169
BA2659	6.22243678568209	5.69757983119209
BA2124	7.5725144548201	4.78927104224353
BA2363	6.26429986711095	6.58673582096521
BA2369	5.0883096858926	4.24276500476702
BA2534	7.20308831152753	6.43983576769468
BA2400	6.90940702790402	6.50804753914762
BA2762	5.58914523241343	5.08403773679609
BA2312	5.95116187542659	5.91835525147628
BA2813	6.42812418967041	5.85936501205287
BA2211	7.49457772487061	6.53298741802549
BA2171	7.00146186913291	6.05611661620259
BA2746	5.85501990072082	6.80845562026412
BA2798	5.2557008751781	4.18830550628692
BA2809	6.47426873472503	5.03892605141629
BA2288	4.81163956900901	4.70912069685916
BA2801	4.20521607487653	4.6961161698671
BA3030	6.59519386649706	6.26927993913723
BA2588	6.60688950527526	5.36902005012398
BA2296	7.145353174227	6.11380852099068
BA2300	4.23895301881926	6.53199378857673
BA2903	3.22599710926517	4.16090429067131
BA2473	5.44754405856203	4.30837790148871
BA2545	6.56532526138634	6.06036727608855
BA2840	5.99152342299614	5.51015899119849
BA2528	6.84277692729058	5.79603390583248
BA2646	6.61380571566026	5.43474590254893
BA3407	5.19161041350932	3.81612780124423
BA2240	6.54504027868998	7.58879646153396
BA2926	7.05061628699762	6.29737759041703
BA2272	6.71095851013656	7.51732737025111
BA2306	6.69465878054587	5.95520312741494
BA2765	5.58306894890271	6.76656262392125
BA2904	6.44227342376241	6.22067774239525
BA2883	4.43894159347348	3.93840673561022
BA2726	6.04401665671066	8.89122942781574
BA2234	6.57305438035027	6.97176870633362
BA2022	7.02978091514104	6.70701242644057
BA2228	5.6834289695156	3.49799064045743
BA2037	7.61833712147791	6.27917243235478
BA2184	7.34177007998791	6.13418245991914
BA3009	6.28051995140614	5.36619555084966
BA2842	4.35426803475998	4.61468245344628
BA2442	6.36982886713941	7.79521409988635
BA2882	6.00134650129498	6.1556592421586
BA2758	6.03193635166747	5.82658327453077
BA2705	5.01042178805716	5.31976332499236
BA2663	4.59723676314568	4.59368397646332
BA2570	5.92793175730426	5.17593956338375
BA2764	6.17423728477739	4.81656126290881
BA2209	4.57620385088589	3.07362208775687
BA2989	5.61586637721502	3.71113954261245
BA2855	4.90535576746464	3.55318791593181
BA2261	3.09816416471119	4.47248648313274
BA2721	6.90623565218771	5.89765135115317
BA2930	6.38550593619779	6.7928687930301
BA2728	6.76656262392125	5.97772537420238
BA2715	4.54449196266661	2.69222768564293
BA2469	3.65217826413879	5.04768274106503
BA2269	4.41901213347142	4.44772389189131
BA2098	6.83151108322253	6.97450183109637
BA2778	6.40454724548096	7.01613705435711
BA2951	6.99377561399407	5.24328117345542
BA2163	7.5552619353094	5.11328125236518
BA2379	4.70101175635619	4.17369897600356
BA2817	4.56799936889978	3.22116841470907
BA3153	4.74113609559812	4.27041928872006
BA2820	7.01338554790523	7.11889170682512
BA2723	3.80561258862819	3.55417797609775
BA2704	7.36910502551481	5.97361430412984
BA2088	5.58306894890271	3.90594846339568
BA2116	3.65588909933936	3.45550886376031
BA2584	6.88364306076419	5.72791281354614
BA3079	4.25793262725042	5.57561187049385
BA2417	6.22157033382946	6.31720357778214
BA2361	4.25981249131916	4.20061838096406
BA2450	7.39734461578024	7.08974258985974
BA2492	4.23241801519581	6.50152491798344
BA2552	6.01215704616716	5.03783692041918
BA2472	5.49138177082753	4.06768255183074
BA2994	6.53744053114805	5.68192875741287
BA2047	6.60634523087502	7.53093612416627
BA2101	5.99436956978052	4.13397604746354
BA2082	5.05791386338245	4.30539842621614
BA2879	4.0915518275327	4.31740166637701
BA2577	7.47732145799094	6.38217571781426
BA2456	5.43733644220612	5.4921500734543
BA2175	4.04029489753007	4.79347559452987
BA2824	7.99573716734119	7.42202383501609
BA2507	6.68646890696546	4.69788797442376
BA2563	7.42825345365406	6.31632447129761
BA2244	7.01060112681321	6.99175546936536
BA2470	6.40785243829132	4.49704564233128
BA2984	6.40360502181603	4.98548688523347
BA2414	7.55189787670547	6.115497606055
BA2697	5.66167475958567	4.99665147897099
BA2079	5.34829013725005	5.8733548574054
BA2999	6.7478553015081	5.43185845277898
BA2644	6.82612058067876	5.72213373131707
BA2011	4.74322903691124	3.33268141494615
BA2217	7.74666982029682	6.01254264145456
BA2454	7.37198491161906	4.35980493218316
BA2776	8.25344779136567	6.83464418679852
BA2218	5.08617132532278	5.90885007986137
BA2135	6.02937141783307	3.53525438523798
BA2914	6.70250395591763	6.58888481686372
BA2500	6.00261866586335	6.13505858445244
BA2830	6.08237851607355	4.69647295762567
BA2406	3.88038335005271	6.52836297577895
BA3108	7.72127626045477	5.43621855884092
BA2924	5.05963791860408	5.90436368867117
BA2303	6.44374763893835	8.27031665707811
BA2160	7.44951411714195	6.00261866586335
BA2038	5.85300580466056	3.20723913331244
BA2602	5.39458251066191	3.27264514939603
BA2964	5.51731496751527	4.15738946871551
BA2898	6.69192414230504	5.92875292821339
BA3003	6.82734034498185	5.7225158734594
BA2111	6.84596201012783	5.82541777312417
BA2827	6.72640507458581	5.56256719374486
BA2912	6.61592394796106	5.17381001168529
BA2437	6.94358580230343	5.57601310486413
BA2283	6.91137383646976	5.93038956442244
BA2057	6.58727608652663	5.50092424285105
BA2633	6.9848366218031	5.57412698420844
BA3034	6.71554173603585	5.77144374108322
BA2607	6.64862107605335	5.81442547259646
BA2761	6.59999610931592	5.71331402808145
BA2795	6.79813530726845	5.86701172235977
BA2182	6.84162430439576	5.75491739673993
BA2152	6.79158437688518	5.98343537244457
BA2381	7.83130382680857	5.73095557356358
BA2931	6.63008743018599	5.57710363902521
BA2040	5.39533160012503	4.35354406259827
BA2590	7.0168789681798	5.57116929470375
BA3195	6.18294422218273	5.02654059802702
BA2516	6.98890006339199	5.99273740349983
BA2353	7.11216085325929	6.57871147435603
BA3036	6.44227342376241	5.5372259675426
BA2971	4.61929846930604	4.859362912485
BA3410	4.9477179907569	4.72146237134338
BA3118	5.09252726658566	5.37928711694374
BA3206	7.21621114040909	6.69750566900229
BA3202	6.21363363803942	4.30578132576709
BA3217	6.77775850085893	6.20920563257666
BA3405	6.90296785302656	6.89968682755392
BA3306	5.91637612602088	4.18905337629139
BA3371	4.72180716429242	4.43026354617328
BA3413	7.30313040589717	6.41603346705047
BA3411	6.86587981932563	6.04775659278267
BA3133	2.64661944832681	6.38171333036269
BA3164	7.05570452227078	8.22445433533228
BA3451	6.45552187143232	7.550843282623
BA3286	7.05362684769664	7.52533179189238
BA3212	7.40900238551148	5.68192875741287
BA3103	4.76744564892536	4.18132017858849
BA3271	6.801788717217	7.59808663804993
BA3152	6.37124794281337	7.1445927897216
BA3095	7.00355473079372	7.01543819204674
BA3192	6.00392077224602	6.08362235286883
BA3251	6.0786199138595	6.81629782268832
BA3362	6.85025853686514	7.53867754134672
BA3400	5.36867301215282	4.5085935471109
BA3135	5.35229119892718	4.33903266779967
BA3408	5.26850269480577	3.17079334153815
BA3187	6.05993013058661	5.68573255517546
BA3098	7.18320770184298	6.64018393293961
BA3435	6.60792383481337	6.22503632366675
BA3261	7.01472936087095	4.65440830398242
BA3203	1.68790567529799	4.18716058878723
BA3174	4.44043021773744	5.09637288827648
BA3317	7.4372988989966	6.62136909185019
BA3299	5.12980289788787	5.20686512079418
BA3221	6.08707291217101	6.35211013226828
BA3347	5.76798676791736	6.06168577538942
BA3235	5.77294291662078	7.3014086607396
BA3126	5.90157614057374	7.76884228347361
BA3380	5.39458251066191	6.09048118374774
BA3089	7.14144688839692	6.34412105865143
BA3109	4.1393823864995	4.16205900590607
BA3114	5.61668949030342	4.93122023310574
BA3418	5.61064071002875	4.20291883221202
BA3245	4.44117628286088	5.5239080872138
BA3085	6.47523792980687	5.32920195672699
BA3128	5.38876952657644	5.40443670689777
BA3423	5.33468449100155	4.69788797442376
BA3173	5.77571318535643	4.05042304398681
BA3171	4.9459530906601	5.6382097192845
BA3277	4.94911331401403	4.46447835591803
BA3210	4.53233174096288	4.05083600444237
BA3157	7.39540604135448	5.29839304298236
BA3433	4.88780360986739	3.74759218302818
BA3322	6.56014980461976	5.29307989811682
BA3374	6.83464418679852	6.57871147435603
BA3450	4.21481719565255	4.14520169098392
BA3167	6.13077087437702	5.24611528011748
BA3269	4.06243283557816	4.89092474484563
BA3110	5.89878476046271	5.57820476090366
BA3156	7.72809482559201	3.93670563044514
BA3226	7.24647814947882	6.06298925282901
BA3421	5.49361387353109	5.96666513140334
BA3232	7.26851020715081	7.46997411625783
BA3289	5.33938509366527	4.75027858706246
BA3430	5.35117907046834	4.69506440431895
BA3145	5.06527754778608	6.67231936736834
BA3399	4.65440830398242	4.01681712942243
BA3449	7.00642277827321	5.38186716708803
BA3384	7.13756401534747	7.22625304922136
BA3427	5.79678897670541	5.37014622702408
BA3163	6.00881830211778	7.16876088952225
BA3158	7.19312453230448	5.34691482072856
BA3436	7.51191595859432	6.55336509971083
BA3154	4.17448805896105	4.57869564199945
BA3162	5.2256777958467	5.29986206219824
BA3352	6.67002543512013	5.41245018586405
BA3084	7.29872623007905	7.0168789681798
BA3149	4.70453081211341	3.77745737706284
BA3169	4.86428104676734	6.88492067829042
BA3180	5.2381836725971	5.06562997256811
BA3255	6.94490055523594	7.59101188148724
BA3438	6.61867340597626	6.96490245805844
BA3345	5.13908038133443	5.1308809152012
BA3403	6.65017189848331	6.58888481686372
BA3431	4.44371751516999	5.06846235610609
BA3181	5.94996299067632	6.18251802139279
BA3341	3.94932461697197	4.26401053300844
BA3191	6.51708902749809	7.03335772337666
BA3197	7.19482368325309	6.65069612456278
BA3448	7.38257507273258	6.11039522609915
BA3453	5.0932101529727	4.29566916323682
BA3406	6.32868471625961	6.78802478417111
BA3308	7.05796014084047	5.38841032189554
BA3186	5.88287108041716	5.59508122551735
BA3334	5.40076226918126	5.57412698420844
BA3447	6.28190411591636	4.84704413896278
BA3116	5.21851473599856	4.66681816964876
BA3280	4.92485987316059	4.55238107332514
BA3185	4.91193698649749	5.04694903743101
BA3094	6.04192947928388	5.38984631837511
BA3318	4.35537320620163	4.06925036801479
BA3216	5.7725785925433	5.32485345914141
BA3332	5.99034044706391	4.59403374647175
BA3214	5.28038295813947	5.05963791860408
BA3099	7.19643196455649	8.19411260375688
BA3141	7.22786001580346	7.05213628356552
BA3373	7.41600983782201	5.9527582231115
BA3319	6.20186257831003	7.31758513982701
BA3328	6.40737616847402	6.1281715906941
BA3339	6.33324319286844	5.13729178336945
BA3240	6.90492530830845	6.14975362813735
BA3142	6.02819468374248	5.68535357501915
BA3333	5.96907627794874	4.93997522367398
BA3381	6.57305438035027	5.92676397459841
BA3290	5.78541513449237	5.51241676925768
BA3207	6.05196623929884	7.40108920011618
BA3296	5.45893049861312	6.14235074085009
BA3305	5.95806732051197	6.63537899034447
BA3434	6.56532526138634	5.42966375134891
BA3189	6.56478809528508	6.19606446047222
BA3264	6.59041781660964	5.72941496772039
BA3329	6.36982886713941	3.66471911557075
BA3417	6.3282334089858	6.30602484819544
BA3367	4.47211486954081	7.20800173217813
BA3225	5.73858169391831	7.56436701911919
BA3183	6.3548930381601	6.31585760088979
BA3222	7.11288822976142	5.45598777768521
BA3139	6.54456958822718	6.87718695252014
BA3397	5.68229960670136	6.86281064555051
BA3311	5.59212312780833	6.8576823032308
BA3422	5.38079659978033	4.32671639588567
BA3228	6.92898560318184	7.08297551023298
BA3213	6.1346163312472	5.72675571340994
BA3270	6.16092602046833	6.41897137635364
BA3415	3.13934917227227	7.06166102601644
BA3324	6.24100946664766	6.60476180009226
BA3194	7.32401244462143	6.51105136156458
BA3335	4.798374704262	5.39495254612019
BA3199	7.13671405241938	5.73442845067299
BA3326	6.30650779394135	7.94635895319707
BA3285	6.59468087653905	7.26503778677364
BA3297	7.07405167828484	6.59999610931592
BA3227	7.52657913903788	6.39926285688665
BA3394	6.49051077750921	5.98835302463094
BA3412	6.63170598568284	7.46474071975909
BA3293	7.60044547310861	8.19593305491973
BA3250	6.74097656792209	6.9766278154768
BA3177	6.8446685918264	7.22705513643141
BA3315	6.00051445317703	6.21410531502083
BA3182	6.75194526906574	6.6886775034689
BA3260	4.89661464748925	4.21672873374062
BA3369	6.76002445528346	6.66619952778557
BA3078	7.12266775163133	6.76957967246072
BA3386	7.1702959591528	8.12041880838799
BA3445	5.31432060422587	3.60216120874402
BA3452	4.62499001767521	5.47397012091034
BA3176	7.12422017929786	6.39832221441364
BA3258	6.29048213777498	7.09641299880345
BA3295	6.45945806358587	6.95685605328487
