	TP53	IDH1
BA2392	7.93187727167438	5.74395799798389
BA2611	8.01965582601105	5.75871811902643
BA2506	7.96260346447077	5.75871811902643
BA2430	7.94635895319707	5.80931856446972
BA2448	7.97556074370465	5.79121445090041
BA2730	7.95936662330483	5.8227080060065
BA2845	7.87430709609213	5.67963455085071
BA2326	7.85345354435312	5.67432622931416
BA2341	7.87732006412967	5.64918681238206
BA2612	7.87430709609213	5.59924503664906
BA2973	7.83554388846121	5.63166253168885
BA2390	7.85633367820174	5.6571193282783
BA3218	7.84275930534523	5.60116902965989
BA3105	7.86087718753597	5.68416732949988
BA3402	7.88037740793897	5.71798453197329
BA3276	7.90654028957083	5.7151540674209
BA2409	6.7240814115045	7.52082148621471
BA3037	4.29267969728308	5.44138513248386
BA2496	6.45599883472476	6.59256890621003
BA2172	6.55763968463611	4.82328175599878
BA2865	7.34082017175962	6.97794904447586
BA2923	6.41993290039897	8.2618544484033
BA2751	7.22625304922136	7.15246698865564
BA2480	7.08598210070988	7.35298985161002
BA2286	7.03335772337666	6.15608719552673
BA2922	7.58415033094325	6.60792383481337
BA2452	6.21802371577529	6.40688318423783
BA3379	7.1045805500083	5.94263228316548
BA2887	6.98275640527684	5.85144934754927
BA2712	5.93038956442244	7.45375064871774
BA2068	5.89521114196018	4.80607814010981
BA2236	7.24904224136933	6.90558799283489
BA2104	6.26429986711095	7.73732673360922
BA3124	6.49248354368901	4.22136650202706
BA3395	6.09600230844392	7.16547841878937
BA2921	5.26066257347525	4.79871964465787
BA2449	5.89918966262517	4.22750729569156
BA2003	5.09857876696561	5.20261254311813
BA2360	8.04765964150367	6.61867340597626
BA2802	5.98097884801574	4.3579546600223
BA2235	7.04704814373678	7.1956195388029
BA2858	6.16992972400798	5.32198845078755
BA3038	6.43046914091516	7.20973552997534
BA3006	7.35202275514424	6.49699294257919
BA2245	7.53093612416627	5.4241733124076
BA2667	7.16215175411855	6.49799553338119
BA2239	6.92833111291049	7.14764743423536
BA2782	6.1881494364125	6.64358377452482
BA2649	7.30861526987379	6.23214914518013
BA2488	6.28733698625511	6.35757561884313
BA2861	7.2179085684236	7.03549223810054
BA2909	6.00760401810435	6.34548467937847
BA2429	6.58673582096521	5.11958001435747
BA2653	6.64966424428309	4.90152753707883
BA2134	6.389795387917	6.53396722315737
BA2947	7.0549889553605	4.83268199793827
BA2032	5.6834289695156	5.82000063861969
BA2162	5.66661596956027	5.33028268437174
BA2564	6.33600766569699	6.85832315809809
BA2597	5.30025672574144	2.84361014461716
BA3243	6.79931174111644	5.4843036495526
BA2106	5.5849409277756	5.19270680337974
BA2427	4.58834815635997	3.18975730461156
BA2841	5.64578665380384	3.95599802451469
BA2446	7.02624764830014	6.55661288461065
BA2645	4.47755440955033	4.05123232495892
BA2525	5.33325727668396	3.65728472785622
BA2876	4.87307091837154	3.20185478187358
BA2357	5.73934974436077	3.69392175101973
BA2546	5.98097884801574	7.33073792117204
BA2742	6.87718695252014	9.09600320401444
BA2316	6.92303478434711	9.05942450247106
BA2421	5.73053658482108	5.60042800463674
BA2087	6.1821095995856	4.8688411127684
BA2910	6.65242333740906	6.13375733254388
BA2148	4.5255236296775	4.42623541625347
BA2063	5.23357427325263	2.864896220199
BA2329	6.76359470107912	6.84399982384708
BA3178	7.16876088952225	6.28908084563445
BA2072	6.8175184307766	6.78074983432615
BA3029	4.51543236159046	5.19342572013905
BA2733	5.01531695363561	4.2236378258506
BA2995	5.64653817010519	4.54341837856977
BA2069	7.49042755149826	6.95150045701844
BA2100	4.13049769125671	5.17381001168529
BA2681	6.47571845442986	5.34829013725005
BA2248	5.35925920402751	5.78304332339911
BA2832	6.54255345963774	5.24140893715519
BA2308	6.1346163312472	5.41063794413204
BA2413	5.4113491881704	5.39458251066191
BA2701	4.6377523259586	5.81524050486287
BA2634	5.89802625126527	4.90500171115938
BA2677	6.55027156269161	6.37500681410956
BA2937	6.88364306076419	6.43542748974206
BA2600	5.11328125236518	5.22500574588553
BA2019	6.63058753997147	5.31326361994662
BA2412	6.07479305709891	6.05611661620259
BA2334	5.69683059962592	5.71913182250031
BA2050	6.89902500194997	6.1842076331656
BA3230	6.6396645832219	5.34936654533728
BA2953	5.27249782330272	4.87201227243281
BA2481	6.14278190987981	4.1174274886939
BA2731	5.43769371500229	6.19120375825818
BA2294	7.27378385953679	5.51205399141146
BA2418	6.13331916927191	5.86536301251181
BA2816	6.35951832125277	4.97525881373139
BA2656	6.23081198982986	4.6932849776624
BA2814	6.732801148639	7.64895583047878
BA2631	7.21053357648558	6.47620808782314
BA2023	6.6639864599992	7.42928783450574
