	KRAS	PTPN11
BA2000	3.3836971111243868	18.33296095742878
BA2003	4.014852183319062	7.823075791431777
BA2004	7.518035805741788	23.47420820016641
BA2006	1.4759602284637354	1.599279212987121
BA2011	2.9764702068721984	9.225160864995647
BA2019	5.160280820392373	25.598812631833862
BA2020	4.544994361851094	31.59595324254756
BA2022	5.324298133885895	27.51591386957487
BA2023	1.835144329336911	11.535227276580512
BA2024	3.245164654062419	13.850349536088828
BA2025	4.368893180026906	25.182250566504557
BA2031	3.2522855283888856	17.168571781077897
BA2032	5.730829491703615	15.901849480276256
BA2033	5.173527870541233	18.392220963768025
BA2034	3.914876856324424	16.75767370192132
BA2035	3.1099427952431493	26.829544816139027
BA2036	6.121214630742673	21.002511009591736
BA2037	4.675090272102132	41.28393670453848
BA2041	4.757182979338932	20.85594645881212
BA2044	3.010011912928463	18.514651646389066
BA2046	4.929163679288072	17.74777341783675
BA2047	4.291588003374781	23.775755698786437
BA2050	2.1958664129994023	14.032474625170588
BA2051	13.932897428776403	23.501722762533824
BA2052	11.076830685833263	19.346997032607323
BA2053	7.179162326710417	13.034239391027915
BA2054	1.88397156875176	15.071847659067448
BA2055	0.5163086932955492	1.0119939151741806
BA2063	11.878742352338724	14.18531242809262
BA2065	4.709459162983161	23.213042788974004
BA2066	4.58843490487509	27.549712577286414
BA2068	1.0796480997351472	15.169594363553628
BA2069	3.374270053532277	19.64144687919452
BA2072	3.1008031822093227	12.509935270285276
BA2079	2.7983494448591	8.072035025066661
BA2080	5.886285419771656	14.96790543407779
BA2081	2.38418961424661	15.613771421052876
BA2082	3.4924032820084148	16.516465158266154
BA2087	3.917030623224554	14.418054675323518
BA2088	7.004680788752677	24.432406247519264
BA2089	7.291872349620021	26.42817527039773
BA2093	1.7578389225148163	24.761557552881506
BA2094	7.903188528932866	22.84219653932653
BA2095	2.454555562270261	22.24726061747656
BA2096	2.1072502216250624	9.782062235194408
BA2097	9.091340105799269	29.00078867269143
BA2098	2.230917639934675	4.89760845693884
BA2100	5.275330529503402	12.578431475402214
BA2101	3.4638826169083035	12.241955188427031
BA2104	2.996660859475001	9.678008579946416
BA2106	3.161484912907255	11.404555741858657
BA2109	9.540899316685143	10.752236348741445
BA2110	2.2987931685922325	9.173325205003731
BA2113	2.6364578427557768	24.25003415351566
BA2116	6.107357577068696	34.54667256955986
BA2121	2.2078984581122234	24.484211565819702
BA2122	3.0534412888688838	8.187921438696502
BA2123	4.506886381838011	32.82053187434948
BA2124	3.484952671872221	17.461741457522745
BA2125	5.652914133071268	26.753085869426155
BA2132	5.0471863509910735	20.169400258241318
BA2133	10.65905362132722	9.257241245749476
BA2134	2.3488564434363868	11.564212451003634
BA2135	2.354831741553748	16.330691859452898
BA2139	2.5445168327484797	11.507169535521824
BA2143	1.959566124342219	20.26836326082831
BA2148	3.447503945046714	15.675843108585529
BA2153	3.28774314707458	24.095696669288905
BA2155	2.437405193862981	13.399294045807633
BA2156	2.2730237889538194	16.931888260327074
BA2162	5.712025100440885	23.524442921627767
BA2163	6.421326448173804	32.49912164853597
BA2168	2.5309999180927623	13.863873737481438
BA2169	8.12047461860416	30.814991909118284
BA2171	4.2769316901618994	23.18947927011344
BA2172	2.0611136117329	16.795517788395873
BA2174	4.468216769572149	23.163838646228943
BA2175	5.319868359290954	22.39949600661436
BA2184	4.673610193914149	39.81395373361203
BA2195	5.838200788758842	14.438988301694582
BA2198	4.103025938075901	24.498350035075635
BA2200	3.906002268152742	27.20417627027473
BA2201	2.44182533811413	10.05949923649511
BA2209	11.81900292593489	22.20851929911572
BA2211	5.353146364806439	21.02631899069189
BA2212	2.6751209524724606	16.10636029935567
BA2217	2.075613723782153	17.405562540348775
BA2218	2.8138905589044483	6.878393864241168
BA2220	7.379396044865156	20.14637088171025
BA2221	3.4063344135082656	13.92990006687362
BA2224	3.1364189861786773	15.825637213283208
BA2226	4.532593424972631	35.989485894319195
BA2227	2.636795016303624	20.910382367639677
BA2228	7.840004887881429	31.927487025931413
BA2229	10.085359778713071	23.056486557637434
BA2233	3.2547013461580097	11.761458404505191
BA2234	4.264432517362912	24.054342043995
BA2235	5.236945518023253	17.067020253453286
BA2236	3.942916396323784	17.314869257465272
BA2239	2.4852062107862314	12.77104820432132
BA2240	8.12127767437851	33.17334597209446
BA2242	5.266699574897228	15.237455455980948
BA2244	3.2606905820924705	16.925820528737685
BA2245	9.019949708299915	27.47398546311995
BA2248	2.094823306896083	18.155268511562515
BA2249	4.956301122904592	19.97463299408348
BA2251	4.624605625284379	24.14242187116462
BA2256	2.540386093792922	21.401582298666927
BA2260	4.132932782016525	15.232493343082629
BA2261	2.001472965534394	13.631458148123675
BA2269	1.3774383646879156	7.328556613973234
BA2271	5.602686467078136	23.98460277768552
BA2272	3.0279527620390048	13.50913898194892
BA2273	3.2204514382156466	21.07546663553913
BA2275	5.176312047084844	31.218741695811683
BA2276	2.622741387146175	9.934136281708742
BA2277	5.25510942266259	29.221652377436328
BA2280	6.063815269855581	36.38874163228378
BA2281	4.6460796005338985	24.831129720843258
BA2282	3.8083678316586047	10.789451974244848
BA2286	3.95272350270278	19.38545941760825
BA2288	3.865914162620388	12.094613771990195
BA2292	4.075651001645991	17.152450737298953
BA2294	2.3719835412868338	18.795163976802144
BA2296	2.5047958696164496	22.58795543731145
BA2300	6.957086353480154	43.71814488147894
BA2301	4.0624889175161565	17.314482693030055
BA2302	9.348772402774848	15.142153148377648
BA2304	3.215224942617111	12.000004837689753
BA2306	2.106117448255717	21.901854935746787
BA2308	3.889581278532265	20.691473643918133
BA2309	3.305697356738754	15.600943225492763
BA2311	4.263535060623511	16.07649015451271
BA2312	4.450112420893486	14.384739574554802
BA2316	2.785383344332529	11.94031516572484
BA2322	1.363252173099543	19.00203463588738
BA2325	2.2128413526127946	13.13339354976582
BA2329	2.953980380691717	14.170386468930648
BA2334	3.829844935813441	12.738862324221753
BA2339	5.576285457288947	10.111131706915842
BA2344	2.508621366806296	17.66258635942158
BA2347	4.499805687946137	10.673249895339008
BA2348	3.4684403082470383	6.14653811673649
BA2350	2.293002458894163	9.248559385393913
BA2354	3.285287253891401	27.095243432620222
BA2355	18.031553815161907	28.38735945750639
BA2357	2.8366508715088328	12.19949693229595
BA2360	2.4203383504910594	17.5735034231662
BA2361	3.290470110493144	15.736424512490592
BA2363	1.77988745401886	7.3033212222808
BA2369	7.463597390567187	17.51039441139099
BA2374	4.18322554627598	22.40617777937685
BA2375	4.401957434008005	20.87206313122356
BA2376	3.576421768112105	14.73696075905255
BA2377	7.874521714966825	56.988741119585946
BA2379	7.354978419162167	14.2605358780457
BA2385	6.169246688786106	15.9001120635316
BA2386	7.154072385086702	18.71535873465833
BA2387	4.9579225522201975	18.12250880428911
BA2394	8.841700566289523	24.469601260335928
BA2399	2.901775492441722	16.904555001239643
BA2400	5.409835524646413	33.63200594550555
BA2402	4.974805563924786	21.70324629391715
BA2405	1.9038948004365173	9.100792336674967
BA2406	2.7399095691849715	17.82816007822995
BA2409	3.642790689054875	16.29375622363415
BA2410	2.854218939661076	23.596659384354837
BA2412	3.4683011635363665	12.137813809796492
BA2413	3.061177034477548	21.05224232672534
BA2414	3.333377691014046	23.349309244236707
BA2415	3.6031705789367305	8.984070955203252
BA2417	1.966473306958872	12.270477073849374
BA2418	1.5872432645654289	10.111819360859618
BA2420	2.293921043415803	17.04322984051619
BA2421	3.76390120697868	17.112086130843036
BA2423	5.526169516908847	14.830693302761253
BA2425	4.540658995903223	26.81439645289756
BA2426	1.76675593567857	14.6887218048444
BA2427	5.629532468513265	13.203350202140005
BA2429	4.885164819604847	13.885097753812143
BA2440	4.656478683032831	29.80936471999719
BA2441	5.107316346904479	41.50471871701896
BA2442	4.274273721852956	21.30032633561693
BA2446	3.526678377199216	17.23831681496286
BA2449	3.844080002176403	27.270894277896847
BA2450	6.542840496025102	17.891294519534323
BA2452	2.2229446094894514	25.78173682741561
BA2454	4.196996925207468	35.41917436013228
BA2455	4.618681453090219	12.375452361398644
BA2456	4.84358664169528	14.09237807271488
BA2459	0.9849701015813438	13.594127000583486
BA2461	3.531901921255366	17.820350143922077
BA2463	4.45365718507862	8.57460656098495
BA2464	2.629494460813186	18.745323554263607
BA2469	4.330668779940796	16.132452295663036
BA2470	3.3487604257070145	18.268118383788824
BA2472	2.506343529310017	12.66426899861456
BA2473	4.364774675975619	17.639401643995793
BA2474	4.068396363626591	12.088986615383838
BA2477	5.2291687233797575	27.90380716097536
BA2479	4.388198691895849	9.06853194700168
BA2480	3.679131305583376	15.24397502944484
BA2481	0.950240342410004	7.960993949896547
BA2482	4.5443846369895695	19.0233231637945
BA2483	5.717204939316385	23.22264853955544
BA2485	3.731240739012421	17.055978788879546
BA2488	3.795524434418716	18.77808934875976
BA2489	3.495084976820325	14.508873336495364
BA2492	4.60482142178739	23.63457575454264
BA2494	9.557187638322572	27.91420931790605
BA2496	2.740035581224717	11.399676017741184
BA2497	3.126280701370291	15.612483715841416
BA2499	4.35302298414668	21.457586308448946
BA2500	3.764766577067442	23.138866635530075
BA2501	5.69695185588149	27.833890878616558
BA2502	3.5899907234146635	15.548455223976305
BA2505	3.524708682190093	22.69831014365209
BA2507	2.445471606779409	13.273383072831717
BA2510	3.106128214359792	16.669318455579262
BA2511	2.8010233109505887	7.663551368635486
BA2512	3.90060283765412	18.55404802224241
BA2514	5.883867358115286	14.1127716506682
BA2515	3.965624412346157	13.656362083325709
BA2520	2.777845608373538	10.18459988094212
BA2521	5.965061455171949	22.854875728416364
BA2523	2.9076088330976253	17.466454904239125
BA2524	4.3967944400825125	15.143161519049126
BA2525	9.181313291942152	10.739344125649188
BA2526	4.982559594305994	16.511510597344866
BA2528	2.9063274125973515	14.604392734699395
BA2532	3.376488196760783	27.09788474706269
BA2534	3.9542145627317393	26.77316300242771
BA2538	3.061522924858036	19.34789198139
BA2539	3.789754828010589	15.054660968382327
BA2540	2.367178974644086	12.01969277063214
BA2541	2.8473995219050803	16.52564398579619
BA2545	4.148222781045921	20.94124669628399
BA2546	3.393513765871296	18.99909180138973
BA2552	4.825482332332214	16.970131640737755
BA2559	4.0935222417812485	14.081354688308627
BA2561	1.6993347187891574	8.225056123389484
BA2563	4.028599804188247	17.33397336920926
BA2564	2.2915571135581843	13.974435996557515
BA2567	4.686061135891457	6.532230302726126
BA2570	7.716031860771869	22.38622147123564
BA2575	3.6049599889935537	10.361376185477951
BA2577	1.7864264546524835	20.382387269777333
BA2579	5.549669129729157	18.172941762715816
BA2583	4.650822098462011	25.543482158502837
BA2584	2.498962890180857	21.881435806884262
BA2587	3.1944730301033544	21.078892020464146
BA2588	2.9482311460607518	15.34775428213297
BA2589	14.373385488847298	17.98440359990241
BA2592	6.041558832251639	19.84405027987057
BA2593	0.2793411558252956	0.8090165245861867
BA2594	2.002620464581047	21.525920477694164
BA2595	3.0622199092217754	13.4174683952318
BA2597	5.268032257893723	19.51682683095491
BA2600	3.043265721729626	12.611281705199705
BA2603	3.400519555275657	19.616353351392544
BA2618	4.847376827625396	21.562852645082295
BA2619	4.669344395559936	16.276085827293198
BA2620	5.410937505524276	23.94293881406372
BA2621	3.331895635511968	14.867078915259968
BA2622	5.700385710148895	17.89404725424126
BA2623	4.687635763119201	32.422525972432204
BA2629	4.220743627976956	12.182439062832351
BA2631	3.324070000746336	17.90739322912705
BA2634	3.807489429482482	18.21284933426878
BA2636	3.128960487704368	18.568704808257376
BA2639	4.213357199938989	21.352582026728825
BA2644	2.393728396337298	13.954630838917565
BA2645	10.408685462253883	21.812898951451057
BA2646	3.9355585272575673	24.75015114655788
BA2649	2.5988463660051835	23.86929555054728
BA2651	2.970509296190779	15.009905620802682
BA2653	5.098207134603287	35.09770771441234
BA2655	9.623754754392728	47.73960715416454
BA2656	1.8601716498988876	12.23115155921837
BA2657	4.548592004798873	19.747502000537104
BA2658	3.2523433873784997	20.77431422918143
BA2659	3.5835484156353115	20.045090782808657
BA2660	3.300668694192399	16.149795869705212
BA2662	1.636341335905445	12.045959777225177
BA2663	3.524975217313402	12.517918211428482
BA2667	3.85679667747493	14.667596859550976
BA2670	10.226227798665136	17.34966639725265
BA2674	2.5333257133250093	17.279843318133707
BA2675	3.6731049499312713	20.317910549967007
BA2676	3.0098471887347875	18.58694648390418
BA2677	3.882687295225639	18.577054779483333
BA2681	2.8767867894954944	15.08682239640497
BA2682	4.221148529623751	19.076647524486
BA2685	4.43315438996534	25.10516765487928
BA2688	5.7155639489306855	9.067482526668442
BA2691	7.358674866434381	26.73737220376769
BA2694	7.191110081874109	9.024019039461352
BA2695	2.111844275522096	11.2404092343823
BA2697	2.820457991863271	6.301040978737351
BA2701	2.40282017119087	10.946437653909962
BA2704	2.927115594886616	16.147071205521367
BA2705	8.750051209172401	28.16912357988325
BA2707	10.67258756535924	28.354258823419137
BA2709	2.432193691661744	11.834087074751764
BA2712	3.037494483285136	16.42029670010793
BA2714	8.66762994741118	18.259052411644547
BA2715	4.204020647117541	20.1361962674606
BA2718	3.211491167613993	23.29369020548985
BA2720	6.890859909853237	12.589995425491171
BA2721	8.15125574652858	12.82643796424119
BA2722	8.229739643225187	36.40377693251484
BA2723	7.151826067165194	30.19932116231609
BA2724	2.784944539455072	12.29033845001848
BA2726	4.361903416807809	13.818725538291096
BA2727	6.321364769685872	24.61424804261353
BA2728	7.9648433967757635	21.026768820896308
BA2731	1.7722679146604223	10.348587303927951
BA2733	4.024583240227743	8.96480318961342
BA2735	2.731444327315706	12.472768491152266
BA2737	4.229188217803424	12.376501451202138
BA2742	5.036593528652168	18.999517616112165
BA2744	0.8126549723840483	3.972428680531728
BA2746	2.9041910177817147	16.354079014101362
BA2747	1.8763378679995653	13.21286567892482
BA2748	2.8162460026576808	24.58902716946228
BA2751	4.76076973681974	13.92309366783434
BA2756	1.111935570238528	11.95978241621635
BA2758	6.062618917320017	9.074373932385482
BA2760	8.539751728962072	27.842394785774225
BA2762	3.5909642105886346	15.494298472230904
BA2764	2.5915086660715163	10.123036663951495
BA2765	7.700654472918215	17.255788926560026
BA2769	3.676902735522297	14.114069903809089
BA2772	2.120075486147443	9.214550366533244
