	IDH1	JAK2
BA2000	9.744144037529887	0.0291897060933032
BA2003	1.1081660803195446	0.0107620455582242
BA2004	1.5473081763729777	0.0294214844431332
BA2006	0.9569710107791964	0.0139203193029816
BA2011	0.2503361091270461	0.0335611846244865
BA2019	2.177218684643075	0.0393401558768148
BA2020	4.242122422417017	0.0552586288569599
BA2022	5.321860362874178	0.0166194155703568
BA2023	6.073439132152584	0.0349664877344926
BA2024	1.6315584279104267	0.0931528403048237
BA2025	3.585397528800132	0.0219148565970259
BA2031	4.999460872090711	0.0230474730125086
BA2032	1.850016173586017	0.0043383673383503
BA2033	1.393607946647425	0.0425502860219604
BA2034	2.4357185747315686	0.0219667129974142
BA2035	1.5588501429480055	0.0136245081786248
BA2036	4.000589529626811	0.0220219873273852
BA2037	4.957299518010911	0.0256350593272467
BA2041	0.3903102183701913	0.0064258678310128
BA2044	3.276642506291106	0.0383455917733852
BA2046	0.5868681284494833	0.0164560492173315
BA2047	8.248768346646228	0.0238842783036345
BA2050	1.6936558286128351	0.0068784764749781
BA2051	0.9358009739162504	0.0209268613270132
BA2052	0.6247446764696161	0.0127049249054168
BA2053	1.0178261180137935	0.0072361307627227
BA2054	3.802627843148525	0.0360063394048935
BA2055	2.267089492721052	0.0186053928733818
BA2063	0.1676064467100303	0.0064899006055396
BA2065	5.033289279786603	0.0180103526950855
BA2066	5.041310715079223	0.0899149394818183
BA2068	0.9349622755047012	0.0090487549497227
BA2069	5.662220214708103	0.0310210754878587
BA2072	3.636655815755277	0.0331869747403254
BA2079	1.6622260117876722	0.0556615707116759
BA2080	0.569576466881952	0.010048926593874
BA2081	4.692860489126838	0.0179463199205587
BA2082	0.5521069904069592	0.0210880380688996
BA2087	0.8381974560883675	0.0171051354071549
BA2088	0.4022956570743786	0.0175080772618709
BA2089	7.850162222507261	0.0934386646661809
BA2093	1.3929584936825228	0.0093214416442462
BA2094	11.822354425250454	0.0262797662947923
BA2095	2.538543852912685	0.0099848938193472
BA2096	2.171255890358716	0.0102432145285932
BA2097	1.4712042321185164	0.0313930957608807
BA2098	5.45827864212668	0.028358508342899
BA2100	0.7164341742267867	0.0070727644096973
BA2101	0.7080926200506398	0.0310476178472747
BA2104	6.854364727412241	0.0333712759120451
BA2106	1.1063087566095142	0.0102288485433157
BA2109	0.914963209738379	0.019291969478316
BA2110	2.7091470986698165	0.0312009974373004
BA2113	3.6760964231500246	0.0361928301877522
BA2116	0.3215039944582814	0.0288408102501144
BA2121	2.431281126330665	0.035127664476379
BA2122	0.147922117499636	0.0072030195698898
BA2123	1.02169752969446	0.0093401868518016
BA2124	1.326466992264465	0.0166359711667732
BA2125	3.836510658526533	0.0235310032381678
BA2132	0.8837082758223406	0.0246967308464833
BA2133	0.13254100611131	0.0173203581605685
BA2134	2.8387982934383302	0.033025797998439
BA2135	0.3548772188722692	0.0175102668730099
BA2139	5.956728302751078	0.042155141319105
BA2143	1.3966826866837567	0.0205029846536029
BA2148	0.3340008322957444	0.0027034754896531
BA2153	1.1499263925982732	0.0259695891851581
BA2155	0.3430706474486562	0.0057955268487447
BA2156	3.590969997703167	0.017247566941486
BA2162	1.791305038001643	0.0380232382896124
BA2163	1.447155497140011	0.0193560022528428
BA2168	1.8258993401296293	0.004288700549101
BA2169	0.5986762696462147	0.0092574088697195
BA2171	3.550463550175572	0.0213276135705903
BA2172	1.0673807307412704	0.0071224311989466
BA2174	4.043851664902347	0.0641771286464902
BA2175	1.0685460797717483	0.0384327489777453
BA2184	6.433479872657732	0.046100553565739
BA2195	0.4961242424787779	0.015375289202237
BA2198	4.156643780221546	0.0238036899326913
BA2200	5.121170957309689	0.0329452096274958
BA2201	3.741326699342643	0.0191307927364296
BA2209	0.2125952310428461	0.0151666352822403
BA2211	4.974762310180251	0.0130603895820224
BA2212	1.0825064974532523	0.0137403973535398
BA2217	2.389882257146286	0.0226048511315429
BA2218	1.3826765618371557	0.0051155190772273
BA2220	2.7097070609594875	0.0148708241578835
BA2221	1.6418527030864754	0.0217327450364452
BA2224	1.1371763901483156	0.0198251664932245
BA2226	8.072034535307088	0.0820319121404111
BA2227	1.4408160560566543	0.0266043093897041
BA2228	0.4576427110377811	0.0142592283831708
BA2229	0.6287269578894038	0.0152284784456281
BA2233	0.8741881329343757	0.0195127997724513
BA2234	8.29010758540631	0.0418305982241933
BA2235	6.37164968023226	0.0281873448380131
BA2236	4.751783627804053	0.0201165983953034
BA2239	4.808104895420042	0.0480081321089597
BA2240	10.430959494869091	0.0343858135414738
BA2242	1.1437918685828468	0.0376181068237575
BA2244	5.41103198810299	0.0678410957540449
BA2245	1.8923278448467251	0.0282017108232905
BA2248	1.4966782357642223	0.0076534386027162
BA2249	6.6178226328650025	0.0297029295822125
BA2251	3.57745829076012	0.0264553090219562
BA2256	3.1143473874769785	0.0084968127272589
BA2260	2.59820926834122	0.0280614689000985
BA2261	0.4337707875155975	0.0117687860357923
BA2269	0.2931490307954615	0.0083047144036786
BA2271	2.686130833660508	0.0355946391056218
BA2272	8.208899955064012	0.0604072591270201
BA2273	0.9519358179212009	0.0111528110388017
BA2275	4.880676999189845	0.0760111757752531
BA2276	0.9753906225488094	0.0122501266503125
BA2277	5.6198681029031645	0.0611138092579536
BA2280	6.945194401095196	0.0548634841541046
BA2281	2.3732013913232457	0.0087716890329213
BA2282	2.451544103525756	0.0339685057014803
BA2286	3.260242344276883	0.0198042316745302
BA2288	0.7528348056904349	0.0087573230476439
BA2292	1.454718998846602	0.0123163490359783
BA2294	1.8277037052935927	0.0173800117128174
BA2296	3.661901405080647	0.0236612583983603
BA2300	5.8820991417417074	0.0197136565405874
BA2301	1.0919235565793737	0.0242816126176288
BA2302	0.5002702533453208	0.0120392831191769
BA2304	7.380760539578841	0.0215406467128649
BA2306	2.673283950727234	0.0258459028583824
BA2308	1.374096558444596	0.0177807639563944
BA2309	1.7936717802712756	0.0385233241116881
BA2311	2.2411856845076925	0.0545730135447208
BA2312	1.8434839482491645	0.0343979899156123
