#Boxplots d'expressions du gène KRAS en fonction des types de mutations
#Résultat du test statistique ANOVA : F = 2.856, p-value = 0.036
#Tableau des résultats :
ID_sample TypeMutation  ExpressionGene
   BA2843       NonMut        5.754545
   BA2592       NonMut        6.641315
   BA2718       NonMut        5.151740
   BA2575       NonMut        6.529883
   BA2096       NonMut        5.832566
   BA2593       NonMut        4.766749
   BA2791       NonMut        5.790075
   BA2620       NonMut        5.908411
   BA2629       NonMut        5.564415
   BA2870       NonMut        5.371962
   BA2423       NonMut        6.330929
   BA2682       NonMut        5.810831
   BA2276       NonMut        5.835228
   BA2348       NonMut        6.807879
   BA2709       NonMut        6.599996
   BA2789       NonMut        5.328460
   BA2694       NonMut        6.620335
   BA2538       NonMut        5.794042
   BA2583       NonMut        6.135550
   BA2415       NonMut        6.014157
   BA2722       NonMut        6.703702
   BA2806       NonMut        5.781923
   BA2221       NonMut        6.084050
   BA3025       NonMut        5.522830
   BA2514       NonMut        6.925594
   BA2520       NonMut        6.076956
   BA2441       NonMut        6.590418
   BA2153       NonMut        6.202273
   BA2479       NonMut        6.306508
   BA2281       NonMut        6.054487
   BA2657       NonMut        6.574569
   BA2932       NonMut        5.795246
   BA2123       NonMut        6.211452
   BA2844       NonMut        5.361817
   BA2660       NonMut        5.938987
   BA2836       NonMut        6.329599
   BA3027       NonMut        6.563269
   BA2714       NonMut        6.571951
   BA2139       NonMut        6.100208
   BA2251       NonMut        5.195926
   BA2952       NonMut        6.320369
   BA2440       NonMut        6.112940
   BA2036       NonMut        6.170343
   BA2292       NonMut        6.108293
   BA2410       NonMut        5.187960
   BA2051       NonMut        7.455713
   BA2532       NonMut        5.630167
   BA2986       NonMut        5.984674
   BA2494       NonMut        7.070260
   BA2515       NonMut        6.630087
   BA2748       NonMut        4.752010
   BA2622       NonMut        5.842764
   BA2839       NonMut        5.975231
   BA2052       NonMut        7.210534
   BA3011       NonMut        5.432949
   BA2868       NonMut        5.712167
   BA2510       NonMut        5.853417
   BA2065       NonMut        5.900766
   BA2691       NonMut        6.455999
   BA2374       NonMut        6.012926
   BA2804       NonMut        6.773040
   BA2670       NonMut        7.077707
   BA2675       NonMut        6.267933
   BA2589       NonMut        7.734622
   BA2031       NonMut        6.146309
   BA2198       NonMut        6.172519
   BA2066       NonMut        6.609553
   BA2344       NonMut        5.851825
   BA2459       NonMut        5.319397
   BA2229       NonMut        6.760024
   BA2559       NonMut        6.556026
   BA2093       NonMut        5.077316
   BA2000       NonMut        5.904364
   BA2425       NonMut        6.439836
   BA2905       NonMut        6.857682
   BA2976       NonMut        4.777690
   BA2386       NonMut        6.375959
   BA2035       NonMut        5.687961
   BA2201       NonMut        5.827812
   BA2355       NonMut        7.860877
   BA2113       NonMut        5.671647
   BA2155       NonMut        6.502972
   BA2955       NonMut        6.075202
   BA2502       NonMut        6.408332
   BA2322       NonMut        5.460372
   BA2376       NonMut        6.052796
   BA2020       NonMut        5.919927
   BA2226       NonMut        6.072216
   BA2200       NonMut        6.024965
   BA2121       NonMut        6.204815
   BA2944       NonMut        5.935343
   BA2033       NonMut        7.196432
   BA2867       NonMut        7.014073
   BA2224       NonMut        6.032376
   BA2046       NonMut        6.555500
   BA2972       NonMut        5.381156
   BA2978       NonMut        6.657378
   BA2829       NonMut        6.755975
   BA2851       NonMut        5.854210
   BA2587       NonMut        5.968668
   BA2461       NonMut        6.070982
   BA2695       NonMut        6.640184
   BA2623       NonMut        6.051966
   BA2024       NonMut        6.061217
   BA2426       NonMut        6.405499
   BA2271       NonMut        6.178181
   BA3004       NonMut        6.028575
   BA2579       NonMut        6.145887
   BA3010       NonMut        5.785010
   BA2662       NonMut        5.863798
   BA2674       NonMut        6.251792
   BA2280       NonMut        6.513025
   BA2512       NonMut        5.991127
   BA2658       NonMut        5.709484
   BA2394       NonMut        6.236208
   BA2950       NonMut        6.134182
   BA2981       NonMut        6.177736
   BA2934       NonMut        6.384073
   BA2539       NonMut        5.983036
   BA2249       NonMut        6.632258
   BA2034       NonMut        5.966267
   BA2109       NonMut        7.429288
   BA2242       NonMut        5.809712
   BA2277       NonMut        5.853818
   BA2727       NonMut        6.827340
   BA2132       NonMut        6.553365
