	SMC1A	NRAS
BA2392	7.41008797800013	6.99377561399407
BA2611	7.26424108951115	7.10771088589405
BA2506	7.24218373520164	7.09047728148948
BA2430	7.28899814708616	7.04058248557274
BA2448	7.24904224136933	7.03404295294828
BA2730	7.26503778677364	7.08368088883067
BA2845	7.45866975783138	7.05721925341645
BA2326	7.45571345371651	7.06736498172321
BA2341	7.43138197639579	7.06956103001791
BA2612	7.4434295432297	7.05213628356552
BA2973	7.45275636284168	7.05132427456444
BA2390	7.4372988989966	7.07251029744415
BA3218	7.46577618872004	7.02698040559294
BA3105	7.31397253852267	6.9582357295531
BA3402	7.37577438257785	7.00218029229942
BA3276	7.30861526987379	6.97383568837724
BA2409	6.96567270429015	6.66888521161026
BA3037	5.33503178066884	7.81101053195418
BA2496	6.81145766315316	6.87847286019697
BA2172	6.50494854074967	7.48490734822992
BA2865	6.64807496201704	7.04635072837336
BA2923	6.42763769743183	6.98553956904008
BA2751	6.40025463094879	6.77246010495607
BA2480	6.21273472230969	7.18731663184627
BA2286	6.46184745649843	7.33073792117204
BA2922	6.18950223686314	7.03335772337666
BA2452	7.41889646736553	7.31937809888862
BA3379	6.56326897910348	7.00010998499046
BA2887	6.58253832351054	7.41889646736553
BA2712	7.2245944685398	7.50539293842063
BA2068	5.81442547259646	7.4914611939268
BA2236	6.50698545533974	6.97926113627939
BA2104	6.25534556152395	7.44951411714195
BA3124	6.56890360423702	6.57560815980456
BA3395	6.89778124838191	6.90753952267277
BA2921	5.29014927757584	7.78959302181462
BA2449	6.36648969189247	8.06147774301482
BA2003	4.86847515739846	8.17625565039323
BA2360	6.7037023558772	6.81512757535845
BA2802	6.32360812377741	7.45670028367566
BA2235	6.73692509275104	7.04635072837336
BA2858	6.92303478434711	7.49256176412129
BA3038	6.9468889159387	6.89245255653176
BA3006	6.80545390529169	6.73983231150721
BA2245	6.44802101478473	7.15078589361001
BA2667	6.59519386649706	6.65958088429919
BA2239	6.80299244523417	6.67392482770239
BA2782	6.54150806703429	6.70809549173072
BA2649	7.36252362510307	7.27898774790875
BA2488	6.93219471408877	7.24053779186389
BA2861	7.08148396341999	7.12189404339898
BA2909	6.31585760088979	6.82793872143045
BA2429	6.32408741401117	6.64631169310032
BA2653	6.60368263326756	7.60044547310861
BA2134	6.47866220517702	6.79404595569359
BA2947	5.84353133766961	7.43138197639579
BA2032	5.18440522570466	8.01121552663761
BA2162	6.13597197195766	6.40264148496757
BA2564	7.52082148621471	7.18398636132438
BA2597	5.7195036401558	8.12977902219921
BA3243	6.31947287697639	6.99925381802676
BA2106	6.56065461359229	7.98067391429632
BA2427	5.74782936628199	8.61151153389318
BA2841	5.77409344818299	8.04242466385173
BA2446	8.05115312612603	6.91265400996675
BA2645	4.46192339880986	8.25974759702626
BA2525	5.89440299333517	7.20386734649371
BA2876	5.19768575459355	7.7729524118183
BA2357	6.3764431266369	7.07994856692804
BA2546	6.78550767222755	6.98137959105818
BA2742	7.02125424605895	6.89778124838191
BA2316	6.92693139302054	6.82066158800154
BA2421	5.2450731397095	7.56896114376543
BA2087	6.11251658212347	8.16435812995303
BA2910	6.07138778077856	8.00619097456886
BA2148	5.27359380468175	8.08701091285537
BA2063	5.28503368668829	6.94160900810377
BA2329	6.72991592484699	6.77246010495607
BA3178	6.81145766315316	6.92369940347749
BA2072	7.58759859001841	6.9848366218031
BA3029	5.60042800463674	8.27031665707811
BA2733	6.2918184227424	8.23886821722062
BA2995	5.19699117865598	8.4594113881339
BA2069	7.56321071069528	6.79463806745523
BA2100	5.25074673390293	7.24218373520164
BA2681	7.17358455839536	6.89511146582289
BA2248	5.34794466566604	7.90490568648577
BA2832	6.63058753997147	7.26851020715081
BA2308	5.6518040676881	7.46894970580743
BA2413	5.4219819546052	7.73462168625585
BA2701	5.13768843009096	7.62683244469809
BA2634	5.60693430911561	7.03474280183588
BA2677	6.55763968463611	7.03474280183588
BA2937	6.91395412230233	6.97250726431014
BA2600	5.82897025310715	7.65632337592004
BA2019	7.46894970580743	7.20635659773546
BA2412	6.35951832125277	6.1201103531002
BA2334	5.70604900479139	7.69160326863138
BA2050	7.20465709297985	7.43138197639579
BA3230	7.5725144548201	6.59203093136997
BA2953	6.41176296562855	7.75921826167611
BA2481	6.30887529708536	6.72582978047913
BA2731	5.87139334737162	7.67233847579442
BA2294	6.57670086749662	7.42415546195164
BA2418	5.84314923613757	7.62320575204897
BA2816	6.13767903859115	7.47416545591404
BA2656	5.52135062216325	7.77444024847
BA2814	7.1173855294893	7.04851156959908
BA2631	6.4446944698136	7.07695814218809
BA2023	6.67173082981131	6.9785897904033
BA2375	6.77605663940291	7.02911174492955
BA2485	6.66119005251722	6.72991592484699
BA2455	6.22761949631351	7.79384765019346
BA2025	7.95104961478815	7.07556396699123
BA2636	5.89560402298733	7.45866975783138
BA2325	6.81689630084604	7.62080780455831
BA2169	5.25497927017155	8.11666073243668
BA2156	6.68070832768596	7.00924527251429
BA2511	5.96784634669034	7.47316503302079
BA2939	5.9321118772701	7.90342171341614
BA2168	5.68986590376939	7.79384765019346
BA2505	5.46628439479905	7.65276972214058
BA2860	6.68646890696546	7.13044392794916
BA2707	6.05573645247968	7.96905854853838
BA2871	6.78865136154736	7.73994866868774
BA2655	6.83087293035871	7.67751428719864
BA2227	6.2886543814572	7.86810697410873
BA2125	8.0095286113404	6.96289154217268
BA2523	7.40804987020109	7.19738153999511
BA2603	5.33721885584615	6.6430484484285
BA2808	5.67583098043324	7.95104961478815
BA2282	6.14149524736616	6.50904089235684
BA2482	6.60051001058414	7.10851364264035
BA2812	6.77246010495607	6.51657057172327
BA2822	6.39165195051498	7.24301197621157
BA2594	6.9766278154768	7.33618294917006
BA2747	5.84631034661227	7.1445927897216
BA2561	6.23708437608245	6.37831338727117
BA2567	5.09892293720879	6.73108967735957
BA2906	7.26669441560471	7.24647814947882
BA2956	5.92432462638165	8.51425498508966
BA2474	6.74612605168156	7.02841397070837
BA2737	6.13249003882685	8.27456876079558
BA2110	6.81086164089737	7.01407346260423
BA2992	7.32966927637023	7.88642489400613
BA2220	7.47316503302079	7.28899814708616
BA2772	5.98876336939614	7.73994866868774
BA2935	6.15353258469632	7.5932544466496
BA2260	6.44032365945441	7.31397253852267
BA2676	7.27636680044251	6.45897655908302
BA2948	5.69487870461564	7.66613976188412
BA2524	6.33002794213348	8.52958832512444
BA2811	6.88492067829042	7.64636707538027
BA2540	6.72876764999848	7.72941398094
BA2928	8.17232215906216	6.80787905159787
BA2302	5.46037170982955	8.0760787079227
BA2595	6.29225118298982	7.69666948274062
BA2792	6.54766219361137	6.87084783224833
BA2651	5.71138116672011	7.94145634611773
BA2619	7.15798365655759	7.51413414557592
BA3013	7.38666974161584	7.14840411383597
BA2405	5.91007221868397	7.62437772428186
BA2735	4.31814348968572	6.57720688521491
BA2856	4.67353963648755	6.73222274372854
BA2377	6.59203093136997	8.40379071339591
BA2499	5.81007696621955	7.53734841909383
BA2463	5.27794535688906	7.67892900147032
BA3023	6.33918453468976	8.14513423086413
BA2095	7.57365573963701	7.42415546195164
BA2901	5.85734049093177	7.51084212363206
BA2275	7.29599106177635	6.82008128976274
BA2387	6.69693008803166	7.15951987646114
BA2962	7.10380554442151	7.45571345371651
BA2195	6.33092888167036	7.91426996698012
BA2688	5.8446879817315	7.53197491812839
BA2787	5.81801473613502	6.33418865159932
BA2420	6.64464627075058	6.6892157543699
BA2756	6.57356389506373	7.99068122497693
BA2122	5.80146381261149	6.96289154217268
BA2053	5.31902852847325	7.99573716734119
BA2080	5.77766563717379	7.97230357086309
BA2081	7.59694470359064	7.36910502551481
BA2354	6.55285609284704	7.02978091514104
BA3273	5.1308809152012	7.62806217739621
BA2893	6.54408446340443	6.89318073804479
BA2044	7.08521741719084	6.93558317816731
BA2489	5.6864679763228	7.98067391429632
BA2309	6.77720928573593	6.94490055523594
BA2720	6.44613094518311	7.46997411625783
BA2908	4.37967727663567	7.09047728148948
BA2054	7.12738803665014	6.40264148496757
BA2872	7.39635430321553	6.68070832768596
BA2526	4.92805421347384	8.33784249776874
BA2041	7.25176192852259	8.11666073243668
BA2464	6.62245620960063	7.20465709297985
BA2902	5.12420512973416	8.16644533071452
BA2541	6.73345379130114	7.38062061343463
BA2143	6.82734034498185	8.0179995830141
BA2094	6.70082648857542	7.02554920178684
BA2769	6.47715255483626	7.6160759273921
BA2843	5.19161041350932	8.30909856685695
BA2592	6.54504027868998	7.69288267465993
BA2497	7.3370513303313	6.76359470107912
BA2718	6.54875546973009	7.03549223810054
BA2575	7.22543117773692	6.88614746987226
BA2096	7.2179085684236	7.41990509181254
BA2593	5.57639860004421	6.50152491798344
BA2791	5.72556301998601	7.91111348596979
BA2620	6.33600766569699	7.11817234858432
BA2629	6.22989744594561	7.06956103001791
BA2870	7.4363086679988	6.8958209414819
BA2423	5.48023322260474	7.76614073791854
BA2682	6.45300101587846	7.53974354156668
BA2276	6.34783039381028	7.27555120012057
BA2348	6.02737188880326	7.62437772428186
BA2709	6.66836924971821	7.76614073791854
BA2789	7.18983138735934	6.98275640527684
BA2694	5.01358911563759	7.69023500088856
BA2538	5.29082273845723	8.83992016748168
BA2583	6.42718608083043	7.67625068419832
BA2415	6.38261014012489	6.43590316276273
BA2722	7.95296500400789	7.16795764916514
BA2806	6.0311101011047	7.86375133258917
BA2221	6.54875546973009	7.1743962727285
BA3025	6.61536224183286	7.22705513643141
BA2514	6.43983576769468	8.12411003652868
BA2520	5.4921500734543	8.37409825216549
BA2441	6.65187762334033	7.66613976188412
BA2153	6.39210318114874	7.59565623174131
BA2479	5.87220344290798	7.35390839708449
BA2281	6.63383351459938	7.41702873174962
BA2657	6.48756519390035	6.85580435382138
BA2932	6.58836102643898	6.88034277223335
BA2123	7.07994856692804	7.99915514777274
BA2844	6.48803668934059	7.7071077714624
BA2660	7.15078589361001	6.98553956904008
BA2836	5.49584884893938	8.23473317956582
BA3027	5.86417764609005	7.64255001400601
BA2714	6.88430660085161	6.99377561399407
BA2139	6.85394237356265	7.00288610035202
BA2251	6.02737188880326	7.18812871773308
BA2952	7.62205873798526	6.85335943019892
BA2440	6.42479012495369	7.70064711748054
BA2036	7.30676049708217	6.801788717217
BA2828	6.08148760261427	7.44741351807287
BA2292	7.34837532536667	7.4576754868774
BA2410	5.98054442725547	8.11104544817006
BA2051	5.32198845078755	8.51934782702254
BA2532	5.70335455446958	7.47416545591404
BA2986	7.12738803665014	7.07770710445007
BA2494	5.72754939375197	7.99915514777274
BA2515	6.00134650129498	7.71215406681609
BA2748	7.36816809987369	7.04988485075939
BA2970	6.29268793995786	7.69023500088856
BA2622	6.44517490297706	7.1743962727285
BA2839	5.37601760770264	7.99739906746641
BA2052	5.98054442725547	7.68013043810275
BA3011	5.58529928737232	7.52879493976561
BA2868	6.03024497150621	7.1445927897216
BA2510	6.01912446509313	8.05801802157941
BA2065	7.09779989974783	7.03474280183588
BA2691	6.31632447129761	7.05647487229206
BA2374	7.93352218493006	6.93420850135559
BA2804	7.40804987020109	7.20800173217813
BA2670	5.58529928737232	7.18812871773308
BA2675	6.75309739437635	7.22951525991334
BA2589	5.17241204196236	8.15090969693391
BA2031	7.72809482559201	6.75597489483719
BA2198	7.08148396341999	7.13044392794916
BA2066	7.84734534450722	7.18078818168097
BA2344	7.20973552997534	6.65069612456278
