	SMC1A	NRAS
BA2459	6.15651021097325	7.61833712147791
BA2229	5.68416732949988	7.72941398094
BA2559	6.38837422038712	7.58415033094325
BA2093	6.59203093136997	6.84039491318719
BA2000	8.37409825216549	6.5550219238791
BA2425	7.19312453230448	7.14764743423536
BA2905	5.48539345466374	7.75227162313381
BA2304	7.33529770605395	6.91918219556931
BA2976	6.8194770973329	6.74898905678908
BA2386	5.69028030333394	7.41008797800013
BA2035	6.5150208040986	7.550843282623
BA2760	6.10277314052035	7.68399828509427
BA2201	7.166329054571	6.84277692729058
BA2355	5.94059984274879	8.16059641320183
BA2113	8.50529098735433	7.06807720975175
BA2155	6.38261014012489	7.29872623007905
BA2955	7.05721925341645	6.87337102503918
BA2502	7.40200052886874	7.08227901596389
BA2322	7.30496309649231	7.80956394588893
BA2376	6.63486341869675	6.88034277223335
BA2020	7.64778904816974	7.10851364264035
BA2226	7.31937809888862	7.30676049708217
BA2200	7.04133576078419	6.95751613947387
BA2121	7.34277993266588	7.47524977931761
BA2944	6.73692509275104	7.44644074627456
BA2033	5.96505632745959	8.7332018546727
BA2867	5.96987848742324	7.91426996698012
BA2089	7.30225620212896	7.15951987646114
BA2224	6.68593691853273	7.18556384102574
BA2046	5.65751126924784	8.04242466385173
BA2972	6.52375465899181	7.70840071464408
BA2978	7.3212161814573	6.92898560318184
BA2829	6.41465436154636	7.28800386009291
BA2851	7.07626127790368	7.26066025557169
BA2587	7.27555120012057	7.04635072837336
BA2461	6.66730094916762	6.94225752405198
BA2695	5.80106125250132	8.26157753766667
BA2623	6.92959860586943	7.41600983782201
BA2024	6.50054440194885	6.76359470107912
BA2426	6.72876764999848	8.46676516104844
BA2271	6.77720928573593	7.53303259081949
BA3004	6.90423057855148	7.20712924024302
BA2579	6.47866220517702	6.95344802847081
BA3010	6.83087293035871	7.21300808308282
BA2662	8.29820901257083	6.61275930528802
BA2674	6.29091935991155	7.21542521128511
BA2280	6.98419090856441	7.56567805381962
BA2512	7.29162764738793	6.88742207164032
BA2658	6.51105136156458	7.51191595859432
BA2394	6.02778423402097	7.03549223810054
BA2950	6.64862107605335	7.78253531759111
BA2981	6.75887216800442	8.25135474465914
BA2934	5.92917652580144	6.95344802847081
BA2539	6.95150045701844	6.43882504176683
BA2249	6.71723697861596	7.39635430321553
BA2034	6.50002459426286	7.57949702449786
BA2109	6.03322281740518	7.4382687261571
BA2242	5.91282831503143	6.98688341334907
BA2277	6.81203867711984	7.03918975972709
BA2727	6.26972531039322	7.05292631391108
BA2132	6.54307132156237	7.54856623986657
BA2618	6.70309367478267	6.68477667416407
BA2521	7.21378004978512	6.84657434431718
BA2846	6.6322579586067	7.4333053034535
BA2885	7.39540604135448	7.27205163282357
BA2639	7.79956921933088	7.25358458154246
BA2775	6.43590316276273	6.56583781452914
BA2402	6.84098754890722	7.43138197639579
BA2097	5.98386136715206	7.78401208165605
BA2786	8.56601564488201	7.56321071069528
BA2399	6.53092260630466	7.69160326863138
BA2850	5.73663382994184	7.78123623973778
BA2174	7.34370807957505	6.79463806745523
BA2004	6.77360382440632	6.61536224183286
BA3001	6.7513352539061	6.89839628157059
BA2311	6.90940702790402	7.06302085430374
BA2483	7.24647814947882	7.13198010911185
BA3040	7.139939970706	7.22042069105103
BA2837	5.84112154107977	7.52657913903788
BA2724	5.91045865628191	8.07789379739417
BA2911	6.5181383405608	7.22294227292879
BA2256	7.03474280183588	7.83704881770087
BA2821	7.4333053034535	7.11072300969941
BA2233	6.01292615255046	7.89717932578411
BA2744	6.26474966230624	6.73922514739457
BA2880	6.8090279726606	7.2456266527422
BA2621	6.05776567233175	7.04344633578654
BA3002	7.32309525533159	7.35390839708449
BA2501	6.59468087653905	7.16132716982423
BA2993	5.67695923349879	7.59101188148724
BA2301	6.30510036258626	7.92045916247849
BA2852	4.99811985636614	7.53093612416627
BA2133	5.86977499380276	7.26938021173089
BA2866	6.70639038824238	7.13513562600345
BA2212	6.20964310204874	7.88494695067266
BA2685	6.52531304614774	8.03722226484621
BA2273	6.10105446354612	7.88642489400613
BA2477	7.67359575985668	6.69750566900229
BA2659	6.80239867331755	6.87971926016812
BA2124	6.42718608083043	6.72640507458581
BA2363	6.20613451857404	6.67668520784891
BA2369	5.92353940158255	7.99915514777274
BA2534	6.29503336143835	7.07180826529373
BA2400	7.22867709025789	7.04851156959908
BA2762	6.37975842200095	7.94936162159169
BA2312	6.1419268433851	6.95615389337193
BA2813	6.06929983181706	7.78401208165605
BA2211	7.08297551023298	7.00853195755675
BA2171	7.81249915728454	7.10380554442151
BA2746	7.02911174492955	7.54404101452516
BA2798	6.0072209431505	8.52702131941912
BA2809	6.10621461216555	7.29162764738793
BA2288	5.89603275873882	7.38062061343463
BA2801	6.21976021821158	6.96091622827791
BA3030	7.3370513303313	6.57195133441217
BA2588	6.23885515750168	6.90877033903166
BA2296	6.90226857503049	7.10380554442151
BA2300	7.384595872256	7.08368088883067
BA2903	5.35378122072143	7.16876088952225
BA2473	7.43138197639579	8.12599675573878
BA2545	7.00355473079372	6.71895435387141
BA2840	6.5808607051832	7.05796014084047
BA2528	6.75887216800442	6.67112647924208
BA2646	6.39689952753953	7.34929269675225
BA3407	6.55815560889788	8.16059641320183
BA2240	7.05721925341645	7.40804987020109
BA2926	7.10851364264035	6.43590316276273
BA2272	6.41753927442656	6.7421473941764
BA2306	6.62413100331839	7.47416545591404
BA2765	6.80545390529169	6.63915578339387
BA2904	6.74898905678908	7.08440089746741
BA2883	5.65372634921578	7.84423149870525
BA2726	6.83214250556656	7.1288906231397
BA2234	8.20818067427413	6.93623650693789
BA2022	7.3014086607396	7.33890799019329
BA2228	6.89511146582289	7.86375133258917
BA2037	6.66943948787905	6.88492067829042
BA2184	7.00991256129177	7.16215175411855
BA3009	7.12664090320603	7.14612289543671
BA2842	5.4113491881704	7.34277993266588
BA2442	6.57195133441217	6.80116720365205
BA2882	6.39453514704598	7.1030737643179
BA2758	6.11380852099068	7.06736498172321
BA2705	4.69364567233787	8.34007975821985
BA2663	6.07014345963385	7.19985683529985
BA2570	5.93038956442244	7.17913715940168
BA2764	5.97440821051446	6.45300101587846
BA2209	5.17629556050641	7.947879626465
BA2989	5.85300580466056	7.96422079504262
BA2855	5.62868512576849	7.617186143553
BA2261	6.57195133441217	6.81811142246577
BA2721	6.9401836518602	6.75309739437635
BA2930	6.51205995717627	6.93558317816731
BA2728	7.4363086679988	6.78865136154736
BA2715	6.24912819394912	8.18217944661747
BA2469	5.1670870054947	6.21539686316165
BA2269	5.10142924510394	7.07329793491951
BA2098	7.08148396341999	7.06596636229514
BA2778	6.94881589861991	7.04704814373678
BA2951	6.74097656792209	6.45750445904916
BA2163	6.59838838471777	7.35957852119331
BA2379	5.09007782361131	7.89108706846145
BA2817	5.80891216118178	7.88642489400613
BA3153	4.79136581218229	8.59529250724368
BA2820	6.6322579586067	7.02624764830014
BA2723	5.5268548517384	7.88793681406652
BA2704	7.74132890165977	7.14840411383597
BA2088	6.97926113627939	8.12418859250955
BA2116	6.00173500696481	8.0044307958278
BA2584	6.55336509971083	7.39734461578024
BA3079	5.91595003127845	7.08521741719084
BA2417	6.21584775215817	7.56567805381962
BA2361	6.53596454454956	7.60044547310861
BA2450	6.40785243829132	7.3445927403943
BA2492	5.82076176816399	7.90490568648577
BA2552	6.35211013226828	7.61362919863888
BA2472	5.94221717949707	7.49565796423242
BA2994	6.46824522688611	8.05801802157941
BA2047	7.2808607611199	7.28712238553665
BA2101	5.8301135616909	7.45963779857083
BA2082	5.68039540990515	8.08153228980509
BA2879	5.490635893289	7.83985748399556
BA2577	7.70840071464408	6.78802478417111
BA2456	5.6533576160666	8.30909856685695
BA2175	7.09047728148948	7.76614073791854
BA2824	6.70978091072649	7.22867709025789
BA2507	6.45799676814181	7.83840005803793
BA2563	6.5181383405608	7.13917152831013
BA2244	7.09710413510838	6.98553956904008
BA2470	7.08741196449123	7.51413414557592
BA2984	6.7058515766051	7.48382605156173
BA2414	7.27110711454488	7.15798365655759
BA2697	6.32590234144832	6.54766219361137
BA2079	6.25044574056375	6.79581543973709
BA2999	6.86346274491745	7.42090370210596
BA2644	6.40877834877257	6.64915964619014
BA2011	5.31976332499236	7.45571345371651
BA2217	6.98756290986723	7.23974353995359
BA2454	6.80239867331755	7.38062061343463
BA2776	7.878761730409	7.25696535562506
BA2218	5.41354619085544	8.18813169577028
BA2135	6.30887529708536	8.37180321609369
BA2914	7.42090370210596	6.78074983432615
BA2500	7.17999658780694	7.41990509181254
BA2830	6.30510036258626	8.20616122712402
BA2406	6.62952631509886	7.53511002571526
BA3108	7.29687122589928	6.79345158499426
BA2924	5.18127720949108	8.23061160269424
BA2303	7.01847365520979	6.74557828155057
BA2160	6.07305710536308	6.80603450730616
BA2038	6.76065503993724	8.30691336971867
BA2602	5.93941599911207	8.2874098816496
BA2964	6.64807496201704	7.59447758989453
BA2898	7.16953610700443	6.89778124838191
BA3003	7.72127626045477	6.76240903317338
BA2111	7.24904224136933	6.79100301901869
BA2827	7.14998539597838	7.09568366825665
BA2912	7.44041046246091	6.8867637487898
BA2437	7.89563066633541	7.05061628699762
BA2283	7.65393092338473	6.8576823032308
BA2057	7.52533179189238	6.94758145894243
BA2633	7.80094268898657	6.95085389521077
BA3034	7.18235291359456	6.806661857708
BA2607	7.09568366825665	6.98275640527684
BA2761	7.45053981568106	7.06885426902192
BA2795	7.05570452227078	6.91326402535282
BA2182	7.2509128285615	6.97731252665637
BA2152	7.83554388846121	6.801788717217
BA2381	7.68013043810275	7.41308925427417
BA2931	7.07025966230358	7.41889646736553
BA2040	6.08069063943415	7.74808252538179
BA2590	6.95085389521077	7.69790613813162
BA3195	5.95848988053113	7.49042755149826
BA2516	6.77605663940291	6.76777472760262
BA2353	6.54307132156237	7.47732145799094
BA3036	6.35670315117225	7.2977714926992
BA2971	5.28753823686253	7.85931538761176
BA3410	6.06468755944282	7.63278489020753
BA3118	6.34145730932297	8.47663077360064
BA3206	6.62789754750857	6.79404595569359
BA3202	6.87788091401863	8.1017443875296
BA3217	6.6568137663596	7.75510135803604
BA3405	6.45300101587846	6.87403385388121
BA3306	5.43769371500229	7.99413751864958
BA3371	7.05362684769664	7.63278489020753
BA3413	6.67339810625054	6.93090952480088
BA3411	7.20152351501227	6.71268468403438
BA3133	6.87337102503918	7.15158559200513
BA3164	6.73108967735957	7.36252362510307
BA3451	7.07556396699123	7.1030737643179
BA3286	7.79956921933088	6.5145040049866
BA3212	7.24390327644845	7.42721767032965
BA3103	6.09471986603717	8.24301678047805
BA3271	7.58177680428358	7.28438406463884
BA3152	7.08148396341999	6.73983231150721
BA3095	6.43289690445385	6.8791208631907
BA3192	6.4243136710677	7.87732006412967
BA3251	7.42721767032965	7.69288267465993
BA3362	7.55300749734541	7.05570452227078
BA3400	5.41572672514552	8.34456564828853
BA3135	5.76218019652153	8.08518191159815
BA3408	5.86940153677441	7.03126251610198
BA3187	6.49954119512004	7.60161963856079
BA3098	6.76002445528346	7.1639233124779
BA3435	6.41227021268222	7.12189404339898
BA3261	6.73801134139373	6.99175546936536
BA3203	5.28574757840294	8.3603866090308
BA3174	5.56667961076671	8.00271116464237
BA3317	6.59256890621003	6.99516443206292
BA3299	6.37404647308394	8.44724078411408
BA3221	6.43542748974206	6.6263105848456
BA3347	6.62466206493959	8.31787605128572
BA3235	6.54553839134552	7.21134659078952
BA3126	6.58028734101557	7.34277993266588
BA3380	5.6154952630376	7.96744532914178
BA3089	6.15791958321841	7.06956103001791
BA3109	5.04621645682115	7.62806217739621
BA3114	6.22545256194412	7.26669441560471
BA3418	5.03714178615516	8.07245680901417
BA3245	5.90312039371181	8.43758065182973
BA3085	6.00173500696481	7.97230357086309
BA3128	5.38767549004293	7.99739906746641
BA3423	6.30326841219344	8.2960419873451
BA3173	6.46136172333021	8.09067732991193
BA3171	6.18251802139279	7.36252362510307
BA3277	5.58646194769947	8.51425498508966
BA3210	5.89521114196018	7.8894951557827
BA3157	6.79931174111644	7.38560317769133
BA3433	4.99665147897099	8.0301567645062
BA3322	6.67339810625054	6.71610247691018
BA3374	7.11145591609312	6.6892157543699
BA3450	6.3688389446517	8.18813169577028
BA3167	5.89646386290191	8.01965582601105
BA3269	5.3588856376779	8.10545619155905
BA3110	5.68268021308212	7.65148276489013
BA3156	6.17423728477739	8.05115312612603
BA3226	6.94819581980106	6.88993208075706
BA3421	6.17121351437265	7.19064975766148
BA3232	7.52082148621471	6.8194770973329
BA3289	5.3034642652041	7.37484847247432
BA3430	6.50200644713267	7.79093203959201
BA3145	4.76145184642672	7.12189404339898
BA3399	5.22996636193318	6.79640967556144
BA3449	6.76359470107912	7.40707286933197
BA3384	7.66613976188412	7.10925539195399
BA3427	6.23442968340786	6.79813530726845
BA3163	7.42090370210596	7.06302085430374
BA3158	6.63707820351379	7.21542521128511
BA3436	6.92303478434711	6.60634523087502
BA3154	5.94059984274879	8.16576290814706
BA3162	5.60693430911561	7.50539293842063
BA3352	5.77182174756257	6.95550948162844
BA3084	7.33978574457582	7.14921380328589
BA3149	5.52840068494334	8.03884116383771
BA3169	5.98263491560423	7.53405377993628
BA3180	5.43621855884092	7.65513327960109
BA3255	6.37732984108365	6.85895592875875
BA3438	6.62086223855277	6.89511146582289
BA3345	6.20740227072508	7.2023131865225
BA3403	6.49699294257919	6.63758201438047
BA3431	5.16389532747044	7.31937809888862
BA3181	6.57305438035027	6.78865136154736
BA3341	5.54913879758469	7.65148276489013
BA3191	6.41465436154636	7.00423488076259
BA3197	7.04344633578654	7.20073563164426
BA3448	7.31301236291507	6.90161368403515
BA3453	6.655181196516	8.07426638068647
BA3406	5.91282831503143	7.12505562496802
BA3308	6.22945844028102	7.09710413510838
BA3186	6.49699294257919	7.19225834495813
BA3334	6.31068973576453	6.93152855508892
BA3447	5.80891216118178	6.50649211862862
BA3116	6.15397098768236	8.09619809378225
BA3280	5.61064071002875	8.53990253916599
BA3185	5.22210266268897	8.09804401257278
BA3094	6.2787278602742	7.86231924501854
BA3318	6.15101372135618	7.99739906746641
BA3216	5.77965565034493	8.1017443875296
BA3332	7.21134659078952	7.99573716734119
BA3214	4.40728719351658	7.75510135803604
BA3099	7.12738803665014	7.11440294806697
BA3141	7.04775148018528	6.52836297577895
BA3373	6.76656262392125	7.22127084858972
BA3319	6.4930085337883	6.9785897904033
BA3328	6.82673548944024	7.12189404339898
BA3339	6.66119005251722	6.44032365945441
BA3240	6.60634523087502	6.9401836518602
BA3142	5.28293318880112	7.36623727973933
BA3333	5.70032456019922	7.59447758989453
BA3381	7.12040364606583	6.63758201438047
BA3290	6.31720357778214	6.83464418679852
BA3207	6.31022816211408	6.76418682921246
BA3296	6.48560018665895	6.59203093136997
BA3305	5.79404160330192	7.38560317769133
BA3434	6.92898560318184	7.08598210070988
BA3189	6.44710159988793	6.76359470107912
BA3264	6.52375465899181	7.37299295258264
BA3329	6.45552187143232	7.4262875873266
BA3417	6.33046496181519	7.09047728148948
BA3367	6.21976021821158	7.6954634086272
BA3225	6.10190214742508	6.69136843496562
BA3183	6.52938873500607	7.20544727648903
BA3222	6.74097656792209	6.44517490297706
BA3139	7.25976697827341	7.27110711454488
BA3397	6.72238123052722	7.28899814708616
BA3311	6.14373648060673	6.8175184307766
BA3422	5.34118303710199	8.19211577067672
BA3228	6.5466649868085	7.42825345365406
BA3213	6.65958088429919	7.74808252538179
BA3270	6.78550767222755	6.73050676463962
BA3415	8.75695672842528	6.74501989741739
BA3324	6.58201675131977	7.00079089475897
BA3194	6.27380663380772	6.77131514818168
BA3335	5.46037170982955	8.00107447892983
BA3199	7.25440312060941	6.83403264485773
BA3326	6.36600938491696	7.80094268898657
BA3285	7.13198010911185	7.19064975766148
BA3297	6.79931174111644	7.03918975972709
BA3227	7.2808607611199	7.12738803665014
BA3394	6.25091484872834	6.86346274491745
BA3412	7.14221254704718	7.29872623007905
BA3293	6.6892157543699	6.79158437688518
BA3250	7.17999658780694	7.17197273809379
BA3177	7.33339060020607	7.08821062221174
BA3315	7.00355473079372	7.5552619353094
BA3182	6.62466206493959	7.17836164217363
BA3260	5.45930289861008	7.19064975766148
BA3369	6.8090279726606	7.1639233124779
BA3078	6.51205995717627	6.77661655379887
BA3386	7.20386734649371	6.72117913083453
BA3445	5.49981147623839	7.05362684769664
BA3452	5.13692147172974	6.64862107605335
BA3176	7.39829394317713	6.52988298875597
BA3258	7.16299526015693	6.9924430115513
BA3295	6.8614500005054	6.93764309063722
