	ABL1	NF1
BA2000	0.0146845710165825	3.111517428069347
BA2003	0.0095313626532083	3.389720937975158
BA2004	0.0112418889689978	4.107779838510599
BA2006	0.0060003604902667	4.322445702206574e-05
BA2011	0.0100919250180245	1.6026297356587131
BA2019	0.0196629416005767	4.494016399874616
BA2020	0.0263392213410237	6.001651693538348
BA2022	0.0168979812545061	2.799697570836359
BA2023	0.0098017303532804	1.2863033868765024
BA2024	0.0110868781542898	2.836153075935288
BA2025	0.0185724585436193	2.998920282237275
BA2031	0.0146377072819033	1.053999464364104
BA2032	0.0132462148521989	4.736857674024336
BA2033	0.0081723143475126	2.077148737876513
BA2034	0.0197494592645998	3.3450479600913474
BA2035	0.0183687815428983	2.7423058461564054
BA2036	0.0147530641672674	5.284777421633487
BA2037	0.0234264599855803	6.5397464757897135
BA2041	0.01598774333093	3.0057640388335902
BA2044	0.0127793799567411	1.8030876517080423
BA2046	0.0203460706560922	3.1642075551323474
BA2047	0.0213968997837058	2.684653917716889
BA2050	0.0107462148521989	2.1223897396681517
BA2051	0.0223882480173035	2.0191681677014257
BA2052	0.013585075702956	2.45196040777652
BA2053	0.0078983417447728	2.8414506738976777
BA2054	0.0082660418168709	2.5425714956287484
BA2055	0.0044250180245133	0.0427628696185568
BA2063	0.033361571737563	1.2550307004324293
BA2065	0.0192790194664744	4.466296598065147
BA2066	0.0210976928622927	2.7040172282524684
BA2068	0.0152397260273972	1.739251506885491
BA2069	0.0120782263878875	1.2817487486948846
BA2072	0.0101243691420331	1.9121563503188852
BA2079	0.0053911319394376	1.3766451832074391
BA2080	0.0201568132660418	3.4921755798319185
BA2081	0.012382840663302	2.4337929536997795
BA2082	0.0226405912040374	1.7970252353974314
BA2087	0.0131452775775054	0.8779195949647542
BA2088	0.016995313626532	2.681916126750288
BA2089	0.0200973323720259	3.614081051239757
BA2093	0.0109012256669069	2.6500822670003763
BA2094	0.0125342465753424	1.7833119560737067
BA2095	0.0175198269646719	2.746858373103841
BA2096	0.0067429704397981	0.8405181126336368
BA2097	0.0227577505407354	6.028010945575214
BA2098	0.012664023071377	0.5953215828600464
BA2100	0.0066240086517664	1.4638148148420382
BA2101	0.0096467195385724	1.6040708852146146
BA2104	0.0069358327325162	1.959351619719183
BA2106	0.0121449170872386	3.3958543441956035
BA2109	0.0096160778658976	2.523599745034739
BA2110	0.005677721701514	1.6321020801329411
BA2113	0.0232191780821917	4.9119590614416975
BA2116	0.0132804614275414	3.786695707193152
BA2121	0.0142231434751261	1.5937520898342736
BA2122	0.0042213410237923	1.2027325188065447
BA2123	0.0203028118240807	4.223608227456884
BA2124	0.0179434030281182	4.090810245120841
BA2125	0.0150955299206921	0.5666413593094723
BA2132	0.0178821196827685	3.742194449115524
BA2133	0.0063211968276856	1.767526352877136
BA2134	0.0074351117519826	1.101959099377486
BA2135	0.0098558038932948	0.338832231774548
BA2139	0.0064852198990627	0.9280704877663696
BA2143	0.0127180966113914	2.139161618539538
BA2148	0.0149242970439798	1.969827876419843
BA2153	0.0082390050468637	3.2227482863978194
BA2155	0.012382840663302	1.5747550549330558
BA2156	0.0208399423215573	3.7085374668758138
BA2162	0.0132804614275414	3.265288577822525
BA2163	0.0161968276856524	4.789921580548477
BA2168	0.0087941600576784	2.871892811256261
BA2169	0.0112076423936553	3.898448816368002
BA2171	0.0253118240807498	5.1568813845899815
BA2172	0.0166528478731074	4.078616881916549
BA2174	0.0147224224945926	5.232705431951293
BA2175	0.019388968997837	0.6975189471101298
BA2184	0.046326604181687	7.243398886555592
BA2195	0.0100342465753424	2.112547561798174
BA2198	0.0141474405191059	2.7822809422668757
BA2200	0.0183453496755587	5.563505373197707
BA2201	0.0077883922134102	1.664812708004202
BA2209	0.0153947368421052	4.578502498570262
BA2211	0.0313320115356885	4.250394925565402
BA2212	0.0161824080749819	3.3022561964739383
BA2217	0.0262707281903388	3.799295517581113
BA2218	0.0069124008651766	1.8730243188624864
BA2220	0.0089419610670511	2.34668632485097
BA2221	0.0084661139149242	1.9524697677499532
BA2224	0.0088914924297043	2.200962371273864
BA2226	0.0220944484498918	6.248512896385494
BA2227	0.0209408795962509	7.154343188672011
BA2228	0.0196377072819033	3.294251160427593
BA2229	0.0153713049747656	5.12051956796072
BA2233	0.0236860129776496	4.379212967873582
BA2234	0.0152505407354001	2.943657710430998
BA2235	0.0130641672674837	3.035260769821783
BA2236	0.018817591925018	5.234382406962055
BA2239	0.0091726748377793	2.077744473812367
BA2240	0.0207876712328767	7.669590320282489
BA2242	0.0155587599134823	6.364182260696794
BA2244	0.0166348233597692	4.148079657087803
BA2245	0.0197404470079307	4.565541100648304
BA2248	0.00905010814708	2.2841882767366988
BA2249	0.012557678442682	2.8710078138511523
BA2251	0.0230894015861571	3.734473192925056
BA2256	0.0136391492429704	3.9209360793523143
BA2260	0.0076297764960346	2.035324002550771
BA2261	0.0063482335976928	2.1107714332691474
BA2269	0.006685291997116	2.795236109336522
BA2271	0.0136319394376351	3.934935396841288
BA2272	0.01	3.4044244703862248
BA2273	0.0184607065609228	1.813795990036955
BA2275	0.0184697188175919	3.8906560435818314
BA2276	0.0092519826964671	1.715933151615994
BA2277	0.0193421052631578	4.4734324233080685
BA2280	0.0273449891852919	8.413685963322793
BA2281	0.0179271809661139	3.3173215800317424
BA2282	0.0063031723143475	1.4770161074503152
BA2286	0.0208507570295602	4.449201954791994
BA2288	0.0124134823359769	2.8970744461278737
BA2292	0.0175486661860129	2.357857051734847
BA2294	0.0140573179524152	3.4070066608383014
BA2296	0.0239365537130497	2.7283679184292966
BA2300	0.0072584715212689	2.82007533734628
BA2301	0.0100739005046863	2.244366041127816
BA2302	0.0157948810382119	3.1728651781828696
BA2304	0.0063734679163662	1.288536557372289
BA2306	0.0136121124729632	4.203183867789378
BA2308	0.0117321557317952	4.653174802480989
BA2309	0.0130984138428262	1.4821719204549446
BA2311	0.0107876712328767	2.28388899757226
BA2312	0.009127613554434	3.440753537257396
BA2316	0.0084282624369142	1.733323379486651
BA2322	0.0178568853640951	1.4843645429089358
BA2325	0.0081506849315068	1.878432331498824
BA2329	0.0087815428983417	1.3023071309390557
BA2334	0.0099639509733237	2.3441541333773
BA2339	0.0048882480173035	1.67813031164334
BA2344	0.0139077144917087	3.128834328328252
BA2347	0.0055064888248017	1.4866384851216736
BA2348	0.0043727469358327	1.218851062697059
BA2350	0.0045818312905551	2.0094193263277367
BA2354	0.0157534246575342	2.5154606019428063
BA2355	0.0216312184571016	2.6482392150730347
BA2357	0.0130569574621485	2.508310305592504
BA2360	0.0196322999279019	3.7280838124232383
BA2361	0.0122873107426099	2.242171620958102
BA2363	0.0046250901225666	0.7819844935324158
BA2369	0.0189221341023792	4.164601652715223
