	TP53	SF3B1
BA2000	8.06307340091042	5.868488939678021
BA2003	2.2260197873263383	2.198908352987511
BA2004	7.673631869747613	4.138880806726062
BA2006	7.428197079696779	2.325123064804804
BA2011	1.1963063819805329	0.1380198320917367
BA2019	6.224170045462047	2.591253168618399
BA2020	21.520381567447888	3.566717303735739
BA2022	9.45684986281421	1.6333312272570373
BA2023	6.434672541888756	0.695618182813505
BA2024	6.510640280236593	2.2570122608614995
BA2025	10.394921412662669	1.0662814523867092
BA2031	8.495527625696191	4.244904914836965
BA2032	2.499893151699212	0.544077751470832
BA2033	1.7986397277922732	0.5207126749297848
BA2034	10.402330525568503	3.739892901838597
BA2035	5.694807242052163	6.2327003775731
BA2036	7.951478653704009	9.325854998547795
BA2037	13.456446138821162	5.232376171077262
BA2041	4.012876279461654	0.8686250591145965
BA2044	12.997143664324703	2.7103441419906
BA2046	2.618085774132732	0.0966780257929719
BA2047	6.872806555198192	2.5434799755482262
BA2050	5.023659216923838	1.5773960837625316
BA2051	0.9779779714778264	1.9603346228298677
BA2052	4.334996906915623	2.2125302187734275
BA2053	2.357057989901253	0.5596398153343644
BA2054	3.190998846688494	2.902457441292173
BA2055	8.735408391437288	1.3580618091575545
BA2063	2.152309015331881	1.0228629180029227
BA2065	9.459880976324264	3.3052441831997457
BA2066	20.073948076003976	1.1212745563173925
BA2068	3.486147991478991	1.42080896899582
BA2069	15.409996932172731	1.6861525559554815
BA2072	6.954497290282092	0.7505739552112843
BA2079	2.0472781137670544	0.6569010874044472
BA2080	2.4647671501971486	0.7577356790613439
BA2081	9.149696405407012	1.987437057210764
BA2082	1.7753601682942917	0.0575538570088242
BA2087	4.855407453197315	1.0741895787999471
BA2088	2.4632406685354358	1.1964608794427185
BA2089	9.676104817049987	2.2429851844755566
BA2093	2.2386160646417284	2.504220728960906
BA2094	12.051290934790956	4.874152863123288
BA2095	9.865156313761132	2.000770656654821
BA2096	6.77397549750367	1.4035218689792446
BA2097	6.33159715116314	5.529201492957189
BA2098	22.683107122235867	3.7885589952267344
BA2100	0.4942224100471776	0.3885650929638804
BA2101	3.382179169574317	1.4843159585840475
BA2104	4.151746644592918	1.4249106856380802
BA2106	3.0315719050191947	2.635120076761539
BA2109	1.2120564008482917	0.1013629278870352
BA2110	2.3221181476454724	1.195629336654395
BA2113	11.35363658872494	1.3489537058579335
BA2116	0.5147534372218869	0.7321046849173004
BA2121	10.948348696573852	0.9023855229683968
BA2122	1.4582446731011915	0.6417203906201293
BA2123	7.1946210352410045	3.840240130713588
BA2124	13.386270032709085	5.547385135207057
BA2125	9.790402798354815	3.133815191424848
BA2132	2.7211224761939943	2.629895091549692
BA2133	0.8131475906953063	1.889343444020188
BA2134	4.913494345748131	1.3858377241602684
BA2135	3.617560816574061	1.0282469461893704
BA2139	4.057071783339983	2.3384103077608533
