	DNMT3A	TP53
BA2000	0.3903477782106476	8.06307340091042
BA2003	0.2200672016907105	2.2260197873263383
BA2004	1.7421872222743082	7.673631869747613
BA2006	0.3787236170572983	7.428197079696779
BA2011	0.5217608164496809	1.1963063819805329
BA2019	0.4474708417173635	6.224170045462047
BA2020	0.6765599205677996	21.520381567447888
BA2022	1.035164212553083	9.45684986281421
BA2023	0.1201300703143848	6.434672541888756
BA2024	0.4794653993658658	6.510640280236593
BA2025	0.2548711482159886	10.394921412662669
BA2031	0.2223031448406812	8.495527625696191
BA2032	0.2822289193149458	2.499893151699212
BA2033	0.1425292972381716	1.7986397277922732
BA2034	0.5984234647814147	10.402330525568503
BA2035	0.8654681646619956	5.694807242052163
BA2036	0.4402468738806289	7.951478653704009
BA2037	0.783361127172473	13.456446138821162
BA2041	0.1026100021630555	4.012876279461654
BA2044	0.3145954640236001	12.997143664324703
BA2046	0.1527200400277926	2.618085774132732
BA2047	1.1000234462904164	6.872806555198192
BA2050	0.2208361160071591	5.023659216923838
BA2051	0.1202876109750209	0.9779779714778264
BA2052	0.4628891424904828	4.334996906915623
BA2053	0.2357331583528511	2.357057989901253
BA2054	0.1897970889603141	3.190998846688494
BA2055	0.1016623185336721	8.735408391437288
BA2063	0.2337397032375142	2.152309015331881
BA2065	0.4009166650099477	9.459880976324264
BA2066	0.3777119351024847	20.073948076003976
BA2068	0.2375133220008568	3.486147991478991
BA2069	0.1693877031808799	15.409996932172731
BA2072	0.2069594922820808	6.954497290282092
BA2079	0.2431485328158669	2.0472781137670544
BA2080	0.2891593639359263	2.4647671501971486
BA2081	0.2574487849552282	9.149696405407012
BA2082	0.3355754225575059	1.7753601682942917
BA2087	0.1543080697173639	4.855407453197315
BA2088	0.0833651298577288	2.4632406685354358
BA2089	0.2758816049602879	9.676104817049987
BA2093	0.4683773986052874	2.2386160646417284
BA2094	0.4592247829364606	12.051290934790956
BA2095	0.3875435221016316	9.865156313761132
BA2096	0.1225796696216249	6.77397549750367
BA2097	0.6727738141640198	6.33159715116314
BA2098	0.4725877035538304	22.683107122235867
BA2100	0.1089824664887933	0.4942224100471776
BA2101	0.6971560439731584	3.382179169574317
BA2104	0.053740668846797	4.151746644592918
BA2106	0.2311583327849795	3.0315719050191947
BA2109	0.1313450186921277	1.2120564008482917
BA2110	0.0840286651574152	2.3221181476454724
BA2113	0.6525721360605183	11.35363658872494
BA2116	0.2417840970771943	0.5147534372218869
BA2121	0.6760584898167601	10.948348696573852
BA2122	0.0656029871370471	1.4582446731011915
BA2123	0.0959275918604528	7.1946210352410045
BA2124	0.6896924988931303	13.386270032709085
BA2125	0.4016538372629313	9.790402798354815
BA2132	0.5098245010712235	2.7211224761939943
BA2133	0.2320013726547507	0.8131475906953063
BA2134	0.0978162703224511	4.913494345748131
BA2135	0.5230946747168397	3.617560816574061
BA2139	0.094658854443762	4.057071783339983
BA2143	0.1901286905887505	6.514813997712446
BA2148	0.1653780428761621	0.3308884751012781
BA2153	0.5962602133140623	3.840478484261512
BA2155	0.325684159573431	3.973317728058916
BA2156	0.6192501045771407	11.453174911166562
BA2162	0.5336746564791711	3.729057553001509
BA2163	2.3304985680705173	13.44292850019923
BA2168	0.4042478250562519	3.962430004021511
BA2169	0.8900870917871619	2.463700853323531
BA2171	0.5006416354314442	9.666398457499485
BA2172	0.3534923133742886	7.090263077576619
BA2174	0.4419089652347314	7.701079162073331
BA2175	0.177572143431386	0.1872753030153418
BA2184	2.4937520176121484	17.996746811177232
BA2195	0.2030012891780013	2.976163189395368
BA2198	0.8296965103200213	8.39156345831227
BA2200	0.879303672917371	15.684640945538904
BA2201	0.0986654105296367	4.41294067160597
BA2209	0.8738033339078843	1.465524528992165
BA2211	1.7814047286024255	12.411770235404097
BA2212	0.358849828842352	2.4205216520142714
