	NPM1	MSH2
BA2000	528.2932619271585	0.0540194489465154
BA2003	717.8183224076506	0.0118833063209076
BA2004	320.01547932986267	0.0208525121555915
BA2006	9.679478408126416	0.0008006482982171
BA2011	348.4981285240867	0.0040032414910859
BA2019	583.7827086691859	0.0573646677471636
BA2020	1236.507877965909	0.075416531604538
BA2022	916.0964949426144	0.0365705024311183
BA2023	431.7839587624408	0.0083598055105348
BA2024	372.1842389270018	0.0156985413290113
BA2025	722.395881374441	0.0333419773095624
BA2031	803.0149785649028	0.0258800648298217
BA2032	795.6408037215438	0.0062009724473257
BA2033	257.718883807176	0.0037763371150729
BA2034	810.0015144990998	0.0277698541329011
BA2035	899.358854303508	0.0266969205834683
BA2036	778.587533687972	0.0301296596434359
BA2037	1902.128477513421	0.069870340356564
BA2041	845.8378095871379	0.0181393841166936
BA2044	585.7529247149646	0.0307811993517017
BA2046	1115.1507214086078	0.008580226904376
BA2047	676.9878108900025	0.0314068071312803
BA2050	742.1408316925888	0.0176693679092382
BA2051	484.6791957324424	0.0037309562398703
BA2052	1122.4581187120564	0.0163987034035656
BA2053	856.5360596182228	0.0055591572123176
BA2054	797.1291493537034	0.0261620745542949
BA2055	43.55371897587268	0.0027552674230145
BA2063	583.6395872324669	0.0053063209076175
BA2065	1202.664762511015	0.0386969205834683
BA2066	819.6683643642182	0.0304473257698541
BA2068	590.7969803002536	0.0106774716369529
BA2069	668.3880927899144	0.0307001620745542
BA2072	443.6027357455251	0.0224927066450567
BA2079	148.52736696454153	0.0028330632090761
BA2080	828.9284153651536	0.0119448946515397
BA2081	596.8647857517421	0.0155105348460291
BA2082	1003.8557661222746	0.0067552674230145
BA2087	645.4585078280003	0.0044440842787682
BA2088	647.6525682652436	0.0107098865478119
BA2089	803.116732804619	0.0336952998379254
BA2093	717.9466283105468	0.0443630470016207
BA2094	773.6307073311818	0.0354554294975688
BA2095	742.4000933575526	0.0337017828200972
BA2096	843.435358552685	0.0245640194489465
BA2097	1869.086592927769	0.0270794165316045
BA2098	446.6952569238338	0.0097828200972447
BA2100	459.57170926115145	0.0044894651539708
BA2101	480.9915091065376	0.0113808752025931
BA2104	158.38864555593398	0.0048168557536466
BA2106	1086.0029372840947	0.0106839546191247
BA2109	352.7594132324559	0.0083338735818476
BA2110	227.9689532482417	0.008
BA2113	618.1909565783855	0.0374294975688816
BA2116	203.9687913848749	0.0104862236628849
BA2121	828.9494792055228	0.0262495948136142
BA2122	309.0625568800445	0.0023435980551053
BA2123	1943.4570022489283	0.0466547811993517
BA2124	1305.25779886148	0.0408233387358184
BA2125	406.9357044659607	0.043578606158833
BA2132	578.9355872081394	0.0122755267423014
BA2133	284.94185090038224	0.0023630470016207
BA2134	393.43453986171255	0.0087811993517017
BA2135	1084.5087100504388	0.0133743922204213
BA2139	173.6594297885683	0.0067779578606158
BA2143	307.1844443903837	0.0120842787682333
BA2148	255.3043494272261	0.0029043760129659
BA2153	1331.0218556577304	0.0334716369529983
BA2155	621.3355935278439	0.0193646677471636
BA2156	1073.0524097266143	0.0350891410048622
BA2162	777.1502831973705	0.0245380875202593
BA2163	222.89718635289796	0.0319222042139384
BA2168	600.1522459008418	0.006482982171799
BA2169	515.3014576082433	0.0095948136142625
BA2171	1060.0132072311694	0.051578606158833
BA2172	1285.5666526108653	0.0150275526742301
BA2174	695.0197814809409	0.0394586709886547
BA2175	259.9379581461479	0.0144538087520259
BA2184	2459.967100585478	0.0969854132901134
BA2195	669.5415256707589	0.0069918962722852
BA2198	1047.4834367515962	0.0432155591572123
BA2200	1259.7528710461302	0.0561880064829821
BA2201	527.5463422425489	0.0168071312803889
BA2209	569.168974056234	0.0092739059967585
BA2211	922.0441599225848	0.0490081037277147
BA2212	1006.7795485871216	0.0156337115072933
BA2217	794.3959000794692	0.0324246353322528
BA2218	979.1264761510888	0.007935170178282
BA2220	1087.3233925515065	0.0659611021069692
BA2221	462.1590218189288	0.0177244732576985
BA2224	449.9752633840964	0.0183565640194489
BA2226	1559.633324170032	0.0360907617504051
BA2227	1482.5946346789062	0.0227358184764991
BA2228	1001.3862794833952	0.0217957860615883
BA2229	738.7999339107024	0.0088978930307941
BA2233	704.8765433216022	0.010868719611021
BA2234	489.7659139514642	0.0459286871961102
BA2235	813.1721123707271	0.0261134521880064
BA2236	603.8020683247107	0.0268881685575364
BA2239	411.5910683166015	0.0142139384116693
BA2240	744.2802145077496	0.0405899513776337
BA2242	509.0772584429415	0.019481361426256
BA2244	627.8026202933338	0.0213743922204213
BA2245	756.6573811014342	0.0364019448946515
BA2248	678.3991706131033	0.0068978930307941
BA2249	657.7914731101705	0.0336045380875202
BA2251	754.9645452137293	0.0409205834683954
BA2256	1282.3701699887013	0.021870340356564
BA2260	601.2404678635722	0.0159611021069692
BA2261	260.06442243630283	0.0078573743922204
BA2269	156.11579028744114	0.0025316045380875
BA2271	613.650309930424	0.0238346839546191
BA2272	590.9301324570083	0.0206807131280388
BA2273	643.2132071771085	0.0185899513776337
BA2275	363.8970945171562	0.0421491085899513
BA2276	696.4642064905366	0.0172123176661264
BA2277	941.8999230390806	0.0414294975688816
BA2280	1003.6094654686798	0.0464667747163695
BA2281	862.6606165307038	0.0335688816855753
BA2282	323.8101324218687	0.010418152350081
BA2286	1327.2542607189002	0.0296790923824959
BA2288	454.9879360677273	0.0074035656401944
BA2292	1297.5291890343124	0.08645056726094
BA2294	847.8341622688226	0.0309529983792544
BA2296	1323.2688825637783	0.0403987034035656
BA2300	937.6118692053608	0.0702171799027552
BA2301	487.466436665099	0.0073484602917341
BA2302	944.8934392870464	0.0073419773095623
BA2304	211.44701354763023	0.0096693679092382
BA2306	901.786427961314	0.0281134521880064
BA2308	863.2564754537051	0.0183922204213938
BA2309	699.7744213550873	0.0391863857374392
BA2311	410.0625952361645	0.0072544570502431
BA2312	594.399621006936	0.0172479740680713
BA2316	412.6156787816864	0.0154197730956239
BA2322	858.080363788471	0.0142009724473257
BA2325	219.69341172145727	0.0050470016207455
BA2329	511.997061796872	0.0119448946515397
BA2334	464.35318109278455	0.0086223662884927
BA2339	243.40496241424609	0.0008946515397082
BA2344	1338.8400557636896	0.0411766612641815
BA2347	363.8338714002281	0.0013322528363047
BA2348	163.47130967633814	0.0015850891410048
BA2350	204.6322921444288	0.0012965964343598
BA2354	1407.5827175811046	0.0406677471636953
BA2355	860.7745633511192	0.0073938411669367
BA2357	793.4590747498338	0.0129400324149108
BA2360	1029.0874538131768	0.0377277147487844
BA2361	512.3302610000163	0.0082593192868719
BA2363	344.37315787908767	0.0123176661264181
BA2369	935.9463449455876	0.0092739059967585
BA2374	769.8035383317925	0.0447163695299837
BA2375	708.949695691897	0.0262820097244732
BA2376	217.837552447061	0.0107293354943273
BA2377	1620.696566978597	0.0067325769854132
BA2379	326.9421995923817	0.0054003241491085
BA2385	628.0703635992583	0.0054521880064829
BA2386	1105.0537048660103	0.0116466774716369
BA2387	735.7457824756591	0.0262528363047001
BA2394	656.9536912697255	0.0236596434359805
BA2399	863.6350532498634	0.0241750405186385
BA2400	2251.1756771923	0.0508816855753646
BA2402	1132.8083556874635	0.0215915721231766
