	NPM1	MLH1
BA2000	528.2932619271585	0.0719724025974026
BA2003	717.8183224076506	0.0233076298701298
BA2004	320.01547932986267	0.0185551948051948
BA2006	9.679478408126416	0.009403409090909
BA2011	348.4981285240867	0.0150811688311688
BA2019	583.7827086691859	0.0662094155844155
BA2020	1236.507877965909	0.0910551948051948
BA2022	916.0964949426144	0.0472362012987013
BA2023	431.7839587624408	0.0231737012987012
BA2024	372.1842389270018	0.0385836038961038
BA2025	722.395881374441	0.0548782467532467
BA2031	803.0149785649028	0.0432102272727272
BA2032	795.6408037215438	0.0179626623376623
BA2033	257.718883807176	0.0132426948051948
BA2034	810.0015144990998	0.0280762987012987
BA2035	899.358854303508	0.0253043831168831
BA2036	778.587533687972	0.0375405844155844
BA2037	1902.128477513421	0.0532224025974025
BA2041	845.8378095871379	0.0332467532467532
BA2044	585.7529247149646	0.0401095779220779
BA2046	1115.1507214086078	0.0165178571428571
BA2047	676.9878108900025	0.0387824675324675
BA2050	742.1408316925888	0.0230722402597402
BA2051	484.6791957324424	0.016140422077922
BA2052	1122.4581187120564	0.032288961038961
BA2053	856.5360596182228	0.0208928571428571
BA2054	797.1291493537034	0.0461525974025974
BA2055	43.55371897587268	0.0061525974025974
BA2063	583.6395872324669	0.0166801948051948
BA2065	1202.664762511015	0.0397727272727272
BA2066	819.6683643642182	0.0633806818181818
BA2068	590.7969803002536	0.0139285714285714
BA2069	668.3880927899144	0.0581655844155844
BA2072	443.6027357455251	0.031976461038961
BA2079	148.52736696454153	0.0151095779220779
BA2080	828.9284153651536	0.0214488636363636
BA2081	596.8647857517421	0.0283969155844155
BA2082	1003.8557661222746	0.0277353896103896
BA2087	645.4585078280003	0.021765422077922
BA2088	647.6525682652436	0.0385064935064935
BA2089	803.116732804619	0.0738108766233766
BA2093	717.9466283105468	0.031765422077922
BA2094	773.6307073311818	0.0582426948051948
BA2095	742.4000933575526	0.0411282467532467
BA2096	843.435358552685	0.0317248376623376
BA2097	1869.086592927769	0.0415137987012987
BA2098	446.6952569238338	0.0402272727272727
BA2100	459.57170926115145	0.0093181818181818
BA2101	480.9915091065376	0.020450487012987
BA2104	158.38864555593398	0.0186525974025974
BA2106	1086.0029372840947	0.0199675324675324
BA2109	352.7594132324559	0.0273011363636363
BA2110	227.9689532482417	0.0214366883116883
BA2113	618.1909565783855	0.0668262987012987
BA2116	203.9687913848749	0.0230722402597402
BA2121	828.9494792055228	0.0578327922077922
BA2122	309.0625568800445	0.0174512987012987
BA2123	1943.4570022489283	0.0586282467532467
BA2124	1305.25779886148	0.0424107142857142
BA2125	406.9357044659607	0.0539488636363636
BA2132	578.9355872081394	0.0261444805194805
BA2133	284.94185090038224	0.0124066558441558
BA2134	393.43453986171255	0.0230641233766233
BA2135	1084.5087100504388	0.0176785714285714
BA2139	173.6594297885683	0.0216314935064935
BA2143	307.1844443903837	0.0304667207792207
BA2148	255.3043494272261	0.0093628246753246
BA2153	1331.0218556577304	0.0266396103896103
BA2155	621.3355935278439	0.0174228896103896
BA2156	1073.0524097266143	0.0287094155844155
BA2162	777.1502831973705	0.0290503246753246
BA2163	222.89718635289796	0.0448457792207792
BA2168	600.1522459008418	0.0178449675324675
BA2169	515.3014576082433	0.0178733766233766
BA2171	1060.0132072311694	0.0528084415584415
BA2172	1285.5666526108653	0.041213474025974
BA2174	695.0197814809409	0.0542978896103896
BA2175	259.9379581461479	0.0399066558441558
BA2184	2459.967100585478	0.0821387987012987
BA2195	669.5415256707589	0.0186160714285714
BA2198	1047.4834367515962	0.0566964285714285
BA2200	1259.7528710461302	0.0624431818181818
BA2201	527.5463422425489	0.0241761363636363
BA2209	569.168974056234	0.0198538961038961
BA2211	922.0441599225848	0.0408887987012987
