	DNMT3A	PTPN11
BA2000	0.3903477782106476	18.33296095742878
BA2003	0.2200672016907105	7.823075791431777
BA2004	1.7421872222743082	23.47420820016641
BA2006	0.3787236170572983	1.599279212987121
BA2011	0.5217608164496809	9.225160864995647
BA2019	0.4474708417173635	25.598812631833862
BA2020	0.6765599205677996	31.59595324254756
BA2022	1.035164212553083	27.51591386957487
BA2023	0.1201300703143848	11.535227276580512
BA2024	0.4794653993658658	13.850349536088828
BA2025	0.2548711482159886	25.182250566504557
BA2031	0.2223031448406812	17.168571781077897
BA2032	0.2822289193149458	15.901849480276256
BA2033	0.1425292972381716	18.392220963768025
BA2034	0.5984234647814147	16.75767370192132
BA2035	0.8654681646619956	26.829544816139027
BA2036	0.4402468738806289	21.002511009591736
BA2037	0.783361127172473	41.28393670453848
BA2041	0.1026100021630555	20.85594645881212
BA2044	0.3145954640236001	18.514651646389066
BA2046	0.1527200400277926	17.74777341783675
BA2047	1.1000234462904164	23.775755698786437
BA2050	0.2208361160071591	14.032474625170588
BA2051	0.1202876109750209	23.501722762533824
BA2052	0.4628891424904828	19.346997032607323
BA2053	0.2357331583528511	13.034239391027915
BA2054	0.1897970889603141	15.071847659067448
BA2055	0.1016623185336721	1.0119939151741806
BA2063	0.2337397032375142	14.18531242809262
BA2065	0.4009166650099477	23.213042788974004
BA2066	0.3777119351024847	27.549712577286414
BA2068	0.2375133220008568	15.169594363553628
BA2069	0.1693877031808799	19.64144687919452
BA2072	0.2069594922820808	12.509935270285276
BA2079	0.2431485328158669	8.072035025066661
BA2080	0.2891593639359263	14.96790543407779
BA2081	0.2574487849552282	15.613771421052876
BA2082	0.3355754225575059	16.516465158266154
BA2087	0.1543080697173639	14.418054675323518
BA2088	0.0833651298577288	24.432406247519264
BA2089	0.2758816049602879	26.42817527039773
BA2093	0.4683773986052874	24.761557552881506
BA2094	0.4592247829364606	22.84219653932653
BA2095	0.3875435221016316	22.24726061747656
BA2096	0.1225796696216249	9.782062235194408
BA2097	0.6727738141640198	29.00078867269143
BA2098	0.4725877035538304	4.89760845693884
BA2100	0.1089824664887933	12.578431475402214
BA2101	0.6971560439731584	12.241955188427031
BA2104	0.053740668846797	9.678008579946416
BA2106	0.2311583327849795	11.404555741858657
BA2109	0.1313450186921277	10.752236348741445
BA2110	0.0840286651574152	9.173325205003731
BA2113	0.6525721360605183	24.25003415351566
BA2116	0.2417840970771943	34.54667256955986
BA2121	0.6760584898167601	24.484211565819702
BA2122	0.0656029871370471	8.187921438696502
BA2123	0.0959275918604528	32.82053187434948
BA2124	0.6896924988931303	17.461741457522745
BA2125	0.4016538372629313	26.753085869426155
BA2132	0.5098245010712235	20.169400258241318
BA2133	0.2320013726547507	9.257241245749476
BA2134	0.0978162703224511	11.564212451003634
BA2135	0.5230946747168397	16.330691859452898
BA2139	0.094658854443762	11.507169535521824
BA2143	0.1901286905887505	20.26836326082831
BA2148	0.1653780428761621	15.675843108585529
BA2153	0.5962602133140623	24.095696669288905
BA2155	0.325684159573431	13.399294045807633
BA2156	0.6192501045771407	16.931888260327074
BA2162	0.5336746564791711	23.524442921627767
BA2163	2.3304985680705173	32.49912164853597
BA2168	0.4042478250562519	13.863873737481438
BA2169	0.8900870917871619	30.814991909118284
BA2171	0.5006416354314442	23.18947927011344
BA2172	0.3534923133742886	16.795517788395873
BA2174	0.4419089652347314	23.163838646228943
BA2175	0.177572143431386	22.39949600661436
BA2184	2.4937520176121484	39.81395373361203
BA2195	0.2030012891780013	14.438988301694582
BA2198	0.8296965103200213	24.498350035075635
BA2200	0.879303672917371	27.20417627027473
BA2201	0.0986654105296367	10.05949923649511
