#Boxplots d'expressions du gène CBL en fonction de la feature totalDrug
#Résultat du test statistique Mann-Whitney U : U = 43778.000, p-value = 0.031
#Tableau des résultats :
Sample Feature  ExpressionGene
BA2675       y        6.065967
BA2031       y        6.747271
BA2589       y        5.508704
BA2198       n        6.657922
BA2066       y        6.959603
BA2344       y        5.774093
BA2534       n        6.143251
BA2459       n        5.995208
BA2229       y        5.922745
BA2559       y        5.159223
BA2093       y        6.749627
BA2000       y        6.136825
BA2425       y        5.615866
BA2905       n        6.455999
BA2304       y        6.740391
BA2976       y        6.038126
BA2386       y        5.667001
BA2879       y        5.812426
BA3400       y        5.423835
BA2035       y        6.510046
BA2760       n        6.570960
BA2201       y        6.899687
BA2355       n        4.872012
BA2113       y        6.987563
BA2155       y        5.139762
BA2955       y        6.788025
BA2502       y        6.993776
BA2322       y        5.910459
BA2020       n        5.145085
BA2226       y        6.678378
BA2376       y        6.676685
BA2200       y        5.846310
BA2121       y        6.837802
BA2944       y        6.111189
BA2033       y        5.467341
BA2867       y        5.905147
BA2089       y        6.526305
BA2034       y        5.483947
BA2224       n        6.782554
BA2470       y        6.477153
BA2046       n        5.451628
BA2972       y        5.897265
BA2978       y        6.889932
BA2829       y        6.243149
BA2579       n        6.406883
BA2249       y        6.439296
BA2851       y        6.380231
BA2587       n        6.558633
BA2461       n        6.624662
BA2024       n        6.969754
BA2623       y        6.303723
BA2426       n        6.229043
BA2271       y        6.566859
BA3004       y        6.106215
BA3010       y        6.388374
BA2662       y        6.269280
BA2280       y        6.316752
BA2277       y        6.272893
BA2658       y        6.507482
BA2512       y        6.654031
BA2394       y        6.475718
BA2950       y        6.327298
BA2981       y        5.264595
BA2934       n        6.315396
BA2539       n        6.385506
BA2786       y        7.012713
BA2256       y        5.721378
BA2483       y        6.421895
BA3002       y        7.004906
BA2109       y        6.246826
BA2242       y        5.567051
BA2132       y        5.796034
BA2618       y        5.944732
BA2846       n        6.102347
BA2521       y        6.203563
BA2885       y        6.900967
BA2639       y        6.662327
BA2775       y        5.999295
BA2402       y        6.289081
BA2097       y        5.968239
BA2399       y        5.386224
BA2850       y        5.213971
BA2993       n        5.785010
BA3322       n        6.418971
BA2174       y        6.329599
BA2004       n        7.021254
BA3001       y        6.288237
BA2911       n        6.258969
BA2311       y        6.869035
BA3040       y        5.510920
BA2724       y        6.031936
BA2837       y        6.343221
BA2821       y        6.404547
