	KRAS	ASXL1
BA2000	3.3836971111243868	0.0156650526915408
BA2003	4.014852183319062	0.0155226431216177
BA2004	7.518035805741788	0.0254913130162346
BA2006	1.4759602284637354	0.0561093705497009
BA2011	2.9764702068721984	0.0160922814013101
BA2019	5.160280820392373	0.0243520364568499
BA2020	4.544994361851094	0.0357448020506978
BA2022	5.324298133885895	0.021646254628311
BA2023	1.835144329336911	0.0109655368840786
BA2024	3.245164654062419	0.0190828823696952
BA2025	4.368893180026906	0.015949871831387
BA2031	3.2522855283888856	0.0135289091426943
BA2032	5.730829491703615	0.0149530048419253
BA2033	5.173527870541233	0.0229279407576189
BA2034	3.914876856324424	0.026060951295927
BA2035	3.1099427952431493	0.0195101110794645
BA2036	6.121214630742673	0.0197949302193107
BA2037	4.675090272102132	0.0299060096838507
BA2041	4.757182979338932	0.0200797493591569
BA2044	3.010011912928463	0.0152378239817715
BA2046	4.929163679288072	0.0294787809740814
BA2047	4.291588003374781	0.0254913130162346
BA2050	2.1958664129994023	0.0111079464540017
BA2051	13.932897428776403	0.0209342067786955
BA2052	11.076830685833263	0.0364568499003133
BA2053	7.179162326710417	0.013101680432925
BA2054	1.88397156875176	0.0126744517231557
BA2055	0.5163086932955492	0.0113927655938479
BA2063	11.878742352338724	0.0438621475363144
BA2065	4.709459162983161	0.0190828823696952
BA2066	4.58843490487509	0.0259185417260039
BA2068	1.0796480997351472	0.0156650526915408
BA2069	3.374270053532277	0.0170891483907718
BA2072	3.1008031822093227	0.0111079464540017
BA2079	2.7983494448591	0.0108231273141555
BA2080	5.886285419771656	0.017373967530618
BA2081	2.38418961424661	0.0139561378524636
BA2082	3.4924032820084148	0.0178011962403873
BA2087	3.917030623224554	0.0099686698946169
BA2088	7.004680788752677	0.0226431216177727
BA2089	7.291872349620021	0.0229279407576189
BA2093	1.7578389225148163	0.028909142694389
BA2094	7.903188528932866	0.0168043292509256
BA2095	2.454555562270261	0.017373967530618
BA2096	2.1072502216250624	0.013101680432925
BA2097	9.091340105799269	0.0350327542010823
BA2098	2.230917639934675	0.0118199943036172
BA2100	5.275330529503402	0.0136713187126174
BA2101	3.4638826169083035	0.027485046995158
BA2104	2.996660859475001	0.0078325263457704
BA2106	3.161484912907255	0.0160922814013101
BA2109	9.540899316685143	0.0121048134434634
BA2110	2.2987931685922325	0.0099686698946169
BA2113	2.6364578427557768	0.0313301053830817
BA2116	6.107357577068696	0.0273426374252349
BA2121	2.2078984581122234	0.0250640843064653
BA2122	3.0534412888688838	0.0093990316149245
BA2123	4.506886381838011	0.0227855311876958
BA2124	3.484952671872221	0.0197949302193107
BA2125	5.652914133071268	0.0186556536599259
BA2132	5.0471863509910735	0.0225007120478496
BA2133	10.65905362132722	0.0262033608658501
BA2134	2.3488564434363868	0.008686983765309
BA2135	2.354831741553748	0.0264881800056963
BA2139	2.5445168327484797	0.0089718029051552
BA2143	1.959566124342219	0.0176587866704642
BA2148	3.447503945046714	0.013101680432925
BA2153	3.28774314707458	0.0196525206493876
BA2155	2.437405193862981	0.0163771005411563
BA2156	2.2730237889538194	0.0186556536599259
BA2162	5.712025100440885	0.0172315579606949
BA2163	6.421326448173804	0.0212190259185417
BA2168	2.5309999180927623	0.0139561378524636
BA2169	8.12047461860416	0.0233551694673882
BA2171	4.2769316901618994	0.0259185417260039
BA2172	2.0611136117329	0.0133864995727712
BA2174	4.468216769572149	0.0189404727997721
BA2175	5.319868359290954	0.0294787809740814
BA2184	4.673610193914149	0.0398746795784676
BA2195	5.838200788758842	0.0156650526915408
BA2198	4.103025938075901	0.0153802335516946
BA2200	3.906002268152742	0.0293363714041583
BA2201	2.44182533811413	0.0092566220450014
BA2209	11.81900292593489	0.0582455140985474
BA2211	5.353146364806439	0.0270578182853887
BA2212	2.6751209524724606	0.0182284249501566
BA2217	2.075613723782153	0.0242096268869268
BA2218	2.8138905589044483	0.0155226431216177
BA2220	7.379396044865156	0.0135289091426943
BA2221	3.4063344135082656	0.0138137282825405
