	TP53	NPM1
BA2000	8.06307340091042	529.0740751552895
BA2003	2.2260197873263383	718.8454548403314
BA2004	7.673631869747613	320.416765868189
BA2006	7.428197079696779	9.731263616557731
BA2011	1.1963063819805329	349.1494593922488
BA2019	6.224170045462047	584.7298493866805
BA2020	21.520381567447888	1238.4508547008545
BA2022	9.45684986281421	917.8624004605978
BA2023	6.434672541888756	432.430363504652
BA2024	6.510640280236593	373.1442557723393
BA2025	10.394921412662669	723.6161514674798
BA2031	8.495527625696191	804.2156041021317
BA2032	2.499893151699212	797.0029006308893
BA2033	1.7986397277922732	258.23198424669016
BA2034	10.402330525568503	811.2764224741454
BA2035	5.694807242052163	900.7865531930996
BA2036	7.951478653704009	779.9021105326607
BA2037	13.456446138821162	1905.212257740152
BA2041	4.012876279461654	846.7808362661304
BA2044	12.997143664324703	586.7526892532584
BA2046	2.618085774132732	1116.3443179422306
BA2047	6.872806555198192	678.6308819474854
BA2050	5.023659216923838	743.1948731463913
BA2051	0.9779779714778264	485.30915140801295
BA2052	4.334996906915623	1123.444664742103
BA2053	2.357057989901253	858.0353314195818
BA2054	3.190998846688494	798.0997645653246
BA2055	8.735408391437288	43.69121161009207
BA2063	2.152309015331881	584.475008784876
BA2065	9.459880976324264	1203.8952158917054
BA2066	20.073948076003976	820.948611719295
BA2068	3.486147991478991	591.6639941722485
BA2069	15.409996932172731	669.1056490806965
BA2072	6.954497290282092	444.2673762143402
BA2079	2.0472781137670544	148.75517388648316
BA2080	2.4647671501971486	829.9345694329564
BA2081	9.149696405407012	597.5572717148619
BA2082	1.7753601682942917	1006.1029619898692
BA2087	4.855407453197315	646.277790211756
BA2088	2.4632406685354358	648.9600212458845
BA2089	9.676104817049987	804.2096484968401
BA2093	2.2386160646417284	718.9785651729675
BA2094	12.051290934790956	774.4474723884591
BA2095	9.865156313761132	743.3756410256409
BA2096	6.77397549750367	844.926645204539
BA2097	6.33159715116314	1871.544588786714
BA2098	22.683107122235867	447.058323196938
BA2100	0.4942224100471776	460.46480967904114
BA2101	3.382179169574317	481.9798980413782
BA2104	4.151746644592918	158.77373403179857
BA2106	3.0315719050191947	1087.2221949215304
BA2109	1.2120564008482917	353.25556042102534
BA2110	2.3221181476454724	228.4360225865918
BA2113	11.35363658872494	619.5860880001297
BA2116	0.5147534372218869	204.49241959811215
BA2121	10.948348696573852	830.565918465539
BA2122	1.4582446731011915	309.8565362180163
BA2123	7.1946210352410045	1944.6786659963132
BA2124	13.386270032709085	1306.525201781843
BA2125	9.790402798354815	407.5005611508458
BA2132	2.7211224761939943	579.7304751401525
BA2133	0.8131475906953063	285.45101823469946
BA2134	4.913494345748131	394.3391348654157
BA2135	3.617560816574061	1086.0343934651337
BA2139	4.057071783339983	173.99071803521517
BA2143	6.514813997712446	307.85163506814365
BA2148	0.3308884751012781	255.70209620655535
