	ABL1	SUZ12
BA2000	0.0146845710165825	3.127830327275005
BA2003	0.0095313626532083	1.9897729220379268
BA2004	0.0112418889689978	2.9885659244700227
BA2006	0.0060003604902667	0.0403253332674297
BA2011	0.0100919250180245	0.9734490953058302
BA2019	0.0196629416005767	1.2399991765125562
BA2020	0.0263392213410237	5.410218223310362
BA2022	0.0168979812545061	3.635013446641551
BA2023	0.0098017303532804	1.4651172880334655
BA2024	0.0110868781542898	2.291373309078383
BA2025	0.0185724585436193	3.202348019563759
BA2031	0.0146377072819033	2.5493204194381933
BA2032	0.0132462148521989	1.6091133385267329
BA2033	0.0081723143475126	1.653335750440858
BA2034	0.0197494592645998	1.8781243195275104
BA2035	0.0183687815428983	2.5802866833736795
BA2036	0.0147530641672674	2.469460560667649
BA2037	0.0234264599855803	4.839582910411648
BA2041	0.01598774333093	1.9772036795494177
BA2044	0.0127793799567411	2.4437007040504404
BA2046	0.0203460706560922	1.4391194558498173
BA2047	0.0213968997837058	3.210441763125257
BA2050	0.0107462148521989	1.4751655995006565
BA2051	0.0223882480173035	1.462993139513989
BA2052	0.013585075702956	2.642294597990864
BA2053	0.0078983417447728	1.5539922220589095
BA2054	0.0082660418168709	3.4258783439006293
BA2055	0.0044250180245133	0.0680672964487119
BA2063	0.033361571737563	1.4735926234789565
BA2065	0.0192790194664744	2.7529233098619983
BA2066	0.0210976928622927	4.243602127364825
BA2068	0.0152397260273972	0.8916736487306525
BA2069	0.0120782263878875	3.2772561657351744
BA2072	0.0101243691420331	1.8153801069337148
BA2079	0.0053911319394376	1.6962565597810768
BA2080	0.0201568132660418	1.8946995163090905
BA2081	0.012382840663302	1.9577304839315357
BA2082	0.0226405912040374	1.7413423599021498
BA2087	0.0131452775775054	0.9289504437414918
BA2088	0.016995313626532	2.680796174136961
BA2089	0.0200973323720259	3.8986554187489593
BA2093	0.0109012256669069	1.9034261400418249
BA2094	0.0125342465753424	3.365203634616329
BA2095	0.0175198269646719	2.6560847809736363
BA2096	0.0067429704397981	1.3294732400029006
BA2097	0.0227577505407354	3.6209976865347273
BA2098	0.012664023071377	0.5892429276099934
BA2100	0.0066240086517664	1.12844237143569
BA2101	0.0096467195385724	1.866316057361916
BA2104	0.0069358327325162	1.2955052923862032
BA2106	0.0121449170872386	1.1707934243479547
BA2109	0.0096160778658976	1.688508390622985
BA2110	0.005677721701514	1.1705870185481446
BA2113	0.0232191780821917	3.867898798698029
BA2116	0.0132804614275414	3.799043848585787
BA2121	0.0142231434751261	2.60854990045021
BA2122	0.0042213410237923	1.160381576624371
BA2123	0.0203028118240807	3.161244497684301
BA2124	0.0179434030281182	3.0884922765811136
BA2125	0.0150955299206921	1.7870047814996364
BA2132	0.0178821196827685	1.9465160527248544
BA2133	0.0063211968276856	1.13499760059338
BA2134	0.0074351117519826	1.4185769257946637
BA2135	0.0098558038932948	2.3836016764544463
BA2139	0.0064852198990627	1.5821633933593338
BA2143	0.0127180966113914	2.1046315035551264
BA2148	0.0149242970439798	0.9668066624641182
BA2153	0.0082390050468637	3.4695547354394742
BA2155	0.012382840663302	2.0098253570793365
BA2156	0.0208399423215573	2.458157690173744
BA2162	0.0132804614275414	3.722085664188449
BA2163	0.0161968276856524	3.210195023722204
BA2168	0.0087941600576784	1.3685184632188694
BA2169	0.0112076423936553	1.6846072153202516
BA2171	0.0253118240807498	3.528329106834967
BA2172	0.0166528478731074	2.613693640291514
BA2174	0.0147224224945926	4.084355311938887
BA2175	0.019388968997837	4.055509539017048
BA2184	0.046326604181687	7.163143772966834
BA2195	0.0100342465753424	1.549778408894826
BA2198	0.0141474405191059	2.889400229010189
BA2200	0.0183453496755587	3.647722987731142
BA2201	0.0077883922134102	1.6671515872234128
BA2209	0.0153947368421052	2.205452500755683
BA2211	0.0313320115356885	2.435425518698481
BA2212	0.0161824080749819	2.7830291750661607
BA2217	0.0262707281903388	2.8204750681615325
BA2218	0.0069124008651766	1.0780705796894765
BA2220	0.0089419610670511	3.1542292909021143
BA2221	0.0084661139149242	2.2475850118097496
BA2224	0.0088914924297043	3.2036062116400985
BA2226	0.0220944484498918	3.960199912097053
BA2227	0.0209408795962509	2.757466516392176
BA2228	0.0196377072819033	2.686596010075564
BA2229	0.0153713049747656	2.059070199214427
BA2233	0.0236860129776496	1.6639409866305177
BA2234	0.0152505407354001	3.950569035682959
BA2235	0.0130641672674837	2.1875535523189216
BA2236	0.018817591925018	2.3124204815394207
BA2239	0.0091726748377793	1.7428489113670798
BA2240	0.0207876712328767	4.017135619212062
BA2242	0.0155587599134823	2.1906945435545384
BA2244	0.0166348233597692	2.5278406222878966
BA2245	0.0197404470079307	2.78575892944588
BA2248	0.00905010814708	1.2531858051716225
BA2249	0.012557678442682	2.1185014161083355
BA2251	0.0230894015861571	2.880988973599201
BA2256	0.0136391492429704	2.2357268384262734
BA2260	0.0076297764960346	1.9938554580840744
BA2261	0.0063482335976928	1.9436379883664543
BA2269	0.006685291997116	1.2550245313972184
BA2271	0.0136319394376351	2.475952110337579
BA2272	0.01	2.500016631842846
BA2273	0.0184607065609228	1.8625076289023748
BA2275	0.0184697188175919	6.07620883012002
BA2276	0.0092519826964671	2.699047632130038
BA2277	0.0193421052631578	3.6362248207757495
BA2280	0.0273449891852919	3.6816952089496704
BA2281	0.0179271809661139	2.86998224023945
BA2282	0.0063031723143475	1.806069799286011
BA2286	0.0208507570295602	2.3330565128599834
BA2288	0.0124134823359769	1.4604444315267122
BA2292	0.0175486661860129	3.549010663246794
BA2294	0.0140573179524152	3.0571390856010607
