	PTPN11	RAD21
BA2000	18.33296095742878	9.381081344897805
BA2003	7.823075791431777	10.804738111151956
BA2004	23.47420820016641	13.335979114927524
BA2006	1.599279212987121	2.270388898058533
BA2011	9.225160864995647	4.533384234237969
BA2019	25.598812631833862	12.845973706067053
BA2020	31.59595324254756	10.474535979065164
BA2022	27.51591386957487	8.710936477994075
BA2023	11.535227276580512	10.766220668380647
BA2024	13.850349536088828	6.96521768918246
BA2025	25.182250566504557	10.505514139483594
BA2031	17.168571781077897	8.497243158696646
BA2032	15.901849480276256	6.366887987848954
BA2033	18.392220963768025	10.68218662349429
BA2034	16.75767370192132	6.3724050702506645
BA2035	26.829544816139027	9.09435826239406
BA2036	21.002511009591736	11.528528001706562
BA2037	41.28393670453848	12.161082044759937
BA2041	20.85594645881212	15.208390411040217
BA2044	18.514651646389066	11.425941509678632
BA2046	17.74777341783675	6.153405994615816
BA2047	23.775755698786437	7.212823003588878
BA2050	14.032474625170588	7.305722580287018
BA2051	23.501722762533824	10.076275553605024
BA2052	19.346997032607323	13.286222314454694
BA2053	13.034239391027915	7.685499593258364
BA2054	15.071847659067448	11.47302251367756
BA2055	1.0119939151741806	0.8900090654720321
BA2063	14.18531242809262	10.446657944155708
BA2065	23.213042788974004	11.84997670061323
BA2066	27.549712577286414	8.783252326731535
BA2068	15.169594363553628	8.054864759728023
BA2069	19.64144687919452	11.861180142963963
BA2072	12.509935270285276	5.724137968839168
BA2079	8.072035025066661	5.054760892054986
BA2080	14.96790543407779	10.124380642568726
BA2081	15.613771421052876	4.620438733254882
BA2082	16.516465158266154	8.105587557245181
BA2087	14.418054675323518	6.064210598186296
BA2088	24.432406247519264	11.119498790097158
BA2089	26.42817527039773	13.153433288445951
BA2093	24.761557552881506	13.89440940587197
BA2094	22.84219653932653	14.301152628574505
BA2095	22.24726061747656	9.161177992328549
BA2096	9.782062235194408	9.584242645222831
BA2097	29.00078867269143	16.873178231003937
BA2098	4.89760845693884	6.2107357582394345
BA2100	12.578431475402214	6.090356050041996
BA2101	12.241955188427031	6.636690901812592
BA2104	9.678008579946416	5.107654904717963
BA2106	11.404555741858657	5.7185547695433705
BA2109	10.752236348741445	7.887808449114563
BA2110	9.173325205003731	4.875980173627301
BA2113	24.25003415351566	9.1025554010968
BA2116	34.54667256955986	17.398189447644924
BA2121	24.484211565819702	5.12776073278341
BA2122	8.187921438696502	11.690318294638107
BA2123	32.82053187434948	17.55701446978709
BA2124	17.461741457522745	12.868529500425566
BA2125	26.753085869426155	12.876343621232197
BA2132	20.169400258241318	9.340554458045636
BA2133	9.257241245749476	6.955488449442417
BA2134	11.564212451003634	6.682310630032674
BA2135	16.330691859452898	6.849923340263783
BA2139	11.507169535521824	6.787244348233263
BA2143	20.26836326082831	13.400617340713
BA2148	15.675843108585529	5.204481045400393
BA2153	24.095696669288905	9.114530887927913
BA2155	13.399294045807633	5.233148408171361
BA2156	16.931888260327074	8.392648810880598
BA2162	23.524442921627767	9.1097160557551
BA2163	32.49912164853597	14.314580633635316
BA2168	13.863873737481438	6.647345389277667
BA2169	30.814991909118284	8.745864067224826
BA2171	23.18947927011344	10.679439120860676
BA2172	16.795517788395873	13.50883390157314
BA2174	23.163838646228943	12.234477537030015
BA2175	22.39949600661436	21.02068584637091
BA2184	39.81395373361203	18.03765970365849
BA2195	14.438988301694582	9.349963706871057
BA2198	24.498350035075635	10.951500923300072
BA2200	27.20417627027473	8.66317838616753
BA2201	10.05949923649511	5.432057146746553
BA2209	22.20851929911572	10.51849185881264
BA2211	21.02631899069189	9.646568993096242
BA2212	16.10636029935567	12.173442452420591
BA2217	17.405562540348775	4.573645652451456
BA2218	6.878393864241168	4.492958654425742
BA2220	20.14637088171025	11.27168233076358
BA2221	13.92990006687362	9.893553288678971
BA2224	15.825637213283208	9.397529949966035
BA2226	35.989485894319195	10.908716981211048
BA2227	20.910382367639677	8.563166687493254
BA2228	31.927487025931413	13.65711061030867
BA2229	23.056486557637434	10.125749233382871
BA2233	11.761458404505191	6.323547682627363
BA2234	24.054342043995	11.823723239347228
BA2235	17.067020253453286	8.606492986201966
BA2236	17.314869257465272	7.780395565488438
BA2239	12.77104820432132	6.552249451867215
BA2240	33.17334597209446	11.228756861285458
BA2242	15.237455455980948	9.596092148295025
BA2244	16.925820528737685	5.341309648977824
BA2245	27.47398546311995	9.699043191258031
BA2248	18.155268511562515	5.445572536474128
BA2249	19.97463299408348	6.731132320283495
BA2251	24.14242187116462	11.377710091638932
BA2256	21.401582298666927	9.18485529321266
BA2260	15.232493343082629	8.648831228976123
BA2261	13.631458148123675	13.913285434019771
BA2269	7.328556613973234	5.517119433614601
BA2271	23.98460277768552	11.19055154461345
BA2272	13.50913898194892	9.716425007365958
BA2273	21.07546663553913	9.913637199534788
BA2275	31.218741695811683	13.934400427780313
BA2276	9.934136281708742	9.978364843676667
BA2277	29.221652377436328	12.040184337419634
BA2280	36.38874163228378	8.867506451898345
BA2281	24.831129720843258	16.67272759945315
BA2282	10.789451974244848	8.901841543428535
BA2286	19.38545941760825	13.39494709097916
BA2288	12.094613771990195	10.082944575583005
BA2292	17.152450737298953	18.590565422674203
BA2294	18.795163976802144	8.922417194971139
BA2296	22.58795543731145	9.253808222732571
BA2300	43.71814488147894	15.91951318108498
BA2301	17.314482693030055	7.975873603129876
BA2302	15.142153148377648	9.987074162137658
BA2304	12.000004837689753	5.843656849489537
BA2306	21.901854935746787	11.005838226949349
BA2308	20.691473643918133	6.875562225380477
BA2309	15.600943225492763	11.791282340863557
BA2311	16.07649015451271	8.572661186048336
BA2312	14.384739574554802	7.674918446231897
BA2316	11.94031516572484	7.282340044737987
BA2322	19.00203463588738	5.18753456585531
BA2325	13.13339354976582	5.008815555223583
BA2329	14.170386468930648	5.409638321457206
BA2334	12.738862324221753	6.602282118293289
BA2339	10.111131706915842	8.06670173891155
BA2344	17.66258635942158	10.584311463633012
BA2347	10.673249895339008	8.719695984514088
BA2348	6.14653811673649	4.327835996869017
BA2350	9.248559385393913	4.588882690076493
