	IDH2	DNMT3A
BA2392	9.29647098090766	6.55027156269161
BA2611	9.30906602396076	6.42139457326444
BA2506	9.29647098090766	6.38837422038712
BA2430	9.27569316532541	6.42233932973963
BA2448	9.29229417829056	6.36982886713941
BA2730	9.23491479941431	6.4369045674542
BA2845	9.2109276242084	6.55451548155805
BA2326	9.23089240757758	6.59041781660964
BA2341	9.25517667754352	6.54307132156237
BA2612	9.2109276242084	6.57247167015578
BA2973	9.22287720595147	6.54150806703429
BA2390	9.25517667754352	6.56633757408764
BA3218	9.21490111990201	6.52170608095191
BA3105	9.2429894144776	6.40170617544637
BA3402	9.22687989289351	6.40737616847402
BA3276	9.28397254525379	6.46333894051768
BA2409	6.82851443258156	4.92558404139259
BA3037	8.03722226484621	4.90640898586377
BA2496	8.28311530497155	5.03856627298611
BA2172	9.30485684547982	5.90037022570554
BA2865	7.78959302181462	6.44802101478473
BA2923	7.82688083190866	5.58458887284863
BA2751	8.18796359837961	5.98996157877142
BA2480	8.39960495989321	5.89765135115317
BA2286	8.48158973981744	5.42089748568897
BA2922	8.46430959418229	6.6639864599992
BA2452	9.09230819306279	5.90353378741165
BA3379	8.50160207030541	6.22675882110798
BA2887	8.79635277497105	6.29652207810065
BA2712	8.63894476137773	4.84562521936661
BA2068	8.32228693534529	5.85144934754927
BA2236	8.19211577067672	5.92513526908082
BA2104	7.5725144548201	4.27532548252001
BA3124	7.54733361982974	6.23033780733241
BA3395	8.40664550150058	4.90361056525495
BA2921	8.8525926437112	5.99605530428902
BA2449	9.26335235036244	5.3715755453953
BA2003	7.84883391972247	5.33364015180298
BA2360	9.07761127342397	6.90753952267277
BA2802	8.34007975821985	6.43335604753767
BA2235	7.79956921933088	4.92771047103252
BA2858	8.67537853618004	4.35648958622004
BA3038	7.93502206043898	5.29082273845723
BA3006	8.15090969693391	5.99970534098919
BA2245	8.58992566833602	6.01005588113279
BA2667	8.40664550150058	6.36134230536283
BA2239	7.47952389617521	5.21813047946163
BA2782	7.29077391107671	5.27325382286629
BA2649	8.78108213178214	5.99890598903284
BA2488	7.92699657991781	5.55888193371954
BA2861	8.59798330037588	6.61117532741348
BA2909	7.35673455123978	6.01784200578308
BA2429	7.43426786956565	5.69757983119209
BA2653	8.88978486658959	5.46484401503758
BA2134	7.41497012248878	4.6827458552578
BA2947	8.22627943224245	6.7903869995291
BA2032	7.75510135803604	6.13853683580785
BA2162	7.46474071975909	6.25945312566298
BA2564	8.24301678047805	5.50870400018428
BA2597	7.85205086731265	5.76760186750385
BA3243	7.96905854853838	5.43042530271375
BA2106	8.44481942009045	5.67317843136018
BA2427	7.99413751864958	5.48059363504872
BA2841	9.26745559419095	5.45711106423954
BA2446	8.52190108216259	4.90083067720818
BA2645	9.14481502348153	6.82793872143045
BA2525	6.8791208631907	4.89058431526758
BA2876	7.46260985261637	5.44640808199127
BA2357	8.73910632748104	5.02235718099048
BA2546	8.06706072393759	5.51500276467509
BA2742	7.80094268898657	4.92841190922266
BA2316	8.04414638908848	4.98581237116735
BA2421	8.03197078783115	4.63033110918827
BA2087	8.4934060566155	5.13368956327964
BA2910	8.50664971851981	6.40025463094879
BA2148	7.08821062221174	6.0688553647905
BA2063	6.611693175134	5.18021866658889
BA2329	8.0095286113404	5.09075247446604
BA3178	8.03550248502968	4.99923632979666
BA2072	8.53215993801742	5.4391470099726
BA3029	7.69921272259806	5.38508153742644
BA2733	8.22650342209935	5.37965871348939
BA2995	8.41846114844672	6.74268846032395
BA2069	8.65565049707964	4.77701262518198
BA2100	7.63755645913212	4.98409448643986
BA2681	8.51679913189176	6.51154576024005
BA2248	8.30473182450184	6.0444352624309
BA2832	8.3695120975799	6.12682630802195
BA2308	8.26607857536642	6.22113787930576
BA2413	8.32449794408229	6.16609369248211
BA2701	7.60395254604328	5.64618047026692
BA2634	7.81249915728454	6.25091484872834
BA2677	8.27670009201677	5.69566002369261
BA2937	8.23061160269424	5.79045455115976
BA2600	8.16254296358662	5.50315192004078
BA2019	8.7332018546727	5.65448355973944
BA2412	7.24218373520164	4.71932990142095
BA2334	8.12230223339654	6.20697852343694
BA2050	8.72731998420373	5.92596043186298
BA3230	8.51934782702254	5.17381001168529
BA2953	9.03786515454843	5.84669771952697
BA2481	8.41135949860071	5.03079434015524
BA2731	7.72809482559201	5.42234890079115
BA2294	8.69249597847146	7.17520302946663
BA2418	7.83704881770087	6.01373604526196
BA2816	8.27244095196937	5.11433165880832
BA2656	8.50412364911741	6.45897655908302
BA2814	8.7332018546727	5.02974000658284
BA2631	8.03722226484621	6.2167212997473
BA2023	7.84567146798846	4.72738279030256
BA2375	7.84127876561754	6.08536052540414
BA2485	8.52886682883828	6.78074983432615
BA2455	7.18644077892568	4.69855961142677
BA2025	8.672544374331	5.23673966789925
BA2636	8.25554427681065	5.92637395893393
BA2325	7.05796014084047	4.04879675825088
BA2169	8.85577669200061	6.19606446047222
BA2156	8.78108213178214	6.79640967556144
BA2511	7.46784096415085	5.26710389157619
BA2939	7.72545959564587	6.0158165147387
BA2168	8.29820901257083	6.41510646424492
BA2505	8.14705635633251	5.62195033213407
BA2860	8.42321613548815	6.33509433573957
BA2707	8.66689198102969	6.18632897661868
BA2871	7.80682500789732	5.96907627794874
BA2655	8.7420670822246	4.77872894002383
BA2227	8.0301567645062	6.55232565838748
BA2125	8.3695120975799	6.10829331712153
BA2523	8.58992566833602	5.74395799798389
BA2603	7.97230357086309	5.47138243938151
BA2808	8.20213208675208	6.31675170697475
BA2282	7.09119041085949	4.80111971961835
BA2482	8.43037965011906	6.17641644366945
BA2812	8.25764420926654	4.99775683802712
BA2822	9.45324250904435	5.98054442725547
BA2594	8.40194775982719	5.81201009033099
BA2747	8.55813210635661	6.18950223686314
BA2561	8.07789379739417	5.94641278080618
BA2567	6.56478809528508	5.34433907396084
BA2906	8.95099667095566	4.74957774721697
BA2956	7.83985748399556	5.64166399423883
BA2474	7.82988769642495	6.09936975927192
BA2737	8.0301567645062	5.70872171926613
BA2110	7.17595663951225	4.74182984575756
BA2992	8.37180321609369	5.05504885396523
BA2220	8.79022656584331	5.65448355973944
BA2772	8.22445433533228	6.0781745380856
BA2935	8.03369173116136	5.28177179122875
BA2260	8.23267071257109	5.01183343730558
BA2676	8.5555137585582	5.36293986474154
BA2948	7.3014086607396	5.85542200416075
BA2524	8.30037965468589	5.52135062216325
BA2811	8.49156043324924	6.24912819394912
BA2540	7.64636707538027	3.86156811832603
BA2928	9.16398396797258	5.34151860321391
BA2302	8.06706072393759	5.53940253028108
BA2595	8.86857724833819	5.14967422759909
BA2792	8.38795127420314	5.02056262861089
BA2651	7.83268389248944	6.03566200297907
BA2619	8.57129520837751	6.44227342376241
BA3013	9.13342062895717	6.16865049658773
BA2405	8.57394218930808	5.67317843136018
BA2735	8.01965582601105	5.32233498083344
BA2856	6.83661488155882	4.20674974606089
BA2377	8.70296361717243	4.1940893457466
BA2499	8.30909856685695	5.81959741153124
BA2463	8.46370355203629	6.22329037773919
BA3023	8.57129520837751	5.20440021667154
BA2095	9.33883912107995	6.14672505812723
BA2901	7.69288267465993	5.08758890657065
BA2275	8.24717893447311	5.75302384911337
BA2387	7.88494695067266	4.47173241334974
BA2962	8.59529250724368	5.58010200112807
BA2195	8.20012237793382	5.51500276467509
BA2688	7.81385914418798	4.72354417544082
BA2787	6.53792906948021	4.78223236558204
BA2420	8.65006116973985	5.5603638318114
BA2756	8.77804587995587	4.01681712942243
BA2122	7.22786001580346	4.87096387518994
BA2053	8.13938594647296	5.84787957757678
BA2080	8.7420670822246	5.86901047120639
BA2081	8.62242404966029	5.77033121359801
BA2354	8.03197078783115	6.23533588980149
BA3273	8.71530617987172	4.71789490848166
BA2893	7.97069985635942	6.19299832162761
BA2044	8.60067902691643	5.54245080282141
BA2489	8.3311533449718	4.74182984575756
BA2309	8.77501554362266	4.97387498404503
BA2720	7.72941398094	4.52153193566258
BA2908	8.46065657230778	6.4243136710677
BA2054	7.90191887122195	5.07550246590364
BA2872	8.7420670822246	5.31756660169569
BA2526	7.97556074370465	4.92943275175156
BA2041	9.11460476788528	4.60901148734067
BA2464	8.03197078783115	6.09645228197541
BA2902	7.84883391972247	5.39890865222561
BA2541	8.09989277486394	6.22378350328208
BA2143	7.95296500400789	5.09390910729551
BA2094	8.51679913189176	5.80146381261149
BA2769	8.45696872743274	5.91953516934334
BA2843	9.00955709168753	7.04918884608735
BA2592	8.77804587995587	5.39347949789235
BA2497	8.52190108216259	4.53554304554111
BA2718	9.77539354132974	7.87584460904621
BA2575	8.0044307958278	4.84562521936661
