	IDH2	DNMT3A
BA2096	8.90103696609653	4.66610967820232
BA2593	7.29348678773891	5.2635303158332
BA2791	7.98067391429632	5.91758639573652
BA2620	7.72809482559201	5.72903451515424
BA2629	8.34906675857089	6.23533588980149
BA2870	8.60608533344799	6.38599164256093
BA2423	7.46260985261637	4.43352231435234
BA2682	8.11478606741055	5.44640808199127
BA2276	8.5872495962732	5.42530018626189
BA2348	7.57949702449786	4.75764062057754
BA2709	8.36722488709977	5.2868395453686
BA2789	8.77501554362266	5.88684341274268
BA2694	7.95452812467512	6.22675882110798
BA2538	8.78108213178214	6.25807759133934
BA2583	8.68676863894814	6.36648969189247
BA2415	7.4333053034535	4.81585561124571
BA2722	8.55813210635661	5.89048099649459
BA2806	8.20012237793382	5.91595003127845
BA2221	8.33560901482561	4.65687977223113
BA3025	9.00255657247606	7.31039812260742
BA2514	8.09800077099819	5.17241204196236
BA2520	8.96458579397726	6.93890773932704
BA2441	8.31347995218337	6.92239609110895
BA2153	7.85777881958234	6.39926285688665
BA2479	7.08297551023298	5.61780736228049
BA2281	8.48906113697349	6.1921407741856
BA2657	7.76200686781066	6.04691526295528
BA2932	8.48906113697349	6.14718029862126
BA2123	9.3735473533766	4.48731198029739
BA2844	8.96800104667789	5.36000471761652
BA2660	8.65565049707964	5.62419273985357
BA2836	8.06147774301482	5.62530338833762
BA3027	7.12040364606583	5.36514025423526
BA2714	7.85633367820174	5.21363189314042
BA2139	6.79931174111644	4.53197710730373
BA2251	9.4000752436972	7.54970729199318
BA2952	7.71347289714959	4.36608295505138
BA2440	7.89883083701412	4.78017722753487
BA2036	7.88793681406652	6.25807759133934
BA2828	8.0095286113404	5.75062167266173
BA2292	9.64008823387741	4.11937931431274
BA2410	8.30255392241405	5.75415496254133
BA2051	7.5032888272442	4.68591344454784
BA2532	7.76614073791854	4.96266025809675
BA2986	8.4424022836884	5.59662502172316
BA2494	8.41135949860071	5.24647301398251
BA2515	8.77804587995587	5.18055221298724
BA2748	8.85577669200061	6.79158437688518
BA2970	8.42798766039968	5.58383676402354
BA2622	7.29431703031285	4.81831316874204
BA2839	8.62516478231551	4.66151584498319
BA2052	8.74800571415782	6.34832965907228
BA3011	7.85205086731265	5.11433165880832
BA2868	8.84624370479657	7.18812871773308
BA2510	8.79942491234482	5.21924696123963
BA2065	8.24509615455004	6.17379906817959
BA2691	7.21224786715344	4.77982414410044
BA2374	9.14863087419242	5.51691886633525
BA2804	8.83362186336888	5.82541777312417
BA2670	6.96289154217268	5.45893049861312
BA2675	8.34456564828853	6.34832965907228
BA2589	7.41008797800013	7.27555120012057
BA2031	7.68134464101013	5.12702075468941
BA2198	8.64171611871059	6.54928934120065
BA2066	7.64377441186557	4.56478976898356
BA2344	8.97142354261209	6.75597489483719
BA2459	8.80432724529814	5.41754429750073
BA2229	7.46065818949753	6.2290430058542
BA2559	7.72417589543797	5.02728430921221
BA2093	8.51679913189176	6.36086030376613
BA2000	9.25517667754352	5.82859548893421
BA2425	8.29571260021178	6.12637853560869
BA2905	8.42798766039968	5.90555861314736
BA2304	7.59101188148724	4.5391313162393
BA2976	8.13938594647296	5.89878476046271
BA2386	8.05626383418968	5.76181699229763
BA2035	8.904319577833	7.38848640256579
BA2760	7.83268389248944	5.22317063501282
BA2201	7.88494695067266	4.76005725019894
BA2355	7.42415546195164	5.02764204989782
BA2113	9.00613487905274	5.95559861955689
BA2155	9.23089240757758	6.54150806703429
BA2955	7.60765864505298	4.80814964517647
BA2502	7.56321071069528	4.91792245118013
BA2322	8.41608983118813	6.24013217204255
BA2376	6.9944372976249	4.81549079833473
BA2020	8.87824586229709	5.67811655623058
BA2226	7.35863482899504	5.69683059962592
BA2200	7.94145634611773	6.16950493399515
BA2121	8.45696872743274	5.97608438156721
BA2944	8.7420670822246	7.24218373520164
BA2033	6.87847286019697	4.56407532031905
BA2867	8.68391306436784	6.13725593051751
BA2089	7.5725144548201	4.27079096532492
BA2224	8.09804401257278	6.16479221189801
BA2046	9.16784487350203	4.60401552568644
BA2972	8.54249270039127	6.61484329859941
BA2978	7.48490734822992	5.38151536241943
BA2829	7.62925234894777	5.66740335166233
BA2851	7.99068122497693	6.02615955253131
BA2587	8.42083657982967	5.97523061949623
BA2461	7.51191595859432	5.15668163101419
BA2695	7.10693286579065	4.65902094233579
BA2623	8.50918028997297	6.63758201438047
BA2024	7.248181873002	5.40260210506482
BA2426	8.38795127420314	5.91240742486635
BA2271	8.0301567645062	5.10834862967978
BA3004	8.34007975821985	6.38888273500531
BA2579	7.81538872947805	5.66051919592254
BA3010	8.03884116383771	5.53426887614694
BA2662	8.43758065182973	5.34255610443151
BA2674	7.58991392876001	6.40360502181603
BA2280	7.90803356905227	6.36182238595201
BA2512	7.00146186913291	4.68695768946558
BA2658	7.49358396361658	5.76371292639746
BA2394	7.93502206043898	6.73922514739457
BA2950	7.67625068419832	6.02576365304124
BA2981	8.20818067427413	5.64089444218065
BA2934	6.47279065497325	5.56441490975965
BA2539	7.49256176412129	4.88365938121125
BA2249	7.74263536016322	5.48468121276611
BA2034	7.96905854853838	6.11503718341623
BA2109	7.73332620572976	4.87023108953253
BA2242	7.66613976188412	6.03404286985942
BA2277	7.81538872947805	5.97691207859612
BA2727	7.94145634611773	7.10771088589405
BA2132	8.60067902691643	5.91874058491338
BA2618	7.70961368830257	5.46299801814277
BA2521	8.13747585819058	5.49396648422183
BA2846	8.63341745058943	6.49002795768883
BA2885	7.45866975783138	4.92595904339551
BA2639	8.73910632748104	6.29137386576201
BA2775	8.11853831041796	5.60579685194834
BA2402	7.68775219309565	5.17065533146209
BA2097	7.9003747386446	5.66740335166233
BA2786	8.7332018546727	5.58682786591739
BA2399	8.31787605128572	6.16697408993369
BA2850	7.5552619353094	5.53758769155616
BA2174	8.11104544817006	5.56931523967556
BA2004	7.17275321082541	5.79282325358751
BA3001	8.23061160269424	6.55713498264667
BA2311	7.9609725092348	4.78361272995645
BA2483	8.00271116464237	6.25534556152395
BA3040	9.05581138653334	5.54431492495241
BA2837	8.37639721534742	6.13249003882685
BA2724	7.66369633945432	4.79523149626919
BA2911	7.8210975174081	6.13505858445244
BA2256	8.7420670822246	6.07438042977308
BA2821	8.41372261793503	6.06121727575126
BA2233	8.74800571415782	6.75074032756909
BA2744	8.3972661940189	6.69580577134555
BA2880	8.3311533449718	5.14825734566663
BA2621	7.28438406463884	5.31756660169569
BA3002	8.55997698305646	6.11593110685268
BA2501	8.34681429629083	5.71368801694621
BA2993	7.77713213848426	5.68833994254818
BA2301	7.75780436658957	4.60295748096679
BA2852	7.53734841909383	5.42453578520679
BA2133	6.96975356458038	5.51345714323729
BA2866	8.99906762077278	6.36930495814156
BA2212	8.64171611871059	5.89086317810063
BA2685	9.08862153045619	5.40778946397742
BA2273	8.71853926395486	5.9773343667847
BA2477	8.48407580140491	6.16697408993369
BA2659	8.15090969693391	5.05963791860408
BA2124	8.70296361717243	6.63383351459938
BA2363	7.80235955590607	6.0344495153559
BA2369	8.62242404966029	5.84631034661227
BA2534	8.74800571415782	7.56679847925559
BA2400	8.09804401257278	5.92432462638165
BA2762	8.16840116234166	6.03732004077161
BA2312	7.54970729199318	6.01745471553114
BA2813	8.04060780611373	5.79446889536676
BA2211	8.61335419813792	6.67837784799198
BA2171	8.29387857030758	5.78002501253586
BA2746	7.28712238553665	4.56145114497437
BA2798	8.39493145233583	4.85230183637924
BA2809	7.88191833711993	6.37079667059363
BA2288	8.17565360284926	6.21760589006463
BA2801	7.5932544466496	5.10733697094661
BA3030	8.02685700006077	5.98792432171399
BA2588	7.83407017601998	6.3730951356739
BA2296	8.64449262965366	6.57772759538865
BA2300	8.34232080533324	6.17423728477739
BA2903	7.15557221270197	5.46260848821559
BA2473	9.20081280674415	4.66541353379402
BA2545	8.10545619155905	5.29014927757584
BA2840	7.36527517561591	5.20757281722967
BA2528	7.81249915728454	5.49025573477232
BA2646	8.27244095196937	6.24227196022735
BA3407	8.23267071257109	4.41937585941747
BA2240	8.01121552663761	5.87772009379433
BA2926	8.34456564828853	5.48685812816546
BA2272	7.33250978911574	5.16389532747044
BA2306	8.34906675857089	6.16229657509821
BA2765	7.00642277827321	5.10733697094661
BA2904	8.01121552663761	6.23081198982986
BA2883	8.52445890903765	5.00552413095077
BA2726	6.93827202821145	5.10142924510394
BA2234	8.2960419873451	4.09352976766015
BA2022	8.66407371953991	6.00392077224602
BA2228	8.79022656584331	4.73692025392607
BA2037	8.46185834013681	6.37031994316104
BA2184	9.1872873383188	7.44644074627456
BA3009	8.07064998624987	6.32314377198831
BA2842	7.21053357648558	4.54377637973889
BA2442	8.01616932095142	5.54393492602013
BA2882	7.51299557490928	5.05929023106165
BA2758	6.90161368403515	4.51398396735729
BA2705	7.53303259081949	5.54355794441881
BA2663	7.25790347094091	5.4040564998537
BA2570	9.21888429779212	6.3129901827468
BA2764	8.04060780611373	4.16479586623105
BA2209	8.22240857358487	6.20525292176704
BA2989	8.68676863894814	6.26705656087935
BA2855	7.77444024847	5.04138595893264
BA2261	7.99739906746641	5.32664570587017
BA2721	7.80956394588893	5.42748213274228
BA2930	6.82612058067876	4.32076840742144
BA2728	8.15671254170946	5.46114309064973
BA2715	8.06884590575294	5.13442321095142
BA2469	7.12664090320603	4.04753383160948
BA2269	6.99377561399407	4.81095988420945
BA2098	7.65632337592004	3.59566377043115
BA2778	6.68355614720783	3.69392175101973
BA2951	8.49908497066643	6.93021683662514
BA2163	8.23473317956582	7.03196402344294
BA2379	7.06166102601644	5.14161615451425
BA2817	6.97794904447586	4.73585764384443
BA3153	9.30065851731011	6.35855944709052
BA2820	7.60280427832536	4.82534093200762
BA2723	7.51299557490928	4.46663819123563
BA2704	9.01658796485945	6.19169062886434
BA2088	8.46430959418229	4.23317948236661
BA2116	7.1940059259717	5.36689692587537
BA2584	8.98864564355709	6.19479612483736
BA3079	7.71867822819813	5.95765278561263
BA2417	8.95099667095566	5.79321150053106
BA2361	8.13747585819058	5.50498484264806
BA2450	8.1017443875296	6.67894286315779
BA2492	7.47524977931761	4.23203632866019
BA2552	9.0307417478067	5.91595003127845
BA2472	7.93502206043898	4.56799936889978
BA2994	8.49406416345013	6.38599164256093
BA2047	8.45209623715645	5.70146183160515
BA2101	7.70330320958059	5.79045455115976
BA2082	8.94761722776196	5.53865932247819
BA2879	6.90877033903166	5.11922365704846
BA2577	9.16398396797258	6.7058515766051
BA2456	7.34929269675225	4.85371906563251
BA2175	8.4424022836884	4.99738222665924
BA2824	7.878761730409	6.40454724548096
BA2507	8.46922505155083	6.74039110508618
BA2563	8.5373170330564	6.49406704275497
BA2244	7.34929269675225	4.96127415225726
BA2470	8.26607857536642	6.2918184227424
BA2984	7.77015373984418	5.62868512576849
BA2414	8.95777690896205	6.58623483162294
BA2697	6.89968682755392	4.61150443110127
BA2079	6.39786567345431	5.08758890657065
BA2999	8.41846114844672	6.39738498406032
BA2644	7.66495366812555	5.65485837851428
BA2011	7.31127241928996	5.32664570587017
BA2217	9.00955709168753	7.20800173217813
BA2454	8.86216405394702	7.33073792117204
BA2776	8.91751782379931	6.74039110508618
BA2218	8.09619809378225	5.91717313414898
BA2135	7.95296500400789	6.06255807626612
BA2914	7.50002964161751	5.77070270325106
BA2500	8.32893113987774	5.48059363504872
BA2830	8.66407371953991	6.85144834736251
BA2406	7.8894951557827	5.29272133823875
BA3108	9.37793858616158	4.66717493535737
BA2924	7.61362919863888	5.31255258978501
BA2303	7.20465709297985	5.28256921751163
BA2160	8.32007964073217	6.655181196516
BA2038	8.43998936441936	4.35906524158071
BA2602	7.83268389248944	4.62321630772693
BA2964	8.50160207030541	4.39407415685903
BA2898	7.92215119859177	5.13692147172974
BA3003	7.98220941306141	5.2450731397095
BA2111	8.24717893447311	5.12563283342855
BA2827	8.34681429629083	5.11569183564456
BA2912	7.99739906746641	5.81007696621955
BA2437	8.49908497066643	5.1122048652643
BA2283	7.86671215518685	5.36221790332293
BA2057	8.09619809378225	5.19592591955162
BA2633	8.50412364911741	5.44569104780308
BA3034	8.05288390011611	5.06279777386113
BA2607	8.40664550150058	4.98230143047781
BA2761	7.87281860469351	5.67432622931416
BA2795	7.96577419756633	5.22927128390671
BA2182	8.1336646480907	5.25109490120941
BA2152	8.22036612888066	5.23965795443685
BA2381	9.34313727945847	6.38306782429477
BA2931	8.21020338316209	5.49691431965408
BA2040	7.92364245319313	4.54056013941107
BA2590	9.28812805203208	6.56990345420697
BA3195	8.47910806756512	6.86838819773824
BA2516	8.32191640184945	5.78615399709568
BA2353	8.68676863894814	7.26851020715081
BA3036	8.0095286113404	6.3850340445232
BA2971	8.14502683997756	6.23664169060856
BA3410	7.98220941306141	5.66279307581164
BA3118	8.30691336971867	5.42234890079115
BA3206	8.09804401257278	6.83601210531875
BA3202	8.6279105840654	4.24693083065817
BA3217	8.27670009201677	6.01664395833904
BA3405	7.92364245319313	5.35117907046834
BA3306	8.37180321609369	5.44067594846619
BA3371	8.62516478231551	4.97317547511932
BA3413	8.81487669872437	6.83843057067482
BA3411	7.98898804212453	5.73738411344192
BA3133	8.34232080533324	6.15921420802907
BA3164	8.30255392241405	5.78192253760815
BA3451	7.51413414557592	4.90254409754431
BA3286	8.7361512573159	5.8761890408473
BA3212	8.57865830342714	6.15834977750935
BA3103	8.7361512573159	5.4040564998537
BA3271	7.97894297933459	5.49289037233673
BA3152	7.94314055717551	5.21327609576147
BA3095	8.46430959418229	6.20098661255903
BA3192	8.43998936441936	5.35415056636227
BA3251	8.42798766039968	6.35399476116952
BA3362	8.88653621315296	5.60540886857144
BA3400	8.02508710399741	5.490635893289
BA3135	8.83676787171411	5.89003355654074
BA3408	7.02274319881886	5.12063498746829
BA3187	8.53215993801742	5.39277292171201
BA3098	8.73025810259064	6.18590754539494
BA3435	7.96744532914178	5.67887021391384
BA3261	8.66407371953991	6.47915200705891
BA3203	8.15090969693391	5.61405116349114
BA3174	7.617186143553	5.21397119518206
BA3317	8.42559982560594	6.81883552060849
BA3299	7.92868137841977	4.41640814943071
BA3221	7.07556396699123	5.50684581649132
BA3347	7.68134464101013	4.5651470965606
BA3235	6.732801148639	4.59152669861806
BA3126	7.15557221270197	4.09434749658679
BA3380	8.41608983118813	5.84353133766961
BA3089	7.89883083701412	6.50598160592548
BA3109	7.04851156959908	5.19197507986882
BA3114	7.58991392876001	4.61788631559245
BA3418	8.19611264417946	6.25221507266163
BA3245	8.05457002396872	5.72099925846855
BA3085	8.11104544817006	6.88232132236019
BA3128	8.78717245605116	5.6290939324601
BA3423	8.29820901257083	5.86057748465192
BA3173	8.84307877151568	5.93735639042332
BA3171	7.27205163282357	6.34878143548061
BA3277	8.56601564488201	5.44424859687628
BA3210	7.80094268898657	5.82971849546372
BA3157	8.51934782702254	6.43193622663115
BA3433	8.27244095196937	5.85578814032464
BA3322	8.17625565039323	5.08223929101889
BA3374	8.43758065182973	5.35519815996299
BA3450	8.52190108216259	5.34219904385068
BA3167	8.40900046313029	4.81095988420945
BA3269	7.24647814947882	4.99738222665924
BA3110	8.54953218061743	5.37014622702408
BA3156	7.51732737025111	5.45234424595149
BA3226	7.87430709609213	6.25000151049301
BA3421	7.45670028367566	4.8864219540017
BA3232	8.16840116234166	6.27426778231287
BA3289	6.86648111845466	4.85971090955896
BA3430	7.16953610700443	5.25385282871793
BA3145	8.21629115879124	6.73922514739457
BA3399	7.41107466475047	4.74148796294472
BA3449	8.19012213724112	4.95086713745968
BA3384	8.16059641320183	5.9563978434584
BA3427	7.3548407117676	5.25714318052804
BA3163	7.550843282623	4.59152669861806
BA3158	8.81487669872437	6.79581543973709
BA3436	8.18416035809344	6.93827202821145
BA3154	7.9003747386446	6.2850706491728
BA3162	8.3558471237735	5.92513526908082
BA3352	8.70008120144039	6.18861040169558
BA3084	8.8717935877338	5.89359904116522
BA3149	7.40108920011618	5.35709573192361
BA3169	8.25974759702626	4.99738222665924
BA3180	8.81487669872437	5.90885007986137
BA3255	8.01284698319857	5.37928711694374
BA3438	8.57394218930808	5.831768285151
BA3345	7.574849932275	4.94207214987635
BA3403	7.99413751864958	5.24180259489468
BA3431	7.06807720975175	5.5327793179831
BA3181	7.3445927403943	5.01499035740301
BA3341	7.9003747386446	4.25037031677199
BA3191	7.47212920454885	5.50721271315311
BA3197	8.78412431760784	6.83344544574865
BA3448	8.37180321609369	6.60051001058414
BA3453	8.23473317956582	4.81972624226558
BA3406	7.99246857024867	5.89003355654074
BA3308	8.69824500910271	6.62952631509886
BA3186	8.55765692487222	6.7037023558772
BA3334	8.08518191159815	4.61468245344628
BA3447	8.22036612888066	7.53734841909383
BA3116	8.28956252610494	4.92736106288858
BA3280	7.69790613813162	5.34471469248409
BA3185	8.60337970015667	6.0765385205626
BA3094	7.97720455656684	5.44318329987226
BA3318	8.21629115879124	4.65263126814038
BA3216	7.72417589543797	5.88406214865442
BA3332	8.97829037472744	5.83917770608647
BA3214	8.59445024196475	6.52836297577895
BA3099	8.24926512843891	5.81839607751016
BA3141	8.30691336971867	6.6430484484285
BA3373	8.59260663428802	7.08521741719084
BA3319	7.78401208165605	4.99665147897099
BA3328	7.99915514777274	5.75023036618314
BA3339	7.35673455123978	5.90720734250747
BA3240	9.43158515365849	7.46784096415085
BA3142	7.7605970351598	6.49002795768883
BA3333	8.61968837224666	6.66451367219681
BA3381	8.58992566833602	5.12596382526423
BA3290	7.82549928808227	5.67811655623058
BA3207	6.40170617544637	3.30852387884075
BA3296	7.7045927999637	5.02619905861961
BA3305	8.25554427681065	5.71368801694621
BA3434	8.25554427681065	6.20525292176704
BA3189	8.30909856685695	6.72005859768329
BA3264	8.7361512573159	6.11294027816034
BA3329	9.25691151442812	6.39359148087619
BA3417	8.12986534537924	5.51691886633525
BA3367	7.43931413643912	5.03748167961273
BA3225	7.00991256129177	4.30837790148871
BA3183	8.19411260375688	5.77294291662078
BA3222	8.79635277497105	5.4780108909795
BA3139	10.1620355969132	6.25445222164076
BA3397	9.07395764638915	6.5518017021576
BA3311	6.91793209354363	5.23032944318066
BA3422	8.37409825216549	6.54042498941119
BA3228	8.40429460371975	6.11633596300958
BA3213	8.42083657982967	5.8546289142141
BA3270	7.35764711965898	5.36939086109841
BA3415	9.74736666094391	6.08148760261427
BA3324	8.53215993801742	6.40503611780804
BA3194	8.85577669200061	6.77720928573593
BA3335	7.63878607715114	6.11633596300958
BA3199	9.50125973784097	7.06166102601644
BA3326	7.66495366812555	5.30886708091399
BA3285	9.89455064759087	6.35713479831954
BA3297	8.18217944661747	6.17989946486144
BA3227	8.58457840504288	7.03623900558414
BA3394	7.31937809888862	6.21933467933948
BA3412	8.90103696609653	6.21454243325922
BA3293	8.31751248525734	5.91637612602088
BA3250	8.3926007250059	5.83256616777847
BA3177	8.9076089453561	5.6412866944169
BA3315	7.91895915389096	4.798374704262
BA3182	8.45453034732936	5.85810717843667
BA3260	7.54625616208849	6.02077165309049
BA3369	8.32893113987774	5.69992958447881
BA3078	8.65749029731641	5.48023322260474
BA3386	8.57129520837751	6.57509033573893
BA3445	8.04765964150367	4.87235166783045
BA3452	8.40429460371975	5.46001022094073
BA3176	8.16644533071452	6.55914586158058
BA3258	7.69023500088856	4.16634381840989
BA3295	8.38100696139026	5.68573255517546
