	SF3B1	PTPN11
BA2000	5.868488939678021	18.33296095742878
BA2003	2.198908352987511	7.823075791431777
BA2004	4.138880806726062	23.47420820016641
BA2006	2.325123064804804	1.599279212987121
BA2011	0.1380198320917367	9.225160864995647
BA2019	2.591253168618399	25.598812631833862
BA2020	3.566717303735739	31.59595324254756
BA2022	1.6333312272570373	27.51591386957487
BA2023	0.695618182813505	11.535227276580512
BA2024	2.2570122608614995	13.850349536088828
BA2025	1.0662814523867092	25.182250566504557
BA2031	4.244904914836965	17.168571781077897
BA2032	0.544077751470832	15.901849480276256
BA2033	0.5207126749297848	18.392220963768025
BA2034	3.739892901838597	16.75767370192132
BA2035	6.2327003775731	26.829544816139027
BA2036	9.325854998547795	21.002511009591736
BA2037	5.232376171077262	41.28393670453848
BA2041	0.8686250591145965	20.85594645881212
BA2044	2.7103441419906	18.514651646389066
BA2046	0.0966780257929719	17.74777341783675
BA2047	2.5434799755482262	23.775755698786437
BA2050	1.5773960837625316	14.032474625170588
BA2051	1.9603346228298677	23.501722762533824
BA2052	2.2125302187734275	19.346997032607323
BA2053	0.5596398153343644	13.034239391027915
BA2054	2.902457441292173	15.071847659067448
BA2055	1.3580618091575545	1.0119939151741806
BA2063	1.0228629180029227	14.18531242809262
BA2065	3.3052441831997457	23.213042788974004
BA2066	1.1212745563173925	27.549712577286414
BA2068	1.42080896899582	15.169594363553628
BA2069	1.6861525559554815	19.64144687919452
BA2072	0.7505739552112843	12.509935270285276
BA2079	0.6569010874044472	8.072035025066661
BA2080	0.7577356790613439	14.96790543407779
BA2081	1.987437057210764	15.613771421052876
BA2082	0.0575538570088242	16.516465158266154
BA2087	1.0741895787999471	14.418054675323518
BA2088	1.1964608794427185	24.432406247519264
BA2089	2.2429851844755566	26.42817527039773
BA2093	2.504220728960906	24.761557552881506
BA2094	4.874152863123288	22.84219653932653
BA2095	2.000770656654821	22.24726061747656
BA2096	1.4035218689792446	9.782062235194408
BA2097	5.529201492957189	29.00078867269143
BA2098	3.7885589952267344	4.89760845693884
BA2100	0.3885650929638804	12.578431475402214
BA2101	1.4843159585840475	12.241955188427031
BA2104	1.4249106856380802	9.678008579946416
BA2106	2.635120076761539	11.404555741858657
BA2109	0.1013629278870352	10.752236348741445
BA2110	1.195629336654395	9.173325205003731
BA2113	1.3489537058579335	24.25003415351566
BA2116	0.7321046849173004	34.54667256955986
BA2121	0.9023855229683968	24.484211565819702
BA2122	0.6417203906201293	8.187921438696502
BA2123	3.840240130713588	32.82053187434948
BA2124	5.547385135207057	17.461741457522745
BA2125	3.133815191424848	26.753085869426155
BA2132	2.629895091549692	20.169400258241318
BA2133	1.889343444020188	9.257241245749476
BA2134	1.3858377241602684	11.564212451003634
BA2135	1.0282469461893704	16.330691859452898
BA2139	2.3384103077608533	11.507169535521824
BA2143	0.7740416288409281	20.26836326082831
BA2148	0.0754874236072144	15.675843108585529
BA2153	5.116721417047205	24.095696669288905
BA2155	0.0402624383953675	13.399294045807633
BA2156	2.5846917601475625	16.931888260327074
BA2162	5.054337551568456	23.524442921627767
BA2163	4.424902398189839	32.49912164853597
BA2168	2.459866336385243	13.863873737481438
BA2169	2.2605231584757783	30.814991909118284
BA2171	3.878938050944237	23.18947927011344
BA2172	0.1033096950979363	16.795517788395873
BA2174	4.125021798269824	23.163838646228943
BA2175	1.6714606133319954	22.39949600661436
BA2184	10.628341810860665	39.81395373361203
BA2195	0.8517477544056531	14.438988301694582
BA2198	9.032062076788913	24.498350035075635
BA2200	5.909373552547744	27.20417627027473
BA2201	0.7405867057165145	10.05949923649511
BA2209	1.939924439760896	22.20851929911572
BA2211	3.478055240024269	21.02631899069189
BA2212	1.9117243822809795	16.10636029935567
BA2217	1.8505187182282803	17.405562540348775
BA2218	0.084710669215247	6.878393864241168
BA2220	1.6409310910083468	20.14637088171025
BA2221	2.243354454921604	13.92990006687362
BA2224	2.0797450735301943	15.825637213283208
BA2226	3.1108793742900542	35.989485894319195
BA2227	4.466729377559415	20.910382367639677
BA2228	1.4107074971754248	31.927487025931413
BA2229	2.299403410170904	23.056486557637434
BA2233	3.843300609317525	11.761458404505191
