	NRAS	IDH2
BA2000	5.043675734302264	14.422731030738287
BA2003	10.560686431397826	10.46101506681968
BA2004	4.441235364145998	9.507336591024076
BA2006	6.575705504189619	26.777386813756333
BA2011	6.488344675152857	7.147394464393686
BA2019	7.803800858255831	23.781624279667813
BA2020	10.709729421914986	27.28690260245067
BA2022	8.019621620352721	14.441530004072115
BA2023	4.375188854380848	9.587146929256283
BA2024	5.175163513879563	12.981804439837608
BA2025	6.074731218320892	17.1028831797036
BA2031	4.219114009776729	6.306251311097126
BA2032	8.583705251658827	13.565881859351672
BA2033	21.634045078260016	7.848218758869187
BA2034	9.198614997934929	10.049705697256874
BA2035	6.8581726405028185	21.183551129702984
BA2036	5.895456678640012	11.461498167548957
BA2037	8.474187163433587	15.171875886918643
BA2041	10.108074498986811	30.11400745320154
BA2044	4.7535644907408665	10.677692222263357
BA2046	9.160481901497343	20.178799096731208
BA2047	7.613271283589593	13.89890978417799
BA2050	4.103686476329206	17.437158035020172
BA2051	20.82227021965971	9.83758005404805
BA2052	8.803722359895055	17.653766087932972
BA2053	9.031640140409914	11.668629918927923
BA2054	3.633549237992189	11.488037241328248
BA2055	1.6282099596913011	24.438431495946396
BA2063	5.453141679979542	10.27777921741384
BA2065	7.008120709963036	19.72439504436136
BA2066	10.10974543956892	14.082868125223657
BA2068	6.301531117480288	16.999299719887954
BA2069	5.418720571825874	12.776817951850344
BA2072	3.975963751875416	8.738209380668568
BA2079	3.637880412457246	4.94197608558842
BA2080	10.09782677520544	26.872454620614768
BA2081	4.296904604494646	14.33772689692617
BA2082	11.946301068824308	26.84404484260665
BA2087	9.334338474733304	23.791262231764957
BA2088	13.1502236881413	15.483937363491652
BA2089	13.279025182733749	14.463697108799463
BA2093	3.900351353768402	14.93406816471082
BA2094	9.744641884173047	24.68671935734646
BA2095	6.152794819771235	18.687929885610632
BA2096	6.715911213656165	27.095028936684805
BA2097	13.917958079878336	27.9884672811856
BA2098	10.387971166225924	23.699586618788487
BA2100	4.6475452234853565	8.689808610668937
BA2101	6.084070489319454	9.355504139981983
BA2104	5.135247990444217	8.624427127679265
BA2106	10.134436245830772	18.442794827181974
BA2109	7.168784406456207	11.647775145300413
BA2110	3.345155971053532	3.519763940818618
BA2113	7.355297822797085	16.848654351608484
BA2116	11.5696457912037	5.472876022655759
BA2121	8.496779176483521	15.662007181727317
BA2122	4.026122374469674	6.435605079036021
BA2123	14.704105196105951	35.42314811387111
BA2124	5.235737433920034	22.243799281827272
BA2125	6.58007623618558	11.7698077468873
BA2132	7.287418557176935	22.34068288108195
BA2133	5.569103779560801	5.938149532940931
BA2134	3.1951470189520976	8.097201347499352
BA2135	10.07866878646148	13.593541998297116
BA2139	3.987310125081623	3.913932180801836
BA2143	11.295737558973652	14.877437406680736
