#Boxplots d'expressions du gène NF1 en fonction de la feature centerID
#Résultat du test statistique ANOVA : F = 3.156, p-value = 0.00288
#Tableau des résultats :
Sample Feature  ExpressionGene
BA2306       6        5.503908
BA2726       1        4.671035
BA2234       1        5.334341
BA2022       3        5.057914
BA2037       1        6.073918
BA2184       1        5.702980
BA3009       1        4.908491
BA2442       3        5.769206
BA2882       1        5.063498
BA2570       2        6.584627
BA2721       1        5.719504
BA2728       1        5.831768
BA2098       1        5.707181
BA2951       3        5.449383
BA2778       1        5.481650
BA3153       5        4.755199
BA2820       1        5.401858
BA2704       1        5.527228
BA2584       3        3.984523
BA3079       3        4.172167
BA2361       5        4.564434
BA2472       2        4.591169
BA2047       1        5.157039
BA2101       1        4.559847
BA2082       2        5.213632
BA2456       2        4.783959
BA2175       2        3.540704
BA2507       5        5.074090
BA2563       3        5.479854
BA2984       1        5.637445
BA2414       5        5.469188
BA2697       3        5.012515
BA2644       3        4.642363
BA2011       3        4.453925
BA2217       1        5.992306
BA2454       2        5.151404
BA2776       1        5.834460
BA2135       6        3.016429
BA2914       1        5.400032
BA2500       1        5.664388
BA3108       1        5.474682
BA2303       3        5.094969
BA2160       3        5.466990
BA2590       5        5.808912
BA3195       5        5.782659
BA3036       2        5.841504
BA2971       6        4.806078
BA3410       8        4.903261
BA3118       2        5.154582
BA3206       1        5.124577
BA3217       5        5.782293
BA3405       3        5.264976
BA3306       5        5.664388
BA3413       3        5.767987
BA3411       1        5.098923
BA3133       1        5.483212
BA3451       1        5.345867
BA3286       1        5.312914
BA3212       1        5.356713
BA3103       2        5.415373
BA3271       1        6.051521
BA3152       1        4.272704
BA3095       1        5.550982
BA3251       5        5.256776
BA3362       1        4.618605
BA3135       8        6.130771
BA3408       8        4.562093
BA3098       3        5.889614
BA3435       1        5.396399
BA3261       1        5.738157
BA3203       6        4.729476
BA3299       6        5.472842
BA3347       5        5.185465
BA3126       1        5.833319
BA3418       8        4.724942
BA3245       5        5.010748
BA3085       1        5.408508
BA3171       1        5.454168
BA3277       5        5.767987
BA3157       1        6.253547
BA3433       5        5.449383
BA3374       1        5.374933
BA3450       7        4.076782
BA3167       2        4.873783
BA3269       5        4.934705
BA3110       2        5.611009
BA3156       8        5.485744
BA3226       1        5.958911
BA3421       5        5.031864
BA3232       1        5.662410
BA3289       5        5.461879
BA3430       5        6.157426
BA3384       1        5.142996
BA3427       1        4.650867
BA3449       8        6.087497
BA3163       1        6.126826
BA3158       3        5.683792
BA3436       1        5.435855
BA3154       7        4.587992
BA3162       2        6.084907
BA3352       2        6.055296
BA3084       1        5.215349
BA3149       5        6.102773
BA3169       5        5.916772
BA3180       5        6.705852
BA3255       1        5.691020
BA3438       1        4.596525
BA3345       8        4.862526
BA3431       7        5.205457
BA3181       8        5.103508
BA3341       2        5.733627
BA3191       1        5.282933
BA3197       1        6.015401
BA3448       1        5.407789
BA3453       5        5.563645
BA3406       3        5.462608
BA3334       2        4.838289
BA3447       7        4.972820
BA3116       5        4.967244
BA3280       5        5.551340
BA3185       5        4.462656
BA3094       1        4.914762
BA3318       2        5.734428
BA3216       5        6.003921
BA3332       7        5.419065
BA3373       1        5.918355
BA3319       1        5.557395
BA3328       1        5.652590
BA3240       1        4.771393
BA3142       1        3.884623
BA3333       5        5.764499
BA3381       1        5.501687
BA3290       1        5.113990
BA3207       1        5.239288
BA3305       5        4.855113
BA3434       1        5.776879
BA3189       1        5.485744
BA3264       1        5.564014
BA3329       5        4.563055
BA3225       1        5.102822
BA3397       1        3.942262
BA3311       1        5.210794
BA3422       5        5.329557
BA3213       5        5.739350
BA3415       1        5.409925
BA3270       1        4.910923
BA3324       1        5.613300
BA3335       5        4.963694
BA3199       5        5.402224
BA3326       5        4.702770
BA3297       1        5.538291
BA3227       1        5.737384
BA3412       1        5.150011
BA3250       1        5.484681
BA3177       1        5.769206
BA3315       1        5.234609
BA3182       1        5.112917
BA3369       1        5.204051
BA3078       1        5.426771
BA3386       1        5.641287
BA3176       1        5.415373
BA3258       1        5.136921
BA3295       1        5.298044
BA3136       1        4.596172
BA3234       1        4.993898
BA3087       1        5.899996
BA3454       1        5.491017
BA3302       1        6.101902
BA3117       1        5.843149
BA3266       1        5.787316
BA3268       1        5.392004
BA3229       1        5.130881
BA3353       1        4.799755
BA3312       1        5.948369
BA3119       1        5.514215
BA3219       1        5.121688
BA3351       1        5.388036
BA3357       1        5.370850
BA3208       1        5.526494
BA3310       1        5.532035
BA3200       1        5.654115
BA3146       1        5.341860
BA3211       1        4.730865
BA3130       1        4.831307
BA3376       1        5.715154
BA3137       1        5.134053
BA3300       1        5.690280
BA3375       1        5.705301
BA3385       1        5.043775
BA3416       1        5.813616
BA3123       1        4.881142
