	NPM1	PRPF8
BA2000	528.2932619271585	0.0832772413793103
BA2003	717.8183224076506	0.0301862068965517
BA2004	320.01547932986267	0.0723158620689655
BA2006	9.679478408126416	0.009703448275862
BA2011	348.4981285240867	0.0365806896551724
BA2019	583.7827086691859	0.0728055172413793
BA2020	1236.507877965909	0.0960551724137931
BA2022	916.0964949426144	0.0773793103448275
BA2023	431.7839587624408	0.0380524137931034
BA2024	372.1842389270018	0.0402813793103448
BA2025	722.395881374441	0.0902758620689655
BA2031	803.0149785649028	0.076311724137931
BA2032	795.6408037215438	0.0544206896551724
BA2033	257.718883807176	0.0284786206896551
BA2034	810.0015144990998	0.0562455172413793
BA2035	899.358854303508	0.0628565517241379
BA2036	778.587533687972	0.0614979310344827
BA2037	1902.128477513421	0.0774813793103448
BA2041	845.8378095871379	0.053591724137931
BA2044	585.7529247149646	0.0471820689655172
BA2046	1115.1507214086078	0.0681337931034482
BA2047	676.9878108900025	0.0802027586206896
BA2050	742.1408316925888	0.0507062068965517
BA2051	484.6791957324424	0.058431724137931
BA2052	1122.4581187120564	0.0793186206896551
BA2053	856.5360596182228	0.0201144827586206
BA2054	797.1291493537034	0.0408979310344827
BA2055	43.55371897587268	0.0058344827586206
BA2063	583.6395872324669	0.0514137931034482
BA2065	1202.664762511015	0.0721737931034482
BA2066	819.6683643642182	0.114983448275862
BA2068	590.7969803002536	0.0656882758620689
BA2069	668.3880927899144	0.0730620689655172
BA2072	443.6027357455251	0.0450965517241379
BA2079	148.52736696454153	0.021383448275862
BA2080	828.9284153651536	0.0711489655172413
BA2081	596.8647857517421	0.0548675862068965
BA2082	1003.8557661222746	0.050743448275862
BA2087	645.4585078280003	0.0507420689655172
BA2088	647.6525682652436	0.0399765517241379
BA2089	803.116732804619	0.0712551724137931
BA2093	717.9466283105468	0.0445958620689655
BA2094	773.6307073311818	0.0840110344827586
BA2095	742.4000933575526	0.0718813793103448
BA2096	843.435358552685	0.0290979310344827
BA2097	1869.086592927769	0.0907158620689655
BA2098	446.6952569238338	0.0374496551724137
BA2100	459.57170926115145	0.0427765517241379
BA2101	480.9915091065376	0.0410924137931034
BA2104	158.38864555593398	0.0305379310344827
BA2106	1086.0029372840947	0.0761213793103448
BA2109	352.7594132324559	0.0383972413793103
BA2110	227.9689532482417	0.0299586206896551
BA2113	618.1909565783855	0.0940468965517241
BA2116	203.9687913848749	0.0481958620689655
