#Résultats bruts de l'abondance de mutation du gène TET2 selon la feature consensus_sex, normalisée par le gène de ménage TBP.
#Test d'hypothèse de différence significative entre les moyennes des groupes
#p-value = 0.016850 avec le test Mann-Whitney U
 Abundance   TotalKmers  NormalizedExpression consensus_sex
 31.137931 9.177622e+09              3.392810        Female
 99.896552 8.546911e+09             11.688030          Male
 33.137931 6.832622e+09              4.849958        Female
 51.172414 1.180402e+10              4.335167          Male
 23.517241 6.861597e+09              3.427372          Male
104.931034 1.369088e+10              7.664301        Female
 17.103448 4.867079e+09              3.514110        Female
 37.517241 7.666445e+09              4.893695          Male
 56.655172 6.547884e+09              8.652439          Male
 43.586207 6.353539e+09              6.860147          Male
 32.724138 6.463080e+09              5.063242        Female
 16.413793 7.207653e+09              2.277273          Male
 42.551724 8.405521e+09              5.062354          Male
 17.103448 6.490190e+09              2.635277          Male
 19.068966 5.938861e+09              3.210879        Female
 35.275862 8.857558e+09              3.982572          Male
 74.137931 9.789722e+09              7.573038          Male
 31.000000 8.496488e+09              3.648566        Female
 50.241379 7.182719e+09              6.994758        Female
 16.586207 9.170928e+09              1.808564        Female
 59.241379 7.426742e+09              7.976765        Female
 25.655172 6.601048e+09              3.886530          Male
 25.655172 8.712778e+09              2.944546          Male
 33.137931 7.183179e+09              4.613268        Female
 23.862069 7.145735e+09              3.339344        Female
 17.103448 6.517612e+09              2.624189        Female
 76.034483 7.301011e+09             10.414240          Male
 22.448276 5.689568e+09              3.945515          Male
 61.724138 9.142983e+09              6.750985        Female
 33.172414 6.229103e+09              5.325392        Female
 10.827586 5.952865e+09              1.818887          Male
 39.034483 7.599737e+09              5.136294          Male
 40.655172 5.463356e+09              7.441429          Male
 47.034483 1.019550e+10              4.613261          Male
 37.413793 6.498495e+09              5.757301        Female
 84.586207 1.227116e+10              6.893090        Female
 53.896552 9.825842e+09              5.485184        Female
 23.517241 6.586311e+09              3.570624          Male
 13.896552 8.776193e+09              1.583437        Female
 18.172414 7.400454e+09              2.455581          Male
145.103448 1.027704e+10             14.119184        Female
 57.413793 9.607272e+09              5.976076          Male
 65.896552 6.058733e+09             10.876293          Male
