	ASXL1	BCOR
BA2000	0.0156650526915408	0.0347677842970251
BA2003	0.0155226431216177	0.0171595779870121
BA2004	0.0254913130162346	0.037920978392253
BA2006	0.0561093705497009	0.0023649980291683
BA2011	0.0160922814013101	0.0545436322464494
BA2019	0.0243520364568499	0.0936744772560194
BA2020	0.0357448020506978	0.0911532425463582
BA2022	0.021646254628311	0.0308737068466182
BA2023	0.0109655368840786	0.0139315669678408
BA2024	0.0190828823696952	0.0422907785477338
BA2025	0.015949871831387	0.0736877940309664
BA2031	0.0135289091426943	0.0466605787032146
BA2032	0.0149530048419253	0.084601912034605
BA2033	0.0229279407576189	0.1197568500062294
BA2034	0.026060951295927	0.0628754507230147
BA2035	0.0195101110794645	0.0387365420610455
BA2036	0.0197949302193107	0.0339658361244341
BA2037	0.0299060096838507	0.0527020794642252
BA2041	0.0200797493591569	0.048488652599567
BA2044	0.0152378239817715	0.0300243093528167
BA2046	0.0294787809740814	0.034740553304622
BA2047	0.0254913130162346	0.0391714182775149
BA2050	0.0111079464540017	0.0131772047267902
BA2051	0.0209342067786955	0.041604357177361
BA2052	0.0364568499003133	0.1265800806110234
BA2053	0.013101680432925	0.0279786607378997
BA2054	0.0126744517231557	0.0291135738209435
BA2055	0.0113927655938479	0.0041387465510445
BA2063	0.0438621475363144	0.0493993881314402
BA2065	0.0190828823696952	0.03705796540225
BA2066	0.0259185417260039	0.0708470732967242
BA2068	0.0156650526915408	0.024200110089711
BA2069	0.0170891483907718	0.0411967119532945
BA2072	0.0111079464540017	0.0188314152028718
BA2079	0.0108231273141555	0.01383639510476
BA2080	0.017373967530618	0.0417879614605866
BA2081	0.0139561378524636	0.0327902131631156
BA2082	0.0178011962403873	0.0342648305995481
BA2087	0.0099686698946169	0.0360930411062303
BA2088	0.0226431216177727	0.0362220467943202
BA2089	0.0229279407576189	0.0788933761840472
BA2093	0.028909142694389	0.0307445645481986
BA2094	0.0168043292509256	0.102502373376796
BA2095	0.017373967530618	0.0200478846527948
BA2096	0.013101680432925	0.0162218846833955
BA2097	0.0350327542010823	0.0438062424727708
BA2098	0.0118199943036172	0.0221275037030506
BA2100	0.0136713187126174	0.0199187423543752
BA2101	0.027485046995158	0.0182401656955797
BA2104	0.0078325263457704	0.019803215552157
BA2106	0.0160922814013101	0.0210400399412174
BA2109	0.0121048134434634	0.0242613115174529
BA2110	0.0099686698946169	0.0148014560111095
BA2113	0.0313301053830817	0.0628687112800788
BA2116	0.0273426374252349	0.0298746755049299
BA2121	0.0250640843064653	0.0252331118667382
BA2122	0.0093990316149245	0.0250156737585035
BA2123	0.0227855311876958	0.0717576722182676
BA2124	0.0197949302193107	0.0418762572704017
BA2125	0.0186556536599259	0.0477954917862583
BA2132	0.0225007120478496	0.0529671035040003
BA2133	0.0262033608658501	0.0097724654776589
BA2134	0.008686983765309	0.0133879033920891
BA2135	0.0264881800056963	0.039708205800001
BA2139	0.0089718029051552	0.0225827348586574
BA2143	0.0176587866704642	0.0242749270136544
BA2148	0.013101680432925	0.0236700620101608
BA2153	0.0196525206493876	0.0325183130700749
BA2155	0.0163771005411563	0.0326881652467692
BA2156	0.0186556536599259	0.0405306455220591
BA2162	0.0172315579606949	0.0328648934767292
BA2163	0.0212190259185417	0.0425421870913074
BA2168	0.0139561378524636	0.0198371859874959
BA2169	0.0233551694673882	0.0399257805185655
BA2171	0.0259185417260039	0.0454984346277678
BA2172	0.0133864995727712	0.0809050543636253
BA2174	0.0189404727997721	0.0364803313911594
BA2175	0.0294787809740814	0.0530621387567512
BA2184	0.0398746795784676	0.0830524776742291
BA2195	0.0156650526915408	0.0278971043710205
BA2198	0.0153802335516946	0.0259398881762484
BA2200	0.0293363714041583	0.0617201827008335
BA2201	0.0092566220450014	0.023160368869748
BA2209	0.0582455140985474	0.0422092221808545
BA2211	0.0270578182853887	0.0447713033791202
BA2212	0.0182284249501566	0.0396811114179277
BA2217	0.0242096268869268	0.0481215806434455
BA2218	0.0155226431216177	0.0271970675044462
BA2220	0.0135289091426943	0.0214614372718152
BA2221	0.0138137282825405	0.014638343277351
BA2224	0.0146681857020791	0.0345434701355247
BA2226	0.0320421532326972	0.0846631134623469
BA2227	0.0344631159213899	0.2247327355508165
BA2228	0.0283395044146966	0.0636434284602668
BA2229	0.04044431785816	0.1288703983265781
BA2233	0.0209342067786955	0.0277203761410605
BA2234	0.0183708345200797	0.0726820232463423
BA2235	0.0136713187126174	0.0353793887434545
BA2236	0.015949871831387	0.0399869819463074
BA2239	0.0108231273141555	0.0241457847152348
BA2240	0.0242096268869268	0.0416995290404417
BA2242	0.0276274565650811	0.0633647889242901
BA2244	0.0162346909712332	0.0451042682895731
BA2245	0.0193677015095414	0.051220585974527
BA2248	0.0122472230133865	0.0145907573458106
BA2249	0.0249216747365422	0.0454441092532915
BA2251	0.0206493876388493	0.0569630922604237
BA2256	0.0166619196810025	0.0356307972870281
BA2260	0.0111079464540017	0.0136189569965253
BA2261	0.0123896325833095	0.0233914224741842
BA2269	0.0074052976360011	0.0222904798264793
BA2271	0.0207917972087724	0.0998994456899258
BA2272	0.0146681857020791	0.0374521317404447
BA2273	0.0200797493591569	0.0790358607580088
BA2275	0.0300484192537738	0.0754208326745679
BA2276	0.0116775847336941	0.0005096931404128
BA2277	0.0227855311876958	0.051696308679601
BA2280	0.0358872116206209	0.0829233353758095
BA2281	0.0200797493591569	0.0145092009789314
BA2282	0.0166619196810025	0.0218080176784695
BA2286	0.0179436058103104	0.0385394588919481
BA2288	0.0236399886072344	0.0159227535979517
BA2292	0.0182284249501566	0.0323279693439134
BA2294	0.0206493876388493	0.0240981987836944
BA2296	0.0220734833380803	0.0372550485713473
BA2300	0.0259185417260039	0.0679247961956026
BA2301	0.0192252919396183	0.0913501891051258
BA2302	0.0226431216177727	0.0285087088174499
BA2304	0.0085445741953859	0.0141762360684785
BA2306	0.0178011962403873	0.0170916371163344
BA2308	0.0186556536599259	0.0248049750932046
BA2309	0.0149530048419253	0.0214410823326778
BA2311	0.0150954144118484	0.0224672080564393
BA2312	0.0183708345200797	0.0267282208526378
BA2316	0.0108231273141555	0.0194566351455027
BA2322	0.02022215892908	0.0308261209150779
BA2325	0.0098262603246938	0.0096705541716423
BA2329	0.0123896325833095	0.0203944650594491
BA2334	0.0146681857020791	0.0225827348586574
BA2339	0.0153802335516946	0.0680742934331596
BA2344	0.0119624038735403	0.0149509532486665
BA2347	0.0126744517231557	0.0400956326952598
BA2348	0.0066932497863856	0.0118112380393102
BA2350	0.0095414411848476	0.0151683913569012
BA2354	0.0200797493591569	0.0304795405084235
BA2355	0.0367416690401595	0.060218334271998
BA2357	0.018798063229849	0.0184032784293382
BA2360	0.0166619196810025	0.0343463869664273
BA2361	0.0225007120478496	0.0195449309553178
BA2363	0.0059812019367701	0.0095753823085615
BA2369	0.0243520364568499	0.0395452296765723
BA2374	0.0301908288236969	0.086171837944448
BA2375	0.0215038450583879	0.0272854999245911
BA2376	0.0139561378524636	0.0360861650529647
BA2377	0.0400170891483907	0.1178406169103916
BA2379	0.0210766163486186	0.038396701097327
BA2385	0.0143833665622329	0.0510098873092282
BA2386	0.0233551694673882	0.0869396790713703
BA2387	0.0143833665622329	0.0484208483392191
BA2394	0.0316149245229279	0.0359434072583436
BA2399	0.0148105952720022	0.0305610968753028
BA2400	0.0338934776416975	0.0571058500550448
BA2402	0.0197949302193107	0.0257564205033525
BA2405	0.0148105952720022	0.0068910348651419
BA2406	0.0155226431216177	0.0146247277811495
BA2409	0.0128168612930788	0.0406461723242772
BA2410	0.0234975790373113	0.0237040324454997
BA2412	0.0111079464540017	0.0157868718565963
BA2413	0.0197949302193107	0.0188177997066703
BA2414	0.0249216747365422	0.0394024718819511
BA2415	0.0078325263457704	0.0112948054559615
BA2417	0.0195101110794645	0.0834396313488284
BA2418	0.0113927655938479	0.0147538700795691
BA2420	0.0153802335516946	0.0311863168179337
BA2421	0.0155226431216177	0.0221885685204627
BA2423	0.0162346909712332	0.0332999063035284
BA2425	0.0183708345200797	0.0635142861618471
BA2426	0.0126744517231557	0.0254165795396341
BA2427	0.0160922814013101	0.023010871632191
BA2429	0.0227855311876958	0.0340610079875149
BA2440	0.02022215892908	0.0251991414313993
BA2441	0.0401594987183138	0.058648408362155
BA2442	0.0185132440900028	0.032008619929662
BA2446	0.0152378239817715	0.0394705493629587
BA2449	0.0180860153802335	0.0184915742391533
BA2450	0.02022215892908	0.0361744608627798
BA2452	0.0199373397892338	0.0385598138310855
BA2454	0.0263457704357732	0.1152514413300527
BA2455	0.0091142124750783	0.0196197478792612
BA2456	0.0197949302193107	0.0895152391555077
BA2459	0.0240672173170037	0.0245127200610265
BA2461	0.0249216747365422	0.0359434072583436
BA2463	0.0125320421532326	0.1441958460259508
BA2464	0.018798063229849	0.0278903649280846
BA2469	0.0125320421532326	0.0421140503177738
BA2470	0.0213614354884648	0.0547679464079497
BA2472	0.0175163771005411	0.0558009481849769
BA2473	0.0233551694673882	0.058675639354558
BA2474	0.0143833665622329	0.0248661765209465
BA2477	0.0242096268869268	0.0468780168114493
BA2479	0.0286243235545428	0.0113151603950989
BA2480	0.0182284249501566	0.0497051220494901
BA2481	0.01011107946454	0.0256681246935374
BA2482	0.0142409569923098	0.0224399770640363
BA2483	0.0182284249501566	0.0893386475358775
