ID Sample	Abundance	TotalKmers	NormalizedExpression	analysisDrug
BA3095	65.3103448275862	9686832260.0	6.742177739287725	y
BA3177	143.0344827586207	12198101608.0	11.725962560011222	y
BA3412	78.51724137931035	12857542880.0	6.106706554441633	y
BA2011	15.89655172413793	8141679840.0	1.952490399590305	y
BA2020	24.06896551724138	10986815980.0	2.1907134479230064	n
BA2023	34.172413793103445	6204715440.0	5.507490895199449	n
BA2024	151.6206896551724	10864332780.0	13.955821560831499	n
BA2033	15.89655172413793	9682106420.0	1.641848481576381	y
BA2035	55.48275862068966	6217670060.0	8.923400258502888	y
BA2036	135.58620689655172	7970342380.0	17.01134034552625	y
BA2037	104.03448275862068	9245605880.0	11.252316409427207	y
BA2041	11.758620689655173	6907664540.0	1.702257053967356	n
BA2044	30.89655172413793	6829887820.0	4.523727554303802	n
BA2046	10.06896551724138	8350758220.0	1.205754645503481	n
BA2047	33.13793103448276	9483174120.0	3.494392343233993	n
BA2054	52.37931034482759	8531157040.0	6.139766282490984	n
BA2063	17.344827586206897	8812339060.0	1.9682433310965792	n
BA2082	36.51724137931034	9492673400.0	3.8468869453899406	y
BA2089	63.13793103448276	11437437620.0	5.5202863728915155	y
BA2095	18.17241379310345	5860218840.0	3.100978698792663	y
BA2101	43.48275862068966	8340797920.0	5.213261253629516	n
BA2109	17.103448275862068	8011330880.0	2.134907237268181	y
BA2110	61.86206896551724	6152349560.0	10.055031555378209	y
BA2113	39.86206896551724	8617071400.0	4.625941589101517	y
BA2121	38.48275862068966	8579946200.0	4.485198126380986	y
BA2123	17.103448275862068	7958002640.0	2.149213697152288	n
BA2125	39.62068965517241	7232958740.0	5.47779837814648	n
BA2134	49.310344827586206	5670167440.0	8.696453032361633	y
BA2139	58.89655172413793	6124993700.0	9.615773437307851	y
BA2156	19.24137931034483	7132607020.0	2.6976642981158983	y
BA2162	51.82758620689656	7355165580.0	7.046420049036688	y
BA2175	11.379310344827584	12453753480.0	0.9137253570260637	y
BA2184	60.82758620689656	14287959700.0	4.2572618823173585	y
BA2201	26.724137931034484	4588512180.0	5.82414013141717	y
BA2212	25.620689655172413	9008421240.0	2.84408210635279	y
BA2217	11.758620689655173	7588826980.0	1.5494648541394433	y
BA2220	18.20689655172414	5350323580.0	3.4029524157722326	y
BA2226	179.72413793103448	14192323180.0	12.66347557419662	y
BA2229	20.89655172413793	9053482760.0	2.30812299289538	y
BA2242	129.89655172413794	11212041120.0	11.585450885693678	y
BA2260	28.310344827586206	6968782240.0	4.062452212251391	y
BA2273	19.24137931034483	7974097320.0	2.4129852619286605	n
BA2275	76.79310344827586	12073133100.0	6.360660717662085	n
BA2276	40.0	6675530260.0	5.992033357961289	n
BA2281	21.48275862068965	6443114300.0	3.334219698801502	n
BA2296	48.10344827586207	8933638000.0	5.38453072263081	y
BA2301	84.27586206896552	9250500280.0	9.1104112770175	n
BA2306	42.03448275862069	8486194640.0	4.953278182012178	y
BA2312	34.206896551724135	8495131680.0	4.02664700680945	y
BA2316	34.10344827586207	5633340580.0	6.0538587702187305	n
BA2325	43.82758620689656	5835413360.0	7.5106223849233125	y
BA2347	59.241379310344826	7859984720.0	7.537085811325194	y
BA2350	15.724137931034482	6505109520.0	2.417198032206917	y
BA2357	12.827586206896552	6424574660.0	1.996643651254035	y
BA2361	64.44827586206897	9429462140.0	6.8347775202021195	y
BA2374	31.13793103448276	9177621740.0	3.3928104596826367	n
BA2387	33.13793103448276	6832622440.0	4.849957878615456	y
BA2399	23.517241379310345	6861596560.0	3.4273716289886833	y
BA2400	104.93103448275862	13690881820.0	7.664300653700232	y
BA2405	17.103448275862068	4867078720.0	3.5141096456031984	n
BA2426	17.103448275862068	6490189580.0	2.6352771463822275	n
BA2440	35.27586206896552	8857558080.0	3.982571917718153	y
BA2441	74.13793103448276	9789721620.0	7.573037713658987	y
BA2442	31.0	8496487720.0	3.648566445524151	y
BA2446	50.241379310344826	7182718900.0	6.994757836109224	y
BA2449	16.586206896551722	9170928340.0	1.8085635697543485	y
BA2454	25.655172413793103	8712777500.0	2.944545802276381	y
BA2464	33.13793103448276	7183178660.0	4.6132683875751965	n
BA2474	23.86206896551724	7145734960.0	3.3393442520735808	y
BA2479	17.103448275862068	6517611800.0	2.6241894731843445	n
BA2488	33.172413793103445	6229102740.0	5.325391983035978	y
BA2489	10.827586206896552	5952864820.0	1.8188866259013339	y
BA2496	40.6551724137931	5463355520.0	7.441429038429684	y
BA2501	47.03448275862069	10195495240.0	4.613261215020752	y
BA2512	84.58620689655173	12271159740.0	6.893089869967883	y
BA2521	53.89655172413793	9825842040.0	5.4851840182989475	y
BA2538	18.17241379310345	7400454460.0	2.455580787818732	n
BA2545	57.41379310344828	9607272500.0	5.976076259255505	n
BA2546	65.89655172413794	6058732820.0	10.876292730158374	y
BA2561	52.89655172413793	7004248020.0	7.552067198805152	n
BA2563	19.24137931034483	8254982540.0	2.330880679287885	y
BA2570	13.89655172413793	7863224460.0	1.7672841205067076	y
BA2575	42.55172413793103	4761447040.0	8.936721080894566	y
BA2583	49.793103448275865	6892596340.0	7.224143267945365	y
BA2584	24.58620689655172	8690530800.0	2.8290800024035034	y
BA2588	70.6896551724138	8178035040.0	8.643843518236356	y
BA2594	66.37931034482759	5786195520.0	11.472013020539546	y
BA2600	23.517241379310345	8864826040.0	2.6528711644419753	n
BA2603	43.241379310344826	7420922180.0	5.826954960784244	y
BA2619	13.89655172413793	4643956660.0	2.9923947921034064	n
BA2631	46.55172413793103	6979146160.0	6.670117385524282	y
BA2644	40.75862068965517	8405220600.0	4.849202969123162	n
BA2646	35.27586206896552	9795603860.0	3.601193205965918	y
BA2651	26.20689655172414	5190688020.0	5.048829066734036	y
BA2653	38.06896551724138	6701910460.0	5.680315448028439	n
BA2658	36.13793103448276	9291569140.0	3.8893248804348635	y
BA2660	18.17241379310345	4572093120.0	3.9746377241554187	y
BA2667	47.03448275862069	7201538960.0	6.531171048281142	y
BA2675	55.06896551724138	6302851800.0	8.737150620809675	y
BA2685	21.41379310344828	9534413560.0	2.2459475843680816	n
BA2688	24.13793103448276	5843420380.0	4.130788042752926	n
BA2697	44.48275862068966	6970849480.0	6.381253640365458	y
BA2704	36.48275862068966	7309448020.0	4.991178338072327	y
BA2709	26.86206896551724	5717268760.0	4.698409344240315	y
BA2718	53.41379310344828	7654277400.0	6.978293353131973	y
BA2726	58.89655172413793	7451199700.0	7.904304554357593	n
BA2728	64.06896551724138	8251344640.0	7.764669676582722	n
BA2733	13.89655172413793	5270370420.0	2.636731503995108	n
BA2742	59.10344827586207	8138125660.0	7.262538174651639	y
BA2746	68.17241379310344	8656098080.0	7.875651727031199	y
BA2748	49.10344827586207	7990536120.0	6.145200714750297	y
BA2751	60.689655172413794	6623304940.0	9.16304710747831	y
BA2775	140.48275862068965	10002797280.0	14.04434726489725	y
BA2778	61.27586206896552	8457003520.0	7.24557603932102	y
BA2791	55.58620689655172	6259413300.0	8.88041805716068	y
BA2798	12.827586206896552	8592369800.0	1.4929043448405295	n
BA2806	21.379310344827587	7345462600.0	2.9105464841421407	y
BA2808	37.41379310344828	6702371340.0	5.582172518577325	n
BA2812	31.0	7495806080.0	4.135645942430784	y
BA2814	58.89655172413793	6421663080.0	9.171541856122719	y
BA2816	33.13793103448276	7449993880.0	4.44804808812578	n
BA2820	44.89655172413793	9500869000.0	4.72552055229242	y
BA2821	106.03448275862068	12790176980.0	8.290306140753705	y
BA2828	45.55172413793103	7312465020.0	6.22932540714308	n
BA2836	32.06896551724138	6410103420.0	5.002878021777905	y
BA2839	52.37931034482759	8100467620.0	6.466208224263921	y
BA2840	31.0	10925892040.0	2.837296935253261	y
BA2843	11.758620689655173	6993952140.0	1.6812555268150824	y
BA2844	15.93103448275862	8292091500.0	1.921232355281972	y
BA2846	39.793103448275865	7137672640.0	5.5750810460643185	n
BA2861	25.655172413793103	5743499860.0	4.4668186713933515	y
BA2865	31.48275862068965	6255084360.0	5.033146926365299	y
BA2866	25.96551724137931	9119251680.0	2.847329819652407	n
BA2867	29.93103448275862	8098344800.0	3.695944692643689	y
BA2868	45.96551724137931	8331447180.0	5.517110802997291	y
BA2871	65.20689655172414	9118767000.0	7.15084578339639	n
BA2876	26.655172413793103	6835010000.0	3.899800060832845	n
BA2902	34.44827586206897	7799221360.0	4.416886541872556	n
BA2906	34.206896551724135	7153629560.0	4.781753970459177	n
BA2908	49.51724137931034	7211399160.0	6.866523441660431	n
BA2911	24.58620689655172	8854001660.0	2.7768468812949965	n
BA2928	22.344827586206897	6436533460.0	3.471562406234566	y
BA2932	41.689655172413794	7345157120.0	5.67580168692345	y
BA2935	63.172413793103445	6740566140.0	9.37197447232577	n
BA2944	28.86206896551724	11522717920.0	2.504796972893114	y
BA2948	19.24137931034483	8909130020.0	2.1597371760374005	n
BA2951	28.86206896551724	7223086360.0	3.9958083742912964	y
BA2952	46.0	8901558820.0	5.167634223417961	y
BA2955	42.62068965517241	4942944860.0	8.622529860705832	y
BA2972	75.34482758620689	10192724500.0	7.392020414777903	y
BA2976	94.79310344827586	8134305200.0	11.653497270827245	y
BA2992	28.89655172413793	9313760400.0	3.1025655034177095	y
BA3010	50.241379310344826	6930773640.0	7.249029029080342	y
BA3013	21.379310344827587	7348316640.0	2.9094160461800116	n
BA3023	13.96551724137931	6346827200.0	2.200393488163552	n
BA3040	37.3448275862069	6065394020.0	6.157032414228366	y
BA3043	65.51724137931035	6529792220.0	10.033587466786248	n
BA3067	12.827586206896552	8305370640.0	1.544492926675281	y
BA2303	50.206896551724135	8514264360.0	5.896797941533981	y
BA2590	44.89655172413793	9138029180.0	4.913154777662674	y
BA3078	87.89655172413794	12930846174.0	6.797432321240599	y
BA3084	80.62068965517241	7536665780.0	10.697129474563539	y
BA3094	46.206896551724135	12405219960.0	3.7247946187746708	y
BA3095	37.41379310344828	9686832260.0	3.8623351885571187	y
BA3098	33.689655172413794	7679781060.0	4.386798908615475	y
BA3108	47.41379310344828	9072296660.0	5.226217228157559	n
BA3116	23.689655172413797	8673759640.0	2.731186493013518	n
BA3117	44.41379310344828	12552316206.0	3.538294636189814	y
BA3118	34.206896551724135	8683805060.0	3.9391598861759958	y
BA3119	59.55172413793103	10819947162.0	5.503883082449661	y
BA3130	81.89655172413794	9036583920.0	9.062777754200056	y
BA3133	55.72413793103448	8504459320.0	6.552343404123012	y
BA3135	10.689655172413794	8084012720.0	1.3223204295519457	y
BA3137	64.34482758620689	8449282240.0	7.615419364450878	y
BA3142	49.27586206896552	11267704420.0	4.373194417622602	y
BA3146	43.241379310344826	8414149380.0	5.139126649347034	y
BA3149	59.93103448275862	8684668020.0	6.9007858843588386	n
BA3154	23.0	9394752360.0	2.4481752278992484	y
BA3158	33.13793103448276	7963118940.0	4.161426105043555	y
BA3162	90.0	8331035440.0	10.802978891180903	y
BA3167	94.75862068965516	6552646380.0	14.461122299972972	y
BA3169	24.620689655172413	7659302000.0	3.214482162365763	y
BA3177	60.93103448275862	12198101608.0	4.99512435958048	y
BA3180	38.172413793103445	8947255520.0	4.266382435125028	n
BA3181	68.6896551724138	7815738700.0	8.788632502825843	y
BA3185	21.379310344827587	11798494864.0	1.812037093821257	y
BA3191	40.0	7673257200.0	5.212910105502524	y
BA3199	66.37931034482759	12334715122.0	5.381503317124407	y
BA3200	78.20689655172414	8634397800.0	9.05759710905654	y
BA3203	14.655172413793103	9370573100.0	1.5639568954211671	y
BA3206	47.72413793103448	9269706180.0	5.14839812657735	y
BA3208	31.379310344827587	7852002200.0	3.996345078052524	y
BA3216	19.103448275862068	8260288680.0	2.312685308700624	y
BA3217	30.724137931034484	9361310840.0	3.2820337296944713	y
BA3219	146.13793103448276	11373748120.0	12.848704709532706	y
BA3227	64.93103448275862	8628494140.0	7.525187295631474	y
BA3229	82.72413793103448	12601408588.0	6.564673889695994	y
BA3230	40.55172413793103	8115898980.0	4.996578227237992	y
BA3232	81.62068965517241	7421623860.0	10.997686112210543	y
BA3240	36.75862068965517	10888276568.0	3.3759815394188806	y
BA3243	15.310344827586206	8929424000.0	1.7145948974520873	y
BA3245	21.379310344827587	9354306920.0	2.2855044769931054	y
BA3250	53.44827586206897	11086939920.0	4.820832100447512	y
BA3258	110.13793103448276	11536125156.0	9.547220539402646	y
BA3266	138.48275862068965	11950065948.0	11.588451413012205	y
BA3270	117.06896551724138	12960972326.0	9.032421532325813	y
BA3277	23.517241379310345	8901401880.0	2.641970522884688	y
BA3289	52.10344827586207	6844100060.0	7.612899843527721	y
BA3296	191.86206896551724	11506658452.0	16.6740039921989	y
BA3302	44.89655172413793	13339228840.0	3.3657531677924144	y
BA3310	31.0	8566527900.0	3.618735660686986	y
BA3311	252.27586206896552	13063373120.0	19.31169382911766	y
BA3332	31.0	12692437546.0	2.4423992544891107	y
BA3335	27.79310344827586	11066648164.0	2.511429209314462	y
BA3347	97.75862068965516	8843945040.0	11.053734532214502	y
BA3351	52.41379310344828	12224468310.0	4.28761331571142	y
BA3357	45.96551724137931	12339343754.0	3.72511846316615	y
BA3369	67.10344827586206	12641417460.0	5.308221842067232	y
BA3373	42.689655172413794	11854531614.0	3.6011254229562337	y
BA3374	13.10344827586207	5072798920.0	2.5830805601618585	y
BA3376	59.37931034482759	9067227400.0	6.548783627597957	y
BA3385	46.55172413793103	8005593960.0	5.8148994778559855	y
BA3386	73.72413793103448	12310391800.0	5.9887726669296155	y
BA3405	96.6206896551724	9354164260.0	10.329163244261053	n
BA3410	27.79310344827586	9109860060.0	3.0508814916171016	n
BA3413	21.379310344827587	8908069800.0	2.3999935816429714	n
BA3415	54.03448275862069	12151638924.0	4.446682714699521	y
BA3416	20.310344827586206	8157286620.0	2.4898407734980634	y
BA3421	48.75862068965517	7402556140.0	6.586727579975525	y
BA3430	24.58620689655172	5793403560.0	4.24382776755012	n
BA3433	21.724137931034484	8738210180.0	2.486108423067764	y
BA3435	45.62068965517241	9495128160.0	4.804641800134735	n
BA3438	31.20689655172414	9745327480.0	3.2022419580839103	y
BA3448	44.62068965517241	7774888940.0	5.7390774324259874	y
BA3450	11.758620689655173	9835947800.0	1.1954740843231368	n
BA3451	73.34482758620689	9101450680.0	8.05858650065298	y
BA2472	27.310344827586206	7895416060.0	3.459012751202146	y
BA2386	42.96551724137931	9399235020.0	4.571171712374026	y
BA2856	22.17241379310345	6912981320.0	3.207359135913801	n
