ID Sample	Abundance	TotalKmers	NormalizedExpression	analysisDrug
BA2532	103.89655172413794	7460805800.0	13.9256475117122	y
BA2242	580.4827586206897	11212041120.0	51.77315641352997	y
BA2036	166.33333333333334	7970342380.0	20.869032395736724	y
BA2386	114.65517241379312	9399235020.0	12.198351479649789	y
BA3289	119.44827586206895	6844100060.0	17.45273663665124	y
BA3422	135.27586206896552	12464789536.0	10.85263908213376	y
BA2087	13.89655172413793	5578304760.0	2.4911782919759173	y
BA2134	24.13793103448276	5670167440.0	4.257004980876325	y
BA2276	23.517241379310345	6675530260.0	3.5229023708013787	n
BA2420	16.896551724137932	5989376400.0	2.8210869706131563	n
BA2662	11.758620689655173	8914914400.0	1.3189830167808647	y
BA2905	35.27586206896552	6623608740.0	5.325776846680942	n
BA3095	23.517241379310345	9686832260.0	2.4277535470930456	y
BA3177	69.44827586206897	12198101608.0	5.6933675496293645	y
BA3412	38.03448275862069	12857542880.0	2.958145511440106	y
BA2621	46.142857142857146	9022035260.0	5.114462071261862	y
BA3347	199.55172413793105	8843945040.0	22.563654934012465	y
BA3433	31.82758620689655	8738210180.0	3.6423461499865817	y
BA2068	11.758620689655173	7467501300.0	1.574639255791649	y
BA3078	53.13793103448276	12930846174.0	4.109393176552281	y
BA2561	15.551724137931034	7004248020.0	2.220327448931632	n
BA3130	47.6551724137931	9036583920.0	5.2735826763387275	y
BA3116	41.172413793103445	8673759640.0	4.746778271700349	n
BA3199	62.206896551724135	12334715122.0	5.04323739433373	y
BA3185	30.89655172413793	11798494864.0	2.6186858646191067	y
BA2497	118.25925925925924	5429622940.0	21.78038154142233	y
BA2594	61.44827586206897	5786195520.0	10.619806339013751	y
BA2909	50.03448275862069	6033548360.0	8.292712641590676	y
BA2031	54.689655172413794	6572317360.0	8.321213382856758	y
BA2455	81.86206896551724	6313853700.0	12.965468136443713	n
BA2995	35.27586206896552	8150876300.0	4.327861296210019	y
BA3079	63.58620689655172	7646813160.0	8.31538649710538	y
BA3230	77.55172413793103	8115898980.0	9.555530980491705	y
BA3332	64.93103448275862	12692437546.0	5.115726135932142	y
BA2087	44.96551724137931	5578304760.0	8.060785341778155	y
BA2134	105.0	5670167440.0	18.517971666812013	y
BA2276	91.20689655172414	6675530260.0	13.662869165351388	n
BA2420	42.93103448275862	5989376400.0	7.167863833496693	n
BA2662	91.3793103448276	8914914400.0	10.250161274103496	y
BA2744	12.862068965517242	3358283180.0	3.8299536626679713	y
BA2905	18.17241379310345	6623608740.0	2.743582011926545	n
