	GATA2	NPM1
BA2392	7.41600983782201	9.6874475749889
BA2611	7.34547705030654	9.60929418124753
BA2506	7.41107466475047	9.61949185438657
BA2430	7.37299295258264	9.61949185438657
BA2448	7.42721767032965	9.61438474364243
BA2730	7.37967634115988	9.62461563502098
BA2845	7.31758513982701	9.57909169555586
BA2326	7.3445927403943	9.58408544068247
BA2341	7.3614587281193	9.58909503454725
BA2612	7.32489473499785	9.55927298456459
BA2973	7.31665510949842	9.56915130536806
BA2390	7.3634906067475	9.55927298456459
BA3218	7.31484141146978	9.56420444046175
BA3105	7.26503778677364	9.53000194332933
BA3402	7.27805701193436	9.53484314535953
BA3276	7.29968056370735	9.51556606369543
BA2409	4.08953411027778	7.88494695067266
BA3037	9.22687989289351	9.1755941413251
BA2496	4.22136650202706	8.3156761580726
BA2172	7.72672331348077	9.2592593958878
BA2865	10.0543370402648	9.53484314535953
BA2923	-0.905814060314707	6.98208266015901
BA2751	6.91069984449294	9.13897207935234
BA2480	8.44966638628301	8.38563253120242
BA2286	6.84098754890722	9.51078302100883
BA2922	6.95344802847081	9.78674968596522
BA2452	7.2808607611199	9.33027676031699
BA3379	6.11039522609915	9.31328611186612
BA2887	5.05929023106165	9.06304565250042
BA2712	2.26275670492429	7.82549928808227
BA2068	8.95777690896205	8.67821802831458
BA2236	8.58457840504288	8.75995195431454
BA2104	0.732935262992316	6.91599118004167
BA3124	5.77221027466017	8.84307877151568
BA3395	7.45571345371651	8.58457840504288
BA2921	7.41497012248878	9.00605305286098
BA2449	5.21327609576147	9.52036350053221
BA2003	7.37771038448057	9.04501990946176
BA2360	8.58992566833602	9.4000752436972
BA2802	7.40900238551148	7.15633759792086
BA2235	6.83214250556656	8.83362186336888
BA2858	4.24617468927424	8.91420804405317
BA3038	6.41227021268222	7.73462168625585
BA3006	7.99915514777274	9.15245565249128
BA2245	7.66369633945432	9.0307417478067
BA2667	6.50152491798344	9.13720994130471
BA2239	4.89696755761679	8.17428733914348
BA2782	5.97890641593254	7.59101188148724
BA2649	7.15798365655759	9.2429894144776
BA2488	8.16840116234166	7.91111348596979
BA2861	7.44839655086442	9.11460476788528
BA2909	7.51630069461518	7.83704881770087
BA2429	6.13853683580785	8.66493693752935
BA2653	8.67721676583393	8.41556616709075
BA2134	5.66361114365051	8.30037965468589
BA2947	8.5971359914493	9.91920628125652
BA2032	9.91143332054624	9.3735473533766
BA2162	9.31751716888528	8.85577669200061
BA2564	4.70523791699629	8.74800571415782
BA2597	9.36650856672567	8.13547459853116
BA3243	9.58909503454725	8.84307877151568
BA2106	7.01200936090574	9.54945587390153
BA2427	4.33903266779967	8.91090509269608
BA2841	5.94099029232779	9.13342062895717
BA2446	2.31812232252383	8.33784249776874
BA2645	9.64008823387741	8.42798766039968
BA2525	5.24865361107735	8.34456564828853
BA2876	5.79758031043752	8.61151153389318
BA2357	5.50571962151203	8.95777690896205
BA2546	3.0112376490771	8.0301567645062
BA2742	3.66797907398221	7.87584460904621
