	GATA2	NPM1
BA2316	3.22495437973645	8.22855584188171
BA2421	2.45065051871032	8.28526081080175
BA2087	2.55585093682386	9.10147698629206
BA2910	10.2053241381792	9.22287720595147
BA2148	8.16059641320183	7.95609226155088
BA2063	3.02935460711532	8.34232080533324
BA2329	7.2245944685398	8.3972661940189
BA3178	-0.106092733460167	8.76897254396233
BA2072	5.14543140849029	8.41135949860071
BA3029	8.92748837970555	8.78717245605116
BA2733	5.32125964978542	8.96458579397726
BA2995	1.87147539953468	8.45209623715645
BA2069	1.06756511195893	8.46185834013681
BA2100	6.69027313849037	8.70690950167434
BA2681	7.58759859001841	9.52517542791568
BA2248	6.88553914900191	9.19906475607931
BA2832	8.69249597847146	8.18813169577028
BA2308	7.87732006412967	9.48708042008341
BA2413	7.29077391107671	9.4045391740165
BA2701	5.76256437697443	8.7361512573159
BA2634	6.61275930528802	8.22240857358487
BA2677	7.25790347094091	8.79635277497105
BA2937	8.40664550150058	8.25344779136567
BA2600	6.59949061589029	9.2429894144776
BA2019	9.64527993925034	8.12986534537924
BA2412	6.57041549701901	6.82309107200081
BA2334	7.64511152399424	8.94087956106744
BA2050	7.30591810989836	9.34744684153524
BA3230	7.22951525991334	8.78108213178214
BA2953	5.74281190993701	9.69817061599593
BA2481	6.26652649814407	8.58191208164573
BA2731	4.76216052725516	8.46185834013681
BA2294	7.90950778255697	9.25517667754352
BA2418	7.77713213848426	9.1410080593907
BA2816	1.63244056607344	9.14863087419242
BA2656	8.15865294170913	8.93082572022568
BA2814	5.88643954120856	7.63755645913212
BA2631	8.0760787079227	9.3561004357089
BA2023	-0.126036792393191	8.3311533449718
BA2375	7.68273154484305	8.84941498844258
BA2485	9.30657970599922	8.78899864293157
BA2455	4.2507446186302	8.3156761580726
BA2025	2.32043052645812	8.56338303703764
BA2636	9.22287720595147	9.10713869224013
BA2325	4.5269559134182	7.29687122589928
BA2169	7.0623479587219	8.51934782702254
BA2156	8.22650342209935	9.48238177689826
BA2511	7.6112304020112	8.46430959418229
BA2939	8.22855584188171	9.41350421836705
BA2168	7.27636680044251	9.20300948929151
BA2505	7.27462693268534	9.09230819306279
BA2860	8.5529001392332	8.97485330936457
BA2707	6.27202284935672	9.12210512882866
BA2871	3.03505636097059	8.66689198102969
BA2655	5.94796425199258	9.36916799017741
BA2227	7.50002964161751	9.42251934116338
BA2125	6.27380663380772	7.76334677298606
BA2523	6.52219766315803	9.33455230246716
BA2603	7.93187727167438	8.99558616821901
BA2808	8.47415784691615	8.70112769787832
BA2282	2.39603844730184	7.26503778677364
BA2482	8.45696872743274	9.04501990946176
BA2812	2.68530372380301	8.81487669872437
BA2822	6.10829331712153	7.14998539597838
BA2594	4.34871319583887	8.42798766039968
BA2747	8.01284698319857	9.35176787188011
BA2561	0.106733079748621	9.09970659968869
BA2567	3.87651804611081	7.54085820588458
BA2906	2.27825644198579	8.80250309714617
BA2956	3.23073632692797	8.11104544817006
BA2474	8.0044307958278	9.08127310626888
BA2737	0.583388534420479	8.02685700006077
BA2110	4.92630002359127	7.71347289714959
BA2992	3.78491798790536	9.18338030789918
BA2220	9.160132157513	9.00955709168753
BA2772	8.79942491234482	9.42251934116338
BA2935	6.05993013058661	8.55029123602985
BA2260	4.49346190383121	8.75098362594822
BA2676	5.78078023650693	8.7361512573159
BA2948	8.35358316301659	7.55189787670547
BA2524	4.83023871763674	9.2592593958878
BA2811	8.47663077360064	8.83676787171411
BA2540	4.68836796933157	8.86857724833819
BA2928	4.17753260382741	8.7214605815193
BA2302	7.19225834495813	9.38234175781362
BA2595	5.88961440143981	9.09230819306279
BA2792	7.17761745050204	8.66689198102969
BA2651	6.92432887364054	9.17948259034573
BA2619	9.4917929010063	7.88191833711993
BA3013	5.87965665517008	9.54457000922792
BA2405	7.40510623344956	9.64008823387741
BA2735	8.43517613550052	9.08494318011795
BA2856	8.63894476137773	7.56206988956539
BA2377	2.36843137715683	8.74389874448259
BA2499	7.8503248353151	9.66095938066438
BA2463	2.17929512084737	8.4179334910987
BA3023	7.81686981561798	9.17948259034573
BA2095	8.05288390011611	9.13342062895717
BA2901	6.08192723673296	8.51425498508966
BA2275	6.35757561884313	6.9401836518602
BA2387	7.77444024847	8.68106286594684
BA2962	6.61649602743193	9.73079295605488
BA2195	8.31347995218337	8.69249597847146
BA2688	7.560948520145	8.77262692606308
BA2787	3.12103519528401	6.35352478320916
BA2420	6.08362235286883	9.09970659968869
BA2756	5.8081471591439	9.56420444046175
BA2122	4.82431105237604	7.70840071464408
BA2053	7.02841397070837	9.16784487350203
BA2080	5.89999571306857	8.92748837970555
BA2081	5.76181699229763	9.00255657247606
BA2354	5.88722354181861	9.30238239860393
BA3273	1.71633530219167	7.24904224136933
BA2893	8.07971165578759	9.50601427714714
BA2044	4.90950444103544	8.43758065182973
BA2489	5.30096102579671	9.15628939970288
BA2309	8.01457218763256	9.05942450247106
BA2720	7.5552619353094	7.7605970351598
BA2908	8.34151708484093	9.83621907237271
BA2054	5.69876878834828	8.54508752883457
BA2872	6.13505858445244	8.00271116464237
BA2526	8.34681429629083	9.09600320401444
BA2041	7.08598210070988	9.02011485988608
BA2464	7.31579076602089	9.07395764638915
BA2902	7.50436087643108	8.82734862624236
BA2541	7.65276972214058	9.18338030789918
BA2143	6.08318959151969	7.22867709025789
BA2094	-1.9002011047749	7.79956921933088
BA2769	7.3370513303313	8.904319577833
BA2843	5.51382815263466	8.88148184246882
BA2592	5.87139334737162	9.57909169555586
BA2497	-0.200351841889843	8.09067732991193
BA2718	9.71984209806913	8.61151153389318
BA2575	5.35965803846691	7.3614587281193
BA2096	6.33465501524617	9.4000752436972
BA2593	6.50598160592548	10.3090915070605
BA2791	7.2245944685398	9.14481502348153
BA2620	6.6396645832219	8.61695773628636
BA2629	6.5105672693692	9.4000752436972
BA2870	1.06894896681523	9.26745559419095
BA2423	3.54497964521433	7.73861349646242
BA2682	7.53511002571526	9.14863087419242
BA2276	6.88553914900191	8.91090509269608
BA2348	4.47099076274074	7.52987979374564
BA2709	4.71407158331364	8.81177412986094
BA2789	8.85577669200061	9.36480042798147
BA2694	7.01613705435711	8.92748837970555
BA2538	6.04021038079235	8.40429460371975
BA2583	5.53534040119425	9.44070228005406
BA2415	3.41140290286834	7.67493502317828
BA2722	7.49794707202402	7.0623479587219
BA2806	7.96744532914178	9.01306871894599
BA2221	2.52007957747602	7.99413751864958
BA3025	9.53969913371194	9.2389471182711
BA2514	5.72754939375197	8.62153057515291
BA2520	2.91242066204713	9.08127310626888
BA2441	7.28268371584317	7.40108920011618
BA2153	5.7983454299058	9.57909169555586
BA2479	4.7941665840707	8.22832881693221
BA2281	7.82261702082019	9.01658796485945
BA2657	9.2429894144776	8.33560901482561
BA2932	7.63041516939983	9.12210512882866
BA2123	7.50105244518025	9.57909169555586
BA2844	4.95919380929034	9.22687989289351
BA2660	7.34370807957505	9.06304565250042
BA2836	6.93954050250455	8.74800571415782
BA3027	4.29639716866503	7.63041516939983
BA2714	7.06807720975175	8.89122942781574
BA2139	1.76917277909169	6.80299244523417
BA2251	10.3660086756332	8.32671267592458
BA2952	6.43493754543007	8.16254296358662
BA2440	5.98220791058853	8.39493145233583
BA2036	9.97467175015227	8.75695672842528
BA2828	7.70840071464408	8.09804401257278
BA2292	7.06020993945392	8.98173476670244
BA2410	7.93187727167438	9.34313727945847
BA2051	4.75937775414095	7.46363654414575
BA2532	7.83554388846121	7.45571345371651
BA2986	5.50315192004078	8.95099667095566
BA2494	9.8991027074875	8.39027400222105
BA2515	4.95086713745968	8.66407371953991
BA2748	7.63278489020753	9.33883912107995
BA2970	5.95193817538216	8.8589671548512
BA2622	4.99389750199927	8.65006116973985
BA2839	6.50494854074967	8.72438748273975
BA2052	4.39995076697618	9.10713869224013
BA3011	7.33163994376767	8.50277388292747
BA2868	9.1872873383188	9.00255657247606
BA2510	0.277265117709438	9.01658796485945
BA2065	8.15477520582082	9.20696376307392
BA2691	2.91665615356007	8.11104544817006
BA2374	6.50348265468803	8.21222936163239
BA2804	5.14161615451425	8.8879736022598
BA2670	5.72023465218825	7.93824432889201
BA2675	8.26396477173174	9.08494318011795
BA2589	9.2592593958878	8.38563253120242
BA2031	4.02452335153635	8.87824586229709
BA2198	6.44613094518311	9.39118419839355
BA2066	4.44555299237497	8.28097335559112
BA2344	7.58759859001841	9.57411368730524
BA2459	6.76898394569665	9.38404554334867
BA2229	6.60156923670466	8.53473617000875
BA2559	6.88867708372879	8.68391306436784
BA2093	9.38234175781362	9.23491479941431
BA2000	7.13121480456278	8.08701091285537
BA2425	9.81131500696184	8.47600328572046
BA2905	7.50647222464875	9.22687989289351
BA2304	-0.0150693070758923	7.16215175411855
BA2976	6.37878971540536	8.65285322774346
BA2386	9.44987135785787	9.09970659968869
BA2035	9.13342062895717	9.33455230246716
BA2760	5.61668949030342	8.29820901257083
BA2201	6.36792449266188	8.89776108628452
BA2355	5.32233498083344	8.59260663428802
BA2113	6.40170617544637	8.50026123971081
BA2155	10.332335723606	8.99906762077278
BA2955	3.4170840126625	8.07971165578759
BA2502	5.81083073745061	8.05457002396872
BA2322	7.08974258985974	8.93082572022568
BA2376	3.41561286956515	6.97993778438247
BA2020	7.53405377993628	9.15245565249128
BA2226	7.24647814947882	8.81487669872437
BA2200	8.3603866090308	9.30065851731011
BA2121	5.70530146482159	8.92748837970555
BA2944	8.14513423086413	9.90525526471174
BA2033	6.26705656087935	7.17761745050204
BA2867	6.47866220517702	8.66126072825912
BA2089	3.08537081267169	7.65513327960109
BA2224	7.33529770605395	8.38331776349613
BA2046	7.13433489569232	9.3217592552912
BA2972	6.63915578339387	9.160132157513
BA2978	5.22173396238009	7.85205086731265
BA2829	7.55977224878375	8.79635277497105
BA2851	6.59041781660964	8.5529001392332
BA2587	5.15207050393233	8.72438748273975
BA2461	4.04229195612943	7.94314055717551
BA2695	6.21316864027758	7.68652733200955
BA2623	6.63383351459938	9.57411368730524
BA2024	5.51691886633525	7.58759859001841
BA2426	6.73745939965324	8.88148184246882
BA2271	5.03254935299147	7.95452812467512
BA3004	8.19012213724112	8.57129520837751
BA2579	3.94179623964938	7.85633367820174
BA3010	5.94914872700359	9.00605305286098
BA2662	5.1312402648846	8.34232080533324
BA2674	6.6396645832219	9.15245565249128
BA2280	7.74536502725477	8.50160207030541
BA2512	2.27310977570549	6.81629782268832
BA2658	3.01238141071871	9.070312190258
BA2394	10.3745587770136	8.21222936163239
BA2950	6.08318959151969	9.49651930986164
BA2981	5.21743147503023	8.63894476137773
BA2934	3.23073632692797	7.22625304922136
BA2539	4.34458492733121	7.8925772722697
BA2249	7.23036606098158	8.63894476137773
BA2034	7.78401208165605	8.94268168369866
BA2109	5.25385282871793	7.61245153291675
BA2242	8.1981158996604	8.12041880838799
BA2277	7.17358455839536	8.68676863894814
BA2727	8.29820901257083	9.83304132704525
BA2132	8.1336646480907	8.672544374331
BA2618	5.7443340618491	8.61151153389318
BA2521	7.6685963483501	8.672544374331
BA2846	6.97731252665637	9.1755941413251
BA2885	0.499201192837283	8.02142525655183
BA2639	7.23126576681474	9.04860912314158
BA2775	8.75396729152058	8.84941498844258
BA2402	7.41497012248878	9.26335235036244
BA2097	6.65845499115322	9.44070228005406
BA2786	4.91685437213902	9.34313727945847
BA2399	7.90654028957083	9.44070228005406
BA2850	7.30676049708217	8.91090509269608
BA2174	6.39165195051498	8.34232080533324
BA2004	7.10612705087253	7.48933909555342
BA3001	9.11460476788528	9.69817061599593
BA2311	4.44334512113552	7.93028682049466
BA2483	7.94314055717551	8.48343527695382
BA3040	6.93954050250455	9.00605305286098
BA2837	7.37675245327076	9.37793858616158
BA2724	5.71100608100859	8.5607551950315
BA2911	7.95452812467512	9.35176787188011
BA2256	7.39540604135448	9.43613726309062
BA2821	5.09181307158236	9.69817061599593
BA2233	7.00565090016862	9.19906475607931
BA2744	8.99906762077278	9.34313727945847
BA2880	4.91721018578494	8.34906675857089
BA2621	4.85056186804303	8.28097335559112
BA3002	7.08521741719084	8.42744390017979
BA2501	7.1646982323911	8.48407580140491
BA2993	7.77161485169371	8.84624370479657
BA2301	4.78361272995645	8.06147774301482
BA2852	5.70872171926613	8.29820901257083
BA2133	5.82429929461363	7.83554388846121
BA2866	6.19563315556883	9.19906475607931
BA2212	5.48915482766383	9.33455230246716
BA2685	7.281719536851	9.39562360946183
BA2273	7.99573716734119	8.83362186336888
BA2477	7.05292631391108	9.29229417829056
BA2659	6.8446685918264	8.45453034732936
BA2124	7.65513327960109	9.49819442110274
BA2363	7.42090370210596	8.84941498844258
BA2369	6.59569193185131	8.79328666582968
BA2534	9.27156918109996	9.0271917203024
BA2400	7.14383843051354	9.46836798648192
BA2762	7.08227901596389	8.96117775713075
BA2312	7.25176192852259	8.79635277497105
BA2813	7.19643196455649	9.54457000922792
BA2211	9.02190186898869	9.17734760232419
BA2171	7.29431703031285	9.17171491689544
BA2746	4.79767961716109	7.89401548128851
BA2798	7.96422079504262	9.67679810675791
BA2809	6.5550219238791	9.1872873383188
BA2288	4.72003247702049	8.55505298542423
BA2801	6.06971777989566	8.32449794408229
BA3030	5.4066422207313	8.66873090783595
BA2588	8.07245680901417	9.44070228005406
BA2296	6.47426873472503	9.28397254525379
BA2300	5.79874599985332	8.69249597847146
BA2903	5.63551782963557	6.47376016789819
BA2473	7.36910502551481	9.13518361120238
BA2545	4.92380795044112	8.25764420926654
BA2840	9.59577094815016	8.5971359914493
BA2528	6.5518017021576	9.14863087419242
BA2646	7.49256176412129	8.84941498844258
BA3407	4.81902834400603	8.40429460371975
BA2240	7.72809482559201	8.25554427681065
BA2926	6.5851771545889	9.48238177689826
BA2272	5.95076318092024	8.26607857536642
BA2306	5.04444275985059	8.87501645157825
BA2765	6.08707291217101	7.08068398565122
BA2904	10.1753003572988	8.52958832512444
BA2883	8.31787605128572	9.05581138653334
BA2726	-0.238630282752338	6.49846429425474
BA2234	1.05164008757557	7.19816924570359
BA2022	7.70330320958059	8.91751782379931
BA2228	5.23174307005196	8.48906113697349
BA2037	8.24717893447311	9.49651930986164
BA2184	8.42083657982967	9.2592593958878
BA3009	7.23636521102564	9.06304565250042
BA2842	4.40802912825966	7.37484847247432
BA2442	7.74132890165977	8.86536741111737
BA2882	3.77959301841516	7.69790613813162
BA2758	4.26323917922153	8.01121552663761
BA2705	7.8210975174081	8.4594113881339
BA2663	4.20873434593167	7.58640399756741
BA2570	5.80572775335192	9.070312190258
BA2764	5.04210102667198	7.86519796261888
BA2209	5.44603871114775	8.23267071257109
BA2989	8.20818067427413	8.87824586229709
BA2855	4.36015860511768	7.70582137825133
BA2261	7.86519796261888	7.49565796423242
BA2721	6.26118056372206	8.41608983118813
BA2930	5.53979697945933	7.75371580805874
BA2728	7.28525840993051	7.74132890165977
BA2715	6.91854859965898	7.71215406681609
BA2469	5.74011278993299	7.96260346447077
BA2269	4.62036406268975	7.15633759792086
BA2098	3.75076608161682	8.09251475928632
BA2778	2.42732071858121	6.98621603600523
BA2951	8.46922505155083	9.78674968596522
BA2163	7.42519569680361	7.09568366825665
BA2379	5.86210066626784	7.31397253852267
BA2817	1.83042814261167	7.86671215518685
BA3153	8.08335570616425	7.92699657991781
BA2820	5.64240286737973	8.20414503388581
BA2723	5.69915968973013	8.22445433533228
BA2704	8.11104544817006	9.23491479941431
BA2088	4.65333014368695	8.3972661940189
BA2116	6.94294359338222	6.78491577385659
BA2584	2.24349372699526	7.87430709609213
BA3079	6.6100656847185	8.24717893447311
BA2417	3.06113870744397	8.47910806756512
BA2361	4.6932849776624	8.09067732991193
BA2450	8.38100696139026	8.75995195431454
BA2492	3.31109043996003	7.35202275514424
BA2552	7.65148276489013	9.4270458724936
BA2472	5.32411225603459	8.04060780611373
BA2994	8.22036612888066	9.04501990946176
BA2047	7.77846043065093	8.54249270039127
BA2101	4.65120922776301	8.5117153749805
BA2082	3.90728684369565	8.97829037472744
BA2879	6.69192414230504	7.48057619109315
BA2577	7.03196402344294	9.4000752436972
BA2456	2.29791028651136	8.22445433533228
BA2175	6.38261014012489	6.84399982384708
BA2824	8.75098362594822	8.58457840504288
BA2507	6.80545390529169	9.15245565249128
BA2563	7.98067391429632	9.21888429779212
BA2244	5.8045076557668	8.44966638628301
BA2470	7.75780436658957	8.66407371953991
BA2984	8.00780085925266	8.74503353869987
BA2414	6.95751613947387	9.11835064360706
BA2697	4.59081785984696	7.00782899353321
BA2079	3.85600991616853	6.63915578339387
BA2999	6.90096747490557	8.59529250724368
BA2644	6.78194925141946	8.30909856685695
BA2011	6.37975842200095	8.00619097456886
BA2217	8.48656626341456	9.35176787188011
BA2454	10.5981160524102	9.13720994130471
BA2776	8.24717893447311	9.1872873383188
BA2218	8.42321613548815	9.47302564786274
BA2135	5.36438724591077	9.53000194332933
BA2914	7.92045916247849	7.96905854853838
BA2500	6.70193954968785	7.68775219309565
BA2830	6.92050118830241	9.79819104218496
BA2406	3.72560586066794	8.13176351189552
BA3108	8.20616122712402	9.44528028465592
BA2924	7.50647222464875	8.76595984417136
BA2303	5.34973720544744	7.93352218493006
BA2160	8.32893113987774	8.82110029202306
BA2038	4.95577043792796	8.40194775982719
BA2602	4.40656431480039	8.32893113987774
BA2964	4.68133985426918	7.878761730409
BA2898	4.78153410225228	7.94635895319707
BA3003	5.33137556428865	7.88191833711993
BA2111	5.55851041668359	8.01457218763256
BA2827	4.82742292972687	8.18020169656618
BA2912	3.99833496825788	8.18217944661747
BA2437	5.35593989387114	8.21832699326225
BA2283	4.81337176305461	7.92868137841977
BA2057	4.51939484788158	7.89563066633541
BA2633	5.16960938829634	8.3603866090308
BA3034	5.28256921751163	7.97720455656684
BA2607	4.60223859726182	8.18813169577028
BA2761	4.68309897358403	8.40194775982719
BA2795	4.53769799161138	8.00271116464237
BA2182	4.89591757187592	8.19411260375688
BA2152	4.38228741422543	7.89401548128851
BA2381	7.06885426902192	9.55927298456459
BA2931	4.47827685062553	8.34456564828853
BA2040	3.26599227921617	7.72277870826456
BA2590	7.19738153999511	9.34744684153524
BA3195	7.02200264661639	9.4045391740165
BA2516	6.44710159988793	9.40177461105289
BA2353	6.91854859965898	9.62461563502098
BA3036	8.34456564828853	9.44070228005406
BA2971	8.50093062457148	8.05801802157941
BA3410	6.10703701818297	7.99739906746641
BA3118	5.98917879350321	8.8525926437112
BA3206	6.34190143280827	9.09600320401444
BA3202	4.49454936710229	8.84307877151568
BA3217	7.89401548128851	9.33455230246716
BA3405	6.63486341869675	7.61245153291675
BA3306	7.51299557490928	9.27982760161886
BA3371	5.36365751969834	8.91420804405317
BA3413	7.63278489020753	9.33027676031699
BA3411	5.03642055076695	8.88148184246882
BA3133	8.97142354261209	7.55977224878375
BA3164	8.5555137585582	8.77804587995587
BA3451	3.32501250452144	7.44242521067177
BA3286	5.84234806468241	8.50412364911741
BA3212	10.1019627568373	7.50105244518025
BA3103	5.06069232646451	8.7420670822246
BA3271	6.05279557201734	8.92748837970555
BA3152	3.24991105964122	7.13359161213086
BA3095	8.09989277486394	8.61695773628636
BA3192	6.97318609681243	9.4000752436972
BA3251	7.03918975972709	8.7420670822246
BA3362	0.433070764286167	7.81686981561798
BA3400	8.33337930026134	8.15477520582082
BA3135	7.08899874190146	9.25517667754352
BA3408	3.38554683036159	8.42321613548815
BA3187	5.11433165880832	8.65006116973985
BA3098	7.02978091514104	8.77804587995587
BA3435	7.93658206656699	9.4000752436972
BA3261	4.68906744298486	9.06667487040862
BA3203	6.52375465899181	7.19738153999511
BA3174	4.59438606664195	7.89563066633541
BA3317	8.17625565039323	9.90525526471174
BA3299	5.26710389157619	8.268195867683
BA3221	2.71814995189887	7.54085820588458
BA3347	1.4977254366136	7.9003747386446
BA3235	4.24655068383766	6.9965338713589
BA3126	2.64402051124596	7.65148276489013
BA3380	7.18812871773308	9.05220627117217
BA3089	8.04934885751887	9.4917929010063
BA3109	5.95395062623658	7.91267481802265
BA3114	7.18398636132438	8.27456876079558
BA3418	7.28800386009291	9.1755941413251
BA3245	6.84839040918598	6.72876764999848
BA3085	7.11517726354172	9.2109276242084
BA3128	7.30861526987379	9.4045391740165
BA3423	7.7605970351598	9.59916222255831
BA3173	6.07221564365928	9.26335235036244
BA3171	7.37675245327076	7.55754763062472
BA3277	7.2179085684236	8.79022656584331
BA3210	6.4915209071939	8.24301678047805
BA3157	6.68070832768596	10.1099887487995
BA3433	8.30037965468589	8.7214605815193
BA3322	4.34569920053779	8.25554427681065
BA3374	-0.177808519803868	8.92415796681604
BA3450	6.77720928573593	8.63894476137773
BA3167	0.719254707053097	9.04501990946176
BA3269	6.76898394569665	7.80392510487274
BA3110	2.87198103535148	9.20870997646767
BA3156	7.83704881770087	9.73079295605488
BA3226	8.14705635633251	9.55927298456459
BA3421	6.54456958822718	8.25344779136567
BA3232	8.15477520582082	9.03786515454843
BA3289	4.99494706061389	7.61833712147791
BA3430	3.64521772451027	7.74666982029682
BA3145	8.20818067427413	8.61695773628636
BA3399	6.40074858834192	7.84567146798846
BA3449	8.79635277497105	9.45447558148811
BA3384	7.68652733200955	8.824221356442
BA3427	7.88494695067266	7.21134659078952
BA3163	2.07381903278467	7.08148396341999
BA3158	7.96744532914178	9.2592593958878
BA3436	10.4540502805812	9.67679810675791
BA3154	0.601632895281666	7.76749698582267
BA3162	6.46633469347968	8.60337970015667
BA3352	7.01472936087095	9.67313133431446
BA3084	4.77031077404719	8.78717245605116
BA3149	3.28330883545606	7.8210975174081
BA3169	3.00426499817374	8.24301678047805
BA3180	7.02698040559294	9.11460476788528
BA3255	7.81832288003789	8.64449262965366
BA3438	1.59541816670198	9.3735473533766
BA3345	2.11388863910946	7.67751428719864
BA3403	1.97096633043764	8.41372261793503
BA3431	6.16270217963845	7.86519796261888
BA3181	5.21924696123963	8.39960495989321
BA3341	7.60395254604328	7.99413751864958
BA3191	7.06736498172321	8.36494157515656
BA3197	10.0139606390354	8.97829037472744
BA3448	7.76334677298606	9.08494318011795
BA3453	6.94358580230343	8.80867768640892
BA3406	7.62437772428186	8.79635277497105
BA3308	7.41702873174962	9.38675693832204
BA3186	9.9053830477262	8.48399844841995
BA3334	4.22175408993243	8.7214605815193
BA3447	4.59972375526065	9.60422004710875
BA3116	3.24833932522177	8.70401585675217
BA3280	7.63278489020753	9.25110414260315
BA3185	2.28340449654963	8.5373170330564
BA3094	-1.96011964564348	8.59798330037588
BA3318	6.326824292765	8.47663077360064
BA3216	6.47279065497325	8.8879736022598
BA3332	7.36724009431295	9.36916799017741
BA3214	7.99246857024867	9.51245452204643
BA3099	7.75780436658957	8.8717935877338
BA3141	8.84307877151568	9.43158515365849
BA3373	8.43758065182973	8.78108213178214
BA3319	5.9785222997962	7.51413414557592
BA3328	9.1410080593907	8.07971165578759
BA3339	1.3495851994097	8.07425460403884
BA3240	8.91751782379931	8.97485330936457
BA3142	8.68676863894814	8.62516478231551
BA3333	7.37577438257785	8.98864564355709
BA3381	5.08870565418655	8.18217944661747
BA3290	8.19012213724112	8.25344779136567
BA3207	3.02428518304635	7.11965805588277
BA3296	3.53193069811392	7.05061628699762
BA3305	6.50854787129231	8.59260663428802
BA3434	4.82292152807512	9.18338030789918
BA3189	6.86708630662577	8.87824586229709
BA3264	7.17999658780694	8.69536777456055
BA3329	9.23665444981222	9.45616130594571
BA3417	0.207476070123517	8.57925061313916
BA3367	5.72023465218825	7.38257507273258
BA3225	3.92905779716509	6.41555515164963
BA3183	6.73692509275104	8.88148184246882
BA3222	0.578560653385863	8.70401585675217
BA3139	7.81101053195418	7.46894970580743
BA3397	3.03620367997927	6.732801148639
BA3311	6.35019247071228	7.04704814373678
BA3422	9.65571538111022	9.02011485988608
BA3228	7.8210975174081	8.92415796681604
BA3213	5.6533576160666	8.62516478231551
BA3270	6.34737367069021	8.31787605128572
BA3415	5.82971849546372	7.56784611916855
BA3324	6.87212018212394	8.5607551950315
BA3194	8.2960419873451	8.68106286594684
BA3335	9.2389471182711	8.19211577067672
BA3199	7.05796014084047	9.4000752436972
BA3326	2.88584557978208	8.22036612888066
BA3285	9.61602995658446	7.61362919863888
BA3297	7.82688083190866	8.05288390011611
BA3227	9.60929418124753	8.79022656584331
BA3394	7.53511002571526	9.39118419839355
BA3412	0.439987090282692	7.81249915728454
BA3293	9.06845231152446	8.85123237146193
BA3250	5.42966375134891	7.96260346447077
BA3177	5.13976221148527	8.77199110438686
BA3315	3.90901162589946	8.34906675857089
BA3182	5.55510823651463	7.94936162159169
BA3260	4.66398706452937	7.42825345365406
BA3369	4.807111451034	8.66407371953991
BA3078	5.75415496254133	8.96297616127633
BA3386	8.70980864868103	8.89776108628452
BA3445	6.61275930528802	8.25135474465914
BA3452	7.32489473499785	8.77199110438686
BA3176	7.22042069105103	9.21490111990201
BA3258	1.26994075255518	7.18983138735934
