#Résultats bruts de l'abondance de mutation du gène TP53 selon la feature FLT3-ITD, normalisée par le gène de ménage TBP.
#Test d'hypothèse de différence significative entre les moyennes des groupes
#p-value = 0.001290 avec le test Mann-Whitney
 Abundance   TotalKmers  NormalizedExpression FLT3-ITD
 22.448276 8.352852e+09              2.687498 negative
 77.586207 4.643957e+09             16.706919 negative
376.275862 9.789722e+09             38.435808 negative
516.620690 8.747321e+09             59.060449 negative
125.482759 6.058733e+09             20.711057 negative
 52.620690 7.093041e+09              7.418636 negative
 17.724138 9.354307e+09              1.894757 negative
 76.655172 7.188095e+09             10.664185 negative
309.379310 8.617071e+09             35.903069 negative
260.551724 1.207313e+10             21.581119 negative
 84.448276 9.109860e+09              9.269986 negative
320.275862 9.745327e+09             32.864556 negative
411.862069 5.350324e+09             76.978908 negative
 14.037037 7.646813e+09              1.835672 negative
 37.517241 7.974097e+09              4.704889 negative
 40.827586 7.839564e+09              5.207890 negative
 80.551724 6.065394e+09             13.280543 negative
 94.896552 9.697777e+09              9.785392 negative
 12.727273 8.909130e+09              1.428565 negative
135.827586 1.126770e+10             12.054593 negative
124.896552 1.130116e+10             11.051659 negative
 46.689655 1.173747e+10              3.977828 negative
 45.931034 5.786196e+09              7.938037 negative
 19.551724 1.072766e+10              1.822552 negative
 65.793103 8.923147e+09              7.373307 negative
107.344828 7.232959e+09             14.841067 negative
 24.586207 6.109573e+09              4.024210 negative
 16.517241 9.682106e+09              1.705955 negative
170.137931 9.651607e+09             17.627939 negative
 18.000000 9.835948e+09              1.830022 negative
157.655172 6.065394e+09             25.992569 negative
374.000000 9.789722e+09             38.203334 negative
 34.206897 8.141680e+09              4.201454 negative
612.931034 1.098682e+10             55.787868 positive
375.689655 8.693196e+09             43.216518 positive
 79.275862 6.204715e+09             12.776712 negative
212.206897 1.086433e+10             19.532437 positive
315.206897 6.572317e+09             47.959780 negative
 44.896552 9.682106e+09              4.637064 negative
105.448276 7.970342e+09             13.230081 negative
 95.896552 6.907665e+09             13.882630 negative
145.965517 6.829888e+09             21.371583 negative
 23.517241 8.350758e+09              2.816180 negative
191.827586 9.483174e+09             20.228205 positive
 22.448276 1.192939e+10              1.881763 negative
 46.758621 8.977505e+09              5.208420 negative
 40.620690 7.030049e+09              5.778151 negative
 23.517241 8.531157e+09              2.756630 negative
 44.586207 8.812339e+09              5.059520 negative
642.586207 1.182556e+10             54.338770 negative
 59.241379 7.467501e+09              7.933227 negative
209.517241 6.916062e+09             30.294297 positive
183.103448 5.751399e+09             31.836332 negative
230.241379 5.850998e+09             39.350790 negative
 83.413793 9.492673e+09              8.787176 negative
 66.379310 5.578305e+09             11.899549 negative
182.758621 1.143744e+10             15.978983 negative
 67.448276 5.986453e+09             11.266818 negative
321.655172 5.860219e+09             54.887911 negative
225.206897 1.458903e+10             15.436727 positive
 50.896552 7.965646e+09              6.389507 negative
 70.379310 8.340798e+09              8.437959 negative
 55.586207 5.411534e+09             10.271802 negative
 22.068966 8.011331e+09              2.754719 negative
 37.413793 6.152350e+09              6.081220 positive
404.655172 8.617071e+09             46.959710 negative
181.793103 8.579946e+09             21.188140 negative
161.000000 7.958003e+09             20.231207 negative
440.172414 9.070957e+09             48.525464 negative
255.275862 7.232959e+09             35.293422 negative
115.206897 5.670167e+09             20.318077 negative
 91.517241 8.731695e+09             10.481040 negative
149.517241 6.124994e+09             24.411003 positive
205.241379 7.132607e+09             28.775086 negative
107.965517 7.355166e+09             14.678870 negative
155.965517 9.344986e+09             16.689754 positive
282.275862 1.003396e+10             28.132044 negative
717.275862 1.428796e+10             50.201420 negative
 25.655172 6.109573e+09              4.199176 negative
183.827586 6.639299e+09             27.687801 negative
107.965517 4.588512e+09             23.529526 positive
437.724138 8.749191e+09             50.030243 positive
103.482759 9.008421e+09             11.487336 negative
348.448276 7.588827e+09             45.915960 negative
320.862069 5.350324e+09             59.970591 negative
273.827586 1.419232e+10             19.294064 negative
302.137931 1.234512e+10             24.474280 negative
 47.034483 9.053483e+09              5.195181 negative
 39.275862 7.814987e+09              5.025711 negative
377.862069 9.414387e+09             40.136663 negative
251.137931 6.590222e+09             38.107661 negative
189.793103 6.142994e+09             30.895863 negative
 63.068966 6.968782e+09              9.050213 negative
250.413793 8.745010e+09             28.635049 positive
 96.206897 7.974097e+09             12.064926 negative
232.000000 1.207313e+10             19.216222 negative
110.137931 6.675530e+09             16.498754 negative
199.758621 6.443114e+09             31.003427 positive
269.793103 8.101218e+09             33.302784 negative
