#Boxplots d'expressions du gène EZH2 en fonction de la feature centerID
#Résultat du test statistique ANOVA : F = 6.378, p-value = 0.00000
#Tableau des résultats :
Sample Feature  ExpressionGene
BA2409       1        4.123746
BA2496       1        5.431153
BA3037       1        5.400396
BA2865       1        4.864636
BA2751       1        5.489882
BA2286       1        5.118530
BA2488       1        5.356336
BA3379       1        5.725563
BA2887       1        5.347260
BA2712       2        6.123027
BA2068       2        5.533871
BA2104       1        4.469180
BA3124       1        4.744989
BA2449       1        6.110395
BA2235       1        4.737642
BA3038       1        5.722134
BA3006       3        5.495501
BA2667       1        5.577842
BA2239       1        5.130142
BA2782       3        5.104911
BA2649       1        6.151875
BA2861       1        5.576753
BA2134       1        3.927816
BA2909       1        5.076604
BA2653       1        5.317947
BA2947       1        5.999705
BA2162       1        4.180942
BA2564       1        5.725196
BA2597       4        6.688678
BA3243       2        4.175624
BA2446       1        6.079063
BA2525       4        4.689417
BA2876       4        5.389133
BA2357       2        6.427186
BA2546       1        5.142643
BA2742       1        5.122411
BA2316       1        5.536120
BA2087       2        4.728082
BA2148       2        6.005564
BA3178       3        5.299473
BA2072       1        5.801464
BA2733       2        6.314442
BA2995       2        6.365130
BA2069       1        6.089663
BA2681       3        5.939830
BA2832       2        5.638599
BA2600       4        5.311828
BA3230       1        5.709864
BA2731       2        5.321640
BA2294       4        6.048167
BA2816       4        6.260333
BA2814       3        5.665134
BA2631       1        5.767229
BA2023       1        5.542451
BA2375       1        5.196647
BA2485       1        5.475800
BA2455       4        5.394583
BA2636       4        5.250383
BA2325       1        4.008199
BA2156       1        5.700325
BA2511       4        6.199666
BA2505       4        3.997915
BA2871       3        5.286123
BA2227       1        5.759111
BA2812       3        6.266047
BA2125       1        6.151014
BA2603       1        5.887984
BA2808       4        5.227136
BA2482       1        5.794877
BA2594       1        5.498675
BA2747       4        5.293080
BA2561       3        6.079875
BA2567       3        6.013323
BA2906       1        6.243655
BA2956       2        6.800525
BA2474       1        5.351944
BA2737       2        5.695268
BA2110       1        5.299862
BA2992       4        6.427638
BA2220       1        6.421895
BA2063       2        4.917210
BA2772       2        5.696074
BA2935       4        5.697580
BA2260       3        5.427125
BA2948       3        6.005564
BA3296       1        5.817642
BA2524       4        5.345480
BA2811       1        5.697203
BA2540       4        5.051154
BA2928       1        6.187276
BA2302       4        5.468085
BA2651       4        5.408852
BA2619       1        5.430425
BA3013       4        6.315858
BA2405       3        5.448262
BA2856       3        5.976084
BA2377       2        5.047314
BA2499       2        5.435101
BA3023       4        5.348655
BA2095       1        6.415555
BA2275       1        5.509790
BA2901       2        5.385855
BA2387       1        3.416599
BA2962       1        5.732841
BA2195       4        6.211452
BA2688       2        6.105384
BA2420       1        5.640115
BA2053       2        6.180746
BA2081       1        5.756061
BA2354       1        5.399293
BA3273       2        4.807798
BA2893       3        5.590643
BA2044       1        6.229897
BA2489       2        5.740906
BA2908       1        4.990709
BA2054       3        6.333243
BA2872       1        6.502972
BA2041       2        6.053620
BA2464       1        5.168550
BA2902       4        6.074793
BA2541       1        4.749578
BA2843       4        6.703702
BA2497       1        5.515003
BA2718       1        6.116336
BA2575       1        5.075157
BA2593       3        7.198169
BA2791       2        5.044443
BA2620       1        4.016417
BA2629       1        6.054487
BA2870       1        6.198221
BA2682       4        5.365140
BA2276       2        5.918741
BA2709       2        5.700694
BA2789       1        5.416097
BA2538       2        6.332801
BA2583       5        5.537226
BA2806       2        5.606174
BA2441       1        4.881846
BA2514       2        6.322673
BA2520       5        5.769206
BA2479       5        6.089663
BA2281       1        5.854629
BA2932       1        5.513457
BA2123       2        6.171670
BA2844       2        6.763017
BA2660       1        5.370496
BA2836       2        6.256321
BA2714       1        4.885374
BA2440       5        5.571909
BA2036       3        4.922799
BA2828       1        4.998514
BA2952       1        5.026199
BA2410       2        5.356713
BA2139       3        4.394456
BA2051       5        5.687596
BA2532       2        5.502031
BA2494       5        6.646312
BA2748       1        6.211452
BA2622       1        4.781882
BA2970       2        6.916655
BA2839       2        5.376759
BA2868       3        5.834835
BA3011       1        5.860196
BA2052       2        7.079949
BA2510       5        5.421616
BA2691       1        4.000364
BA2374       1        6.777759
BA2804       5        6.314925
BA2675       1        5.149674
BA2031       1        5.253853
BA2198       3        5.316825
BA2066       1        5.782659
BA2344       3        5.285381
BA2459       2        6.568904
BA2229       5        5.417165
BA2559       5        6.237084
BA2093       1        5.624909
BA2000       3        6.615924
BA2425       1        5.152775
BA2905       5        6.354452
BA2304       3        4.653679
BA2976       1        5.596226
BA2386       2        4.319648
BA2035       1        5.571546
BA2760       5        5.743185
BA2201       1        5.294873
BA2355       5        6.767154
BA2113       1        6.804868
BA2955       1        5.152775
BA2322       1        6.062558
BA2020       3        6.433356
BA2226       1        5.361439
BA2376       1        4.528024
BA2121       1        6.643048
BA2944       3        5.254587
BA2033       5        6.442757
BA2867       2        6.185908
BA2089       1        5.444615
BA2224       1        5.901576
BA2046       2        6.240551
BA2972       1        6.307407
BA2978       1        5.715154
BA2851       1        5.311447
BA2587       1        6.331916
BA2024       1        5.816486
BA2426       5        6.202712
BA2271       1        4.879035
BA3004       1        5.981806
BA3010       6        5.668164
BA2662       1        6.616496
BA2658       1        5.838418
BA2512       3        4.787514
BA2109       1        5.550258
BA2242       1        4.409090
BA2132       6        5.819597
BA2846       1        4.902544
BA2521       1        5.169609
BA2885       1        5.007967
BA2639       1        6.104086
BA2775       3        5.094969
BA2402       1        5.059989
BA2097       4        4.695064
BA2399       2        5.749856
BA2174       1        5.736999
BA3001       1        6.487059
BA2911       1        4.740787
BA2311       2        5.307440
BA3040       4        6.644646
BA2724       2        5.589145
BA2821       1        5.844307
BA2233       4        6.092197
BA2744       1        4.703812
BA2501       3        5.765268
BA2301       5        6.685937
BA2880       5        5.856546
BA2621       6        4.790684
BA2866       4        7.382575
BA2212       2        6.301424
BA2477       1        6.432419
BA2685       6        6.548755
BA2273       6        6.082379
BA2124       3        5.947176
BA2400       1        5.736634
BA2762       2        5.662044
BA2312       3        4.557390
BA2813       5        5.510159
BA2211       1        5.051154
BA2171       1        5.484304
BA2746       5        5.240695
BA2798       6        5.173810
BA2588       1        5.853417
BA2296       1        5.967846
