	NPM1	NF1
BA2000	529.0740751552895	142.75490360837196
BA2003	718.8454548403314	153.6363602362335
BA2004	320.416765868189	186.3131826561012
BA2006	9.731263616557731	0.0
BA2011	349.1494593922488	72.85716052294515
BA2019	584.7298493866805	204.9947885795207
BA2020	1238.4508547008545	274.7370236131756
BA2022	917.8624004605978	126.77737922849806
BA2023	432.430363504652	57.57670274404444
BA2024	373.1442557723393	129.19307576825068
BA2025	723.6161514674798	135.04261049402936
BA2031	804.2156041021317	47.7445319683995
BA2032	797.0029006308893	215.03490271417868
BA2033	258.23198424669016	92.53923653042108
BA2034	811.2764224741454	153.47329527828623
BA2035	900.7865531930996	124.98326638084282
BA2036	779.9021105326607	238.32690231687388
BA2037	1905.212257740152	298.2964495900539
BA2041	846.7808362661304	135.22863046072317
BA2044	586.7526892532584	82.04710015020497
BA2046	1116.3443179422306	144.0633694963439
BA2047	678.6308819474854	123.2929360773152
BA2050	743.1948731463913	95.22651628154628
BA2051	485.30915140801295	90.68870047977845
BA2052	1123.444664742103	110.66973675190388
BA2053	858.0353314195818	129.04169527931813
BA2054	798.0997645653246	115.25580563960666
BA2055	43.69121161009207	1.861283467889972
BA2063	584.475008784876	56.62966505689601
BA2065	1203.8952158917054	201.62135608839577
BA2066	820.948611719295	124.09319568255268
BA2068	591.6639941722485	78.65829945488635
BA2069	669.1056490806965	57.54297490294547
BA2072	444.2673762143402	86.57166007727321
BA2079	148.75517388648316	61.12137145648837
BA2080	829.9345694329564	157.83351245834615
BA2081	597.5572717148619	109.72745843655122
BA2082	1006.1029619898692	81.44008518006407
BA2087	646.277790211756	39.44265347415752
BA2088	648.9600212458845	122.118312008315
BA2089	804.2096484968401	166.7588903652543
BA2093	718.9785651729675	120.06260334565768
BA2094	774.4474723884591	80.35342502132465
BA2095	743.3756410256409	125.72932620776494
BA2096	844.926645204539	38.14635019971428
BA2097	1871.544588786714	274.9535971649002
BA2098	447.058323196938	26.433437712180453
BA2100	460.46480967904114	66.13538217435533
BA2101	481.9798980413782	72.0511876030681
BA2104	158.77373403179857	88.2053799306977
BA2106	1087.2221949215304	153.3726439647684
BA2109	353.25556042102534	115.04825583911432
BA2110	228.4360225865918	74.36471936282452
BA2113	619.5860880001297	223.4154468177113
BA2116	204.49241959811215	171.4319149038356
BA2121	830.565918465539	72.40096351612218
BA2122	309.8565362180163	54.47294224439686
BA2123	1944.6786659963132	190.53116384213277
BA2124	1306.525201781843	184.66017011723795
BA2125	407.5005611508458	25.534304216960667
BA2132	579.7304751401525	170.7127216635003
BA2133	285.45101823469946	80.18133477228218
BA2134	394.3391348654157	49.273239517076505
BA2135	1086.0343934651337	15.131785600875178
BA2139	173.99071803521517	41.481996912376765
BA2143	307.85163506814365	96.97194172507986
BA2148	255.70209620655535	89.68429975044664
