ID_sample	TypeMutation	ExpressionGene
BA2386	mut2	10.040753132835
BA2879	mut2	6.04021038079235
BA2906	mut2	10.7149459001776
BA3001	mut2	10.0272952150123
BA3139	mut2	12.5256596633099
BA3400	mut2	7.92364245319313
BA2101	mut4	7.02200264661639
BA2233	mut4	9.73079295605488
BA2455	mut4	9.95541459791256
BA2952	mut4	9.4917929010063
BA2956	mut4	8.44966638628301
BA3139	mut4	12.5256596633099
BA3285	mut4	12.2211956145486
BA3310	mut4	10.4909547063744
BA3438	mut4	10.1459017836458
BA3447	mut4	9.08494318011795
BA2066	mut5	9.88079564639631
BA2094	mut5	10.639379239193
BA2427	mut5	7.550843282623
BA2456	mut5	8.16449260027971
BA2561	mut5	9.87474271994728
BA2631	mut5	9.22687989289351
BA2682	mut5	9.37793858616158
BA2879	mut5	6.04021038079235
BA2930	mut5	7.56206988956539
BA2952	mut5	9.4917929010063
BA3136	mut5	10.7487601826414
BA3333	mut5	10.4270272319076
BA3400	mut5	7.92364245319313
BA3447	mut5	9.08494318011795
BA2031	mut7	9.82717700787936
BA2054	mut7	7.60989112051761
BA2249	mut7	9.50601427714714
BA2455	mut7	9.95541459791256
BA2691	mut7	7.01613705435711
BA2906	mut7	10.7149459001776
BA3362	mut7	10.4284775273914
BA2031	mut8	9.82717700787936
BA2249	mut8	9.50601427714714
BA2376	mut8	6.56326897910348
BA2592	mut8	7.58177680428358
BA3139	mut8	12.5256596633099
BA2050	mut9	8.60608533344799
BA2104	mut9	9.13342062895717
BA2249	mut9	9.50601427714714
BA2334	mut9	8.56865303112435
BA2928	mut9	9.62975620855742
BA3139	mut9	12.5256596633099
BA3216	mut9	9.88687313292775
BA3277	mut9	8.79942491234482
BA3285	mut9	12.2211956145486
BA3369	mut9	8.70112769787832
BA3379	mut9	9.83892848550566
BA3381	mut9	7.33890799019329
BA2031	mut10	9.82717700787936
BA2032	mut10	8.68962960513866
BA2050	mut10	8.60608533344799
BA2106	mut10	10.1170993958946
BA2123	mut10	6.10872354813756
BA2226	mut10	7.88494695067266
BA2236	mut10	9.04860912314158
BA2249	mut10	9.50601427714714
BA2308	mut10	9.4270458724936
BA2413	mut10	9.47302564786274
BA2499	mut10	7.49358396361658
BA2502	mut10	9.62461563502098
BA2512	mut10	7.84734534450722
BA2670	mut10	7.94936162159169
BA2701	mut10	8.18416035809344
BA2746	mut10	8.24509615455004
BA2791	mut10	8.4424022836884
BA2828	mut10	7.5932544466496
BA2851	mut10	9.1410080593907
BA2870	mut10	10.8192493812712
BA2906	mut10	10.7149459001776
BA2939	mut10	10.3575120670964
BA3084	mut10	9.87474271994728
BA3126	mut10	9.54457000922792
BA3141	mut10	8.34007975821985
BA3232	mut10	8.34906675857089
BA3280	mut10	9.38234175781362
BA3311	mut10	8.5117153749805
BA3423	mut10	9.83304132704525
BA2025	mut11	8.8879736022598
BA2134	mut11	6.92559422045597
BA2212	mut11	8.90103696609653
BA2248	mut11	8.69824500910271
BA2249	mut11	9.50601427714714
BA2446	mut11	8.64171611871059
BA2450	mut11	7.86375133258917
BA2455	mut11	9.95541459791256
BA2463	mut11	9.85235783310065
BA2488	mut11	8.79328666582968
BA2814	mut11	9.25517667754352
BA2824	mut11	8.96800104667789
BA2906	mut11	10.7149459001776
BA2994	mut11	8.34906675857089
BA3109	mut11	6.25135664028146
BA3169	mut11	7.61833712147791
BA3183	mut11	8.91420804405317
BA3232	mut11	8.34906675857089
BA3240	mut11	8.86857724833819
BA3243	mut11	9.75851596885508
BA3286	mut11	8.86536741111737
BA3452	mut11	9.04860912314158
BA2249	mut12	9.50601427714714
BA2846	mut12	10.2205801589611
BA2928	mut12	9.62975620855742
BA3139	mut12	12.5256596633099
BA2066	mut13	9.88079564639631
BA2386	mut13	10.040753132835
BA2865	mut13	9.61949185438657
BA2906	mut13	10.7149459001776
BA2928	mut13	9.62975620855742
BA3110	mut13	9.6837417558498
BA3139	mut13	12.5256596633099
BA3178	mut13	10.0818938676199
BA3285	mut13	12.2211956145486
BA2110	mut14	8.15671254170946
BA2756	mut14	8.12418859250955
BA3269	mut14	9.14863087419242
BA3277	mut14	8.79942491234482
BA3310	mut14	10.4909547063744
BA3379	mut14	9.83892848550566
BA2427	mut17	7.550843282623
BA2524	mut17	7.95765939482996
BA3139	mut17	12.5256596633099
BA3285	mut17	12.2211956145486
BA2088	mut18	4.70031416168302
BA2195	mut18	6.65130744059523
BA2441	mut18	9.33455230246716
BA2492	mut18	7.384595872256
BA2514	mut18	7.75227162313381
BA2695	mut18	6.97592290315855
BA2701	mut18	8.18416035809344
BA2707	mut18	10.2282709856871
BA2723	mut18	6.8614500005054
BA2817	mut18	9.54789329963925
BA2866	mut18	7.22543117773692
BA2970	mut18	6.56119717042577
BA3036	mut18	8.68676863894814
BA3139	mut18	12.5256596633099
BA3202	mut18	5.22280034919153
BA3285	mut18	12.2211956145486
BA3318	mut18	8.91090509269608
BA2714	mut19	9.4045391740165
BA3138	mut19	6.22856369307102
BA3229	mut19	7.60395254604328
BA3388	mut19	6.75887216800442
BA2031	mut20	9.82717700787936
BA2087	mut20	9.3884596253967
BA2301	mut20	7.8210975174081
BA2756	mut20	8.12418859250955
BA2928	mut20	9.62975620855742
BA3139	mut20	12.5256596633099
BA3167	mut20	8.97485330936457
BA2098	mut21	7.89563066633541
BA2100	mut21	6.78739149461742
BA2227	mut21	9.90525526471174
BA2272	mut21	9.33455230246716
BA2288	mut21	8.05115312612603
BA2296	mut21	7.52987979374564
BA2301	mut21	7.8210975174081
BA2402	mut21	8.13176351189552
BA2646	mut21	8.43998936441936
BA2682	mut21	9.37793858616158
BA2760	mut21	7.45167143306165
BA2923	mut21	8.42559982560594
BA2935	mut21	8.45209623715645
BA2944	mut21	8.48407580140491
BA3010	mut21	7.82406690467398
BA3087	mut21	10.5694287909356
BA3139	mut21	12.5256596633099
BA3142	mut21	8.37639721534742
BA3207	mut21	8.95099667095566
BA3217	mut21	10.5880026699568
BA3228	mut21	8.82734862624236
BA3277	mut21	8.79942491234482
BA3285	mut21	12.2211956145486
