	TP53	PTPN11
BA2000	8.06307340091042	18.33296095742878
BA2003	2.2260197873263383	7.823075791431777
BA2004	7.673631869747613	23.47420820016641
BA2006	7.428197079696779	1.599279212987121
BA2011	1.1963063819805329	9.225160864995647
BA2019	6.224170045462047	25.598812631833862
BA2020	21.520381567447888	31.59595324254756
BA2022	9.45684986281421	27.51591386957487
BA2023	6.434672541888756	11.535227276580512
BA2024	6.510640280236593	13.850349536088828
BA2025	10.394921412662669	25.182250566504557
BA2031	8.495527625696191	17.168571781077897
BA2032	2.499893151699212	15.901849480276256
BA2033	1.7986397277922732	18.392220963768025
BA2034	10.402330525568503	16.75767370192132
BA2035	5.694807242052163	26.829544816139027
BA2036	7.951478653704009	21.002511009591736
BA2037	13.456446138821162	41.28393670453848
BA2041	4.012876279461654	20.85594645881212
BA2044	12.997143664324703	18.514651646389066
BA2046	2.618085774132732	17.74777341783675
BA2047	6.872806555198192	23.775755698786437
BA2050	5.023659216923838	14.032474625170588
BA2051	0.9779779714778264	23.501722762533824
BA2052	4.334996906915623	19.346997032607323
BA2053	2.357057989901253	13.034239391027915
BA2054	3.190998846688494	15.071847659067448
BA2055	8.735408391437288	1.0119939151741806
BA2063	2.152309015331881	14.18531242809262
BA2065	9.459880976324264	23.213042788974004
BA2066	20.073948076003976	27.549712577286414
BA2068	3.486147991478991	15.169594363553628
BA2069	15.409996932172731	19.64144687919452
BA2072	6.954497290282092	12.509935270285276
BA2079	2.0472781137670544	8.072035025066661
BA2080	2.4647671501971486	14.96790543407779
BA2081	9.149696405407012	15.613771421052876
BA2082	1.7753601682942917	16.516465158266154
BA2087	4.855407453197315	14.418054675323518
BA2088	2.4632406685354358	24.432406247519264
BA2089	9.676104817049987	26.42817527039773
BA2093	2.2386160646417284	24.761557552881506
BA2094	12.051290934790956	22.84219653932653
BA2095	9.865156313761132	22.24726061747656
BA2096	6.77397549750367	9.782062235194408
BA2097	6.33159715116314	29.00078867269143
BA2098	22.683107122235867	4.89760845693884
BA2100	0.4942224100471776	12.578431475402214
BA2101	3.382179169574317	12.241955188427031
BA2104	4.151746644592918	9.678008579946416
BA2106	3.0315719050191947	11.404555741858657
BA2109	1.2120564008482917	10.752236348741445
BA2110	2.3221181476454724	9.173325205003731
BA2113	11.35363658872494	24.25003415351566
BA2116	0.5147534372218869	34.54667256955986
BA2121	10.948348696573852	24.484211565819702
BA2122	1.4582446731011915	8.187921438696502
BA2123	7.1946210352410045	32.82053187434948
BA2124	13.386270032709085	17.461741457522745
BA2125	9.790402798354815	26.753085869426155
BA2132	2.7211224761939943	20.169400258241318
BA2133	0.8131475906953063	9.257241245749476
BA2134	4.913494345748131	11.564212451003634
BA2135	3.617560816574061	16.330691859452898
BA2139	4.057071783339983	11.507169535521824
BA2143	6.514813997712446	20.26836326082831
BA2148	0.3308884751012781	15.675843108585529
BA2153	3.840478484261512	24.095696669288905
BA2155	3.973317728058916	13.399294045807633
BA2156	11.453174911166562	16.931888260327074
BA2162	3.729057553001509	23.524442921627767
BA2163	13.44292850019923	32.49912164853597
BA2168	3.962430004021511	13.863873737481438
BA2169	2.463700853323531	30.814991909118284
BA2171	9.666398457499485	23.18947927011344
BA2172	7.090263077576619	16.795517788395873
BA2174	7.701079162073331	23.163838646228943
BA2175	0.1872753030153418	22.39949600661436
BA2184	17.996746811177232	39.81395373361203
BA2195	2.976163189395368	14.438988301694582
BA2198	8.39156345831227	24.498350035075635
BA2200	15.684640945538904	27.20417627027473
BA2201	4.41294067160597	10.05949923649511
BA2209	1.465524528992165	22.20851929911572
BA2211	12.411770235404097	21.02631899069189
BA2212	2.4205216520142714	16.10636029935567
BA2217	11.168413297451291	17.405562540348775
BA2218	1.038135953656088	6.878393864241168
BA2220	12.09187166983528	20.14637088171025
BA2221	3.7294796059077866	13.92990006687362
BA2224	3.4475879150133317	15.825637213283208
BA2226	17.966876274753428	35.989485894319195
BA2227	8.633700414487945	20.910382367639677
BA2228	3.5815397430923976	31.927487025931413
BA2229	2.330314829985168	23.056486557637434
BA2233	1.7360063685079294	11.761458404505191
BA2234	7.468947578959061	24.054342043995
BA2235	9.810041962650772	17.067020253453286
BA2236	8.041259177085172	17.314869257465272
